NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,NIBRS_Offense_Code
09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person,09A
09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person,09B
100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,100
11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person,11A
11B,11B Sodomy,Sex Offenses,Crimes against person,11B
11C,11C Sexual Assault With An Object,Sex Offenses,Crimes against person,11C
11D,11D Fondling,Sex Offenses,Crimes against person,11D
11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,11U
120,120 Robbery,Robbery,Crimes against property,120
12A,12A Personal Robbery,Robbery,Crimes against property,120
12B,12B Commercial Robbery,Robbery,Crimes against property,120
12U,12U Other Robbery,Robbery,Crimes against property,120
13A,13A Aggravated assault,Assault Offenses,Crimes against person,13A
13B,13B Simple assault,Assault Offenses,Crimes against person,13B
13C,13C Intimidation,Assault Offenses,Crimes against person,13C
200,200 Arson,Arson,Crimes against property,200
210,210 Extortion/Blackmail,Extortion/Blackmail,Crimes against property,210
220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,220
22A,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,220
22B,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,220
22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,220
23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property,23A
23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,23B
23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,23C
23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property,23D
23E,23E Theft From Coin-Operated Machine or Device,Larceny/Theft Offenses,Crimes against property,23E
23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,23F
23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,23G
23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,23H
23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,23U
240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,240
250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,250
26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26A
26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26B
26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26C
26D,26D Welfare Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26D
26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26E
26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,26U
270,270 Embezzlement,Embezzlement,Crimes against property,270
280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property,280
290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,290
35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,35A
35B,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society,35B
36A,36A Incest,"Sex Offenses, Nonforcible",Crimes against person,36A
