NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,ABANDONMENT OF CHILD
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ABORTION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"ABORTION, UNLAWFUL"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"ACCESS CARD COUNTERFEITING MACHINERY, POSSESSION OF"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"ACCESS CARD INFORMATION, PUBLICATION OF"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"ACCESS CARD INFORMATION, THEFT OF"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"ACCESS CARD OR SIGNATURE, FORGERY OF"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"ACCESS CARD, INCL. CREDIT, PHONE, ATM, FRAUDULENT USE OF"
26E,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26E Wire Fraud,FRAUD,"ACCESS CARD, POSSESSION OF LOST OR STOLEN, WITH INTENT TO USE, TRANSFER, OR SELL"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,ACCESSORY OR AID OR HARBOR FELON
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,ACCIDENTAL BURNS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,ACCIDENTAL LACERATIONS
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,ACCIDENTAL SHOOTING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ACTS AGAINST PUBLIC TRANSIT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,ADVERTISING DISTRIBUTORS PERMIT VIOLATION
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"AEROSOL CONTAINER; SALE, PURCHASE OR POSSESSION OF"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"AEROSOL CONTAINER; SALE, PURCHASE OR POSSESSION OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,AFFIXING ADVERTISMENTS TO POLES
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER, SNIPING"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"AGGRAVATED ASSAULT OF POLICE OFFICER,BODILY FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT ON POLICE OFFICER WITH A KNIFE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,AGGRESSIVE SOLICITING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,AID OR HARBOR FELON
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,AIDED CASE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, DOG BITE"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, INJURED OR SICK PERSON"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, INJURED PERSON"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, NALOXONE DEPLOYMENT"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"AIDED CASE, SICK PERSON"
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,OTHER OFFENSES,"AIR GUN, POSSESSION"
