NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
99X,[INC - CASE DC USE ONLY],[INC - CASE DC USE ONLY],99X Non-Categorisable Offenses,Excluded cases,Excluded cases
99Z,ANIMAL COMPLAINT,ANIMAL-BITE,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,ANIMAL COMPLAINT,ANIMAL-CRUELTY,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,ANIMAL COMPLAINT,ANIMAL-OTH,99Z Non-Criminal Matters,Excluded cases,Excluded cases
13A,ASSAULT,ASSLT-AGG-BODYFORCE,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ASSLT-AGG-GUN,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ASSLT-AGG-POLICE-BODYFORCE,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ASSLT-AGG-POLICE-GUN,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ASSLT-AGG-POLICE-WEAPON,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ASSLT-AGG-WEAPON,13A Aggravated assault,Assault Offenses,Crimes against person
13B,ASSAULT,ASSLT-NONAGG,13B Simple assault,Assault Offenses,Crimes against person
13B,ASSAULT,ASSLT-NONAGG-POLICE,13B Simple assault,Assault Offenses,Crimes against person
13B,ASSAULT,ASSLT-OTHER,13B Simple assault,Assault Offenses,Crimes against person
13A,ASSAULT,DRIVE-BY,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ENDANGER,13A Aggravated assault,Assault Offenses,Crimes against person
13A,ASSAULT,ENDANGERMENT,13A Aggravated assault,Assault Offenses,Crimes against person
99Y,BIAS INCIDENT,BIAS INCIDENT,99Y Non-Reportable Crimes,Excluded cases,Excluded cases
23H,BIKE THEFT,THEFT-BICYCLE,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
22B,BURGLARY,BURGLARY-FORCE-NONRES,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22A,BURGLARY,BURGLARY-FORCE-RES,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22B,BURGLARY,BURGLARY-NOFORCE-NONRES,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22A,BURGLARY,BURGLARY-NOFORCE-RES,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22C,BURGLARY,BURGLARY-OTHER,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22B,BURGLARY,BURGLARY-SECURE PARKING-NONRES,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
22A,BURGLARY-SECURE PARKING-RES,BURGLARY-SECURE PARKING-RES,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
240,CAR PROWL,THEFT-CARPROWL,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
