statutdesc,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
HOMICIDE/MURDER,09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person
HOMICIDE/MANSLAUGHTER,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person
SEXUAL ASSAULT/FORCIBLE RAPE,11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person
SEXUAL ASSAULT/OTHER,11D,11D Fondling,Sex Offenses,Crimes against person
SEXUAL ASSAULT/ATTEMPTED RAPE,11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person
ROBBERY/HIGHWAY,12A,12A Personal Robbery,Robbery,Crimes against property
ROBBERY/COMMERCIAL HOUSE,12B,12B Commercial Robbery,Robbery,Crimes against property
ROBBERY/SERVICE STATION,12B,12B Commercial Robbery,Robbery,Crimes against property
ROBBERY/CONVENIENCE STORE,12B,12B Commercial Robbery,Robbery,Crimes against property
ROBBERY/RESIDENCE,12A,12A Personal Robbery,Robbery,Crimes against property
ROBBERY/BANKS,12B,12B Commercial Robbery,Robbery,Crimes against property
ROBBERY/MISCELLANEOUS,12U,12U Other Robbery,Robbery,Crimes against property
ROBBERY/CARJACKING,12A,12A Personal Robbery,Robbery,Crimes against property
"ASSAULT, AGGRAVATED/PEACE OFFICER (SERIOUS INJURY)",13A,13A Aggravated assault,Assault Offenses,Crimes against person
"ASSAULT, AGGRAVATED/PEACE OFFICER (NON-SERIOUS INJ)",13A,13A Aggravated assault,Assault Offenses,Crimes against person
"ASSAULT, AGGRAVATED/OTHER",13A,13A Aggravated assault,Assault Offenses,Crimes against person
"ASSAULT, AGGRAVATED/DRIVEBY SHOOTING",13A,13A Aggravated assault,Assault Offenses,Crimes against person
"ASSAULT, AGGRAVATED/OTHER - DOMESTIC VIOLENCE",13A,13A Aggravated assault,Assault Offenses,Crimes against person
BURGLARY/FORCIBLE ENTRY,22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
BURGLARY/UNLAWFUL ENTRY - NO FORCE,22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
BURGLARY/ATTEMPTED FORCIBLE ENTRY,22U,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property
LARCENY/POCKET PICKING,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property
LARCENY/PURSE SNATCHING,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property
LARCENY/SHOPLIFTING,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property
LARCENY/FROM MOTOR VEHICLE,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property
LARCENY/FROM MOTOR VEHICLES (EXCEPT 0605),23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property
LARCENY/AUTO PARTS & ACCESSORIES,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property
LARCENY/BICYCLES,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
LARCENY/FROM RESIDENCE,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property
LARCENY/FROM BUILDING OPEN TO THE PUBLIC,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property
LARCENY/FROM ANY COIN OPERATED MACHINE,23E,23E Theft From Coin-Operated Machine or Device,Larceny/Theft Offenses,Crimes against property
LARCENY/ALL OTHERS,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
LARCENY/METAL THEFT,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property
GTA/STOLEN,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property
GTA/RECOVERY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
GTA/RECOVERY FOR OTHR JURISDICTION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases
ARSON/RESIDENTIAL STRUCTURE,200,200 Arson,Arson,Crimes against property
ARSON/BUSINESS STRUCTURE,200,200 Arson,Arson,Crimes against property
ARSON/RESIDENTIAL STRUCTURE,200,200 Arson,Arson,Crimes against property
ARSON/OTHER STRUCTURE,200,200 Arson,Arson,Crimes against property
ARSON/VEHICLE,200,200 Arson,Arson,Crimes against property
ARSON/OTHER,200,200 Arson,Arson,Crimes against property
ASSAULT/MINOR INJURY,13B,13B Simple assault,Assault Offenses,Crimes against person
ASSAULT/NO INJURY,13B,13B Simple assault,Assault Offenses,Crimes against person
ASSAULT/MINOR INJURY-DOMESTIC VIOLENCE,13B,13B Simple assault,Assault Offenses,Crimes against person
ASSAULT/NO INJURY - DOMESTIC VIOLENCE,13B,13B Simple assault,Assault Offenses,Crimes against person
FORGERY & COUNTERFEITING/FORGERY,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property
FORGERY & COUNTERFEITING/COUNTERFEITING,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property
FRAUD/BOGUS CHECKS,90A,90A Bad Checks (except Counterfeit Checks or Forged Checks),Bad Checks (except Counterfeit Checks or Forged Checks),Crimes against property
FRAUD/DEFRAUDING,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
FRAUD/CONFIDENCE GAME,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
FRAUD/OTHER,26U,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
FRAUD/IDENTITY THEFT,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
FRAUD/PRESCRIPTION FRAUD,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
EMBEZZLEMENT/RENTAL PROPERTY,270,270 Embezzlement,Embezzlement,Crimes against property
EMBEZZLEMENT/FROM EMPLOYER,270,270 Embezzlement,Embezzlement,Crimes against property
EMBEZZLEMENT/MORTGAGED PROPERTY,270,270 Embezzlement,Embezzlement,Crimes against property
EMBEZZLEMENT/OTHER,270,270 Embezzlement,Embezzlement,Crimes against property
STOLEN PROPERTY/BUYING,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
STOLEN PROPERTY/RECEIVING,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
STOLEN PROPERTY/POSSESSION,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property
CRIMINAL DAMAGE/MALICIOUS MISCHIEF,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
CRIMINAL DAMAGE/INTENTIONAL VANDALISM,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
CRIMINAL DAMAGE/GRAFFITI,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
CRIMINAL DAMAGE/INTENTIONAL VANDALISM - DOM VIOL,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property
WEAPONS/CARRYING CONCEALED,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
WEAPONS/FURNISHING TO MINOR,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
WEAPONS/ILLEGAL,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
WEAPONS/OTHER,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society
PROSTITUTION,40A,40A Prostitution,Prostitution Offenses,Crimes against society
COMMERCIALIZED SEX/PANDERING,40A,40A Prostitution,Prostitution Offenses,Crimes against society
COMMERCIALIZED SEX/HOUSE OF ILL FAME,40A,40A Prostitution,Prostitution Offenses,Crimes against society
