Premise Description,location_type,location_category
CONSTRUCTION SITE,construction,commercial
CHEMICAL STORAGE/MANUFACTURING PLANT,factory/warehouse,commercial
FACTORY,factory/warehouse,commercial
GARMENT MANUFACTURER,factory/warehouse,commercial
MANUFACTURING COMPANY,factory/warehouse,commercial
OIL REFINERY,factory/warehouse,commercial
WAREHOUSE,factory/warehouse,commercial
BANK,finance,commercial
BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*,finance,commercial
BANKING INSIDE MARKET-STORE *,finance,commercial
CHECK CASHING*,finance,commercial
CREDIT UNION,finance,commercial
DRIVE THRU BANKING (WINDOW)*,finance,commercial
FINANCE COMPANY,finance,commercial
SAVINGS & LOAN,finance,commercial
GAS STATION,gas station,commercial
OFFICE BUILDING/OFFICE,office,commercial
CONVENTION CENTER,other commercial,commercial
"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*",other commercial,commercial
HEALTH SPA/GYM,other commercial,commercial
OTHER BUSINESS,other commercial,commercial
RECYCLING CENTER,other commercial,commercial
TELECOMMUNICATION FACILITY/LOCATION,other commercial,commercial
TOW YARD*,other commercial,commercial
VALET,other commercial,commercial
VETERINARIAN/ANIMAL HOSPITAL,other commercial,commercial
PUBLIC STORAGE,storage,commercial
STORAGE SHED,storage,commercial
DAY CARE/ADULTS*,child care,education
DAY CARE/CHILDREN*,child care,education
COLLEGE/JUNIOR COLLEGE/UNIVERSITY,college,education
ELEMENTARY SCHOOL,school,education
HIGH SCHOOL,school,education
JUNIOR HIGH SCHOOL,school,education
PRIVATE SCHOOL/PRESCHOOL,school,education
SPECIALTY SCHOOL/OTHER,school,education
TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,school,education
DEPT OF DEFENSE FACILITY,government,government
DETENTION/JAIL FACILITY,government,government
FIRE STATION,government,government
"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",government,government
LIBRARY,government,government
MORTUARY,government,government
POLICE FACILITY,government,government
POST OFFICE,government,government
PHARMACY INSIDE STORE OR SUPERMARKET*,healthcare,healthcare
ABORTION CLINIC/ABORTION FACILITY*,healthcare,healthcare
DRUG STORE,healthcare,healthcare
HOSPICE,healthcare,healthcare
HOSPITAL,healthcare,healthcare
MEDICAL/DENTAL OFFICES,healthcare,healthcare
METHADONE CLINIC,healthcare,healthcare
HOTEL,hotel,hotel
MOTEL,hotel,hotel
SHORT-TERM VACATION RENTAL,hotel,hotel
BAR/COCKTAIL/NIGHTCLUB,bar/club,leisure
BAR/SPORTS BAR (OPEN DAY & NIGHT),bar/club,leisure
NIGHT CLUB (OPEN EVENINGS ONLY),bar/club,leisure
AMUSEMENT PARK*,entertainment,leisure
"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*",entertainment,leisure
BOWLING ALLEY*,entertainment,leisure
COLISEUM,entertainment,leisure
DODGER STADIUM,entertainment,leisure
ENTERTAINMENT/COMEDY CLUB (OTHER),entertainment,leisure
HOCKEY RINK/ICE HOCKEY,entertainment,leisure
HORSE RACING/SANTA ANITA PARK*,entertainment,leisure
MUSEUM,entertainment,leisure
POOL-PUBLIC/OUTDOOR OR INDOOR*,entertainment,leisure
SKATING RINK*,entertainment,leisure
SPORTS ARENA,entertainment,leisure
"SPORTS VENUE, OTHER",entertainment,leisure
STAPLES CENTER *,entertainment,leisure
THEATRE/MOVIE,entertainment,leisure
RESTAURANT/FAST FOOD,restaurant,leisure
CATERING/ICE CREAM TRUCK,restaurant,leisure
"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",restaurant,leisure
SKATEBOARD FACILITY/SKATEBOARD PARK*,other open space,open space
BASKETBALL COURTS,green space,open space
BEACH,green space,open space
CEMETARY*,other open space,open space
CULTURAL SIGNIFICANCE/MONUMENT,other open space,open space
DAM/RESERVOIR,green space,open space
GOLF COURSE*,green space,open space
MASS GATHERING LOCATION,other open space,open space
OTHER/OUTSIDE,other open space,open space
PARK/PLAYGROUND,green space,open space
PARKING LOT,vehicle parking,open space
RIVER BED*,green space,open space
SLIPS/DOCK/MARINA/BOAT,other open space,open space
TRANSIENT ENCAMPMENT,other open space,open space
VACANT LOT,other open space,open space
"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",vehicle parking,open space
WATER FACILITY,other open space,open space
YARD (RESIDENTIAL/BUSINESS),other open space,open space
CYBERSPACE,other,other
OTHER PREMISE,other,other
APARTMENT/CONDO COMMON LAUNDRY ROOM,residence,residence
BALCONY*,residence,residence
CONDOMINIUM/TOWNHOUSE,residence,residence
DRIVEWAY,residence,residence
FOSTER HOME BOYS OR GIRLS*,residence,residence
FRAT HOUSE/SORORITY/DORMITORY,residence,residence
GARAGE/CARPORT,residence,residence
GROUP HOME,residence,residence
HIGH-RISE BUILDING,residence,residence
MISSIONS/SHELTERS,residence,residence
"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",residence,residence
NURSING/CONVALESCENT/RETIREMENT HOME,residence,residence
OTHER RESIDENCE,residence,residence
PATIO*,residence,residence
"PORCH, RESIDENTIAL",residence,residence
PROJECT/TENEMENT/PUBLIC HOUSING,residence,residence
SINGLE FAMILY DWELLING,residence,residence
SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,residence,residence
STAIRWELL*,residence,residence
TOOL SHED*,residence,residence
TRANSITIONAL HOUSING/HALFWAY HOUSE,residence,residence
SHOPPING MALL (COMMON AREA),mall,retail
THE BEVERLY CENTER,mall,retail
THE BEVERLY CONNECTION,mall,retail
THE GROVE,mall,retail
SWAP MEET,other retail,retail
AUTO REPAIR SHOP,auto dealer,retail
CAR WASH,auto dealer,retail
CLEANER/LAUNDROMAT,other retail,retail
