ID,original_address,street,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
2501,"2000 BLOCK  EPHRIHAM AVE","2000 EPHRIHAM AVE","Fort Worth",TX,32.788113,-97.379731,1,range_interpolation,2000,"Ephriham Ave","Fort Worth",TX,"Tarrant County",76164,US
2502,"2000 BLOCK  EVANS AVE","2000 EVANS AVE","Fort Worth",TX,32.723412,-97.318343,1,range_interpolation,2000,"Evans Ave","Fort Worth",TX,"Tarrant County",76104,US
2503,"2000 BLOCK  FAIRVIEW ST","2000 FAIRVIEW ST","Fort Worth",TX,32.787889,-97.297662,1,range_interpolation,2000,"Fairview St","Fort Worth",TX,"Tarrant County",76111,US
2504,"2000 BLOCK  GLEN CREEK CT","2000 GLEN CREEK CT","Fort Worth",TX,32.87627,-97.256153,0.8,street_center,,"Glen Dr","Fort Worth",TX,"Tarrant County",76148,US
2505,"2000 BLOCK  GOULD AVE","2000 GOULD AVE","Fort Worth",TX,32.781019,-97.360307,1,range_interpolation,2000,"Gould Ave","Fort Worth",TX,"Tarrant County",76164,US
2506,"2000 BLOCK  GRACE AVE","2000 GRACE AVE","Fort Worth",TX,32.787984,-97.307479,1,range_interpolation,2000,"Grace Ave","Fort Worth",TX,"Tarrant County",76111,US
2507,"2000 BLOCK  GRAINGER ST","2000 GRAINGER ST","Fort Worth",TX,32.72218,-97.330695,1,range_interpolation,2000,"Grainger St","Fort Worth",TX,"Tarrant County",76110,US
2508,"2000 BLOCK  GRANDVIEW DR","2000 GRANDVIEW DR","Fort Worth",TX,32.748953,-97.233465,1,range_interpolation,2000,"Grandview Dr","Fort Worth",TX,"Tarrant County",76112,US
2509,"2000 BLOCK  GREEN OAKS RD","2000 GREEN OAKS RD","Fort Worth",TX,32.739413,-97.433976,1,range_interpolation,2000,"Green Oaks Rd","Fort Worth",TX,"Tarrant County",76116,US
2510,"2000 BLOCK  HALBERT ST","2000 HALBERT ST","Fort Worth",TX,32.748505,-97.213434,1,range_interpolation,2000,"Halbert St","Fort Worth",TX,"Tarrant County",76112,US
2511,"2000 BLOCK  HANDLEY DR","2000 HANDLEY DR","Fort Worth",TX,32.750263,-97.21627,1,range_interpolation,2000,"Handley Dr","Fort Worth",TX,"Tarrant County",76112,US
2512,"2000 BLOCK  HAWTHORNE AVE","2000 HAWTHORNE AVE","Fort Worth",TX,32.72014,-97.347124,1,range_interpolation,2000,"Hawthorne Ave","Fort Worth",TX,"Tarrant County",76110,US
2513,"2000 BLOCK  HAYLEE DR","2000 HAYLEE DR","Fort Worth",TX,32.860567,-97.332404,1,range_interpolation,2000,"Haylee Dr","Fort Worth",TX,"Tarrant County",76131,US
2514,"2000 BLOCK  HEMPHILL ST","2000 HEMPHILL ST","Fort Worth",TX,32.722025,-97.331732,1,range_interpolation,2000,"Hemphill St","Fort Worth",TX,"Tarrant County",76110,US
2515,"2000 BLOCK  HURLEY AVE","2000 HURLEY AVE","Fort Worth",TX,32.722132,-97.342585,1,range_interpolation,2000,"Hurley Ave","Fort Worth",TX,"Tarrant County",76110,US
2516,"2000 BLOCK  IM. TERRELL WAY","2000 IM. TERRELL WAY","Fort Worth",TX,32.750293,-97.314448,0.8,street_center,,"Cypress St","Fort Worth",TX,"Tarrant County",76102,US
2517,"2000 BLOCK  IRION AVE","2000 IRION AVE","Fort Worth",TX,32.793735,-97.33256,1,range_interpolation,2000,"Irion Ave","Fort Worth",TX,"Tarrant County",76106,US
2518,"2000 BLOCK  JACKSBORO HWY","2000 JACKSBORO HWY","Fort Worth",TX,32.779799,-97.37064,1,range_interpolation,2000,"Jacksboro Hwy","Fort Worth",TX,"Tarrant County",76114,US
2519,"2000 BLOCK  JACOCKS LN","2000 JACOCKS LN","Fort Worth",TX,32.670724,-97.351276,1,range_interpolation,2000,"Jacocks Ln","Fort Worth",TX,"Tarrant County",76115,US
2520,"2000 BLOCK  JENSON RD","2000 JENSON RD","Fort Worth",TX,32.749173,-97.243597,1,range_interpolation,2000,"Jenson Rd","Fort Worth",TX,"Tarrant County",76112,US
2521,"2000 BLOCK  JOYNER RANCH RD","2000 JOYNER RANCH RD","Fort Worth",TX,32.624692,-97.348545,1,range_interpolation,2000,"Joyner Ranch Rd","Fort Worth",TX,"Tarrant County",76134,US
2522,"2000 BLOCK  KINGSBROOK TRL","2000 KINGSBROOK TRL","Fort Worth",TX,32.75093,-97.177186,1,range_interpolation,2000,"Kingsbrook Trl","Fort Worth",TX,"Tarrant County",76120,US
2523,"2000 BLOCK  LANGSTON ST","2000 LANGSTON ST","Fort Worth",TX,32.723494,-97.252629,1,range_interpolation,2000,"Langston St","Fort Worth",TX,"Tarrant County",76105,US
2524,"2000 BLOCK  LEE AVE","2000 LEE AVE","Fort Worth",TX,32.780884,-97.354942,1,range_interpolation,2000,"Lee Ave","Fort Worth",TX,"Tarrant County",76106,US
2525,"2000 BLOCK  LIPSCOMB ST","2000 LIPSCOMB ST","Fort Worth",TX,32.722032,-97.333482,1,range_interpolation,2000,"Lipscomb St","Fort Worth",TX,"Tarrant County",76110,US
2526,"2000 BLOCK  LOVING AVE","2000 LOVING AVE","Fort Worth",TX,32.781007,-97.366115,1,range_interpolation,2000,"Loving Ave","Fort Worth",TX,"Tarrant County",76164,US
2527,"2000 BLOCK  MARKET AVE","2000 MARKET AVE","Fort Worth",TX,32.781016,-97.361447,1,range_interpolation,2000,"Market Ave","Fort Worth",TX,"Tarrant County",76164,US
2528,"2000 BLOCK  MARTIN LUTHER KING FWY","2000 MARTIN LUTHER KING FREEWAY","Fort Worth",TX,32.722478,-97.293827,0.9,range_interpolation,2000,"Martin Luther King Jr Fwy","Fort Worth",TX,"Tarrant County",76104,US
2529,"2000 BLOCK  MATADOR RANCH RD","2000 MATADOR RANCH RD","Fort Worth",TX,32.62615,-97.349199,1,range_interpolation,2000,"Matador Ranch Rd","Fort Worth",TX,"Tarrant County",76134,US
2530,"2000 BLOCK  MAY ST","2000 MAY ST","Fort Worth",TX,32.722185,-97.329019,1,range_interpolation,2000,"May St","Fort Worth",TX,"Tarrant County",76110,US
2531,"2000 BLOCK  MENEFEE AVE","2000 MENEFEE AVE","Fort Worth",TX,32.790423,-97.382688,1,range_interpolation,2000,"Menefee Ave","Fort Worth",TX,"Tarrant County",76106,US
2532,"2000 BLOCK  MIMS ST","2000 MIMS ST","Fort Worth",TX,32.748508,-97.207888,1,range_interpolation,2000,"Mims St","Fort Worth",TX,"Tarrant County",76112,US
2533,"2000 BLOCK  MONTGOMERY ST","2000 MONTGOMERY ST","Fort Worth",TX,32.740455,-97.370018,1,range_interpolation,2000,"Montgomery St","Fort Worth",TX,"Tarrant County",76107,US
2534,"2000 BLOCK  MOUNTAIN HAWK DR","2000 MOUNTAIN HAWK DR","Fort Worth",TX,32.871015,-97.367011,0.8,street_center,,"Minton Rd","Fort Worth",TX,"Tarrant County",76179,US
2535,"2000 BLOCK  MUSE ST","2000 MUSE ST","Fort Worth",TX,32.749111,-97.206113,1,range_interpolation,2000,"Muse St","Fort Worth",TX,"Tarrant County",76112,US
2536,"2000 BLOCK  NAVADA WAY","2000 NAVADA WAY","Fort Worth",TX,32.834352,-97.205642,0.8,street_center,,"Nevada Trl","North Richland Hills",TX,"Tarrant County",76180,US
2537,"2000 BLOCK  NORTHEAST LOOP 820 FWY","2000 NORTHEAST LOOP 820 FREEWAY","Fort Worth",TX,32.839284,-97.32857,1,range_interpolation,2000,"NE Loop 820","Fort Worth",TX,"Tarrant County",76106,US
2538,"2000 BLOCK  NORTHWEST LOOP 820 FWY","2000 NORTHWEST LOOP 820 FREEWAY","Fort Worth",TX,32.839284,-97.32857,1,range_interpolation,2000,"NW Loop 820","Fort Worth",TX,"Tarrant County",76106,US
2539,"2000 BLOCK  NORTHWEST LOOP 820 FWY W","2000 NORTHWEST LOOP 820 FREEWAY W","Fort Worth",TX,32.839284,-97.32857,1,range_interpolation,2000,"NW Loop 820","Fort Worth",TX,"Tarrant County",76106,US
2540,"2000 BLOCK  OAK HILL RD","2000 OAK HILL RD","Fort Worth",TX,32.749678,-97.226006,1,range_interpolation,2000,"Oak Hill Rd","Fort Worth",TX,"Tarrant County",76112,US
2541,"2000 BLOCK  OAKHURST SCENIC DR","2000 OAKHURST SCENIC DR","Fort Worth",TX,32.787996,-97.319869,1,range_interpolation,2000,"Oakhurst Scenic Dr","Fort Worth",TX,"Tarrant County",76111,US
2542,"2000 BLOCK  OHIO ST","2000 OHIO ST","Fort Worth",TX,32.791958,-97.33164,0.8,street_center,,"Ohio Ave","Fort Worth",TX,"Tarrant County",76106,US
2543,"2000 BLOCK  PARK HILL DR","2000 PARK HILL DR","Fort Worth",TX,32.716156,-97.35642,0.8,street_center,,"Park Hill Dr","Fort Worth",TX,"Tarrant County",76109,US
2544,"2000 BLOCK  PARK PLACE AVE","2000 PARK PLACE AVE","Fort Worth",TX,32.725594,-97.347116,1,range_interpolation,2000,"Park Place Ave","Fort Worth",TX,"Tarrant County",76110,US
2545,"2000 BLOCK  PEARL AVE","2000 PEARL AVE","Fort Worth",TX,32.781013,-97.36256,1,range_interpolation,2000,"Pearl Ave","Fort Worth",TX,"Tarrant County",76164,US
2546,"2000 BLOCK  PEMBROKE DR","2000 PEMBROKE DR","Fort Worth",TX,32.724541,-97.347113,1,range_interpolation,2000,"Pembroke Dr","Fort Worth",TX,"Tarrant County",76110,US
2547,"2000 BLOCK  PHARR ST","2000 PHARR ST","Fort Worth",TX,32.767921,-97.317866,1,range_interpolation,2000,"Pharr St","Fort Worth",TX,"Tarrant County",76102,US
2548,"2000 BLOCK  PRAIRIE AVE","2000 PRAIRIE AVE","Fort Worth",TX,32.78103,-97.367238,1,range_interpolation,2000,"Prairie Ave","Fort Worth",TX,"Tarrant County",76164,US
2549,"2000 BLOCK  PRISCELLA DR","2000 PRISCELLA DR","Fort Worth",TX,32.854264,-97.332577,1,range_interpolation,2000,"Priscella Dr","Fort Worth",TX,"Tarrant County",76131,US
2550,"2000 BLOCK  RENNER AVE","2000 RENNER AVE","Fort Worth",TX,32.723426,-97.303665,1,range_interpolation,2000,"Renner Ave","Fort Worth",TX,"Tarrant County",76104,US
2551,"2000 BLOCK  REUNION RANCH RD","2000 REUNION RANCH RD","Fort Worth",TX,32.627743,-97.349119,1,range_interpolation,2000,"Reunion Ranch Rd","Fort Worth",TX,"Tarrant County",76134,US
2552,"2000 BLOCK  ROBERTS CUT OFF RD","2000 ROBERTS CUT OFF RD","Fort Worth",TX,32.78965,-97.400526,1,range_interpolation,2000,"Roberts Cut Off Rd","Fort Worth",TX,"Tarrant County",76114,US
2553,"2000 BLOCK  ROBINWOOD DR","2000 ROBINWOOD DR","Fort Worth",TX,32.789111,-97.296195,1,range_interpolation,2000,"Robinwood Dr","Fort Worth",TX,"Tarrant County",76111,US
2554,"2000 BLOCK  ROSS AVE","2000 ROSS AVE","Fort Worth",TX,32.78088,-97.354149,1,range_interpolation,2000,"Ross Ave","Fort Worth",TX,"Tarrant County",76106,US
2555,"2000 BLOCK  SKYLINE DR","2000 SKYLINE DR","Fort Worth",TX,32.788753,-97.398311,1,range_interpolation,2000,"Skyline Dr","Fort Worth",TX,"Tarrant County",76114,US
2556,"2000 BLOCK  SOUTHEAST LOOP 820 FWY","2000 SOUTHEAST LOOP 820 FREEWAY","Fort Worth",TX,32.668696,-97.302112,1,range_interpolation,2000,"SE Loop 820","Fort Worth",TX,"Tarrant County",76134,US
2557,"2000 BLOCK  SOUTHWEST LOOP 820 FWY","2000 SOUTHWEST LOOP 820 FREEWAY","Fort Worth",TX,32.667107,-97.350417,1,range_interpolation,2000,"SW Loop 820","Fort Worth",TX,"Tarrant County",76115,US
2558,"2000 BLOCK  STALCUP RD","2000 STALCUP RD","Fort Worth",TX,32.724724,-97.237433,1,range_interpolation,2000,"Stalcup Rd","Fort Worth",TX,"Tarrant County",76112,US
2559,"2000 BLOCK  STANDIFER ST","2000 STANDIFER ST","Fort Worth",TX,32.781558,-97.370877,1,range_interpolation,2000,"Standifer St","Fort Worth",TX,"Tarrant County",76164,US
2560,"2000 BLOCK  STATE HWY 121","2000 STATE HWY","Fort Worth",TX,32.941874,-97.131652,0.8,street_center,,"State St",Southlake,TX,"Tarrant County",76092,US
2561,"2000 BLOCK  SYCAMORE SCHOOL RD","2000 SYCAMORE SCHOOL RD","Fort Worth",TX,32.634669,-97.348618,1,range_interpolation,2000,"Sycamore School Rd","Fort Worth",TX,"Tarrant County",76134,US
2562,"2000 BLOCK  TAM O SHANTER DR","2000 TAM O SHANTER DR","Fort Worth",TX,32.780562,-97.317826,1,range_interpolation,2000,"Tam O Shanter Dr","Fort Worth",TX,"Tarrant County",76111,US
2563,"2000 BLOCK  TOPPER ST","2000 TOPPER ST","Fort Worth",TX,32.662508,-97.348354,1,range_interpolation,2000,"Topper St","Fort Worth",TX,"Tarrant County",76134,US
2564,"2000 BLOCK  TRINITY PARK DR","2000 TRINITY PARK DR","Fort Worth",TX,32.747255,-97.35242,1,range_interpolation,2000,"Trinity Park Dr","Fort Worth",TX,"Tarrant County",76107,US
2565,"2000 BLOCK  UNIVERSITY DR","2000 UNIVERSITY DR","Fort Worth",TX,32.738224,-97.361553,1,range_interpolation,2000,"University Dr","Fort Worth",TX,"Tarrant County",76107,US
2566,"2000 BLOCK  WENNECA AVE","2000 WENNECA AVE","Fort Worth",TX,32.741059,-97.347418,1,range_interpolation,2000,"Wenneca Ave","Fort Worth",TX,"Tarrant County",76102,US
2567,"2000 BLOCK  WEST FWY SR WB","2000 WEST FREEWAY SERVICE ROAD","Fort Worth",TX,32.740366,-97.347326,1,range_interpolation,2000,"West Fwy","Fort Worth",TX,"Tarrant County",76102,US
2568,"2000 BLOCK  WEST LOOP 820 NORTH","2000 WEST LOOP 820 NORTH","Fort Worth",TX,32.748828,-97.220407,0.9,range_interpolation,2000,"I- 820","Fort Worth",TX,"Tarrant County",76112,US
2569,"2000 BLOCK  WESTERN AVE","2000 WESTERN AVE","Fort Worth",TX,32.740642,-97.386378,1,range_interpolation,2000,"Western Ave","Fort Worth",TX,"Tarrant County",76107,US
2570,"2000 BLOCK  WHITE SETTLEMENT RD","2000 WHITE SETTLEMENT RD","Fort Worth",TX,32.758855,-97.349149,1,range_interpolation,2000,"White Settlement Rd","Fort Worth",TX,"Tarrant County",76107,US
2571,"2000 BLOCK  WILLIAMS PL","2000 WILLIAMS PL","Fort Worth",TX,32.788893,-97.300349,1,range_interpolation,2000,"Williams Pl","Fort Worth",TX,"Tarrant County",76111,US
2572,"2000 BLOCK  WINDSOR PL","2000 WINDSOR PL","Fort Worth",TX,32.72203,-97.34711,1,range_interpolation,2000,"Windsor Pl","Fort Worth",TX,"Tarrant County",76110,US
2573,"2000 BLOCK  WINTER HAWK DR","2000 WINTER HAWK DR","Fort Worth",TX,32.927421,-97.329526,1,range_interpolation,2000,"Winter Hawk Dr","Fort Worth",TX,"Tarrant County",76131,US
2574,"2000 BLOCK  WISEMAN AVE","2000 WISEMAN AVE","Fort Worth",TX,32.725188,-97.238582,1,range_interpolation,2000,"Wiseman Ave","Fort Worth",TX,"Tarrant County",76105,US
2575,"2000 BLOCK  WOODBERRY DR","2000 WOODBERRY DR","Fort Worth",TX,32.748417,-97.192518,1,range_interpolation,2000,"Woodberry Dr","Fort Worth",TX,"Tarrant County",76112,US
2576,"2000 BLOCK  WORLD WIDE DR","2000 WORLD WIDE DR","Fort Worth",TX,32.991546,-97.310696,0.8,street_center,,"World Wide Dr","Fort Worth",TX,"Denton County",76177,US
2577,"2000 BLOCK  YALE ST","2000 YALE ST","Fort Worth",TX,32.790858,-97.402257,1,range_interpolation,2000,"Yale St","Fort Worth",TX,"Tarrant County",76114,US
2578,"2000 BLOCK  YUCCA AVE","2000 YUCCA AVE","Fort Worth",TX,32.780562,-97.317826,1,range_interpolation,2000,"Yucca Ave","Fort Worth",TX,"Tarrant County",76111,US
2579,"2000 BLOCK D ALTAMESA BL","2000 ALTAMESA BL","Fort Worth",TX,32.648979,-97.353346,1,range_interpolation,2000,"Altamesa Blvd","Fort Worth",TX,"Tarrant County",76134,US
2580,"2000 BLOCK D BASSWOOD BL","2000 BASSWOOD BL","Fort Worth",TX,32.826788,-97.423246,0.8,street_center,,"Basswood Dr","Fort Worth",TX,"Tarrant County",76135,US
2581,"2000 BLOCK D CHAPEL CREEK BL","2000 CHAPEL CREEK BL","Fort Worth",TX,32.751911,-97.506642,0.8,street_center,,"Chapel Creek Blvd","Fort Worth",TX,"Tarrant County",76108,US
2582,"2000 BLOCK D FOREST PARK BL","2000 FOREST PARK BL","Fort Worth",TX,32.722563,-97.351846,1,range_interpolation,2000,"Forest Park Blvd","Fort Worth",TX,"Tarrant County",76110,US
2583,"2000 BLOCK D GOLDEN TRIANGLE BL","2000 GOLDEN TRIANGLE BL","Fort Worth",TX,32.922746,-97.317918,1,range_interpolation,2000,"Golden Triangle Dr","Fort Worth",TX,"Tarrant County",76177,US
2584,"2000 BLOCK D MEACHAM BL","2000 MEACHAM BL","Fort Worth",TX,32.8244,-97.310565,0.8,street_center,,"Meacham Blvd","Fort Worth",TX,"Tarrant County",76111,US
2585,"2000 BLOCK D MITCHELL BL","2000 MITCHELL BL","Fort Worth",TX,32.724232,-97.289922,1,range_interpolation,2000,"Mitchell Blvd","Fort Worth",TX,"Tarrant County",76105,US
2586,"2000 BLOCK D NOTTINGHAM BL","2000 NOTTINGHAM BL","Fort Worth",TX,32.863294,-97.385665,0.8,street_center,,"Nottingham Trl","Fort Worth",TX,"Tarrant County",76179,US
2587,"2000 BLOCK D OAKLAND BL","2000 OAKLAND BL","Fort Worth",TX,32.747998,-97.261795,0.9,range_interpolation,2000,"Oakland Blvd","Fort Worth",TX,"Tarrant County",76103,US
2588,"2000 BLOCK D RIDGMAR BL","2000 RIDGMAR BL","Fort Worth",TX,32.739879,-97.424607,0.9,range_interpolation,2000,"Ridgmar Blvd","Fort Worth",TX,"Tarrant County",76116,US
2589,"2000 BLOCK D VAUGHN BL","2000 VAUGHN BL","Fort Worth",TX,32.725205,-97.27958,1,range_interpolation,2000,"Vaughn Blvd","Fort Worth",TX,"Tarrant County",76105,US
2590,"2000 BLOCK D VICKERY BL","2000 VICKERY BL","Fort Worth",TX,32.736006,-97.300632,1,range_interpolation,2000,"E Vickery Blvd","Fort Worth",TX,"Tarrant County",76104,US
2591,"2000 BLOCK D WEILER BL","2000 WEILER BL","Fort Worth",TX,32.748953,-97.233465,1,range_interpolation,2000,"Weiler Blvd","Fort Worth",TX,"Tarrant County",76112,US
2592,"2000 BLOCK D WESTERN CENTER BL","2000 WESTERN CENTER BL","Fort Worth",TX,32.86085,-97.264597,0.8,street_center,,"Western Center Blvd","Fort Worth",TX,"Tarrant County",76148,US
2593,"2000 BLOCK D WILSHIRE BL","2000 WILSHIRE BL","Fort Worth",TX,32.71918,-97.347107,1,range_interpolation,2000,"Wilshire Blvd","Fort Worth",TX,"Tarrant County",76110,US
2594,"2000 BLOCK Y COLONIAL PK","2000 COLONIAL PK","Fort Worth",TX,32.626578,-97.277329,0.8,street_center,,"Colonial Pl","Fort Worth",TX,"Tarrant County",76140,US
2595,"2000 BLOCK Y EAGLE PK","2000 EAGLE PK","Fort Worth",TX,33.006412,-97.319342,1,range_interpolation,2000,"Eagle Pkwy","Fort Worth",TX,"Denton County",76177,US
2596,"2000 BLOCK Y EASTCHASE PK","2000 EASTCHASE PK","Fort Worth",TX,32.757015,-97.167717,0.8,street_center,,"Eastchase Pkwy","Fort Worth",TX,"Tarrant County",76120,US
2597,"2000 BLOCK Y HERITAGE TRACE PK","2000 HERITAGE TRACE PK","Fort Worth",TX,32.91546,-97.297562,0.8,street_center,,"Heritage Trace Pkwy",Keller,TX,"Tarrant County",76244,US
2598,"2000 BLOCK Y NORTHEAST PK","2000 NORTHEAST PK","Fort Worth",TX,32.837552,-97.3279,1,range_interpolation,2000,"Northeast Pkwy","Fort Worth",TX,"Tarrant County",76106,US
2599,"2000 BLOCK Y WARD PK","2000 WARD PK","Fort Worth",TX,32.71744,-97.347102,1,range_interpolation,2000,"Ward Pkwy","Fort Worth",TX,"Tarrant County",76110,US
2600,"2100 BLOCK  8TH AVE","2100 8TH AVE","Fort Worth",TX,32.721375,-97.343898,1,range_interpolation,2100,"8th Ave","Fort Worth",TX,"Tarrant County",76110,US
2601,"2100 BLOCK  AMANDA AVE","2100 AMANDA AVE","Fort Worth",TX,32.72285,-97.250123,1,range_interpolation,2100,"Amanda Ave","Fort Worth",TX,"Tarrant County",76105,US
2602,"2100 BLOCK  ANDOVER ST","2100 ANDOVER ST","Fort Worth",TX,32.791605,-97.400905,1,range_interpolation,2100,"Andover St","Fort Worth",TX,"Tarrant County",76114,US
2603,"2100 BLOCK  ANDREW AVE","2100 ANDREW AVE","Fort Worth",TX,32.724297,-97.23984,1,range_interpolation,2100,"Andrew Ave","Fort Worth",TX,"Tarrant County",76105,US
2604,"2100 BLOCK  ASH CRESCENT ST","2100 ASH CRESCENT ST","Fort Worth",TX,32.722383,-97.302746,1,range_interpolation,2100,"Ash Crescent St","Fort Worth",TX,"Tarrant County",76104,US
2605,"2100 BLOCK  ASHLAND AVE","2100 ASHLAND AVE","Fort Worth",TX,32.739333,-97.383778,1,range_interpolation,2100,"Ashland Ave","Fort Worth",TX,"Tarrant County",76107,US
2606,"2100 BLOCK  AVE C","2100 AVE C","Fort Worth",TX,32.771419,-97.291484,1,place,,,"Fort Worth",TX,"Tarrant County",76101,US
2607,"2100 BLOCK  AZLE AVE","2100 AZLE AVE","Fort Worth",TX,32.790621,-97.369529,1,range_interpolation,2100,"Azle Ave","Fort Worth",TX,"Tarrant County",76164,US
2608,"2100 BLOCK  BARBELL LN","2100 BARBELL LN","Fort Worth",TX,32.78958,-97.299506,1,range_interpolation,2100,"Barbell Ln","Fort Worth",TX,"Tarrant County",76111,US
2609,"2100 BLOCK  BEACON WAY","2100 BEACON WAY","Fort Worth",TX,32.620893,-97.293709,1,range_interpolation,2100,"Beacon Way","Fort Worth",TX,"Tarrant County",76140,US
2610,"2100 BLOCK  BENNING WAY","2100 BENNING WAY","Fort Worth",TX,32.918236,-97.330788,1,range_interpolation,2100,"Benning Way","Fort Worth",TX,"Tarrant County",76131,US
2611,"2100 BLOCK  BETHUNE ST","2100 BETHUNE ST","Fort Worth",TX,32.724297,-97.241605,1,range_interpolation,2100,"Bethune St","Fort Worth",TX,"Tarrant County",76105,US
