block_address_expanded,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total
800 EAST LOOP INTERSTATE 820,37,28,64,99,38,26,8,,,,,,300
3500 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,78,77,68,,,1,,224
2200 EAST LOOP INTERSTATE 820,22,28,38,30,40,37,15,,,,,,210
2100 EAST LOOP INTERSTATE 820,26,22,19,22,30,35,8,,,,,,162
4800 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,42,61,55,,,1,,159
3800 EAST LOOP INTERSTATE 820 820 SOUTH,21,17,7,13,15,19,11,17,,,,,120
4600 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,32,44,32,1,,1,,110
4700 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,29,36,41,1,,,,107
5500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,21,37,38,1,,2,,99
5400 EAST LOOP INTERSTATE 820 820 SOUTH,10,18,10,16,11,15,14,2,,,,,96
,15,15,13,9,7,8,4,4,4,7,7,2,95
3800 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,1,25,34,20,,,,,80
1100 EAST LOOP INTERSTATE 820,14,14,5,16,6,17,4,,,,,,76
5600 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,23,31,21,,,,,75
100 EAST LOOP INTERSTATE 820,14,7,13,12,10,2,3,,,,,,61
2100 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,,,,13,45,1,,,2,61
500 EAST LOOP INTERSTATE 820,10,9,14,8,9,10,1,,,,,,61
2100 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,24,36,,,,,60
3600 HIGHWAY,,2,1,5,13,14,13,12,,,,,60
5000 AVE G,1,3,4,9,12,13,9,9,,,,,60
3700 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,20,15,22,1,,1,,59
3300 AVE N,7,7,6,11,12,8,4,3,,,,,58
6400 EAST LOOP INTERSTATE 820 820 SOUTH,1,11,3,12,20,7,4,,,,,,58
6000 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,17,23,14,1,,,,55
6100 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,8,15,29,,,2,,54
3200 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,11,20,19,,,,,50
3500 AVE E,4,5,4,4,13,10,5,5,,,,,50
2200 EAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,,17,30,,,2,,49
2500 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,18,16,15,,,,,49
6100 EAST LOOP INTERSTATE 820 820 SOUTH,,1,6,18,9,6,7,1,,,,,48
5100 AVE G,,2,,8,14,11,6,3,,,,,44
2400 SOUTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,14,22,7,,,,,43
3500 AVE N,4,1,6,9,6,8,6,3,,,,,43
4200 AVE N,5,10,4,3,4,8,4,3,,,,,41
3700 AVE N,10,8,9,2,6,1,3,1,,,,,40
3700 EAST LOOP INTERSTATE 820 820 SOUTH,6,6,5,5,10,1,4,3,,,,,40
4000 EAST LOOP INTERSTATE 820 820 SOUTH,6,7,,6,1,10,7,2,,,,,39
500 WEST LOOP INTERSTATE 820 820 SOUTH,4,9,11,4,3,6,2,,,,,,39
1000 NORTHEAST LOOP INTERSTATE 820 820 FREEWAY,,,,,,8,12,17,,,,,37
2200 EAST LOOP INTERSTATE 820 820 SERVICE ROAD,,,,1,,,15,18,,,2,1,37
3500 WEST LOOP INTERSTATE 820 820 SOUTH,2,6,7,1,2,6,9,4,,,,,37
4100 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,1,9,13,14,,,,,37
4100 AVE N,1,13,10,3,2,3,4,,,,,,36
4700 PLAYERS PK,,,,2,,6,5,4,4,5,6,4,36
5900 SOUTHWEST LOOP INTERSTATE 820 820 FREEWAY,,,,,,11,13,11,1,,,,36
4000 AVE N,3,6,5,4,4,5,4,3,,,,,34
