Block Address,Block Address Expanded,City,State,n
0 BLOCK  HARBOUR POINT CIR,0 HARBOUR POINT CIR,Fort Worth,TX,1
100 ATHENIA DR  5000 WHITE SETTLEMENT RD,100 ATHENIA DR 5000 WHITE SETTLEMENT RD,Fort Worth,TX,1
100 BLOCK  28TH IH 35W NB RA,100 28TH INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK  AFTON RD,100 AFTON RD,Fort Worth,TX,1
100 BLOCK  ALLEN IH 35W SB RA,100 ALLEN INTERSTATE 35W,Fort Worth,TX,1
100 BLOCK  ALLIANCE GATEWAY IH RA,100 ALLIANCE GATEWAY INTERSTATE,Fort Worth,TX,1
100 BLOCK  ALTAMESA NB IH 35W N RA,100 ALTAMESA INTERSTATE 35W N,Fort Worth,TX,4
100 BLOCK  ALTAMESA NB IH 35W S RA,100 ALTAMESA INTERSTATE 35W S,Fort Worth,TX,3
100 BLOCK  ARTHUR ST,100 ARTHUR ST,Fort Worth,TX,2
100 BLOCK  AVIATION WAY,100 AVIATION WAY,Fort Worth,TX,1
100 BLOCK  AZLE NORTHWEST LOOP RA,100 AZLE NORTHWEST LOOP INTERSTATE 820,Fort Worth,TX,1
100 BLOCK  BEACH NORTHEAST LOOP RA,100 BEACH NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,1
100 BLOCK  BEACH NORTHEAST LOOP RAMP,100 BEACH NORTHEAST LOOP INTERSTATE 820,Fort Worth,TX,5
100 BLOCK  BEACH ST,100 BEACH ST,Fort Worth,TX,5
100 BLOCK  BOOTH CALLOWAY,100 BOOTH CALLOWAY,Fort Worth,TX,1
100 BLOCK  BOOTH CALLOWAY RD,100 BOOTH CALLOWAY RD,Fort Worth,TX,1
100 BLOCK  BRYANT IRVIN IH 30 W RA,100 BRYANT IRVIN INTERSTATE 30 W,Fort Worth,TX,1
100 BLOCK  BURTON HILL RD,100 BURTON HILL RD,Fort Worth,TX,1
100 BLOCK  CALHOUN ST,100 CALHOUN ST,Fort Worth,TX,2
100 BLOCK  CAMP BOWIE W W LOOP RAMP,100 CAMP BOWIE W W LOOP,Fort Worth,TX,1
100 BLOCK  CHAPIN WEST LOOP 820,100 CHAPIN WEST LOOP INTERSTATE 820,Fort Worth,TX,1
100 BLOCK  CHAPIN WEST LOOP 820 RA,100 CHAPIN WEST LOOP INTERSTATE 820 820,Fort Worth,TX,1
100 BLOCK  CLIFFORD WEST LOOP 8 RAMP,100 CLIFFORD WEST LOOP INTERSTATE 820 8,Fort Worth,TX,1
