id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
1,11600 E US HIGHWAY 40,KANSAS CITY,MO,64133,No_Match,,,,,,,,,
2,3700 BROADWAY BOULEVARD,KANSAS CITY,MO,64111,Match,Non_Exact,3700 Broadway St,KANSAS CITY,MO,64111,-94.59054,39.06122,91447334,R
3,8500 STATE LINE ROAD,KANSAS CITY,MO,64114,No_Match,,,,,,,,,
4,3800 BROADWAY BOULEVARD,KANSAS CITY,MO,64111,Match,Non_Exact,3800 Broadway St,KANSAS CITY,MO,64111,-94.59072,39.0579,91447360,R
5,14500 S US HIGHWAY 71,KANSAS CITY,MO,64147,Match,Exact,14500 US Hwy 71,KANSAS CITY,MO,64147,-94.52718,38.86255,91524016,R
6,9200 NE MO 152 HIGHWAY,KANSAS CITY,MO,64157,No_Match,,,,,,,,,
7,4300 NE CHOUTEAU TRAFFICWAY,KANSAS CITY,MO,64117,Match,Exact,4300 NE Chouteau Trfy,KANSAS CITY,MO,64117,-94.533134,39.17069,89785808,L
8,MILL STREET and WESTPORT ROAD,KANSAS CITY,MO,64111,Match,Exact,Mill St & Westport Rd,KANSAS CITY,MO,64111,-94.59226,39.05247,"",""
800,10700 STATE LINE ROAD,KANSAS CITY,MO,64114,No_Match,,,,,,,,,
9,100 ARROWHEAD DR,KANSAS CITY,MO,64129,No_Match,,,,,,,,,
801,1100 E 117 STREET,KANSAS CITY,MO,64131,Match,Exact,1100 E 117 St,KANSAS CITY,MO,64131,-94.57951,38.914597,91507540,R
802,13000 STATE LINE ROAD,KANSAS CITY,MO,64145,No_Match,,,,,,,,,
803,1400 VAN BRUNT BOULEVARD,KANSAS CITY,MO,64127,Match,Exact,1400 Van Brunt Blvd,KANSAS CITY,MO,64127,-94.523315,39.09548,91529437,R
804,1500 CITADEL DR,KANSAS CITY,MO,64110,Match,Exact,1500 Citadel Dr,KANSAS CITY,MO,64110,-94.56849,39.01642,624765997,L
805,1500 CITADEL DR,KANSAS CITY,MO,64130,Match,Non_Exact,1500 Citadel Dr,KANSAS CITY,MO,64110,-94.56849,39.01642,624765997,L
806,1700 E TRUMAN ROAD,KANSAS CITY,MO,64108,No_Match,,,,,,,,,
807,1700 INDEPENDENCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,1700 Independence Ave,KANSAS CITY,MO,64106,-94.560745,39.10668,91448817,L
808,200 E ARMOUR BOULEVARD,KANSAS CITY,MO,64109,Match,Non_Exact,200 E Armour Blvd,KANSAS CITY,MO,64111,-94.583275,39.063713,91447438,L
809,2400 GILLHAM STREET,KANSAS CITY,MO,64110,No_Match,,,,,,,,,
1000,E 26 STREET and PROSPECT AVENUE,KANSAS CITY,MO,64127,Match,Exact,E 26th St & Prospect Ave,KANSAS CITY,MO,64127,-94.5524,39.078907,"",""
810,2700 BALES AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,2700 Bales Ave,KANSAS CITY,MO,64128,-94.542145,39.07665,91450232,R
811,2800 E 12 STREET,KANSAS CITY,MO,64126,Match,Non_Exact,2800 E 12 St,KANSAS CITY,MO,64127,-94.549194,39.09879,91449355,L
812,3100 POPLAR AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,3100 Poplar Ave,KANSAS CITY,MO,64128,-94.52679,39.068954,91451556,R
813,3400 BELLEFONTAINE AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3400 Bellefontaine Ave,KANSAS CITY,MO,64128,-94.54743,39.064175,91452062,R
814,3500 BENTON BOULEVARD,KANSAS CITY,MO,64127,Match,Non_Exact,3500 Benton Blvd,KANSAS CITY,MO,64128,-94.54637,39.062325,91452119,R
815,3600 CLEVELAND AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3600 Cleveland Ave,KANSAS CITY,MO,64128,-94.5395,39.06035,91452864,R
816,3700 E GREGORY BOULEVARD,KANSAS CITY,MO,64131,Match,Non_Exact,3700 E Gregory Blvd,KANSAS CITY,MO,64132,-94.54364,38.998062,91456989,L
817,4100 BELLEFONTAINE AVENUE,KANSAS CITY,MO,64128,Match,Non_Exact,4100 Bellefontaine Ave,KANSAS CITY,MO,64130,-94.54812,39.051537,91452218,R
818,4400 N WINN ROAD,KANSAS CITY,MO,64118,No_Match,,,,,,,,,
819,4600 WARWICK BOULEVARD,KANSAS CITY,MO,64111,Match,Non_Exact,4600 Warwick Blvd,KANSAS CITY,MO,64112,-94.58317,39.04323,91519226,R
820,5500 PARK AVENUE,KANSAS CITY,MO,64131,Match,Non_Exact,5500 Park Ave,KANSAS CITY,MO,64130,-94.5587,39.026573,91452540,R
821,5500 WOODLAND AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,5500 Woodland Ave,KANSAS CITY,MO,64110,-94.564514,39.02677,91452475,R
822,600 E LINWOOD BOULEVARD,KANSAS CITY,MO,64111,Match,Non_Exact,600 E Linwood Blvd,KANSAS CITY,MO,64109,-94.57774,39.068924,91446367,L
823,6400 PASEO,KANSAS CITY,MO,64130,Tie,,,,,,,,,
824,700 PASEO,KANSAS CITY,MO,64108,Match,Non_Exact,700 The Paseo,KANSAS CITY,MO,64106,-94.56371,39.10522,91448804,R
825,7100 NW BARRY ROAD,KANSAS CITY,MO,64154,Match,Non_Exact,7100 NW Barry Rd,KANSAS CITY,MO,64153,-94.661896,39.246918,624516748,R
826,7100 NW CHAPEL WOODS CI,KANSAS CITY,MO,64152,Match,Non_Exact,7100 NW Chapel Woods Ln,KANSAS CITY,MO,64152,-94.66331,39.222782,39706685,L
827,7400 E 118 TERRACE,KANSAS CITY,MO,64134,Match,Exact,7400 E 118 Ter,KANSAS CITY,MO,64134,-94.50567,38.908806,91477502,L
828,7600 E 112 TERRACE,KANSAS CITY,MO,64134,Match,Exact,7600 E 112 Ter,KANSAS CITY,MO,64134,-94.50202,38.92124,91466256,L
829,7700 E 107 STREET,KANSAS CITY,MO,64134,Match,Exact,7700 E 107 St,KANSAS CITY,MO,64134,-94.50036,38.930256,91466170,L
830,8000 E 118 TERRACE,KANSAS CITY,MO,64134,Match,Exact,8000 E 118 Ter,KANSAS CITY,MO,64134,-94.49889,38.908016,91477689,L
831,8000 PASEO,KANSAS CITY,MO,64132,No_Match,,,,,,,,,
832,8500 HOLMES ROAD,KANSAS CITY,MO,64114,Match,Non_Exact,8500 Holmes Rd,KANSAS CITY,MO,64131,-94.5812,38.9737,91455226,R
833,8500 N EVANSTON AVENUE,KANSAS CITY,MO,64158,Match,Non_Exact,8500 Evanston Ave,KANSAS CITY,MO,64138,-94.46932,38.969185,91465656,R
834,8600 E 61 TERRACE,KANSAS CITY,MO,64130,Match,Non_Exact,8600 E 61 Ter,KANSAS CITY,MO,64129,-94.48751,39.012817,91539737,L
835,8600 E 62 STREET,KANSAS CITY,MO,64133,Match,Non_Exact,8600 E 62 St,KANSAS CITY,MO,64129,-94.48731,39.01258,91526636,L
836,8800 BLUE RIDGE BOULEVARD,KANSAS CITY,MO,64134,Match,Non_Exact,8800 Blue Ridge Blvd,KANSAS CITY,MO,64138,-94.498695,38.963936,91464826,R
837,8800 E US HIGHWAY 40,KANSAS CITY,MO,64129,Match,Exact,8800 US Hwy 40,KANSAS CITY,MO,64129,-94.47963,39.062843,91460426,L
838,9200 BLUE RIDGE BOULEVARD,KANSAS CITY,MO,64134,Match,Non_Exact,9200 Blue Ridge Blvd,KANSAS CITY,MO,64138,-94.50317,38.95765,91465718,R
839,9700 HOLMES ROAD,KANSAS CITY,MO,64114,Match,Non_Exact,9700 Holmes Rd,KANSAS CITY,MO,64131,-94.58219,38.95181,91494112,R
840,BELLAIRE AVENUE and STREET JOHN AVENUE,KANSAS CITY,MO,64123,No_Match,,,,,,,,,
841,BENTON BOULEVARD and STREET JOHN AVENUE,KANSAS CITY,MO,64123,No_Match,,,,,,,,,
600,8300 N BOOTH AVENUE,KANSAS CITY,MO,64158,Match,Non_Exact,8300 Booth Ave,KANSAS CITY,MO,64138,-94.488335,38.97343,91465332,R
842,BLUE RIDGE COURT and I 70 HIGHWAY,KANSAS CITY,MO,64129,No_Match,,,,,,,,,
601,8500 E 108 TERRACE,KANSAS CITY,MO,64134,Match,Exact,8500 E 108 Ter,KANSAS CITY,MO,64134,-94.49224,38.926785,91491743,L
843,BLUE RIDGE COURT and RAYTOWN ROAD,KANSAS CITY,MO,64129,Match,Non_Exact,Blue Ridge Cutoff & Raytown Rd,KANSAS CITY,MO,64133,-94.47635,39.03681,"",""
602,8500 E 110 TERRACE,KANSAS CITY,MO,64134,Match,Exact,8500 E 110 Ter,KANSAS CITY,MO,64134,-94.4937,38.92289,91466309,L
844,BROADWAY BOULEVARD and SOUTHWEST BOULEVARD,KANSAS CITY,MO,64108,No_Match,,,,,,,,,
