address_string,n,coords,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64133",2849,,39.045196,-94.443184,0.7,nearest_rooftop_match,11601,"E US 40 Hwy","Kansas City",MO,"Jackson County",64133,US,Jackson
"8500 STATE LINE ROAD, KANSAS CITY, MO, 64114",246,,38.974543,-94.60873,1,rooftop,8500,"State Line Rd","Kansas City",MO,,64114,US,"City of Olathe"
"9200 NE MO 152 HIGHWAY, KANSAS CITY, MO, 64157",199,,39.245528,-94.464533,1,rooftop,9200,"E M 152 Hwy","Kansas City",MO,"Clay County",64157,US,"City of Kansas City"
"100 ARROWHEAD DR, KANSAS CITY, MO, 64129",191,,39.051623,-94.492698,0.6,nearest_rooftop_match,1,"Arrowhead Dr","Kansas City",MO,"Jackson County",64129,US,Jackson
"100 ROYAL WAY, KANSAS CITY, MO, 64129",187,,39.049693,-94.478258,0.7,nearest_rooftop_match,101,"Royal Way","Kansas City",MO,"Jackson County",64129,US,"City of Kansas City"
"14400 S US HIGHWAY 71 , KANSAS CITY, MO, 64147",97,,38.862577,-94.529691,0.8,nearest_rooftop_match,14410,"US 71 Hwy","Kansas City",MO,"Jackson County",64147,US,"City of Kansas City"
"100 WORLDS OF FUN AVENUE, KANSAS CITY, MO, 64161",82,,39.166079,-94.463954,0.33,place,,,"Kansas City",MO,"Clay County",64161,US,"TIGER/Line® dataset from the US Census Bureau"
"100 ARROWHEAD DR, KANSAS CITY, MO, 64133",81,,39.051623,-94.492698,0.5,nearest_rooftop_match,1,"Arrowhead Dr","Kansas City",MO,"Jackson County",64129,US,Jackson
"4300 N CORRINGTON AVENUE, KANSAS CITY, MO, 64119",63,,39.171503,-94.497351,0.9,rooftop,4300,"N Corrington Ave","Kansas City",MO,"Clay County",64117,US,"City of Kansas City"
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130",61,,39.062627,-94.553203,0.9,intersection,,"E 35th St","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
"200 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64112",55,,39.042429,-94.585396,0.8,nearest_rooftop_match,210,"Emanuel Cleaver Ii Blvd","Kansas City",MO,"Jackson County",64112,US,Jackson
"5100 BLUE RIDGE COURT, KANSAS CITY, MO, 64129",53,,39.030594,-94.481173,0.8,rooftop,5100,"Blue Ridge Ctof","Kansas City",MO,"Jackson County",64133,US,"City of Kansas City"
"9700 MARION PARK DR, KANSAS CITY, MO, 64138",51,,38.9499,-94.527694,0.7,nearest_rooftop_match,9680,"Marion Park Dr","Kansas City",MO,"Jackson County",64137,US,"City of Kansas City"
"E 27 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127",51,,39.076063,-94.520262,1,intersection,,"E 27th St","Kansas City",MO,"Jackson County",64127,US,"TIGER/Line® dataset from the US Census Bureau"
"8500 N CHURCH ROAD, KANSAS CITY, MO, 64158",50,,39.246395,-94.458785,1,rooftop,8500,"N Church Rd","Kansas City",MO,"Clay County",64158,US,"City of Kansas City"
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",50,,39.062627,-94.553203,0.9,intersection,,"E 35th St","Kansas City",MO,"Jackson County",64128,US,"TIGER/Line® dataset from the US Census Bureau"
