address_string,n,coords,google_lat,google_lon,centroid
"11600 E US HIGHWAY 40, KANSAS CITY, MO, 64133",1524,"39.0449818,-94.4427672",39.0449818,-94.4427672,FALSE
"100 ROYAL WAY, KANSAS CITY, MO, 64129",119,"39.0421289,-94.4763204",39.0421289,-94.4763204,FALSE
"8500 STATE LINE ROAD, KANSAS CITY, MO, 64114",117,"38.9741907,-94.6071373",38.9741907,-94.6071373,FALSE
"100 ARROWHEAD DR, KANSAS CITY, MO, 64129",99,"39.0469707,-94.4841774",39.0469707,-94.4841774,FALSE
"9200 NE MO 152 HIGHWAY, KANSAS CITY, MO, 64157",60,"39.2449973,-94.4697112",39.2449973,-94.4697112,FALSE
"14400 S US HIGHWAY 71 , KANSAS CITY, MO, 64147",56,"38.8642257,-94.5279221",38.8642257,-94.5279221,FALSE
"100 ARROWHEAD DR, KANSAS CITY, MO, 64133",49,"39.0469707,-94.4841774",39.0469707,-94.4841774,FALSE
"100 ROYAL WAY, KANSAS CITY, MO, 64133",39,"39.0421289,-94.4763204",39.0421289,-94.4763204,FALSE
"9700 MARION PARK DR, KANSAS CITY, MO, 64138",38,"38.9493698,-94.5359202",38.9493698,-94.5359202,FALSE
"8500 N CHURCH ROAD, KANSAS CITY, MO, 64158",34,"39.246495,-94.4588529",39.246495,-94.4588529,FALSE
"8000 E TRUMAN ROAD, KANSAS CITY, MO, 64127",33,"39.0931073,-94.488398",39.0931073,-94.488398,FALSE
"PROSPECT AVENUE and SWOPE PK, KANSAS CITY, MO, 64130",31,"39.0388375,-94.5544759",39.0388375,-94.5544759,FALSE
"100 WORLDS OF FUN AVENUE, KANSAS CITY, MO, 64161",29,"39.1767262,-94.4867155",39.1767262,-94.4867155,FALSE
"6200 E TRUMAN ROAD, KANSAS CITY, MO, 64127",29,"39.0940778,-94.5099603",39.0940778,-94.5099603,FALSE
"7900 STATE LINE ROAD, KANSAS CITY, MO, 64114",28,"38.9856201,-94.608084",38.9856201,-94.608084,FALSE
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130",26,"39.0626386,-94.5532024",39.0626386,-94.5532024,FALSE
"BENTON BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",25,"39.1060927,-94.5443302",39.1060927,-94.5443302,FALSE
"E 55 STREET and PASEO, KANSAS CITY, MO, 64130",25,"39.0253767,-94.5220869",39.0253767,-94.5220869,FALSE
"INDEPENDENCE AVENUE and INDIANA AVENUE, KANSAS CITY, MO, 64124",25,"39.1060098,-94.5418168",39.1060098,-94.5418168,FALSE
"INDEPENDENCE AVENUE and PROSPECT AVENUE, KANSAS CITY, MO, 64123",25,"39.1063217,-94.55106",39.1063217,-94.55106,FALSE
"8500 WINNER ROAD, KANSAS CITY, MO, 64127",24,"39.107367,-94.4829636",39.107367,-94.4829636,FALSE
"E 35 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127",24,"39.0626386,-94.5532024",39.0626386,-94.5532024,FALSE
"INDEPENDENCE AVENUE and PASEO, KANSAS CITY, MO, 64106",24,"39.1067631,-94.563423",39.1067631,-94.563423,FALSE
"6600 E TRUMAN ROAD, KANSAS CITY, MO, 64127",23,"39.0939627,-94.5051677",39.0939627,-94.5051677,FALSE
"7100 NW 86 TERRACE, KANSAS CITY, MO, 64152",23,"39.2511544,-94.662434",39.2511544,-94.662434,FALSE
"E 27 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127",23,"39.0760797,-94.5205403",39.0760797,-94.5205403,FALSE
"47 and JC NICHOLS PKWY, KANSAS CITY, MO, 64111",22,"39.0421455,-94.5880325",39.0421455,-94.5880325,FALSE
