id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
338,2800 E 12 STREET,KANSAS CITY,MO,64126,Match,Non_Exact,2800 E 12 St,KANSAS CITY,MO,64127,-94.549194,39.09879,91449355,L
339,3600 CLEVELAND AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3600 Cleveland Ave,KANSAS CITY,MO,64128,-94.5395,39.06035,91452864,R
941,I 35 N TO NE VIVION RA and NE VIVION ROAD,KANSAS CITY,MO,"",No_Match,,,,,,,,,
942,I 70 HIGHWAY ON RA and PASEO,KANSAS CITY,MO,64106,No_Match,,,,,,,,,
940,I 35 HIGHWAY and NE VIVION ROAD,KANSAS CITY,MO,64119,No_Match,,,,,,,,,
945,INDEPENDENCE AVENUE and OLIVE STREET,KANSAS CITY,MO,64127,Tie,,,,,,,,,
332,10600 STATE LINE ROAD,KANSAS CITY,MO,64114,No_Match,,,,,,,,,
946,INDIANA AVENUE and E LINWOOD BOULEVARD,KANSAS CITY,MO,64128,Match,Exact,Indiana Ave & E Linwood Blvd,KANSAS CITY,MO,64128,-94.543724,39.067738,"",""
333,11600 E US HIGHWAY 40,KANSAS CITY,MO,64132,No_Match,,,,,,,,,
943,INDEPENDENCE AVENUE and INDIANA AVENUE,KANSAS CITY,MO,64123,Tie,,,,,,,,,
330,100 VAN BRUNT BOULEVARD,KANSAS CITY,MO,64123,Match,Exact,100 Van Brunt Blvd,KANSAS CITY,MO,64123,-94.52569,39.11261,91450691,R
331,100 WARD PK N,KANSAS CITY,MO,64112,No_Match,,,,,,,,,
944,INDEPENDENCE AVENUE and INDIANA AVENUE,KANSAS CITY,MO,64127,Tie,,,,,,,,,
336,2000 BROADWAY BOULEVARD,KANSAS CITY,MO,64106,No_Match,,,,,,,,,
949,LONGVIEW ROAD and US HIGHWAY 71,KANSAS CITY,MO,64134,Tie,,,,,,,,,
337,2600 INDEPENDENCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,2600 Independence Ave,KANSAS CITY,MO,64124,-94.55116,39.10632,91483592,L
334,1500 EMANUEL CLEAVER II BOULEVARD,KANSAS CITY,MO,64110,No_Match,,,,,,,,,
947,INDIANA AVENUE and E MEYER BOULEVARD,KANSAS CITY,MO,64132,Tie,,,,,,,,,
335,1700 INDEPENDENCE AVENUE,KANSAS CITY,MO,64123,Match,Non_Exact,1700 Independence Ave,KANSAS CITY,MO,64106,-94.560745,39.10668,91448817,L
948,LAWNDALE AVENUE and E TRUMAN ROAD,KANSAS CITY,MO,64126,No_Match,,,,,,,,,
748,100 NW 101 TERRACE,KANSAS CITY,MO,64155,Match,Exact,100 NW 101 Ter,KANSAS CITY,MO,64155,-94.58048,39.27712,89754019,R
531,2700 CAMPBELL STREET,KANSAS CITY,MO,64108,Match,Non_Exact,2700 Campbell St,KANSAS CITY,MO,64109,-94.57368,39.07775,91446342,R
747,100 N PROSPECT STREET,KEARNEY,MO,"",Match,Exact,100 N Prospect St,KEARNEY,MO,64060,-94.35869,39.373024,89784967,L
530,2500 NE VIVION ROAD,KANSAS CITY,MO,64119,Match,Non_Exact,2500 NE Vivion Rd,KANSAS CITY,MO,64118,-94.54935,39.18592,89785789,L
746,100 EMANUEL CLEAVER II BOULEVARD,KANSAS CITY,MO,64112,No_Match,,,,,,,,,
745,100 E PERSHING ROAD,KANSAS CITY,MO,64106,Match,Non_Exact,100 E Pershing Rd,KANSAS CITY,MO,64108,-94.58288,39.084393,91445936,L
535,3400 NORTON AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3400 Norton Ave,KANSAS CITY,MO,64128,-94.53588,39.063797,91527642,R
534,3400 BELLEFONTAINE AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3400 Bellefontaine Ave,KANSAS CITY,MO,64128,-94.54743,39.064175,91452062,R
533,3200 AGNES AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3200 Agnes Ave,KANSAS CITY,MO,64128,-94.54833,39.06781,91450212,R
532,2800 POPLAR AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,2800 Poplar Ave,KANSAS CITY,MO,64128,-94.5264,39.074345,91451515,R
749,100 W 132 STREET,KANSAS CITY,MO,64145,Match,Exact,100 W 132 St,KANSAS CITY,MO,64145,-94.596596,38.888966,91530961,R
539,3800 AGNES AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3800 Agnes Ave,KANSAS CITY,MO,64128,-94.54892,39.056988,91452101,R
740,W 39 STREET and BALTIMORE AVENUE,KANSAS CITY,MO,64111,Match,Exact,W 39 St & Baltimore Ave,KANSAS CITY,MO,64111,-94.58731,39.056618,"",""
538,3700 AGNES AVENUE,KANSAS CITY,MO,64130,Match,Non_Exact,3700 Agnes Ave,KANSAS CITY,MO,64128,-94.54882,39.0588,91452097,R
537,3600 BROADWAY BOULEVARD,KANSAS CITY,MO,64110,No_Match,,,,,,,,,
536,3500 ELMWOOD AVENUE,KANSAS CITY,MO,64127,Match,Non_Exact,3500 Elmwood Ave,KANSAS CITY,MO,64128,-94.53016,39.061813,91452937,R
744,100 E GREGORY BOULEVARD,KANSAS CITY,MO,64114,Match,Exact,100 E Gregory Blvd,KANSAS CITY,MO,64114,-94.58792,38.999374,91454638,L
