12001, E 97 TERRACE and VIEW HIGH DR, KANSAS CITY, MO, 64139
12002, E 98 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64134
12003, E 98 STREET and VIEW HIGH DR, KANSAS CITY, MO, 64138
12004, E 98 TERRACE and HILLCREST ROAD, KANSAS CITY, MO, 64137
12005, E 99 STREET and BENNINGTON AVENUE, KANSAS CITY, MO, 64137
12006, E 99 STREET and HOLMES ROAD, KANSAS CITY, MO, 64110
12007, E 99 STREET and HOLMES ROAD, KANSAS CITY, MO, 64114
12008, E 99 STREET and HOLMES ROAD, KANSAS CITY, MO, 64145
12009, E 99 STREET and JAMES A REED ROAD, KANSAS CITY, MO, 64138
12010, E 99 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64131
12011, E 99 STREET and NEWTON AVENUE, KANSAS CITY, MO, 64136
12012, E 99 STREET and OAKDELL DR, KANSAS CITY, MO, 64138
12013, E 99 STREET and WHEELING AVENUE, KANSAS CITY, MO, 64134
12014, E 9TH STREET and BENTON BLV, KANSAS CITY, MO, 64124
12015, E 9TH STREET and HARRISON, KANSAS CITY, MO, 64108
12016, E 9TH STREET and INDIANA AVENUE, KANSAS CITY, MO, 64123
12017, E 9TH STREET/ PROSPECT AVE, KANSAS CITY, MO, 64123
12018, E 9TH STREET/BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64124
12019, E ARMOUR BLVD and GILLHAM ROAD, KANSAS CITY, MO, 64109
12020, E ARMOUR BLVD and HARRISON STREET, KANSAS CITY, MO, 64109
12021, E ARMOUR BOULEVARD and CAMPBELL STREET, KANSAS CITY, MO, 64110
12022, E ARMOUR BOULEVARD and CHERRY STREET, KANSAS CITY, MO,
12023, E ARMOUR BOULEVARD and CHERRY STREET, KANSAS CITY, MO, 64111
12024, E ARMOUR BOULEVARD and FOREST AVENUE, KANSAS CITY, MO, 64106
12025, E ARMOUR BOULEVARD and GILLHAM ROAD, KANSAS CITY, MO, 64106
12026, E ARMOUR BOULEVARD and GILLHAM ROAD, KANSAS CITY, MO, 64110
12027, E ARMOUR BOULEVARD and HARRISON BOULEVARD, KANSAS CITY, MO, 64128
12028, E ARMOUR BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64110
12029, E ARMOUR BOULEVARD and HOLMES STREET, KANSAS CITY, MO, 64114
12030, E ARMOUR BOULEVARD and KENWOOD AVENUE, KANSAS CITY, MO,
12031, E ARMOUR BOULEVARD and KENWOOD AVENUE, KANSAS CITY, MO, 64111
12032, E ARMOUR BOULEVARD and LOCUST STREET, KANSAS CITY, MO, 64019
12033, E ARMOUR BOULEVARD and LOCUST STREET, KANSAS CITY, MO, 64106
12034, E ARMOUR BOULEVARD and LOCUST STREET, KANSAS CITY, MO, 64112
12035, E ARMOUR BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64124
12036, E ARMOUR BOULEVARD and PASEO, KANSAS CITY, MO, 64109
12037, E ARMOUR BOULEVARD and TRACY AVENUE, KANSAS CITY, MO, 64111
12038, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64106
12039, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64111
12040, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64112
12041, E ARMOUR BOULEVARD and WARWICK BOULEVARD, KANSAS CITY, MO,
12042, E ARMOUR BOULEVARD and WARWICK BOULEVARD, KANSAS CITY, MO, 64109
12043, E BANNISTER ROAD and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64137
12044, E BANNISTER ROAD and BLUE RIVER ROAD, KANSAS CITY, MO, 64134
12045, E BANNISTER ROAD and CHARLOTTE STREET, KANSAS CITY, MO, 64131
12046, E BANNISTER ROAD and DRURY AVENUE, KANSAS CITY, MO,
12047, E BANNISTER ROAD and EASTERN AVENUE, KANSAS CITY, MO, 64134
12048, E BANNISTER ROAD and ELM AVENUE, KANSAS CITY, MO, 64134
12049, E BANNISTER ROAD and GRANDVIEW ROAD, KANSAS CITY, MO, 64134
12050, E BANNISTER ROAD and HILLCREST ROAD, KANSAS CITY, MO, 64137
12051, E BANNISTER ROAD and HOCKER AVENUE, KANSAS CITY, MO, 64138
12052, E BANNISTER ROAD and HOLMES ROAD, KANSAS CITY, MO, 64114
12053, E BANNISTER ROAD and HOLMES ROAD, KANSAS CITY, MO, 64132
12054, E BANNISTER ROAD and I 435 S TO BANNISTER RA, KANSAS CITY, MO, 64134
12055, E BANNISTER ROAD and JAMES A REED ROAD, KANSAS CITY, MO,
12056, E BANNISTER ROAD and LEWIS AVENUE, KANSAS CITY, MO, 64134
12057, E BANNISTER ROAD and MARION RIDGE DR, KANSAS CITY, MO, 64138
12058, E BANNISTER ROAD and NEWTON AVENUE, KANSAS CITY, MO, 64134
12059, E BANNISTER ROAD and NEWTON DR, KANSAS CITY, MO, 64134
12060, E BANNISTER ROAD and PRYOR ROAD, KANSAS CITY, MO,
12061, E BANNISTER ROAD and RAYTOWN ROAD, KANSAS CITY, MO, 64138
12062, E BANNISTER ROAD and STUBBS ROAD, KANSAS CITY, MO, 64134
12063, E BANNISTER ROAD and US HIGHWAY 71 OFF RA, KANSAS CITY, MO, 64134
12064, E BANNISTER ROAD and US HIGHWAY 71 ON RA, KANSAS CITY, MO, 64128
12065, E BANNISTER ROAD and US HIGHWAY 71 ON RA, KANSAS CITY, MO, 64132
12066, E BLUE RIDGE BOULEVARD and HOLMES ROAD, KANSAS CITY, MO, 64145
12067, E COAL MINE ROAD and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64127
12068, E CONCORD AVENUE and MAIN STREET, KANSAS CITY, MO, 64130
12069, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO,
12070, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64109
12071, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64124
12072, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64125
12073, E FRONT STREET and N JACKSON AVENUE, KANSAS CITY, MO,
12074, E FRONT STREET and UNIVERSAL AVENUE, KANSAS CITY, MO, 64119
12075, E FRONT STREET and UNIVERSAL AVENUE, KANSAS CITY, MO, 64120
12076, E GREGORY BLVD and I 435 HIGHWAY, KANSAS CITY, MO, 64133
12077, E GREGORY BLVD and PROSPECT AVE, KANSAS CITY, MO, 64130
12078, E GREGORY BOULEVARD and HARECLIFF DR, KANSAS CITY, MO, 64133
12079, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64138
