13001, SPRUCE AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
13002, STADIUM DR and E US HIGHWAY 40, KANSAS CITY, MO, 64133
13003, STATELINE and W 88TH, KANSAS CITY, MO, 64114
13004, STERLING and 40HWY, KANSAS CITY, MO,
13005, STREET JOHN AVENUE and N TOPPING AVENUE, KANSAS CITY, MO,
13006, STREET JOHN AVENUE and N WHITE AVENUE, KANSAS CITY, MO, 64123
13007, STREET JOHN AVENUE and WABASH AVENUE, KANSAS CITY, MO, 64127
13008, STREET JOHN AVENUE and WHEELING AVENUE, KANSAS CITY, MO, 64124
13009, SUMMIT STREET and WARD PK N, KANSAS CITY, MO, 64110
13010, SWOPE PK and SWOPE PARKWAY OFF RA, KANSAS CITY, MO, 64132
13011, THOMPSON AVENUE and WALLACE AVENUE, KANSAS CITY, MO, 64125
13012, TIFFANY SPRINGS and I-29, KANSAS CITY, MO, 64154
13013, TOPPING AVENUE and E TRUMAN ROAD, KANSAS CITY, MO,
13014, TOPPING AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
13015, TROOST AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64106
13016, TROOST AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64109
13017, TROOST AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64118
13018, TROOST AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64128
13019, TROOST AVENUE and VOLKER BOULEVARD, KANSAS CITY, MO, 64111
13020, TULLIS AVENUE and WINNER ROAD, KANSAS CITY, MO, 64125
13021, U00, KANSAS CITY, MO, 64106
13022, UNKNWON, KANSAS CITY, MO,
13023, US HIGHWAY 71 and US HIGHWAY 71 ON RA, KANSAS CITY, MO, 64153
13024, VALENTINE and WASHINGTON, KANSAS CITY, MO, 64109
13025, VALENTINE ROAD and WYOMING STREET, KANSAS CITY, MO, 64111
13026, VINEYARD ROAD and VINEYARD DR, KANSAS CITY, MO, 64130
13027, W 10 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64110
13028, W 10 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64123
13029, W 10 STREET and CENTRAL STREET, KANSAS CITY, MO, 64106
