1001, 3200 BRIGHTON AVENUE, KANSAS CITY, MO, 64130
1002, 3300 BALES AVENUE, KANSAS CITY, MO, 64130
1003, 3300 PARK AVENUE, KANSAS CITY, MO, 64127
1004, 3400 MERSINGTON AVENUE, KANSAS CITY, MO, 64130
1005, 3400 PROSPECT AVENUE, KANSAS CITY, MO, 64130
1006, 3700 WASHINGTON AVENUE, KANSAS CITY, MO, 64111
1007, 3800 TRACY AVENUE, KANSAS CITY, MO, 64110
1008, 4100 WABASH AVENUE, KANSAS CITY, MO, 64128
1009, 4200 HARRISON STREET, KANSAS CITY, MO, 64109
1010, 4200 N NEWTON AVENUE, KANSAS CITY, MO, 64117
1011, 4300 NW 79 TERRACE, KANSAS CITY, MO, 64118
1012, 4400 AGNES AVENUE, KANSAS CITY, MO, 64132
1013, 4400 FLORA AVENUE, KANSAS CITY, MO, 64109
1014, 4400 MONTGALL AVENUE, KANSAS CITY, MO, 64128
1015, 4400 N WINN ROAD, KANSAS CITY, MO, 64118
1016, 4500 COLONIAL TERRACE, KANSAS CITY, MO, 64129
1017, 4500 E 39 STREET, KANSAS CITY, MO, 64130
1018, 4500 N WINN ROAD, KANSAS CITY, MO, 64117
1019, 4600 E TRUMAN ROAD, KANSAS CITY, MO, 64126
1020, 4600 HARRISON STREET, KANSAS CITY, MO, 64109
1021, 4600 SUMMIT STREET, KANSAS CITY, MO, 64111
1022, 4700 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1023, 4700 N ANTIOCH ROAD, KANSAS CITY, MO, 64117
1024, 4700 PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
1025, 4900 MAIN STREET, KANSAS CITY, MO, 64105
1026, 500 NW BARRY ROAD, KANSAS CITY, MO, 64118
1027, 500 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124
1028, 5000 BLUE RIDGE COURT, KANSAS CITY, MO,
1029, 501-509 NW BARRY ROAD, KANSAS CITY, MO, 64118
1030, 5100 THOMPSON AVENUE, KANSAS CITY, MO, 64123
1031, 5400 GARFIELD AVENUE, KANSAS CITY, MO, 64131
1032, 5600 WOODLAND AVENUE, KANSAS CITY, MO, 64130
1033, 5900 SWOPE PK, KANSAS CITY, MO, 64132
1034, 600 W 101 TERRACE, KANSAS CITY, MO, 64114
1035, 6200 BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64110
1036, 7100 PROSPECT AVENUE, KANSAS CITY, MO, 64130
1037, 7100 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
1038, 7400 E 118 TERRACE, KANSAS CITY, MO, 64134
1039, 7500 E 118 TERRACE, KANSAS CITY, MO, 64134
1040, 7500 WORNALL ROAD, KANSAS CITY, MO, 64131
1041, 7600 COLLEGE AVENUE, KANSAS CITY, MO, 64132
1042, 7700 E 111 TERRACE, KANSAS CITY, MO, 64134
1043, 7700 E US HIGHWAY 40, KANSAS CITY, MO, 64129
1044, 7900 E 104 TERRACE, KANSAS CITY, MO, 64134
1045, 8100 NW PRAIRIE VIEW ROAD, KANSAS CITY, MO, 64152
1046, 8500 STATE LINE ROAD, KANSAS CITY, MO, 64111
1047, 8600 E 63 TRAFFICWAY, KANSAS CITY, MO, 64129
1048, 8700 E 1 STREET, KANSAS CITY, MO, 64053
1049, 8700 E 114 TERRACE, KANSAS CITY, MO, 64134
1050, 9000 E 35 STREET, KANSAS CITY, MO, 64133
1051, 9200 EASTERN AVENUE, KANSAS CITY, MO, 64134
1052, 9300 MYRTLE AVENUE, KANSAS CITY, MO, 64130
1053, 95 STREET and N AMBASSADOR, KANSAS CITY, MO, 64154
1054, 9500 BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64138
1055, 9600 FREMONT AVENUE, KANSAS CITY, MO, 64138
1056, ADMIRAL BOULEVARD and TRACY AVENUE, KANSAS CITY, MO, 64106
1057, AVENIDA CESAR E. CHA and WEST PENNWAY, KANSAS CITY, MO, 64108
1058, BALES AVENUE and GARNER AVENUE, KANSAS CITY, MO, 64123
1059, BALTIMORE AVENUE and W TRUMAN ROAD, KANSAS CITY, MO, 64106
1060, BENTON BOULEVARD and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64128
1061, BLUE PK and HARDESTY AVENUE, KANSAS CITY, MO, 64130
1062, BLUE PK and KENSINGTON AVENUE, KANSAS CITY, MO, 64131
1063, BRIDGER ROAD and WESTPORT ROAD, KANSAS CITY, MO, 64111
1064, CLARK AVENUE and WESTPORT ROAD, KANSAS CITY, MO, 64111
1065, CLEVELAND AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64128
1066, E 10 STREET and MAIN STREET, KANSAS CITY, MO, 64105
1067, E 109 STREET and RAYTOWN ROAD, KANSAS CITY, MO, 64134
1068, E 12 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64106
1069, E 13 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64127
1070, E 18 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64124
1071, E 18 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
1072, E 18 STREET and OAK STREET, KANSAS CITY, MO, 64106
1073, E 20 STREET and MCGEE STREET, KANSAS CITY, MO, 64106
1074, E 22 STREET and PASEO, KANSAS CITY, MO, 64109
1075, E 23 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
