2001, E BANNISTER ROAD and MARION RIDGE DR, KANSAS CITY, MO, 64137
2002, E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64131
2003, E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64132
2004, E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64109
2005, E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64126
2006, E TRUMAN ROAD and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
2007, E TRUMAN ROAD and WALNUT STREET, KANSAS CITY, MO, 64108
2008, E TRUMAN ROAD and WOODLAND AVENUE, KANSAS CITY, MO, 64108
2009, ELMA STREET and WABASH AVENUE, KANSAS CITY, MO, 64106
2010, EMANUEL CLEAVER II BOULEVARD and PASEO, KANSAS CITY, MO, 64130
2011, FRONT STREET and RIVER FRONT ROAD, KANSAS CITY, MO, 64106
2012, GARNER AVENUE and INDIANA AVENUE, KANSAS CITY, MO, 64124
2013, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64106
2014, GLADSTONE BOULEVARD and STREET JOHN AVENUE, KANSAS CITY, MO, 64124
2015, GRAND BOULEVARD and E TRUMAN ROAD, KANSAS CITY, MO, 64111
2016, HARDESTY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124
2017, HARDESTY AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64126
2018, HOLMES STREET and E TRUMAN ROAD, KANSAS CITY, MO, 64106
2019, I 35 N TO NE VIVION RA and NE VIVION ROAD, KANSAS CITY, MO,
2020, I 435 HIGHWAY and NE M 210 HIGHWAY, KANSAS CITY, MO, 64119
2021, I 435 HIGHWAY and OLDHAM ROAD, KANSAS CITY, MO, 64130
2022, I 435 HIGHWAY and WINNER ROAD, KANSAS CITY, MO, 64123
2023, I 70 E TO STERLING RA and STERLING AVENUE, KANSAS CITY, MO, 64133
2024, I 70 HIGHWAY and STERLING AVENUE, KANSAS CITY, MO, 64130
2025, I 70 HIGHWAY ON RA and PASEO, KANSAS CITY, MO, 64106
2026, INDEPENDENCE AVENUE and INDIANA AVENUE, KANSAS CITY, MO, 64127
2027, INDEPENDENCE AVENUE and LAWNDALE AVENUE, KANSAS CITY, MO, 64124
2028, INDEPENDENCE AVENUE and OLIVE STREET, KANSAS CITY, MO, 64106
2029, INDEPENDENCE AVENUE and OLIVE STREET, KANSAS CITY, MO, 64127
2030, INDEPENDENCE AVENUE and SPRUCE AVENUE, KANSAS CITY, MO, 64127
2031, INDEPENDENCE AVENUE and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
2032, INDEPENDENCE AVENUE and VIRGINIA AVENUE, KANSAS CITY, MO, 64106
2033, INDEPENDENCE AVENUE and WHITE AVENUE, KANSAS CITY, MO, 64124
2034, INDEPENDENCE AVENUE and WHITE AVENUE, KANSAS CITY, MO, 64128
2035, INDIANA AVENUE and E MEYER BOULEVARD, KANSAS CITY, MO, 64132
2036, LAWNDALE AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64126
2037, LAWNDALE AVENUE and SMART AVENUE, KANSAS CITY, MO, 64124
2038, LONGVIEW ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64134
2039, MAIN STREET and E PERSHING ROAD, KANSAS CITY, MO,
2040, MANCHESTER AVENUE and WINNER ROAD, KANSAS CITY, MO, 64123
2041, MANHEIM ROAD and TROOST AVENUE, KANSAS CITY, MO, 64113
2042, MILL STREET and WESTPORT ROAD, KANSAS CITY, MO, 64116
2043, MONROE AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64123
2044, N ARLINGTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64161
2045, N BRIGHTON AVENUE and NE PLEASANT VALLEY ROAD, KANSAS CITY, MO, 64119
2046, N CHOUTEAU TRAFFICWAY and NE PARVIN ROAD, KANSAS CITY, MO, 64117
2047, N CYPRESS AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64119
2048, N GLADSTONE BOULEVARD and SCARRITT AVENUE, KANSAS CITY, MO, 64123
2049, N HIGHLAND AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64116
2050, N NORTON AVENUE and NE VIVION ROAD, KANSAS CITY, MO, 64119
2051, NE 42 STREET and N OAK TRAFFICWAY, KANSAS CITY, MO, 64116
2052, NE 47 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64119
2053, NE 48 STREET and N OAKLEY AVENUE, KANSAS CITY, MO, 64119
2054, NE 49 STREET and N DENVER AVENUE, KANSAS CITY, MO, 64119
2055, NE 79 STREET and N FLINTLOCK ROAD, KANSAS CITY, MO, 64158
2056, NE 91 TERRACE and N GLENWOOD AVENUE, KANSAS CITY, MO, 64156
2057, NE CHOUTEAU TRAFFICWAY and NE PARVIN ROAD, KANSAS CITY, MO, 64117
2058, NW ENGLEWOOD ROAD and NW WAUKOMIS DR, KANSAS CITY, MO, 64151
2059, OAKLEY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO,
2060, PASEO and VOLKER BOULEVARD, KANSAS CITY, MO, 64110
2061, RAYTOWN ROAD and WINCHESTER AVENUE, KANSAS CITY, MO, 64131
2062, SOUTHWEST BOULEVARD and SUMMIT STREET, KANSAS CITY, MO, 64106
2063, STREET JOHN AVENUE and WABASH AVENUE, KANSAS CITY, MO, 64124
2064, TROOST LAKE DR and VINE STREET, KANSAS CITY, MO, 64109
2065, W 10 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64106
2066, W 10 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64108
2067, W 103 STREET and WORNALL ROAD, KANSAS CITY, MO, 64114
2068, W 103 STREET and WORNALL ROAD, KANSAS CITY, MO, 64145
2069, W 12 STREET and BEARDSLEY ROAD, KANSAS CITY, MO, 64101
2070, W 12 STREET and LIBERTY STREET, KANSAS CITY, MO, 64101
2071, W 12 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64105
2072, W 12 STREET and WYOMING STREET, KANSAS CITY, MO, 64101
2073, W 13 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64105
2074, W 14 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
2075, W 17 STREET and CENTRAL STREET, KANSAS CITY, MO, 64108
2076, W 18 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64108
