3001, E 45 STREET and S EMANUEL CLEAVER II BOULEVARD S, KANSAS CITY, MO, 64128
3002, E 45 STREET and TROOST AVENUE, KANSAS CITY, MO, 64111
3003, E 46 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
3004, E 46 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
3005, E 48 TERRACE and BRECKENRIDGE AVENUE, KANSAS CITY, MO, 64136
3006, E 49 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64130
3007, E 5 STREET and GILLIS STREET, KANSAS CITY, MO, 64124
3008, E 5 STREET and WALNUT STREET, KANSAS CITY, MO, 64105
3009, E 5 STREET and WALNUT STREET, KANSAS CITY, MO, 64110
3010, E 50 STREET and PASEO, KANSAS CITY, MO, 64110
3011, E 52 STREET and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64130
3012, E 52 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
3013, E 53 STREET and EUCLID AVENUE, KANSAS CITY, MO, 64131
3014, E 53 TERRACE and JACKSON AVENUE, KANSAS CITY, MO, 64129
3015, E 54 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64101
3016, E 54 STREET and FOREST AVENUE, KANSAS CITY, MO, 64110
3017, E 55 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64130
3018, E 55 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
3019, E 55 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64130
3020, E 55 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
3021, E 56 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
3022, E 56 STREET and WABASH AVENUE, KANSAS CITY, MO, 64131
3023, E 56 STREET and WABASH AVENUE, KANSAS CITY, MO, 64132
3024, E 57 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64130
3025, E 57 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
3026, E 58 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
3027, E 58 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
3028, E 6 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64124
3029, E 6 STREET and MAIN STREET, KANSAS CITY, MO, 64105
3030, E 6 STREET and SUPERIOR STREET, KANSAS CITY, MO, 64106
3031, E 62 STREET and WALROND AVENUE, KANSAS CITY, MO, 64130
3032, E 63 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
3033, E 63 STREET and SWOPE PK, KANSAS CITY, MO, 64120
3034, E 63 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64110
3035, E 63 TRAFFICWAY and LEWIS ROAD, KANSAS CITY, MO, 64132
3036, E 63 TRAFFICWAY and MANCHESTER AVENUE, KANSAS CITY, MO, 64130
3037, E 63 TRAFFICWAY and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64110
3038, E 67 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
3039, E 68 STREET and BALES AVENUE, KANSAS CITY, MO, 64132
3040, E 68 STREET and MONROE AVENUE, KANSAS CITY, MO, 64132
3041, E 68 TERRACE and PASEO, KANSAS CITY, MO, 64132
3042, E 69 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
3043, E 69 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64132
3044, E 7 STREET and MAIN STREET, KANSAS CITY, MO, 64106
3045, E 7 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64109
3046, E 7 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
3047, E 7 STREET and WINNER ROAD, KANSAS CITY, MO, 64123
3048, E 70 STREET and HOLMES ROAD, KANSAS CITY, MO, 64134
3049, E 70 STREET and PASEO, KANSAS CITY, MO, 64132
3050, E 70 STREET and WALROND AVENUE, KANSAS CITY, MO, 64132
3051, E 70 TERRACE and PROSPECT AVENUE, KANSAS CITY, MO, 64132
3052, E 72 STREET and WABASH AVENUE, KANSAS CITY, MO, 64132
3053, E 72 STREET and WALROND AVENUE, KANSAS CITY, MO, 64132
3054, E 73 STREET and AGNES AVENUE, KANSAS CITY, MO, 64132
3055, E 75 STREET and OAK STREET, KANSAS CITY, MO, 64114
3056, E 76 STREET and PASEO, KANSAS CITY, MO, 64132
3057, E 76 TERRACE and PASEO, KANSAS CITY, MO, 64132
3058, E 77 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
3059, E 77 TERRACE and BROOKLYN AVENUE, KANSAS CITY, MO, 64132
3060, E 79 STREET and TROOST AVENUE, KANSAS CITY, MO, 64131
3061, E 8 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64123
3062, E 8 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64110
3063, E 8 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64124
3064, E 8 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
3065, E 8 STREET and NEWTON AVENUE, KANSAS CITY, MO, 64124
3066, E 8 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
