5001, E 43 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64111
5002, E 43 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64127
5003, E 43 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64128
5004, E 43 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64128
5005, E 43 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
5006, E 43 STREET and STERLING AVENUE, KANSAS CITY, MO, 64133
5007, E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
5008, E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64111
5009, E 43 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
5010, E 43 TERRACE and WESTRIDGE ROAD, KANSAS CITY, MO, 64133
5011, E 44 STREET and MOATS DR, KANSAS CITY, MO,
5012, E 44 STREET and OAK STREET, KANSAS CITY, MO, 64111
5013, E 44 STREET and PASEO, KANSAS CITY, MO, 64130
5014, E 44 STREET and TRACY AVENUE, KANSAS CITY, MO, 64106
5015, E 45 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
5016, E 45 STREET and BLUE RIDGE COURT, KANSAS CITY, MO, 64133
5017, E 45 STREET and LISTER AVENUE, KANSAS CITY, MO, 64128
5018, E 45 STREET and LISTER AVENUE, KANSAS CITY, MO, 64130
5019, E 45 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64130
5020, E 45 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64128
5021, E 45 STREET and OLIVE STREET, KANSAS CITY, MO, 64110
5022, E 45 STREET and ROCKHILL ROAD, KANSAS CITY, MO, 64111
5023, E 45 STREET and TROOST AVENUE, KANSAS CITY, MO, 64110
5024, E 46 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
5025, E 46 STREET and EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO,
5026, E 46 TERRACE and MYRTLE AVENUE, KANSAS CITY, MO, 64127
5027, E 47 STREET and VERMONT AVENUE, KANSAS CITY, MO, 64133
5028, E 47 TERRACE and VIRGINIA AVENUE, KANSAS CITY, MO, 64110
5029, E 48 TERRACE and WOODLAND AVENUE, KANSAS CITY, MO, 64128
5030, E 49 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64130
5031, E 49 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
5032, E 49 STREET and SNI-A-BAR ROAD, KANSAS CITY, MO, 64127
5033, E 49 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
5034, E 49 STREET and WALROND AVENUE, KANSAS CITY, MO, 64130
5035, E 5 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64105
5036, E 5 STREET and CAMPBELL STREET, KANSAS CITY, MO, 64106
5037, E 5 STREET and CHERRY STREET, KANSAS CITY, MO, 64106
5038, E 50 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64130
5039, E 50 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64130
5040, E 50 STREET and MANCHESTER AVENUE, KANSAS CITY, MO, 64129
5041, E 50 STREET and PASEO, KANSAS CITY, MO, 64130
5042, E 51 STREET and BROOKSIDE BOULEVARD, KANSAS CITY, MO, 64112
5043, E 51 STREET and EASTWOOD TRAFFICWAY, KANSAS CITY, MO, 64130
5044, E 51 STREET and SWOPE PK, KANSAS CITY, MO,
5045, E 52 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
5046, E 52 STREET and BROOKWOOD AVENUE, KANSAS CITY, MO, 64132
5047, E 52 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
5048, E 52 STREET and PASEO, KANSAS CITY, MO, 64110
5049, E 52 STREET and PASEO, KANSAS CITY, MO, 64130
5050, E 53 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
5051, E 53 STREET and NORTON AVENUE, KANSAS CITY, MO, 64130
5052, E 53 STREET and SWOPE PK, KANSAS CITY, MO, 64130
