address_string,n,coords
"63RD and I 435 HIGHWAY, KANSAS CITY, MO, 64132",5,
"6400 PASEO, KANSAS CITY, MO, 64132",5,
"6700 BLUE PARKWAY DR, KANSAS CITY, MO,",5,
"7100 E TRUMAN ROAD, KANSAS CITY, MO, 64127",5,
"7100 NW 86 TERRACE, KANSAS CITY, MO, 64154",5,
"7800 STATE LINE ROAD, KANSAS CITY, MO, 64114",5,
"8500 N CHURCH ROAD, KANSAS CITY, MO,",5,
"8900 STATE LINE ROAD, KANSAS CITY, MO, 64114",5,
"9200 NE MO 152 HIGHWAY, KANSAS CITY, MO,",5,
"9800 STATE LINE ROAD, KANSAS CITY, MO, 64114",5,
"AVILA CI and W MINOR DR, KANSAS CITY, MO, 64114",5,
"BELLAIRE AVENUE and WILSON AVENUE, KANSAS CITY, MO, 64126",5,
"BELLEFONTAINE AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123",5,
"BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64133",5,
"BROOKLYN AVENUE and MINNIE STREET, KANSAS CITY, MO, 64106",5,
"CENTRAL STREET and NICHOLS ROAD, KANSAS CITY, MO, 64106",5,
"E 12 STREET and PASEO, KANSAS CITY, MO, 64108",5,
"E 13 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105",5,
"E 18 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126",5,
"E 20 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127",5,
"E 23 TRAFFICWAY and WHEELING AVENUE, KANSAS CITY, MO, 64127",5,
"E 29 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130",5,
"E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105",5,
"E 33 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127",5,
"E 34 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130",5,
"E 37 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130",5,
"E 38 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64130",5,
"E 39 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64111",5,
"E 39 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64110",5,
"E 43 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64129",5,
"E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64123",5,
"E 59 STREET and PASEO, KANSAS CITY, MO, 64130",5,
"E 6 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126",5,
"E 65 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",5,
"E 75 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130",5,
"E 82 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130",5,
"E 85 STREET and HICKMAN MILLS DR, KANSAS CITY, MO, 64132",5,
"E 86 STREET and CRYSTAL AVENUE, KANSAS CITY, MO, 64130",5,
"E 89 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64131",5,
"E 99 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64138",5,
"E BANNISTER ROAD and DRURY AVENUE, KANSAS CITY, MO, 64130",5,
"E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64137",5,
"E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64130",5,
"E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64130",5,
"E MEYER BOULEVARD and SWOPE PK, KANSAS CITY, MO, 64132",5,
"EASTWOOD TFWY TO I 4 RA and I 435 HIGHWAY, KANSAS CITY, MO, 64129",5,
"ELMWOOD AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64123",5,
"EMANUEL CLEAVER II BOULEVARD and OAK STREET, KANSAS CITY, MO, 64130",5,
"EMANUEL CLEAVER II BOULEVARD and PASEO, KANSAS CITY, MO, 64111",5,
"FRONT STREET and E RIVERFRONT DR, KANSAS CITY, MO, 64106",5,
"GILLHAM ROAD and HARRISON PK, KANSAS CITY, MO, 64110",5,
"GUINOTTE AVENUE and N MICHIGAN AVENUE, KANSAS CITY, MO, 64106",5,
"HIGHLAND AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124",5,
"HOLMES ROAD and E MEYER BOULEVARD, KANSAS CITY, MO, 64130",5,
"I 435 HIGHWAY and NE M 210 HIGHWAY, KANSAS CITY, MO, 64119",5,
"I 470 HIGHWAY and RAYTOWN ROAD, KANSAS CITY, MO, 64134",5,
"INDEPENDENCE AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64127",5,
"MONROE AVENUE and ROBERTS STREET, KANSAS CITY, MO, 64127",5,
"N ANTIOCH ROAD and NE VIVION ROAD, KANSAS CITY, MO, 64117",5,
"N BRIGHTON AVENUE and I 35 HIGHWAY, KANSAS CITY, MO, 64119",5,
"N CORRINGTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64119",5,
"NE 48 STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64119",5,
"NE 52 and N MANCHSTER, KANSAS CITY, MO, 64119",5,
"NE 53 STREET and NE SAN RAFAEL DR, KANSAS CITY, MO, 64113",5,
"NE MO 152 HIGHWAY and MAPLEWOODS PK, KANSAS CITY, MO, 64156",5,
"NW 64 STREET and I 29 HIGHWAY, KANSAS CITY, MO, 64151",5,
"NW ENGLEWOOD ROAD and N SUMMIT STREET, KANSAS CITY, MO, 64118",5,
"OAKLEY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124",5,
"RED BRIDGE ROAD and N 71 HIGHWAY, KANSAS CITY, MO, 64134",5,
"ROANOKE ROAD and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111",5,
"SOUTHWEST BOULEVARD and SUMMIT STREET, KANSAS CITY, MO, 64108",5,
"W 10 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106",5,
"W 20 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64110",5,
"W 20 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108",5,
"W 27 STREET and SOUTHWEST TF, KANSAS CITY, MO, 64108",5,
"W 43 STREET and MADISON AVENUE, KANSAS CITY, MO, 64111",5,
"W 6 STREET and BROADWAY, KANSAS CITY, MO, 64106",5,
"100 ARROWHEAD DR, KANSAS CITY, MO, 64138",4,
"100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64106",4,
"100 N BRYANT STREET, CLAYCOMO, MO, 64155",4,
"100 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124",4,
"100 ROYAL WAY, KANSAS CITY, MO, 64127",4,
"1000 AVENIDA CESAR E. CHA, KANSAS CITY, MO, 64108",4,
"1000 FRONT STREET, KANSAS CITY, MO, 64105",4,
"1000 FRONT STREET, KANSAS CITY, MO, 64106",4,
"10100 W 119 STREET, OVERLAND PARK, MO, 66213",4,
"10200 NW TRANSCON DR, KANSAS CITY, MO, 64153",4,
"10600 STATE LINE ROAD, KANSAS CITY, MO,",4,
"10700 HICKMAN MILLS DR, KANSAS CITY, MO, 64134",4,
