id,o_address,o_city,o_state,o_zip,status,quality,m_address,m_city,m_state,m_zip,long,lat,not_sure,L_R
1,COMMUNITY / LARGE,LOUISVILLE,KY,40056,No_Match,,,,,,,,,
2,4800 OUTER LOOP,LOUISVILLE,KY,40219,Match,Exact,4800 Outer Loop,LOUISVILLE,KY,40219,-85.671585,38.13783,96859296,R
3,100 OUTER LOOP,LOUISVILLE,KY,40214,Match,Exact,100 Outer Loop,LOUISVILLE,KY,40214,-85.7947,38.12756,96849433,R
4,7900 SHELBYVILLE RD,LOUISVILLE,KY,40222,Match,Exact,7900 Shelbyville Rd,LOUISVILLE,KY,40222,-85.60663,38.24881,96893773,R
5,7100 RAGGARD RD,LOUISVILLE,KY,40216,No_Match,,,,,,,,,
6,2700 W BROADWAY,LOUISVILLE,KY,40211,Match,Exact,2700 W Broadway,LOUISVILLE,KY,40211,-85.79668,38.249508,96841364,L
7,11900 STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,Match,Exact,11900 Standiford Plaza Dr,LOUISVILLE,KY,40229,-85.66746,38.089622,96915649,R
8,7100 CEDAR SPRINGS BLVD,LOUISVILLE,KY,40291,Match,Exact,7100 Cedar Springs Blvd,LOUISVILLE,KY,40291,-85.58501,38.14517,96919720,R
800,800 SUTCLIFFE AVE,LOUISVILLE,KY,40211,Match,Exact,800 Sutcliffe Ave,LOUISVILLE,KY,40211,-85.81181,38.24794,96836263,R
9,COMMUNITY / LARGE,LOUISVILLE,KY,NA,No_Match,,,,,,,,,
801,DIXIE HWY / PENDLETON RD,LOUISVILLE,KY,40272,No_Match,,,,,,,,,
802,1400 BEECH ST,LOUISVILLE,KY,40211,Match,Exact,1400 Beech St,LOUISVILLE,KY,40211,-85.80481,38.234303,96842670,R
803,1500 BERRY BLVD,LOUISVILLE,KY,40215,Match,Exact,1500 Berry Blvd,LOUISVILLE,KY,40215,-85.7883,38.196457,96843506,L
804,2200 W MARKET ST,LOUISVILLE,KY,40212,Match,Exact,2200 W Market St,LOUISVILLE,KY,40212,-85.786644,38.258533,96841740,L
805,2400 LINDBERGH DR,LOUISVILLE,KY,40208,Match,Exact,2400 Lindbergh Dr,LOUISVILLE,KY,40208,-85.77441,38.21591,96844195,R
806,4200 TAYLOR BLVD,LOUISVILLE,KY,40215,Match,Exact,4200 Taylor Blvd,LOUISVILLE,KY,40215,-85.78327,38.179546,96848658,R
807,5500 INDIAN OAKS CIR,LOUISVILLE,KY,40219,Match,Exact,5500 Indian Oaks Cir,LOUISVILLE,KY,40219,-85.68537,38.169254,614090914,R
808,700 W MAIN ST,LOUISVILLE,KY,40202,Match,Exact,700 W Main St,LOUISVILLE,KY,40202,-85.76157,38.257153,96842523,L
809,9500 LAMBORNE BLVD,LOUISVILLE,KY,40272,Match,Exact,9500 Lamborne Blvd,LOUISVILLE,KY,40272,-85.81356,38.113316,96840173,L
1000,1000 MARY ST,LOUISVILLE,KY,40204,Match,Exact,1000 Mary St,LOUISVILLE,KY,40204,-85.73704,38.2339,618511676,R
810,BARDSTOWN RD / S HURSTBOURNE PKY,LOUISVILLE,KY,40291,No_Match,,,,,,,,,
811,N 35TH ST / BANK ST,LOUISVILLE,KY,40212,No_Match,,,,,,,,,
812,1000 S 3RD ST,LOUISVILLE,KY,40203,Match,Exact,1000 S 3rd St,LOUISVILLE,KY,40203,-85.758,38.238678,96845754,R
813,1300 LEXINGTON RD,LOUISVILLE,KY,40204,Match,Exact,1300 Lexington Rd,LOUISVILLE,KY,40204,-85.72727,38.25021,96884030,R
814,2200 GOLDSMITH LN,LOUISVILLE,KY,40218,Match,Exact,2200 Goldsmith Ln,LOUISVILLE,KY,40218,-85.66887,38.208546,96854071,R
815,4100 HAZELWOOD AVE,LOUISVILLE,KY,40215,Match,Exact,4100 Hazelwood Ave,LOUISVILLE,KY,40215,-85.78782,38.183544,618509426,R
816,4100 OUTER LOOP,LOUISVILLE,KY,40219,Match,Exact,4100 Outer Loop,LOUISVILLE,KY,40219,-85.68664,38.138424,96893544,L
817,600 ATWOOD ST,LOUISVILLE,KY,40217,Match,Exact,600 Atwood St,LOUISVILLE,KY,40217,-85.74906,38.21534,618510909,R
818,900 E BROADWAY,LOUISVILLE,KY,40204,Match,Exact,900 E Broadway,LOUISVILLE,KY,40204,-85.7374,38.244514,96846220,R
819,N 22ND ST / BANK ST,LOUISVILLE,KY,40203,No_Match,,,,,,,,,
