address_string,n,coords,google_lat,google_lon,centroid
"7100 RAGGARD RD, LOUISVILLE, KY, 40216",2874,"38.1721105,-85.8696929",38.1721105,-85.8696929,FALSE
"4500 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299",939,"38.1872072,-85.6068773",38.1872072,-85.6068773,FALSE
"8200 MINOR LN, LOUISVILLE, KY, 40219",850,"38.1302184,-85.7110627",38.1302184,-85.7110627,FALSE
"S 26TH ST / W BROADWAY, LOUISVILLE, KY, 40211",815,"38.2494501,-85.794886",38.2494501,-85.794886,FALSE
"4100 TOWNE CENTER DR, LOUISVILLE, KY, 40241",793,"38.2992194,-85.5540103",38.2992194,-85.5540103,FALSE
"7800 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214",614,"38.1517931,-85.8199169",38.1517931,-85.8199169,FALSE
"5000 MUD LN, LOUISVILLE, KY, 40229",599,"38.0881626,-85.6695925",38.0881626,-85.6695925,FALSE
"100 W BROADWAY, LOUISVILLE, KY, 40202",574,"38.245382,-85.7539671",38.245382,-85.7539671,FALSE
"S 28TH ST / W BROADWAY, LOUISVILLE, KY, 40211",566,"38.249573,-85.798287",38.249573,-85.798287,FALSE
"1100 E MARKET ST, LOUISVILLE, KY, 40206",565,"38.2521957,-85.7314506",38.2521957,-85.7314506,FALSE
"3700 FALCON CREST DR, LOUISVILLE, KY, 40219",557,"38.1195256,-85.6923191",38.1195256,-85.6923191,FALSE
"7TH STREET RD / BERRY BLVD, LOUISVILLE, KY, 40216",551,"38.1967337,-85.7990565",38.1967337,-85.7990565,FALSE
"7300 JEFFERSON BLVD, LOUISVILLE, KY, 40219",545,"38.1447318,-85.6754943",38.1447318,-85.6754943,FALSE
"5300 HAMES TRCE, LOUISVILLE, KY, 40291",524,"38.1652775,-85.6061609",38.1652775,-85.6061609,FALSE
"METRO / LARGE, LOUISVILLE, KY, 40056",477,"38.309275,-85.4942667",38.309275,-85.4942667,FALSE
"200 W BROADWAY, LOUISVILLE, KY, 40202",461,"38.2453972,-85.7555294",38.2453972,-85.7555294,FALSE
"DIXIE HWY / W HILL ST, LOUISVILLE, KY, 40210",415,"38.2283479,-85.7904698",38.2283479,-85.7904698,FALSE
"S 1ST ST / E BROADWAY, LOUISVILLE, KY, 40202",415,"38.2457234,-85.7533904",38.2457234,-85.7533904,FALSE
"S 4TH ST / WINKLER AVE, LOUISVILLE, KY, 40208",409,"38.2103308,-85.7646663",38.2103308,-85.7646663,FALSE
"7300 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214",400,"38.1556489,-85.802564",38.1556489,-85.802564,FALSE
"4600 SOUTHERN PKY, LOUISVILLE, KY, 40214",386,"38.185119,-85.7680863",38.185119,-85.7680863,FALSE
"900 GRADE LN, LOUISVILLE, KY, 40213",375,"38.1589149,-85.7236759",38.1589149,-85.7236759,FALSE
"8000 GLIMMER WAY, LOUISVILLE, KY, 40214",371,"38.1344745,-85.7783188",38.1344745,-85.7783188,FALSE
"4200 TOWNE CENTER DR, LOUISVILLE, KY, 40241",353,"38.3011599,-85.5556514",38.3011599,-85.5556514,FALSE
"N 22ND ST / PORTLAND AVE, LOUISVILLE, KY, 40203",338,"38.268389,-85.782534",38.268389,-85.782534,FALSE
"5400 VALLEY STATION RD, LOUISVILLE, KY, 40272",333,"38.105643,-85.863938",38.105643,-85.863938,FALSE
"S 2ND ST / W BROADWAY, LOUISVILLE, KY, 40202",323,"38.2458489,-85.7550469",38.2458489,-85.7550469,FALSE
