1, COMMUNITY / LARGE, LOUISVILLE, KY, 40056
2, 4800 OUTER LOOP, LOUISVILLE, KY, 40219
3, 100 OUTER LOOP, LOUISVILLE, KY, 40214
4, 7900 SHELBYVILLE RD, LOUISVILLE, KY, 40222
5, 7100 RAGGARD RD, LOUISVILLE, KY, 40216
6, 2700 W BROADWAY, LOUISVILLE, KY, 40211
7, 11900 STANDIFORD PLAZA DR, LOUISVILLE, KY, 40229
8, 7100 CEDAR SPRINGS BLVD, LOUISVILLE, KY, 40291
9, COMMUNITY / LARGE, LOUISVILLE, KY, NA
10, 3300 BARDSTOWN RD, LOUISVILLE, KY, 40218
11, 9900 DIXIE HWY, LOUISVILLE, KY, 40272
12, 2000 BASHFORD MANOR LN, LOUISVILLE, KY, 40218
13, 10400 DIXIE HWY, LOUISVILLE, KY, 40272
14, 9500 PRESTON HWY, LOUISVILLE, KY, 40229
15, 3100 S 2ND ST, LOUISVILLE, KY, 40208
16, 9000 DIXIE HWY, LOUISVILLE, KY, 40258
17, 12900 SHELBYVILLE RD, LOUISVILLE, KY, 40243
18, 1200 BARDSTOWN RD, LOUISVILLE, KY, 40204
19, 3900 7TH STREET RD, LOUISVILLE, KY, 40216
20, 900 BAXTER AVE, LOUISVILLE, KY, 40204
21, 2400 CRITTENDEN DR, LOUISVILLE, KY, 40217
22, 1900 S HURSTBOURNE PKY, LOUISVILLE, KY, 40220
23, 900 S 2ND ST, LOUISVILLE, KY, 40203
24, 400 S 4TH ST, LOUISVILLE, KY, 40202
25, 500 S JACKSON ST, LOUISVILLE, KY, 40202
26, 5500 NEW CUT RD, LOUISVILLE, KY, 40214
27, 6800 DIXIE HWY, LOUISVILLE, KY, 40258
28, 400 E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
29, 200 E CHESTNUT ST, LOUISVILLE, KY, 40202
30, 4500 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299
31, 3400 TAYLOR BLVD, LOUISVILLE, KY, 40215
32, 2300 GOLDSMITH LN, LOUISVILLE, KY, 40218
33, 600 W JEFFERSON ST, LOUISVILLE, KY, 40202
34, 3700 DIANN MARIE RD, LOUISVILLE, KY, 40241
35, 3000 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
36, 4200 OUTER LOOP, LOUISVILLE, KY, 40219
37, 900 PHILLIPS LN, LOUISVILLE, KY, 40209
38, 1100 BARDSTOWN RD, LOUISVILLE, KY, 40204
39, 4000 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
40, 5200 DIXIE HWY, LOUISVILLE, KY, 40216
41, 8200 MINOR LN, LOUISVILLE, KY, 40219
42, 4100 TAYLOR BLVD, LOUISVILLE, KY, 40215
43, 2400 BARDSTOWN RD, LOUISVILLE, KY, 40205
44, 4900 DIXIE HWY, LOUISVILLE, KY, 40216
45, S 26TH ST / W BROADWAY, LOUISVILLE, KY, 40211
46, 1000 BARDSTOWN RD, LOUISVILLE, KY, 40204
47, 5300 DIXIE HWY, LOUISVILLE, KY, 40216
48, 4500 OUTER LOOP, LOUISVILLE, KY, 40219
49, 4100 TOWNE CENTER DR, LOUISVILLE, KY, 40241
50, 5900 GREENWOOD RD, LOUISVILLE, KY, 40258
51, 10600 DIXIE HWY, LOUISVILLE, KY, 40272
52, 1700 PATTON CT, LOUISVILLE, KY, 40210
53, 500 N 35TH ST, LOUISVILLE, KY, 40212
54, 8200 PRESTON HWY, LOUISVILLE, KY, 40219
55, 3900 TAYLORSVILLE RD, LOUISVILLE, KY, 40220
56, 6600 PRESTON HWY, LOUISVILLE, KY, 40219
57, 11800 STANDIFORD PLAZA DR, LOUISVILLE, KY, 40229
58, 7100 PRESTON HWY, LOUISVILLE, KY, 40219
59, 5600 PRESTON HWY, LOUISVILLE, KY, 40219
60, 100 OXMOOR LN, LOUISVILLE, KY, 40222
61, 3600 MANSLICK RD, LOUISVILLE, KY, 40215
62, 2600 W BROADWAY, LOUISVILLE, KY, 40211
63, 7800 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
64, 400 S 6TH ST, LOUISVILLE, KY, 40202
65, 5000 MUD LN, LOUISVILLE, KY, 40229
66, 1200 GOSS AVE, LOUISVILLE, KY, 40217
67, 600 BAXTER AVE, LOUISVILLE, KY, 40204
68, 10200 DIXIE HWY, LOUISVILLE, KY, 40272
69, 100 N 4TH ST, LOUISVILLE, KY, 40202
70, 3200 KEMMONS DR, LOUISVILLE, KY, 40218
71, 100 W BROADWAY, LOUISVILLE, KY, 40202
72, 4000 TAYLORSVILLE RD, LOUISVILLE, KY, 40220
73, S 28TH ST / W BROADWAY, LOUISVILLE, KY, 40211
74, 1100 E MARKET ST, LOUISVILLE, KY, 40206
75, 3700 FALCON CREST DR, LOUISVILLE, KY, 40219
76, 7TH STREET RD / BERRY BLVD, LOUISVILLE, KY, 40216
77, 700 W JEFFERSON ST, LOUISVILLE, KY, 40202
78, 7300 JEFFERSON BLVD, LOUISVILLE, KY, 40219
79, 8600 PRESTON HWY, LOUISVILLE, KY, 40219
80, 4300 S 3RD ST, LOUISVILLE, KY, 40214
81, 500 S 4TH ST, LOUISVILLE, KY, 40202
82, 5300 HAMES TRCE, LOUISVILLE, KY, 40291
83, 4400 CANE RUN RD, LOUISVILLE, KY, 40216
84, 4500 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
85, 6400 OUTER LOOP, LOUISVILLE, KY, 40228
86, 700 CENTRAL AVE, LOUISVILLE, KY, 40208
87, 400 E JEFFERSON ST, LOUISVILLE, KY, 40202
88, 4300 CANE RUN RD, LOUISVILLE, KY, 40216
89, 5000 POPLAR LEVEL RD, LOUISVILLE, KY, 40219
90, 600 S 44TH ST, LOUISVILLE, KY, 40211
91, 6600 DIXIE HWY, LOUISVILLE, KY, 40258
92, 1700 W HILL ST, LOUISVILLE, KY, 40210
93, 400 W OAK ST, LOUISVILLE, KY, 40203
94, 6100 GUARDIAN CT, LOUISVILLE, KY, 40219
95, 4900 POPLAR LEVEL RD, LOUISVILLE, KY, 40219
96, 1200 S BROOK ST, LOUISVILLE, KY, 40203
97, METRO / LARGE, LOUISVILLE, KY, 40056
98, 6600 OUTER LOOP, LOUISVILLE, KY, 40228
99, 3200 TAYLOR BLVD, LOUISVILLE, KY, 40215
100, 1200 S 1ST ST, LOUISVILLE, KY, 40203
101, 4100 BARDSTOWN RD, LOUISVILLE, KY, 40218
102, 1800 BLUEGRASS AVE, LOUISVILLE, KY, 40215
103, 2100 DUNCAN ST, LOUISVILLE, KY, 40212
104, 3700 W WHEATMORE DR, LOUISVILLE, KY, 40215
105, 500 S 5TH ST, LOUISVILLE, KY, 40202
106, 200 W BROADWAY, LOUISVILLE, KY, 40202
107, 2000 NEWBURG RD, LOUISVILLE, KY, 40205
108, 3200 GOLDEN TURTLE CIR, LOUISVILLE, KY, 40218
109, 9300 BLAIRWOOD RD, LOUISVILLE, KY, 40222
110, 3300 TAYLOR BLVD, LOUISVILLE, KY, 40215
111, 5100 DIXIE HWY, LOUISVILLE, KY, 40216
112, 4400 TAYLOR BLVD, LOUISVILLE, KY, 40215
113, 1900 GOLDSMITH LN, LOUISVILLE, KY, 40218
114, 2000 BROWNSBORO RD, LOUISVILLE, KY, 40206
115, 3000 TAYLOR BLVD, LOUISVILLE, KY, 40208
116, 4100 CANE RUN RD, LOUISVILLE, KY, 40216
117, 7300 SOUTHSIDE DR, LOUISVILLE, KY, 40214
118, 4600 TAYLOR BLVD, LOUISVILLE, KY, 40215
119, 3400 W BROADWAY, LOUISVILLE, KY, 40211
120, 4500 S 3RD ST, LOUISVILLE, KY, 40214
121, 800 PHILLIPS LN, LOUISVILLE, KY, 40209
122, 4900 OUTER LOOP, LOUISVILLE, KY, 40219
123, 3200 FORDHAVEN RD, LOUISVILLE, KY, 40214
124, DIXIE HWY / W HILL ST, LOUISVILLE, KY, 40210
125, S 1ST ST / E BROADWAY, LOUISVILLE, KY, 40202
126, 1300 S 4TH ST, LOUISVILLE, KY, 40208
127, 600 LINDELL AVE, LOUISVILLE, KY, 40211
128, S 4TH ST / WINKLER AVE, LOUISVILLE, KY, 40208
129, 1500 BARDSTOWN RD, LOUISVILLE, KY, 40205
130, 7500 GARRISON RD, LOUISVILLE, KY, 40214
131, 3000 BARDSTOWN RD, LOUISVILLE, KY, 40205
132, 700 W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
133, 7300 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
134, 7400 3RD STREET RD, LOUISVILLE, KY, 40214
135, 400 W ORMSBY AVE, LOUISVILLE, KY, 40203
136, 4500 W BROADWAY, LOUISVILLE, KY, 40211
137, 800 BARRET AVE, LOUISVILLE, KY, 40204
138, 1000 S JACKSON ST, LOUISVILLE, KY, 40203
139, 2500 PENNACOOK RD, LOUISVILLE, KY, 40214
140, 7900 BARDSTOWN RD, LOUISVILLE, KY, 40291
141, 1300 S 2ND ST, LOUISVILLE, KY, 40208
142, 1200 S 4TH ST, LOUISVILLE, KY, 40203
143, 4600 SOUTHERN PKY, LOUISVILLE, KY, 40214
144, 1200 RIVER RD, LOUISVILLE, KY, 40206
145, 1600 ARTHUR ST, LOUISVILLE, KY, 40208
146, 2100 GOLDSMITH LN, LOUISVILLE, KY, 40218
147, 5400 NEW CUT RD, LOUISVILLE, KY, 40214
148, 100 E KINGSTON AVE, LOUISVILLE, KY, 40214
149, 4700 PRESTON HWY, LOUISVILLE, KY, 40213
150, 7500 TERRY RD, LOUISVILLE, KY, 40258
151, 900 GRADE LN, LOUISVILLE, KY, 40213
152, 1000 DORSEY LN, LOUISVILLE, KY, 40223
153, 2800 DE MEL AVE, LOUISVILLE, KY, 40214
154, 5700 PRESTON HWY, LOUISVILLE, KY, 40219
155, 2700 CRITTENDEN DR, LOUISVILLE, KY, 40209
156, 8000 GLIMMER WAY, LOUISVILLE, KY, 40214
157, 4000 TAYLOR BLVD, LOUISVILLE, KY, 40215
158, 7700 BROOKVIEW DR, LOUISVILLE, KY, 40214
159, 3900 ACCOMACK DR, LOUISVILLE, KY, 40241
160, 200 ABRAHAM FLEXNER WAY, LOUISVILLE, KY, 40202
161, 2200 BROWNSBORO RD, LOUISVILLE, KY, 40206
162, 2000 TERRIL LN, LOUISVILLE, KY, 40218
163, 2800 W BROADWAY, LOUISVILLE, KY, 40211
164, 1300 S 3RD ST, LOUISVILLE, KY, 40208
165, 1500 RANGELAND RD, LOUISVILLE, KY, 40219
166, 600 S 38TH ST, LOUISVILLE, KY, 40211
167, 5000 PRESTON HWY, LOUISVILLE, KY, 40213
168, 10500 MONTERAY PLACE CIR, LOUISVILLE, KY, 40272
169, 6300 COMMERCE PARK CT, LOUISVILLE, KY, 40118
170, 1600 BRASHEAR DR, LOUISVILLE, KY, 40210
171, 1400 S 3RD ST, LOUISVILLE, KY, 40208
172, 1200 S PRESTON ST, LOUISVILLE, KY, 40203
173, 4200 TOWNE CENTER DR, LOUISVILLE, KY, 40241
174, 7500 CANE RUN RD, LOUISVILLE, KY, 40258
175, 900 W JEFFERSON ST, LOUISVILLE, KY, 40202
176, 3000 WILSON AVE, LOUISVILLE, KY, 40211
177, 5300 PRESTON HWY, LOUISVILLE, KY, 40213
178, 2700 FERN VALLEY RD, LOUISVILLE, KY, 40213
179, 1400 S 4TH ST, LOUISVILLE, KY, 40208
180, 600 E BROADWAY, LOUISVILLE, KY, 40202
181, 4600 OUTER LOOP, LOUISVILLE, KY, 40219
182, 7200 DIXIE HWY, LOUISVILLE, KY, 40258
183, 7200 OUTER LOOP, LOUISVILLE, KY, 40228
184, N 22ND ST / PORTLAND AVE, LOUISVILLE, KY, 40203
185, 10400 W MANSLICK RD, LOUISVILLE, KY, 40118
186, 12500 SHELBYVILLE RD, LOUISVILLE, KY, 40243
187, 1700 W GAULBERT AVE, LOUISVILLE, KY, 40210
188, 6900 BARDSTOWN RD, LOUISVILLE, KY, 40291
189, 5400 VALLEY STATION RD, LOUISVILLE, KY, 40272
190, 4800 PRESTON HWY, LOUISVILLE, KY, 40213
191, 1300 S FLOYD ST, LOUISVILLE, KY, 40208
192, 4200 S 3RD ST, LOUISVILLE, KY, 40214
193, 4300 NORBROOK DR, LOUISVILLE, KY, 40218
194, 2100 BUECHEL BANK RD, LOUISVILLE, KY, 40218
195, 3600 BUECHEL BYP, LOUISVILLE, KY, 40218
196, 8300 PRESTON HWY, LOUISVILLE, KY, 40219
197, S 2ND ST / W BROADWAY, LOUISVILLE, KY, 40202
198, 300 YORK ST, LOUISVILLE, KY, 40203
199, 3300 PRESTON HWY, LOUISVILLE, KY, 40213
200, 9600 LAMBORNE BLVD, LOUISVILLE, KY, 40272
201, 1200 BRASHEAR DR, LOUISVILLE, KY, 40210
202, 11700 DIXIE HWY, LOUISVILLE, KY, 40272
203, W ASHLAND AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
204, 500 N 22ND ST, LOUISVILLE, KY, 40203
205, 1700 W ORMSBY AVE, LOUISVILLE, KY, 40210
206, 6700 CARRIBEAN LN, LOUISVILLE, KY, 40219
207, 700 ALGONQUIN PKY, LOUISVILLE, KY, 40208
208, 1300 DIXIE HWY, LOUISVILLE, KY, 40210
209, 10500 DIXIE HWY, LOUISVILLE, KY, 40272
210, 1700 BERRY BLVD, LOUISVILLE, KY, 40215
211, S 18TH ST / W BROADWAY, LOUISVILLE, KY, 40203
212, 1600 GARLAND AVE, LOUISVILLE, KY, 40210
213, 2600 LINDSAY AVE, LOUISVILLE, KY, 40206
214, 2900 W KENTUCKY ST, LOUISVILLE, KY, 40211
215, 6200 PRESTON HWY, LOUISVILLE, KY, 40219
216, 100 E SOUTHLAND BLVD, LOUISVILLE, KY, 40214
217, 3400 SHAGBARK RD, LOUISVILLE, KY, 40216
218, 2900 BANK ST, LOUISVILLE, KY, 40212
219, 5300 S 3RD ST, LOUISVILLE, KY, 40214
220, 2500 ROWAN ST, LOUISVILLE, KY, 40212
221, 1 COLLEGE CT, LOUISVILLE, KY, 40203
222, 2900 FERN VALLEY RD, LOUISVILLE, KY, 40213
223, 5500 HAMES TRCE, LOUISVILLE, KY, 40291
224, 1400 W JEFFERSON ST, LOUISVILLE, KY, 40203
225, 1800 BERRY BLVD, LOUISVILLE, KY, 40215
226, 1100 ROYAL GARDENS CT, LOUISVILLE, KY, 40214
227, 8400 NATIONAL TPKE, LOUISVILLE, KY, 40214
228, 3100 FORDHAVEN RD, LOUISVILLE, KY, 40214
229, N 22ND ST / LYTLE ST, LOUISVILLE, KY, 40203
230, 1 COLONIAL OAKS CT, LOUISVILLE, KY, 40214
231, 1500 BELLAMY PL, LOUISVILLE, KY, 40208
232, 4100 W BROADWAY, LOUISVILLE, KY, 40211
233, 900 W BROADWAY, LOUISVILLE, KY, 40203
234, 6800 BROOKLAWN DR, LOUISVILLE, KY, 40214
235, 1100 LINCOLN AVE, LOUISVILLE, KY, 40208
236, 12400 LA GRANGE RD, LOUISVILLE, KY, 40245
237, 1400 FRANKFORT AVE, LOUISVILLE, KY, 40206
238, 6200 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40228
239, 700 EASTERN PKY, LOUISVILLE, KY, 40217
240, 1200 CEDAR CT, LOUISVILLE, KY, 40203
241, 2500 W BROADWAY, LOUISVILLE, KY, 40211
242, 3000 FREYS HILL RD, LOUISVILLE, KY, 40223
243, 3400 BRECKENRIDGE LN, LOUISVILLE, KY, 40220
244, 400 S 12TH ST, LOUISVILLE, KY, 40203
245, 500 S 2ND ST, LOUISVILLE, KY, 40202
246, 600 BARRET AVE, LOUISVILLE, KY, 40204
247, 1600 MOORE CT, LOUISVILLE, KY, 40210
248, S 26TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40211
249, S 4TH ST / W OAK ST, LOUISVILLE, KY, 40203
250, 1200 S 2ND ST, LOUISVILLE, KY, 40203
251, 1300 BARDSTOWN RD, LOUISVILLE, KY, 40204
252, DIXIE HWY / WILSON AVE, LOUISVILLE, KY, 40210
253, 1500 DIXIE HWY, LOUISVILLE, KY, 40210
254, 200 E BROADWAY, LOUISVILLE, KY, 40202
255, LONGFIELD AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
256, 1400 S 2ND ST, LOUISVILLE, KY, 40208
257, 3900 SHELBYVILLE RD, LOUISVILLE, KY, 40207
258, S 7TH ST / ALGONQUIN PKY, LOUISVILLE, KY, 40208
259, 5300 MILNER RD, LOUISVILLE, KY, 40216
260, 1700 DUMESNIL ST, LOUISVILLE, KY, 40210
261, 2600 LE BLANC CT, LOUISVILLE, KY, 40206
262, 2600 VIRGINIA AVE, LOUISVILLE, KY, 40211
263, 2700 S 4TH ST, LOUISVILLE, KY, 40208
264, 300 W BROADWAY, LOUISVILLE, KY, 40202
265, 3600 FERN VALLEY RD, LOUISVILLE, KY, 40219
266, 400 S 8TH ST, LOUISVILLE, KY, 40203
267, 600 WINKLER AVE, LOUISVILLE, KY, 40208
268, 2000 PEABODY LN, LOUISVILLE, KY, 40218
269, 800 S JACKSON ST, LOUISVILLE, KY, 40203
270, 1700 BOLLING AVE, LOUISVILLE, KY, 40210
271, 400 S 2ND ST, LOUISVILLE, KY, 40202
272, 500 S 18TH ST, LOUISVILLE, KY, 40203
273, 600 E OAK ST, LOUISVILLE, KY, 40203
274, 6500 HACKEL DR, LOUISVILLE, KY, 40258
275, S 26TH ST / W MARKET ST, LOUISVILLE, KY, 40212
276, 500 E ORMSBY AVE, LOUISVILLE, KY, 40203
277, 8000 DIXIE HWY, LOUISVILLE, KY, 40258
278, 1500 CRUMS LN, LOUISVILLE, KY, 40216
279, 4800 SADDLEBROOK LN, LOUISVILLE, KY, 40216
280, 9200 PRESTON HWY, LOUISVILLE, KY, 40229
281, CENTRAL AVE / TAYLOR BLVD, LOUISVILLE, KY, 40208
282, 1200 MOORE CT, LOUISVILLE, KY, 40210
283, 4500 BROADLEAF DR, LOUISVILLE, KY, 40216
284, 4600 WATTBOURNE LN, LOUISVILLE, KY, 40299
