12001, 2600 PINDELL AVE, LOUISVILLE, KY, 40217
12002, 2600 SOUTH PARK RD, LOUISVILLE, KY, 40219
12003, 2700 AUDLEY DR, LOUISVILLE, KY, 40206
12004, 2700 OUTER LOOP, LOUISVILLE, KY, 40219
12005, 2700 STEPHAN RD, LOUISVILLE, KY, 40214
12006, 2800 BROOKDALE AVE, LOUISVILLE, KY, 40220
12007, 2800 CONROY PL, LOUISVILLE, KY, 40218
12008, 2800 GRINSTEAD DR, LOUISVILLE, KY, 40206
12009, 2800 MAGAZINE ST, LOUISVILLE, KY, 40211
12010, 2800 PACKERLAND WAY, LOUISVILLE, KY, 40213
12011, 2800 THISTLEWOOD DR, LOUISVILLE, KY, 40206
12012, 2800 TIMBER HILLS RD, LOUISVILLE, KY, 40214
12013, 2900 DR WILLIAM G WEATHERS DR, LOUISVILLE, KY, 40210
12014, 2900 EDMONIA AVE, LOUISVILLE, KY, 40220
12015, 2900 ENGLISH AVE, LOUISVILLE, KY, 40206
12016, 2900 EXPLORER DR, LOUISVILLE, KY, 40218
12017, 2900 FORDHAVEN RD, LOUISVILLE, KY, 40214
12018, 2900 GLENAFTON LN, LOUISVILLE, KY, 40217
12019, 2900 MONTANA AVE, LOUISVILLE, KY, 40208
12020, 2900 PETTY JAY RD, LOUISVILLE, KY, 40220
12021, 2900 POMEROY DR, LOUISVILLE, KY, 40218
12022, 2900 WINTERHAVEN RD, LOUISVILLE, KY, 40220
12023, 300 BYRNE AVE, LOUISVILLE, KY, 40209
12024, 300 CALDWELL ST, LOUISVILLE, KY, 40203
12025, 300 CHENOWETH LN, LOUISVILLE, KY, 40207
12026, 300 CORNWALLIS CT, LOUISVILLE, KY, 40214
12027, 300 CRESCENT SPRING DR, LOUISVILLE, KY, 40206
12028, 300 E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
12029, 300 E WITHERSPOON ST, LOUISVILLE, KY, 40202
12030, 300 HATCHER AVE, LOUISVILLE, KY, 40214
12031, 300 MACKIE LN, LOUISVILLE, KY, 40214
12032, 300 MIDDLETOWN PARK PL, LOUISVILLE, KY, 40243
12033, 300 N 17TH ST, LOUISVILLE, KY, 40203
12034, 300 ROY WILKINS AVE, LOUISVILLE, KY, 40203
12035, 300 W BLOOM ST, LOUISVILLE, KY, 40208
12036, 300 WELBURN DR, LOUISVILLE, KY, 40218
12037, 300 WILLOW STONE WAY, LOUISVILLE, KY, 40223
12038, 3000 BEALS BRANCH DR, LOUISVILLE, KY, 40206
12039, 3000 BEAUMONT RD, LOUISVILLE, KY, 40205
12040, 3000 GERALD DR, LOUISVILLE, KY, 40211
12041, 3000 LENOVER DR, LOUISVILLE, KY, 40216
12042, 3000 LONG CREEK WAY, LOUISVILLE, KY, 40245
12043, 3000 POPLAR LEVEL RD, LOUISVILLE, KY, 40213
12044, 3100 COMMERCE CENTER PL, LOUISVILLE, KY, 40211
12045, 3100 KRASHEY WAY, LOUISVILLE, KY, 40213
12046, 3100 S 4TH ST, LOUISVILLE, KY, 40208
12047, 3100 VOGUE AVE, LOUISVILLE, KY, 40220
12048, 3200 BROECK POINTE CIR, LOUISVILLE, KY, 40241
12049, 3200 LEXINGTON RD, LOUISVILLE, KY, 40206
12050, 3200 POND STATION RD, LOUISVILLE, KY, 40272
12051, 3200 WELLINGMOOR AVE, LOUISVILLE, KY, 40218
12052, 3300 AUTUMN WAY, LOUISVILLE, KY, 40218
12053, 3300 LINDENWOOD DR, LOUISVILLE, KY, 40216
12054, 3300 STONY BROOK DR, LOUISVILLE, KY, 40299
12055, 3400 7TH STREET RD, LOUISVILLE, KY, NA
12056, 3400 BELMONT CT, LOUISVILLE, KY, 40218
12057, 3400 BROOKHOLLOW DR, LOUISVILLE, KY, 40220
12058, 3400 FRANKFORT AVE, LOUISVILLE, KY, 40207
12059, 3400 TUBA DR, LOUISVILLE, KY, 40216
12060, 3500 KIRBY LN, LOUISVILLE, KY, 40299
12061, 3500 STONY BROOK DR, LOUISVILLE, KY, 40299
12062, 3600 BLEVINS GAP RD, LOUISVILLE, KY, 40272
12063, 3600 LOCKLEE RD, LOUISVILLE, KY, 40214
12064, 3600 PINELAND DR, LOUISVILLE, KY, 40219
12065, 3700 CARPENTER DR, LOUISVILLE, KY, 40229
12066, 3700 LEES LN, LOUISVILLE, KY, 40216
12067, 3700 MONTCLAIR AVE, LOUISVILLE, KY, 40218
12068, 3700 OAKDALE AVE, LOUISVILLE, KY, 40214
12069, 3700 SOUTH PARK RD, LOUISVILLE, KY, 40219
12070, 3700 VALDOSTA AVE, LOUISVILLE, KY, 40218
12071, 3800 CHATHAM RD, LOUISVILLE, KY, 40218
12072, 3800 CRESSINGTON PL, LOUISVILLE, KY, 40245
12073, 3800 SONOMA LN, LOUISVILLE, KY, 40219
12074, 3900 BRITT LN, LOUISVILLE, KY, 40219
12075, 3900 HILLCROSS DR, LOUISVILLE, KY, 40229
12076, 3900 WEWOKA AVE, LOUISVILLE, KY, 40212
12077, 3900 WOODED WAY, LOUISVILLE, KY, 40219
12078, 3RD STREET RD / HOLIDAY DR, LOUISVILLE, KY, 40272
12079, 400 HIGHWOOD DR, LOUISVILLE, KY, 40206
12080, 400 LIGHTFOOT RD, LOUISVILLE, KY, 40207
12081, 400 OUTER LOOP, LOUISVILLE, KY, 40214
12082, 4000 HURSTBOURNE WOODS DR, LOUISVILLE, KY, 40299
