13001, 8600 MCKENNA WAY, LOUISVILLE, KY, 40291
13002, 8600 WHIPPS MILL RD, LOUISVILLE, KY, 40222
13003, 8700 CEDAR CREEK RD, LOUISVILLE, KY, 40291
13004, 8700 FILSON FIELDS CT, LOUISVILLE, KY, 40219
13005, 8700 GAINSBOROUGH DR, LOUISVILLE, KY, 40291
13006, 8700 MINOR LN, LOUISVILLE, KY, 40219
13007, 8700 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
13008, 8700 ZABEL WAY, LOUISVILLE, KY, 40291
13009, 8800 HUDSON LN, LOUISVILLE, KY, 40291
13010, 8800 STAGHORN DR, LOUISVILLE, KY, 40242
13011, 8800 THOMPSON LN, LOUISVILLE, KY, 40258
13012, 8900 ANNLOU DR, LOUISVILLE, KY, 40272
13013, 8900 LAKERIDGE DR, LOUISVILLE, KY, 40272
13014, 8900 SHEVIE DR, LOUISVILLE, KY, 40272
13015, 8900 SMITH LN, LOUISVILLE, KY, 40291
13016, 8900 THIXTON LN, LOUISVILLE, KY, 40229
13017, 8900 WALTLEE RD, LOUISVILLE, KY, 40291
13018, 900 EXMOOR AVE, LOUISVILLE, KY, 40223
13019, 900 FRENCH AVE, LOUISVILLE, KY, 40217
13020, 900 GLENRIDGE DR, LOUISVILLE, KY, 40242
13021, 900 LAKE FOREST PKY, LOUISVILLE, KY, 40245
13022, 900 OXMOOR WOODS PKY, LOUISVILLE, KY, 40222
13023, 900 S 25TH ST, LOUISVILLE, KY, 40210
13024, 900 STANLEY AVE, LOUISVILLE, KY, 40215
13025, 9000 CHENAULT RD, LOUISVILLE, KY, 40258
13026, 9000 DAWSON HILL RD, LOUISVILLE, KY, 40299
13027, 9000 DORRANCE DR, LOUISVILLE, KY, 40258
13028, 9000 GRAND POINTE CT, LOUISVILLE, KY, 40214
13029, 9000 HURSTWOOD CT, LOUISVILLE, KY, 40222
13030, 9000 LETHBOROUGH DR, LOUISVILLE, KY, 40299
13031, 9000 MAHONEY DR, LOUISVILLE, KY, 40258
13032, 9000 MARKSFIELD RD, LOUISVILLE, KY, 40222
13033, 9100 GAYLE DR, LOUISVILLE, KY, 40272
13034, 9200 BURGOO KING RD, LOUISVILLE, KY, 40272
13035, 9200 CEDAR SPRINGS CT, LOUISVILLE, KY, 40291
13036, 9200 PINE SPRINGS DR, LOUISVILLE, KY, 40291
13037, 9200 RIVER TRAIL DR, LOUISVILLE, KY, 40229
13038, 9200 TANGLEY LN, LOUISVILLE, KY, 40242
13039, 9200 WELLINGTON HILL CT, LOUISVILLE, KY, 40291
13040, 9300 SPRINGBROOKE CIR, LOUISVILLE, KY, 40241
13041, 9300 TRENTHAM LN, LOUISVILLE, KY, 40242
13042, 9400 CLUBVIEW DR, LOUISVILLE, KY, 40291
13043, 9400 FARMSTEAD LN, LOUISVILLE, KY, 40291
13044, 9400 HIGH BROOK CT, LOUISVILLE, KY, 40291
13045, 9400 HOLIDAY DR, LOUISVILLE, KY, 40272
13046, 9400 STONELANDING PL, LOUISVILLE, KY, 40272
13047, 9500 INDEPENDENCE SCHOOL RD, LOUISVILLE, KY, 40291
13048, 9500 JOHNSONTOWN WAY, LOUISVILLE, KY, 40258
13049, 9600 CLUBVIEW DR, LOUISVILLE, KY, 40291
13050, 9600 HUDSON LN, LOUISVILLE, KY, 40291
13051, 9600 LOFT LN, LOUISVILLE, KY, 40291
13052, 9600 POLARIS DR, LOUISVILLE, KY, 40229
13053, 9600 SHOSHONE WAY, LOUISVILLE, KY, 40258
13054, 9600 TITAN DR, LOUISVILLE, KY, 40229
13055, 9700 COLLIER LN, LOUISVILLE, KY, 40291
