15001, 12200 LOWER RIVER RD, LOUISVILLE, KY, 40272
15002, 12200 OLD LA GRANGE RD, LOUISVILLE, KY, 40223
15003, 12300 TAYLORSVILLE RD, LOUISVILLE, KY, 40299
15004, 12300 WINCHESTER WOODS PL, LOUISVILLE, KY, 40223
15005, 12400 BRISTOL BAY PL, LOUISVILLE, KY, 40245
15006, 12400 DOMINION WAY, LOUISVILLE, KY, 40299
15007, 12600 LEDGES DR, LOUISVILLE, KY, 40243
15008, 12600 WESTPORT RD, LOUISVILLE, KY, 40245
15009, 12700 MACKINAW DR, LOUISVILLE, KY, 40243
15010, 12700 ST CLAIR DR, LOUISVILLE, KY, 40243
15011, 12800 BAY TREE WAY, LOUISVILLE, KY, 40245
15012, 12900 TAYLORSVILLE RD, LOUISVILLE, KY, 40299
15013, 12900 WILLOW FOREST DR, LOUISVILLE, KY, 40245
15014, 1300 BEE LN, LOUISVILLE, KY, 40243
15015, 1300 BERNHEIM LN, LOUISVILLE, KY, 40210
15016, 1300 BRAMLAGE CT, LOUISVILLE, KY, 40219
15017, 1300 CASTLEWOOD DELL, LOUISVILLE, KY, 40204
15018, 1300 DONARD PARK AVE, LOUISVILLE, KY, 40218
15019, 1300 DORIS DR, LOUISVILLE, KY, 40118
15020, 1300 ETAWAH AVE, LOUISVILLE, KY, 40222
15021, 1300 LANCASTER PL, LOUISVILLE, KY, 40222
15022, 1300 N POPE LICK RD, LOUISVILLE, KY, 40299
15023, 1300 SOUTH PARK RD, LOUISVILLE, KY, 40118
15024, 1300 W KENTUCKY ST, LOUISVILLE, KY, 40210
15025, 13000 SHAMUS CT, LOUISVILLE, KY, 40299
15026, 13100 FOREST CENTRE CT, LOUISVILLE, KY, 40223
15027, 13200 BESSELS BLVD, LOUISVILLE, KY, 40272
15028, 13200 MAGISTERIAL DR, LOUISVILLE, KY, 40223
15029, 13600 BROKEN BRANCH WAY, LOUISVILLE, KY, 40245
15030, 13600 SUREFIRE LN, LOUISVILLE, KY, 40245
15031, 13700 AIKEN RD, LOUISVILLE, KY, 40245
15032, 13800 SHELBYVILLE RD, LOUISVILLE, KY, 40245
15033, 1400 BAXTER AVE, LOUISVILLE, KY, 40204
15034, 1400 BLUE VALE WAY, LOUISVILLE, KY, 40222
15035, 1400 BRAMLAGE CT, LOUISVILLE, KY, 40219
15036, 1400 BROWNS LN, LOUISVILLE, KY, 40207
15037, 1400 CROSSTIMBERS DR, LOUISVILLE, KY, 40245
15038, 1400 JUNIPER DR, LOUISVILLE, KY, 40222
15039, 1400 LEVERING ST, LOUISVILLE, KY, 40208
15040, 1400 S 9TH ST, LOUISVILLE, KY, 40210
15041, 14000 CYPRESS GLEN DR, LOUISVILLE, KY, 40245
15042, 14100 GLENDOWER DR, LOUISVILLE, KY, 40245
15043, 14100 MARLEY PL, LOUISVILLE, KY, 40245
15044, 14100 SPRING MILL RD, LOUISVILLE, KY, 40245
15045, 14100 VICTORY RIDGE DR, LOUISVILLE, KY, 40245
15046, 14500 FAWN HILL PL, LOUISVILLE, KY, 40245
15047, 1500 HICKORY ST, LOUISVILLE, KY, 40217
15048, 1500 PENILE RD, LOUISVILLE, KY, 40272
15049, 1500 S 13TH ST, LOUISVILLE, KY, 40210
15050, 1500 THACKERAY DR, LOUISVILLE, KY, 40205
15051, 15000 FOREST OAKS DR, LOUISVILLE, KY, 40245
15052, 15200 CHESTNUT RIDGE CIR, LOUISVILLE, KY, 40245
15053, 15300 ROYAL TROON AVE, LOUISVILLE, KY, 40245
15054, 15300 SHELBYVILLE RD, LOUISVILLE, KY, 40245
15055, 15400 TIMMONS WAY, LOUISVILLE, KY, 40245
15056, 15700 BECKLEY HILLS DR, LOUISVILLE, KY, 40245
15057, 1600 BRASHEAR DR, LOUISVILLE, KY, 40210-
15058, 1600 CROSSRIDGE LN, LOUISVILLE, KY, 40222
15059, 1600 DAWN DR, LOUISVILLE, KY, 40216
15060, 1600 FRANK STANLEY SR CT, LOUISVILLE, KY, 40211
15061, 1600 ORMSBY STATION CT, LOUISVILLE, KY, 40223
15062, 1600 SADIE LN, LOUISVILLE, KY, 40216
15063, 1600 SHADY LN, LOUISVILLE, KY, 40205
15064, 1600 TWO SPRINGS PL, LOUISVILLE, KY, 40207
15065, 1600 W MAIN ST, LOUISVILLE, KY, 40203
15066, 16100 SHELBYVILLE RD, LOUISVILLE, KY, 40245
15067, 1700 COLUMBIA ST, LOUISVILLE, KY, 40203
15068, 1700 EASTPOINT PKY, LOUISVILLE, KY, 40223
15069, 1700 FRASER DR, LOUISVILLE, KY, 40205
15070, 1700 GRIFFIN GATE RD, LOUISVILLE, KY, 40205
15071, 1700 LEE CT, LOUISVILLE, KY, 40217
15072, 1700 SHELBY RD, LOUISVILLE, KY, 40213
15073, 1700 SHERIDAN AVE, LOUISVILLE, KY, 40213
15074, 1700 TELLURIDE WAY, LOUISVILLE, KY, 40223
15075, 1700 TRENT AVE, LOUISVILLE, KY, 40216
15076, 1700 WASHINGTON BLVD, LOUISVILLE, KY, 40242
15077, 1700 YALE DR, LOUISVILLE, KY, 40205
15078, 17100 MALLET HILL DR, LOUISVILLE, KY, 40245
15079, 17300 SEVEN GREEN LN, LOUISVILLE, KY, 40245
15080, 17900 BIRCH BEND CIR, LOUISVILLE, KY, 40023
15081, 1800 ASHFIELD LN, LOUISVILLE, KY, 40220
15082, 1800 BLANKENBAKER PKY, LOUISVILLE, KY, 40299
15083, 1800 CLARK STATION RD, LOUISVILLE, KY, 40023
15084, 1800 MYDDLETON DR, LOUISVILLE, KY, 40243
15085, 1800 NORRIS PL, LOUISVILLE, KY, 40205
15086, 1800 OLD BLUEGRASS AVE, LOUISVILLE, KY, 40215
15087, 1800 S 11TH ST, LOUISVILLE, KY, 40208
15088, 1800 S ENGLISH STATION RD, LOUISVILLE, KY, 40299
15089, 18300 STANDWICK DR, LOUISVILLE, KY, 40245
15090, 1900 BLUEGRASS AVE, LOUISVILLE, KY, 40216
15091, 1900 GARRS LN, LOUISVILLE, KY, 40216
15092, 1900 GRAND RIDGE RD, LOUISVILLE, KY, 40214
15093, 1900 HAMPDEN CT, LOUISVILLE, KY, 40205
15094, 1900 LAMPTER ST, LOUISVILLE, KY, 40216
15095, 1900 LAUDERDALE RD, LOUISVILLE, KY, 40205
15096, 1900 MARICOPA CT, LOUISVILLE, KY, 40223
15097, 1900 PALATKA RD, LOUISVILLE, KY, 40214
15098, 1900 RIVA RIDGE RD, LOUISVILLE, KY, 40214
15099, 1900 ROCKFORD LN, LOUISVILLE, KY, 40216
15100, 200 BECKLEY CREEK PKY, LOUISVILLE, KY, 40245
15101, 200 BELLEMEADE RD, LOUISVILLE, KY, 40222
15102, 200 BUCKLAND TRCE, LOUISVILLE, KY, 40245
15103, 200 CASA BELLA CT, LOUISVILLE, KY, 40220
15104, 200 CORALBERRY RD, LOUISVILLE, KY, 40207
15105, 200 FEDERAL CT, LOUISVILLE, KY, 40214
15106, 200 FENLEY AVE, LOUISVILLE, KY, 40206
15107, 200 N 29TH ST, LOUISVILLE, KY, 40212
15108, 200 N 46TH ST, LOUISVILLE, KY, 40212
15109, 200 OXFORDSHIRE LN, LOUISVILLE, KY, 40222
15110, 200 SOUTH HAMPTON RD, LOUISVILLE, KY, 40223
15111, 200 STILLWOOD CT, LOUISVILLE, KY, 40223
15112, 200 STILZ AVE, LOUISVILLE, KY, 40206
15113, 200 VALE RD, LOUISVILLE, KY, 40223
15114, 200 W LANSING AVE, LOUISVILLE, KY, 40214
15115, 200 WILLIS DR, LOUISVILLE, KY, 40118
15116, 2000 GRIFFITHS AVE, LOUISVILLE, KY, 40203
15117, 2000 INDUSTRIAL BLVD, LOUISVILLE, KY, 40219
15118, 2000 JEFFERSON ST, LOUISVILLE, KY, 40203
15119, 2000 MEADOWGATE LN, LOUISVILLE, KY, 40223
15120, 2000 STRATHMOOR BLVD, LOUISVILLE, KY, 40205
