16001, 11000 WALBRIDGE CT, LOUISVILLE, KY, 40299
16002, 11100 BLUE LICK RD, LOUISVILLE, KY, 40229
16003, 11100 COVENTRY GREENS DR, LOUISVILLE, KY, 40241
16004, 11100 RED MAPLE CT, LOUISVILLE, KY, 40229
16005, 11100 ROCK BEND WAY, LOUISVILLE, KY, 40241
16006, 11200 BAKERS FALLS CT, LOUISVILLE, KY, 40299
16007, 11200 BLUE LICK RD, LOUISVILLE, KY, 40229
16008, 11200 BODLEY DR, LOUISVILLE, KY, 40223
16009, 11200 GARDEN TRACE DR, LOUISVILLE, KY, 40229
16010, 11200 GREEN ASH CT, LOUISVILLE, KY, 40229
16011, 11300 BLUE LICK RD, LOUISVILLE, KY, 40229
16012, 11300 COTTAGE VIEW CT, LOUISVILLE, KY, 40299
16013, 11300 MAPLE BROOK DR, LOUISVILLE, KY, 40241
16014, 11300 PENCROSS CT, LOUISVILLE, KY, 40223
16015, 11300 SULLIVAN CT, LOUISVILLE, KY, 40229
16016, 11300 TAZWELL DR, LOUISVILLE, KY, 40241
16017, 11400 FLOWERVALE LN, LOUISVILLE, KY, 40272
16018, 11400 HOLSCLAW HILL RD, LOUISVILLE, KY, 40118
16019, 11500 BLANKENBAKER ACCESS DR, LOUISVILLE, KY, 40299
16020, 11600 DEUTSCH FARM RD, LOUISVILLE, KY, 40229
16021, 11600 OAK PINE CT, LOUISVILLE, KY, 40291
16022, 11600 VISTA CLUB DR, LOUISVILLE, KY, 40291
16023, 11700 FOUNTAIN HALL CT, LOUISVILLE, KY, 40299
16024, 11700 FRANK AVE, LOUISVILLE, KY, 40243
16025, 11800 NANSEMOND CIR, LOUISVILLE, KY, 40245
16026, 11800 OLD SHELBYVILLE RD, LOUISVILLE, KY, 40243
16027, 11800 POPLARWOOD DR, LOUISVILLE, KY, 40272
16028, 11900 BRAGG AVE, LOUISVILLE, KY, 40243
16029, 11900 E ORELL RD, LOUISVILLE, KY, 40272
16030, 11900 LOWER RIVER RD, LOUISVILLE, KY, 40272
16031, 11900 POND CREEK DR, LOUISVILLE, KY, 40272
16032, 1200 BENTON AVE, LOUISVILLE, KY, 40204
16033, 1200 INVERARY CT, LOUISVILLE, KY, 40222
16034, 1200 S 10TH ST, LOUISVILLE, KY, 40210
16035, 1200 S 43RD ST, LOUISVILLE, KY, 40211
16036, 12000 EDENWOOD DR, LOUISVILLE, KY, 40243
16037, 12200 MEADOW LN, LOUISVILLE, KY, 40243
16038, 12300 BRISTOL BAY PL, LOUISVILLE, KY, 40245
16039, 12300 LOWER RIVER RD, LOUISVILLE, KY, 40272
16040, 12300 MCCANDLESS DR, LOUISVILLE, KY, 40272
16041, 12400 LOWER RIVER RD, LOUISVILLE, KY, 40272
16042, 125 I65N, LOUISVILLE, KY, 40229
16043, 12600 BERRYTOWN RD, LOUISVILLE, KY, 40223
16044, 12600 REHL RD, LOUISVILLE, KY, 40299
16045, 12700 CASTLE RD, LOUISVILLE, KY, 40272
16046, 12700 URTON LN, LOUISVILLE, KY, 40243
16047, 1300 BROOKHURST CT, LOUISVILLE, KY, 40219
16048, 1300 ROSEWELL AVE, LOUISVILLE, KY, 40211
16049, 1300 S HURSTBOURNE PKY, LOUISVILLE, KY, NA
16050, 13100 LAVENIA LN, LOUISVILLE, KY, 40272
16051, 13100 SEATONVILLE RD, LOUISVILLE, KY, 40299
16052, 13200 LAVENIA LN, LOUISVILLE, KY, 40272
16053, 13200 STEPPING STONE WAY, LOUISVILLE, KY, 40299
16054, 13300 DATA VAULT DR, LOUISVILLE, KY, 40223
16055, 13300 SHADY CREEK CIR, LOUISVILLE, KY, 40299
16056, 13500 SADDLECREEK DR, LOUISVILLE, KY, 40245
16057, 13600 SCOTTS GAP RD, LOUISVILLE, KY, 40272
16058, 13700 WILLOW REED DR, LOUISVILLE, KY, 40299
16059, 13900 AIKEN RD, LOUISVILLE, KY, 40245
16060, 1400 ARNOLD PALMER BLVD, LOUISVILLE, KY, 40245
16061, 1400 CASTLEWOOD AVE, LOUISVILLE, KY, 40204
16062, 1400 HADLEIGH PL, LOUISVILLE, KY, 40222
16063, 1400 MILL RACE RD, LOUISVILLE, KY, 40242
16064, 1400 NORTHWESTERN PKY, LOUISVILLE, KY, 40203
16065, 1400 ROWAN ST, LOUISVILLE, KY, 40203
16066, 1400 S 41ST ST, LOUISVILLE, KY, 40211
16067, 1400 TYLER PARK DR, LOUISVILLE, KY, 40204
16068, 1400 W MADISON ST, LOUISVILLE, KY, 40203
16069, 14100 LANGLAND PL, LOUISVILLE, KY, 40245
16070, 14200 DIXIE HWY, LOUISVILLE, KY, 40272
16071, 14200 TROON DR, LOUISVILLE, KY, 40245
16072, 14300 WOODLAND RIDGE DR, LOUISVILLE, KY, 40245
16073, 14400 DIXIE HWY, LOUISVILLE, KY, 40272
16074, 14400 ESTATE RIDGE BLVD, LOUISVILLE, KY, 40291
16075, 14400 OLD HENRY RD, LOUISVILLE, KY, 40245
16076, 14500 OLD TAYLORSVILLE RD, LOUISVILLE, KY, 40299
16077, 14600 INSPIRATION CT, LOUISVILLE, KY, 40245
16078, 14800 FOREST OAKS DR, LOUISVILLE, KY, 40245
16079, 14800 LANDIS LAKES DR, LOUISVILLE, KY, 40245
16080, 1500 COWLING AVE, LOUISVILLE, KY, 40205
16081, 1500 EASTBRIDGE CT, LOUISVILLE, KY, 40223
16082, 1500 FLAT ROCK RD, LOUISVILLE, KY, 40245
16083, 1500 FRANKFORT AVE, LOUISVILLE, KY, 40206
16084, 1500 HAWKSHEAD LN, LOUISVILLE, KY, 40220
16085, 1500 HOBART CT, LOUISVILLE, KY, 40216
16086, 1500 PARKER HOLLOW DR, LOUISVILLE, KY, 40223
16087, 1500 PAULA CT, LOUISVILLE, KY, 40216
16088, 1500 PAYNE ST, LOUISVILLE, KY, 40206
16089, 15700 SHELBYVILLE RD, LOUISVILLE, KY, 40245
16090, 1600 ADELIA AVE, LOUISVILLE, KY, 40210
16091, 1600 BLUE JAY DR, LOUISVILLE, KY, 40222
16092, 1600 CHEROKEE RD, LOUISVILLE, KY, 40205
16093, 1600 DEVON CT, LOUISVILLE, KY, 40242
16094, 1600 RANGELAND RD, LOUISVILLE, KY, 40218
16095, 1600 TREVILIAN WAY, LOUISVILLE, KY, 40205
16096, 16000 SHELBYVILLE RD, LOUISVILLE, KY, 40245
16097, 16300 CROOKED LN, LOUISVILLE, KY, 40023
