17001, RED LEAF RD / REGENT WAY, LOUISVILLE, KY, 40218
17002, REVOLUTIONARY RD / TOLLS LN, LOUISVILLE, KY, 40214
17003, RIDGECREST RD / RURAL WAY, LOUISVILLE, KY, 40218
17004, RURAL WAY / RUSTIC WAY, LOUISVILLE, KY, 40218
17005, S 12TH ST / ST LOUIS AVE, LOUISVILLE, KY, 40210
17006, S 15TH ST / W LEE ST, LOUISVILLE, KY, 40210
17007, S 16TH ST / MAPLE ST, LOUISVILLE, KY, 40210
17008, S 16TH ST / W LEE ST, LOUISVILLE, KY, 40210
17009, S 17TH ST / BOLLING AVE, LOUISVILLE, KY, 40210
17010, S 19TH ST / GREEN ALY, LOUISVILLE, KY, 40203
17011, S 1ST ST / E KINGSTON AVE, LOUISVILLE, KY, 40214
17012, S 1ST ST / E LEE ST, LOUISVILLE, KY, 40208
17013, S 1ST ST / E MAIN ST, LOUISVILLE, KY, 40202
17014, S 1ST ST / E WELLINGTON AVE, LOUISVILLE, KY, 40214
17015, S 1ST ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
17016, S 20TH ST / GREEN ALY, LOUISVILLE, KY, 40203
17017, S 22ND ST / EDDY ST, LOUISVILLE, KY, 40212
17018, S 23RD ST / RATCLIFFE AVE, LOUISVILLE, KY, 40210
17019, S 23RD ST / W LEE ST, LOUISVILLE, KY, 40210
17020, S 24TH ST / EDDY ST, LOUISVILLE, KY, 40212
17021, S 24TH ST / VORSTER AVE, LOUISVILLE, KY, 40210
17022, S 25TH ST / BOLLING AVE, LOUISVILLE, KY, 40210
17023, S 25TH ST / DUMESNIL ST, LOUISVILLE, KY, 40210
17024, S 25TH ST / W LEE ST, LOUISVILLE, KY, 40210
17025, S 2ND ST / CENTRAL STATION BLVD, LOUISVILLE, KY, 40208
17026, S 2ND ST / W TENNY AVE, LOUISVILLE, KY, 40214
17027, S 32ND ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40211
17028, S 32ND ST / WHITMAN WAY, LOUISVILLE, KY, 40211
17029, S 32ND ST, LOUISVILLE, KY, 40212
17030, S 34TH ST / DEL PARK TER, LOUISVILLE, KY, 40211
17031, S 34TH ST / GREENWOOD AVE, LOUISVILLE, KY, 40211
17032, S 34TH ST / W KENTUCKY ST, LOUISVILLE, KY, 40211
17033, S 35TH ST / DOERHOEFER AVE, LOUISVILLE, KY, 40211
17034, S 36TH ST / DEL PARK TER, LOUISVILLE, KY, 40211
17035, S 38TH ST / BOHNE AVE, LOUISVILLE, KY, 40211
17036, S 39TH ST / DOERHOEFER AVE, LOUISVILLE, KY, 40211
17037, S 39TH ST / GREENWOOD AVE, LOUISVILLE, KY, 40211
17038, S 3RD ST / ALGER AVE, LOUISVILLE, KY, 40214
17039, S 40TH ST / SUNSET AVE, LOUISVILLE, KY, 40211
17040, S 42ND ST / DOERHOEFER AVE, LOUISVILLE, KY, 40211
17041, S 42ND ST / W KENTUCKY ST, LOUISVILLE, KY, 40211
17042, S 5TH ST, LOUISVILLE, KY, 40214
17043, S 6TH ST / BLUEGRASS AVE, LOUISVILLE, KY, 40214
17044, S 7TH ST / CAWTHON ST, LOUISVILLE, KY, 40203
17045, S 7TH ST / CONGRESS ALY, LOUISVILLE, KY, 40202
17046, S 8TH ST / W ST CATHERINE ST, LOUISVILLE, KY, 40203
17047, S BROOK ST / E COLLINS CT, LOUISVILLE, KY, 40214
17048, S CAMPBELL ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40204
17049, S CHARLTON ST / PAYNE ST, LOUISVILLE, KY, 40206
17050, S CLIFTON AVE / PAYNE ST, LOUISVILLE, KY, 40206
17051, S CRUMS LN / SOUTHERN FARM BLVD, LOUISVILLE, KY, 40216
17052, S FLOYD ST / LENNOX AVE, LOUISVILLE, KY, 40209
17053, S HURSTBOURNE PKY / I64, LOUISVILLE, KY, NA
17054, S HURSTBOURNE PKY / PATRIOTS CROSSING TRL, LOUISVILLE, KY, 40228
17055, S HURSTBOURNE PKY / STONY BROOK DR, LOUISVILLE, KY, 40291
17056, S HURSTBOURNE PKY / VIEUX CARRE DR, LOUISVILLE, KY, 40222
17057, S JACKSON ST, LOUISVILLE, KY, 40202
17058, S LYNDON LN / SHELBYVILLE RD, LOUISVILLE, KY, 40222
17059, S PRESTON ST / RAWLINGS ST, LOUISVILLE, KY, 40217
17060, S PRESTON ST / STEIN CT, LOUISVILLE, KY, 40203
17061, SALE AVE / WARREN AVE, LOUISVILLE, KY, 40215
17062, SAMUEL ST / SPRATT ST, LOUISVILLE, KY, 40204
17063, SANDRAY BLVD / WATSON LN, LOUISVILLE, KY, 40272
17064, SHELBYVILLE RD / TEN PIN LN, LOUISVILLE, KY, 40207
