18001, 9700 NORTHRIDGE DR, LOUISVILLE, KY, 40272
18002, 9700 SEATONVILLE RD, LOUISVILLE, KY, 40291
18003, 9800 HILLOCK DR, LOUISVILLE, KY, 40291
18004, 9800 STONESTREET RD, LOUISVILLE, KY, 40272
18005, 9900 CHENOWETH VISTA WAY, LOUISVILLE, KY, 40299
18006, 9900 FRINGE TREE CT, LOUISVILLE, KY, 40241
18007, 9900 INDIAN FALLS DR, LOUISVILLE, KY, 40229
18008, 9900 PHOENIX TRL, LOUISVILLE, KY, 40223
18009, 9900 WHIPPS MILL RD, LOUISVILLE, KY, 40223
18010, 9900 WILLIAMSBOROUGH LN, LOUISVILLE, KY, 40291
18011, ABBEYWOOD RD / WESTPORT RD, LOUISVILLE, KY, 40222
18012, ADA LN / ALICE AVE, LOUISVILLE, KY, 40220
18013, AIKEN RD / FLAT ROCK RD, LOUISVILLE, KY, 40245
18014, ALANMEDE RD / BON AIR AVE, LOUISVILLE, KY, 40205
18015, ALBANY AVE / PAYNE ST, LOUISVILLE, KY, 40206
18016, ALEXANDER AVE / JOHNSONTOWN RD, LOUISVILLE, KY, 40272
18017, ALLMOND AVE / OTTAWA AVE, LOUISVILLE, KY, 40209
18018, ALMA AVE / CHURCHMAN AVE, LOUISVILLE, KY, 40215
18019, ALMA AVE / CRAIG AVE, LOUISVILLE, KY, 40215
18020, ALMA AVE / LA SALLE AVE, LOUISVILLE, KY, 40215
18021, AMPHITHEATER RD / GOLF DR, LOUISVILLE, KY, 40214
18022, ANTONIA WAY / INTERCHANGE DR, LOUISVILLE, KY, 40229
18023, APPLE VALLEY DR / OUTER LOOP, LOUISVILLE, KY, 40228
18024, ARCADE AVE / WEYLER AVE, LOUISVILLE, KY, 40215
18025, ARTHUR ST / I 65 RAMP, LOUISVILLE, KY, 40209
18026, ASH ST / TEXAS AVE, LOUISVILLE, KY, 40217
18027, ASHBY LN / VILLA DR, LOUISVILLE, KY, 40272
18028, ASHLAWN DR / MEADOWLAWN DR, LOUISVILLE, KY, 40272
18029, ASHLEY POINTE DR / PENILE RD, LOUISVILLE, KY, 40272
18030, BARBOUR LN / BROWNSBORO RD, LOUISVILLE, KY, 40241
18031, BARDSTOWN RD / FAIRMOUNT RD, LOUISVILLE, KY, 40291
18032, BARDSTOWN RD / HAVENVIEW DR, LOUISVILLE, KY, 40218
18033, BARDSTOWN RD / I 265 RAMP, LOUISVILLE, KY, 40291
18034, BARDSTOWN RD / SPRING GARDEN DR, LOUISVILLE, KY, 40218
18035, BARDSTOWN RD / STORAGE WAY, LOUISVILLE, KY, 40291
18036, BARINGER AVE / WILLOW AVE, LOUISVILLE, KY, 40204
18037, BARONESS AVE / S SHELBY ST, LOUISVILLE, KY, 40203
18038, BARRET AVE / DEBARR ST, LOUISVILLE, KY, 40204
18039, BARRET AVE / STONEWARE ALY, LOUISVILLE, KY, 40204
18040, BAYBERRY PL / HERMITAGE WAY, LOUISVILLE, KY, 40242
18041, BEECH ST / WYANDOTTE AVE, LOUISVILLE, KY, 40210
18042, BEESTON BLVD / WATSON LN, LOUISVILLE, KY, 40272
18043, BELMAR DR / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
18044, BELMAR DR, LOUISVILLE, KY, 40213
18045, BERKSHIRE AVE / BRECKENRIDGE LN, LOUISVILLE, KY, 40220
18046, BERNHEIM LN / WALLIE ANN CT, LOUISVILLE, KY, 40210
18047, BERRY BLVD / PEACHTREE AVE, LOUISVILLE, KY, 40215
18048, BERTRAND ST / GARVIN PL, LOUISVILLE, KY, 40203
18049, BEULAH CHURCH RD / COOPER CHAPEL RD, LOUISVILLE, KY, 40229
18050, BEULAH CHURCH RD / I265, LOUISVILLE, KY, 40228
18051, BICKEL AVE / E MAIN ST, LOUISVILLE, KY, 40206
