24001, I71N / I265S, LOUISVILLE, KY, 40241
24002, I71S / I264W, LOUISVILLE, KY, 40222
24003, I71S / I265S, LOUISVILLE, KY, 40241
24004, I71S / I65, LOUISVILLE, KY, 40206
24005, ILEX AVE / PLANTUS PL, LOUISVILLE, KY, 40213
24006, ILLINOIS AVE / TAYLOR AVE, LOUISVILLE, KY, 40213
24007, ILLINOIS AVE / TREVILIAN WAY, LOUISVILLE, KY, 40213
24008, IMPERATOR LN / VENDETTA WAY, LOUISVILLE, KY, 40245
24009, IROQUOIS PKY / MANSLICK RD, LOUISVILLE, KY, 40214
24010, JARVIS WOODS CT / ZORN AVE, LOUISVILLE, KY, 40206
24011, JEANINE DR, LOUISVILLE, KY, 40219
24012, JEFFERSON BLVD / VINCENT STATION WAY, LOUISVILLE, KY, 40219
24013, JOHNSON RD / SHELBYVILLE RD, LOUISVILLE, KY, 40245
24014, JOHNSONTOWN DR / MORNING STAR WAY, LOUISVILLE, KY, 40272
24015, JOHNSONTOWN RD / ALEXANDER AVE, LOUISVILLE, KY, 40272
24016, JOHNSONTOWN RD / LOWER RIVER RD, LOUISVILLE, KY, 40272
24017, JOHNSONTOWN RD / MAHONEY DR, LOUISVILLE, KY, 40272
24018, JOHNSONTOWN RD / THOMPSON LN, LOUISVILLE, KY, 40272
24019, JONQUIL DR / MORNING GLORY LN, LOUISVILLE, KY, 40258
24020, KAHLERT AVE / SEELBACH AVE, LOUISVILLE, KY, 40215
24021, KAISER CT / VIRGINIA AVE, LOUISVILLE, KY, 40211
24022, KEENELAND BLVD / PHOENIX TRL, LOUISVILLE, KY, 40223
24023, KENMORE AVE / LEES LN, LOUISVILLE, KY, 40216
24024, KENMORE AVE / WILMOTH AVE, LOUISVILLE, KY, 40216
24025, KENNY BLVD / MARY ELLEN DR, LOUISVILLE, KY, 40214
24026, KENTON AVE / TAYLOR AVE, LOUISVILLE, KY, 40213
24027, KENTUCKY AVE, LOUISVILLE, KY, 40222
24028, KERRY DR / BASHFORD MANOR LN, LOUISVILLE, KY, 40218
