28001, SHADOW RUN RD / SHADY VILLA DR, LOUISVILLE, KY, 40219
28002, SHADY LN / HARTMAN AVE, LOUISVILLE, KY, 40205
28003, SHADY VILLA CT / SHADY VILLA DR, LOUISVILLE, KY, 40219
28004, SHEBLY CT / STONY BROOK DR, LOUISVILLE, KY, 40291
28005, SHELBY PKY / LOGAN ST, LOUISVILLE, KY, 40204
28006, SHELBYVILLE RD / AIKEN RD, LOUISVILLE, KY, 40243
28007, SHELBYVILLE RD / BIRCHAM RD, LOUISVILLE, KY, 40245
28008, SHELBYVILLE RD / EVERGREEN RD, LOUISVILLE, KY, 40243
28009, SHELBYVILLE RD / I 265 RAMP, LOUISVILLE, KY, 40245
28010, SHELBYVILLE RD / I265N, LOUISVILLE, KY, 40245
28011, SHELBYVILLE RD / N SHERRIN AVE, LOUISVILLE, KY, 40207
28012, SHELBYVILLE RD / OXMOOR LN, LOUISVILLE, KY, 40222
28013, SHELBYVILLE RD / SHELBY STATION DR, LOUISVILLE, KY, 40245
28014, SHELBYVILLE RD / VALHALLA VIEW DR, LOUISVILLE, KY, 40245
28015, SHELBYVILLE RD / WILLIS AVE, LOUISVILLE, KY, 40207
28016, SHELBYVILLE RD / WILMINGTON AVE, LOUISVILLE, KY, 40207
28017, SHELBYVILLE RD, LOUISVILLE, KY, 40223
28018, SHELBYVILLE RD/EVERGREEN RD, LOUISVILLE, KY, NA
28019, SHELVIS DR / TARA GALE DR, LOUISVILLE, KY, 40216
28020, SHENANDOAH DR / SWEET WATER DR, LOUISVILLE, KY, 40241
28021, SHENANDOAH DR / TOLL HOUSE LN, LOUISVILLE, KY, 40241
28022, SHEPHERDSVILLE RD / POPLAR LEVEL RD, LOUISVILLE, KY, 40228
28023, SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
28024, SHERWOOD AVE / BARDSTOWN RD, LOUISVILLE, KY, 40205
28025, SHINGO AVE / WHITMORE AVE, LOUISVILLE, KY, 40215
28026, SHIPPINGPORT ISLAND, LOUISVILLE, KY, 40212
28027, SHIRLEY LN / STEPHAN DR, LOUISVILLE, KY, 40258
28028, SIX MILE LN @ LESWAY CT, LOUISVILLE, KY, 40220
28029, SMITH RD / SOUTH PARK RD, LOUISVILLE, KY, 40118
28030, SMITHTON RD / DEE RD, LOUISVILLE, KY, 40219
28031, SMYRNA PKY / I265S, LOUISVILLE, KY, 40228
28032, SNIVELY AVE / TAYLORSVILLE RD, LOUISVILLE, KY, NA
28033, SOUTH PARK RD / BLUE LICK RD, LOUISVILLE, KY, 40219
28034, SOUTH PARK RD / PRESTON HWY, LOUISVILLE, KY, 40219
28035, SOUTHERN AVE / HEMLOCK ST, LOUISVILLE, KY, 40211
28036, SOUTHERN PKY / I 264 RAMP, LOUISVILLE, KY, 40214
28037, SOUTHERN PKY / W EVELYN AVE, LOUISVILLE, KY, 40214
28038, SOUTHSIDE DR / THALIA AVE, LOUISVILLE, KY, 40214
28039, SOUTHVIEW RD / PALATKA RD, LOUISVILLE, KY, 40214
28040, SOUTHWESTERN PKY / SUNSET AVE, LOUISVILLE, KY, 40211
28041, SOUTHWESTERN PKY / W BROADWAY, LOUISVILLE, KY, 40211
28042, SPARKY WAY / TANGELO DR, LOUISVILLE, KY, 40228
28043, SPEED AVE / SPRING DR, LOUISVILLE, KY, 40205
28044, SPRING DR / VILLAGE DR, LOUISVILLE, KY, 40205
