2001, 1500 BICKNELL AVE, LOUISVILLE, KY, 40215
2002, 1600 GALLAGHER ST, LOUISVILLE, KY, 40210
2003, 1700 GALLAGHER ST, LOUISVILLE, KY, 40210
2004, 1700 MELLWOOD AVE, LOUISVILLE, KY, 40206
2005, 200 E SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40209
2006, 200 N 32ND ST, LOUISVILLE, KY, 40212
2007, 2100 BRADLEY AVE, LOUISVILLE, KY, 40217
2008, 2100 DATE ST, LOUISVILLE, KY, 40210
2009, 2100 ST LOUIS AVE, LOUISVILLE, KY, 40210
2010, 2100 STANDARD AVE, LOUISVILLE, KY, 40210
2011, 2100 UPPER HUNTERS TRCE, LOUISVILLE, KY, 40216
2012, 2200 CEDAR ST, LOUISVILLE, KY, 40212
2013, 2500 BROWNSBORO RD, LOUISVILLE, KY, 40206
2014, 3000 AUTUMN LAKE DR, LOUISVILLE, KY, 40272
2015, 3700 RIVER PARK DR, LOUISVILLE, KY, 40211
2016, 4600 LOWE RD, LOUISVILLE, KY, 40220
2017, 500 E BRECKINRIDGE ST, LOUISVILLE, KY, 40203
2018, 5200 RANGELAND RD, LOUISVILLE, KY, 40219
2019, 600 N 28TH ST, LOUISVILLE, KY, 40212
2020, 6500 HUNTERS CREEK BLVD, LOUISVILLE, KY, 40258
2021, 6600 EVANGELINE AVE, LOUISVILLE, KY, 40214
2022, 700 S 44TH ST, LOUISVILLE, KY, 40211
2023, 800 DENMARK ST, LOUISVILLE, KY, 40215
2024, 800 S 40TH ST, LOUISVILLE, KY, 40211
2025, LYNNHURST AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215
2026, WF - BIG FOUR BRIDGE, LOUISVILLE, KY, 40206
2027, 100 N 43RD ST, LOUISVILLE, KY, 40212
2028, 10100 WHITEOAK PARK RD, LOUISVILLE, KY, 40219
2029, 1200 EUCLID AVE, LOUISVILLE, KY, 40208
2030, 1400 RUFER AVE, LOUISVILLE, KY, 40204
2031, 1500 MAGAZINE ST, LOUISVILLE, KY, 40203
2032, 1600 S 2ND ST, LOUISVILLE, KY, 40208
2033, 1700 SOMERSET PL, LOUISVILLE, KY, 40220
2034, 1700 W ST CATHERINE ST, LOUISVILLE, KY, 40210
2035, 1800 OREGON AVE, LOUISVILLE, KY, 40210
2036, 1800 W MARKET ST, LOUISVILLE, KY, 40203
2037, 1900 BEECH ST, LOUISVILLE, KY, 40210
2038, 200 W HILL ST, LOUISVILLE, KY, 40208
2039, 2800 MONTGOMERY ST, LOUISVILLE, KY, 40212
2040, 2900 DUNCAN ST, LOUISVILLE, KY, 40212
2041, 3000 RIVER PARK DR, LOUISVILLE, KY, 40211
2042, 3200 SILVER SPRINGS DR, LOUISVILLE, KY, 40220
2043, 3300 HIKES LN, LOUISVILLE, KY, 40220
2044, 3700 FRANKFORT AVE, LOUISVILLE, KY, 40207
2045, 4200 WINNROSE WAY, LOUISVILLE, KY, 40211
2046, 500 LAMPTON ST, LOUISVILLE, KY, 40203
2047, 500 M ST, LOUISVILLE, KY, 40208
2048, 500 N 34TH ST, LOUISVILLE, KY, 40212
2049, 500 W EVELYN AVE, LOUISVILLE, KY, 40215
2050, 5400 BOLD VENTURE RD, LOUISVILLE, KY, 40272
2051, 5500 RIATA DR, LOUISVILLE, KY, 40218
2052, 5700 OXFORD PL, LOUISVILLE, KY, 40291
2053, 6100 LEDGEWOOD PKY, LOUISVILLE, KY, 40214
2054, 7300 WESBORO RD, LOUISVILLE, KY, 40222
2055, 800 MILTON ST, LOUISVILLE, KY, 40217
2056, 9900 APPOLLO CT, LOUISVILLE, KY, 40272
2057, BRECKENRIDGE LN / TAYLORSVILLE RD, LOUISVILLE, KY, 40220
2058, N 22ND ST / NORTHWESTERN PKY, LOUISVILLE, KY, 40212
2059, S 22ND ST / W JEFFERSON ST, LOUISVILLE, KY, 40212
2060, S 26TH ST / MAPLE ST, LOUISVILLE, KY, 40211
2061, S 26TH ST / VIRGINIA AVE, LOUISVILLE, KY, 40210
2062, S 28TH ST / W MADISON ST, LOUISVILLE, KY, 40211
2063, S FLOYD ST / E MARKET ST, LOUISVILLE, KY, 40202
2064, 100 N 41ST ST, LOUISVILLE, KY, 40212
2065, 100 N CLIFTON AVE, LOUISVILLE, KY, 40206
2066, 1000 CHARLES ST, LOUISVILLE, KY, 40204
2067, 1000 HIGHLAND AVE, LOUISVILLE, KY, 40204
2068, 1100 WINNERS CIR, LOUISVILLE, KY, 40242
2069, 1400 CYPRESS ST, LOUISVILLE, KY, 40210
2070, 14000 DIXIE HWY, LOUISVILLE, KY, 40272
2071, 1600 PRENTICE ST, LOUISVILLE, KY, 40210
2072, 1600 S 4TH ST, LOUISVILLE, KY, 40208
2073, 2100 W BURNETT AVE, LOUISVILLE, KY, 40210
2074, 2500 GRAND AVE, LOUISVILLE, KY, 40210
2075, 2900 W MARKET ST, LOUISVILLE, KY, 40212
2076, 3200 MELODY ACRES LN, LOUISVILLE, KY, 40216
2077, 3200 WELMAN DR, LOUISVILLE, KY, 40216
2078, 3500 BELLS LN, LOUISVILLE, KY, 40211
2079, 3700 WARREN AVE, LOUISVILLE, KY, 40215
2080, 400 FALLON WAY, LOUISVILLE, KY, 40214
2081, 400 MOUNT HOLLY AVE, LOUISVILLE, KY, 40206
2082, 4000 CANE RUN RD, LOUISVILLE, KY, 40216
2083, 4200 TRIO AVE, LOUISVILLE, KY, 40219
2084, 4300 PRUITT CT, LOUISVILLE, KY, 40218
2085, 4400 CHARLOTTE ANN DR, LOUISVILLE, KY, 40216
2086, 4400 KERN CT, LOUISVILLE, KY, 40218
2087, 4500 BARDSTOWN RD, LOUISVILLE, KY, 40218
2088, 4700 S RUTLAND AVE, LOUISVILLE, KY, 40215
2089, 4700 WALNUT GROVE AVE, LOUISVILLE, KY, 40216
2090, 500 N 31ST ST, LOUISVILLE, KY, 40212
2091, 5200 NEW CUT RD, LOUISVILLE, KY, 40214
2092, 5300 POINDEXTER DR, LOUISVILLE, KY, 40291
2093, 5400 SIR BARTON RD, LOUISVILLE, KY, 40272
2094, 5600 BROKERS TIP LN, LOUISVILLE, KY, 40272
2095, 5700 CAPTAINS QUARTERS RD, LOUISVILLE, KY, 40059
2096, 600 COUNTRY CLUB RD, LOUISVILLE, KY, 40206
2097, 600 EASTLAWN AVE, LOUISVILLE, KY, 40211
2098, 6800 BARFIELD RD, LOUISVILLE, KY, 40258
2099, 7200 GREEN OAK DR, LOUISVILLE, KY, 40258
2100, 900 CENTRAL AVE, LOUISVILLE, KY, 40208
2101, DEERING RD / VALLEY STATION RD, LOUISVILLE, KY, 40272
2102, PRESTON HWY / SOUTH PARK RD, LOUISVILLE, KY, 40219
2103, 100 E ASHLAND AVE, LOUISVILLE, KY, 40214
2104, 1000 LYNNHURST AVE, LOUISVILLE, KY, 40215
2105, 1100 CECIL AVE, LOUISVILLE, KY, 40211
2106, 1200 LONGFIELD AVE, LOUISVILLE, KY, 40215
2107, 12600 SHELBYVILLE RD, LOUISVILLE, KY, 40243
2108, 1900 MAGAZINE ST, LOUISVILLE, KY, 40203
2109, 1900 PORTLAND AVE, LOUISVILLE, KY, 40203
2110, 200 BLANKENBAKER PKY, LOUISVILLE, KY, 40243
2111, 2000 MIDLAND AVE, LOUISVILLE, KY, 40204
2112, 2200 TAYLORSVILLE RD, LOUISVILLE, KY, 40205
2113, 2300 ROWAN ST, LOUISVILLE, KY, 40212
2114, 2400 GRIFFITHS AVE, LOUISVILLE, KY, 40212
2115, 2500 GARLAND AVE, LOUISVILLE, KY, 40211
2116, 300 BECKET AVE, LOUISVILLE, KY, 40118
2117, 3400 VERMONT AVE, LOUISVILLE, KY, 40211
2118, 3500 CARAVAN WAY, LOUISVILLE, KY, 40218
2119, 400 MARSHALL WALK, LOUISVILLE, KY, 40214
2120, 4100 FOREMAN LN, LOUISVILLE, KY, 40219
2121, 4500 BELLEVUE AVE, LOUISVILLE, KY, 40215
2122, 4600 S 6TH ST, LOUISVILLE, KY, 40214
2123, 4600 VALLEY STATION RD, LOUISVILLE, KY, 40272
2124, 5400 HAMES TRCE, LOUISVILLE, KY, 40291
2125, 600 E MARKET ST, LOUISVILLE, KY, 40202
2126, 700 COLORADO AVE, LOUISVILLE, KY, 40208
2127, 700 S PRESTON ST, LOUISVILLE, KY, 40203
2128, 7600 3RD STREET RD, LOUISVILLE, KY, 40214
2129, 900 BLANKENBAKER PKY, LOUISVILLE, KY, 40299
2130, DR W J HODGE ST / W MARKET ST, LOUISVILLE, KY, 40203
2131, E KENTUCKY ST / S SHELBY ST, LOUISVILLE, KY, 40203
2132, LYNDON LN / NEW LA GRANGE RD, LOUISVILLE, KY, 40222
2133, S 41ST ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40212
2134, 100 QUIET CREEK CT, LOUISVILLE, KY, 40229
2135, 100 STATE ST, LOUISVILLE, KY, 40206
2136, 1000 ELLISON AVE, LOUISVILLE, KY, 40204
2137, 1100 PLATO TER, LOUISVILLE, KY, 40211
2138, 1100 SCHILLER AVE, LOUISVILLE, KY, 40204
2139, 12000 DIXIE HWY, LOUISVILLE, KY, 40272
2140, 1300 SCHOLAR ST, LOUISVILLE, KY, 40213
2141, 1400 HASKIN AVE, LOUISVILLE, KY, 40215
2142, 1800 NORTHWESTERN PKY, LOUISVILLE, KY, 40203
2143, 2200 TUCKER STATION RD, LOUISVILLE, KY, 40299
2144, 2500 W MADISON ST, LOUISVILLE, KY, 40211
2145, 2800 S 6TH ST, LOUISVILLE, KY, 40208
2146, 2900 ALFORD AVE, LOUISVILLE, KY, 40212
2147, 300 CECIL AVE, LOUISVILLE, KY, 40212
2148, 3100 NORTHLAND DR, LOUISVILLE, KY, 40216
2149, 3200 MARGEE DR, LOUISVILLE, KY, 40216
2150, 3200 NEW LYNNVIEW DR, LOUISVILLE, KY, 40216
2151, 3300 DUVALLE DR, LOUISVILLE, KY, 40211
2152, 3500 VERMONT AVE, LOUISVILLE, KY, 40211
2153, 3600 DEL PARK TER, LOUISVILLE, KY, 40211
2154, 400 E CHESTNUT ST, LOUISVILLE, KY, 40202
2155, 400 E OAK ST, LOUISVILLE, KY, 40203
2156, 4000 CYPRESS COVE DR, LOUISVILLE, KY, 40218
2157, 4200 VERMONT AVE, LOUISVILLE, KY, 40211
2158, 4200 WALLINGFORD LN, LOUISVILLE, KY, 40218
2159, 4400 VIRGINIA AVE, LOUISVILLE, KY, 40211
2160, 4500 BISHOP LN, LOUISVILLE, KY, 40218
2161, 5200 VIKING WAY, LOUISVILLE, KY, 40272
2162, 5300 CEDRUS CIR, LOUISVILLE, KY, 40213
2163, 600 S 19TH ST, LOUISVILLE, KY, 40203
2164, 6300 TERRY RD, LOUISVILLE, KY, 40258
2165, 6700 BARDSTOWN RD, LOUISVILLE, KY, 40291
2166, 7200 PRESTON HWY, LOUISVILLE, KY, 40219
2167, 8500 PRESTON HWY, LOUISVILLE, KY, 40219
2168, CANE RUN RD / SHANKS LN, LOUISVILLE, KY, 40216
2169, COMMUNITY / LARGE, LOUISVILLE, KY, 40213
2170, RIVER RD / ZORN AVE, LOUISVILLE, KY, 40207
2171, S 3RD ST, LOUISVILLE, KY, 40214
2172, SOUTHSIDE DR / STRAWBERRY LN, LOUISVILLE, KY, 40214
2173, W CHESTNUT ST / ROY WILKINS AVE, LOUISVILLE, KY, 40203
2174, 100 E SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40214
2175, 100 N 21ST ST, LOUISVILLE, KY, 40203
2176, 1000 CAMDEN AVE, LOUISVILLE, KY, 40215
2177, 1000 S HANCOCK ST, LOUISVILLE, KY, 40203
2178, 10500 W MANSLICK RD, LOUISVILLE, KY, 40118
2179, 1100 ASH ST, LOUISVILLE, KY, 40217
2180, 1200 DRIFTWOOD DR, LOUISVILLE, KY, 40272
2181, 1300 SOUTHGATE AVE, LOUISVILLE, KY, 40215
2182, 1600 PHYLLIS AVE, LOUISVILLE, KY, 40215
2183, 1600 W CHESTNUT ST, LOUISVILLE, KY, 40203
2184, 200 GLENDORA AVE, LOUISVILLE, KY, 40212
2185, 200 S SPRING ST, LOUISVILLE, KY, 40206
2186, 2100 7TH STREET RD, LOUISVILLE, KY, 40208
2187, 2100 RATCLIFFE AVE, LOUISVILLE, KY, 40210
2188, 2500 MILLERS LN, LOUISVILLE, KY, 40216
2189, 2600 S 4TH ST, LOUISVILLE, KY, 40208
2190, 2800 GRIFFITHS AVE, LOUISVILLE, KY, 40212
2191, 2800 HIKES LN, LOUISVILLE, KY, 40218
2192, 2900 ST XAVIER ST, LOUISVILLE, KY, 40212
2193, 2900 TAYLOR BLVD, LOUISVILLE, KY, 40208
2194, 300 S CLAY ST, LOUISVILLE, KY, 40202
2195, 4100 SHADY VILLA DR, LOUISVILLE, KY, 40219
2196, 4700 BELLEVUE AVE, LOUISVILLE, KY, 40215
2197, 4900 GARDEN GREEN WAY, LOUISVILLE, KY, 40218
2198, 4900 U S HIGHWAY 42, LOUISVILLE, KY, 40222
2199, 7300 LEISURE CT, LOUISVILLE, KY, 40229
2200, 8200 AFTERGLOW DR, LOUISVILLE, KY, 40214
2201, 900 PALATKA RD, LOUISVILLE, KY, 40214
2202, BARDSTOWN RD / BAXTER AVE, LOUISVILLE, KY, 40204
2203, BICKNELL AVE / HAZELWOOD AVE, LOUISVILLE, KY, 40215
2204, DIXIE HWY / LOWER HUNTERS TRCE, LOUISVILLE, KY, 40216
2205, E INDIAN TRL / INDIAN OAKS CIR, LOUISVILLE, KY, 40213
2206, S 13TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40203
2207, S 22ND ST / WILSON AVE, LOUISVILLE, KY, 40210
2208, S 26TH ST / MAGAZINE ST, LOUISVILLE, KY, 40211
2209, S 39TH ST / W BROADWAY, LOUISVILLE, KY, 40211
2210, 100 W KENTUCKY ST, LOUISVILLE, KY, 40203
2211, 1000 CARLISLE AVE, LOUISVILLE, KY, 40215
2212, 1200 WOLFE AVE, LOUISVILLE, KY, 40213
2213, 12700 E ORELL RD, LOUISVILLE, KY, 40272
2214, 1400 WILLOW AVE, LOUISVILLE, KY, 40204
2215, 1700 FRANKFORT AVE, LOUISVILLE, KY, 40206
2216, 1800 W OAK ST, LOUISVILLE, KY, 40210
2217, 1900 PAYNE ST, LOUISVILLE, KY, 40206
2218, 1900 S 7TH ST, LOUISVILLE, KY, 40208
2219, 200 DOWNES LN, LOUISVILLE, KY, 40214
2220, 200 E GRAY ST, LOUISVILLE, KY, 40202
