35001, PRESTON HWY S / I65N, LOUISVILLE, KY, 40213
35002, PRESTON HWY, LOUISVILLE, KY, 40213
35003, PRESTON HWY, LOUISVILLE, KY, 40229
35004, PRESTON HWY, LOUISVILLE, KY, NA
35005, PRESTON HWY//STANDIFORD LN, LOUISVILLE, KY, NA
35006, PRESTON HWY/CANAL, LOUISVILLE, KY, NA
35007, PRESTON HWY/FERN VALLEY ROAD, LOUISVILLE, KY, NA
35008, PRESTON HWY/LIPPS LN, LOUISVILLE, KY, NA
35009, PRESTON HWY/MUD LN, LOUISVILLE, KY, NA
35010, PRESTON HWY/ST RITA DR, LOUISVILLE, KY, NA
35011, PRESTON HWY/VINEWOOD RD, LOUISVILLE, KY, NA
35012, PRESTONVIEW LN / FOREMAN LN, LOUISVILLE, KY, 40219
35013, PRINCETON DR / SEWANEE DR, LOUISVILLE, KY, 40205
35014, PRODUCE RD / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
35015, QUEEN AVE / DEARCY AVE, LOUISVILLE, KY, 40215
35016, QUEEN AVE / WARREN AVE, LOUISVILLE, KY, 40215
35017, QUEEN AVE / WIZARD AVE, LOUISVILLE, KY, 40215
35018, QUEST DR / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
35019, QUILLMAN HILL RD / ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
35020, QUINN DR / ROCKFORD LN, LOUISVILLE, KY, NA
35021, RAILROAD AVE, LOUISVILLE, KY, 40258
35022, RAINBOW DR / BEESTON BLVD, LOUISVILLE, KY, 40272
35023, RAINBOW DR / SANDRAY BLVD, LOUISVILLE, KY, 40272
35024, RALEIGH LN / CROSS HILL RD, LOUISVILLE, KY, 40206
35025, RALPH AVE / WESSEL RD, LOUISVILLE, KY, NA
35026, RAMMERS AVE / RUFER AVE, LOUISVILLE, KY, 40204
35027, RANDOM WAY / BARDSTOWN RD, LOUISVILLE, KY, 40291
35028, RANGELAND RD, LOUISVILLE, KY, NA
35029, RANGOON WAY / ROOKWOOD AVE, LOUISVILLE, KY, 40218
35030, RAYBURN RD / THUNDER DR, LOUISVILLE, KY, 40272
35031, RAZOR CT / VALLEY PARK DR, LOUISVILLE, KY, 40299
35032, REALITY TRL / VISION PL, LOUISVILLE, KY, 40229
35033, REAMERS RD / WESTPORT RD, LOUISVILLE, KY, 40245
35034, REBECCA LN / TRENA TRL, LOUISVILLE, KY, 40258
35035, RED LEAF RD / RED OAK LN, LOUISVILLE, KY, 40218
35036, RED LEAF RD, LOUISVILLE, KY, 40218
35037, RED OAK LN / BRENDA DR, LOUISVILLE, KY, 40219
35038, REDLEAF DR / STAGHORN DR, LOUISVILLE, KY, 40242
35039, REDWOOD DR / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
35040, REFLECTION DR / RUNIC WAY, LOUISVILLE, KY, 40218
35041, REGAL DR / REVERE DR, LOUISVILLE, KY, 40218
35042, REIGH COUNT DR / PLAUDIT WAY, LOUISVILLE, KY, 40272
35043, RENAISSANCE VALLEY WAY / VALLEY STATION RD, LOUISVILLE, KY, 40272
35044, RENWOOD BLVD / ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214
35045, RESERVOIR AVE / TAYLOR AVE, LOUISVILLE, KY, 40213
35046, REUTLINGER AVE/RUFER AVE, LOUISVILLE, KY, NA
35047, REVERE DR / REVERE PL, LOUISVILLE, KY, 40218
35048, RIBBLE RD / SENECA BLVD, LOUISVILLE, KY, 40205
35049, RICHMOND DR / ROSEDALE AVE, LOUISVILLE, KY, 40205
35050, RICHMONT RD / BROADLEAF DR, LOUISVILLE, KY, 40216
35051, RIDGE RD / SHADY LN, LOUISVILLE, KY, 40223
35052, RIDGECREST RD / RANGELAND RD, LOUISVILLE, KY, 40219
35053, RIDGEWAY AVE / WESTPORT RD, LOUISVILLE, KY, 40207
35054, RILEY AVE / W LEE ST, LOUISVILLE, KY, 40208
35055, RIVER FOREST DR / TERRY RD, LOUISVILLE, KY, 40258
35056, RIVER GLEN LN / ROSE ISLAND RD, LOUISVILLE, KY, 40059
35057, RIVER PARK DR / S 30TH ST, LOUISVILLE, KY, 40211
35058, RIVER PARK DR / S 43RD ST, LOUISVILLE, KY, 40211
35059, RIVER RD @ FRANKFORT AVE, LOUISVILLE, KY, NA
35060, RIVER RD / I65, LOUISVILLE, KY, 40202
35061, RIVER RD / RIVER GREEN CIR, LOUISVILLE, KY, 40206
35062, RIVER RD / RIVERSIDE BEACH RD, LOUISVILLE, KY, 40059
35063, RIVER RD / WATERGLEN PL, LOUISVILLE, KY, 40222
35064, RIVER RD / WOODSIDE RD, LOUISVILLE, KY, 40222
35065, RIVER RD, LOUISVILLE, KY, NA
35066, RIVERVIEW AVE / SOUTHWESTERN PKY, LOUISVILLE, KY, 40211
35067, ROADWAY AVE / TAYLOR BLVD, LOUISVILLE, KY, 40208
35068, ROBBINS RD / MARK DR, LOUISVILLE, KY, 40258
35069, ROBBS LN, LOUISVILLE, KY, NA
35070, ROBINHOOD LN / TEMPLEWOOD DR, LOUISVILLE, KY, 40219
35071, ROCHELLE RD / SMYRNA PKY, LOUISVILLE, KY, 40228
35072, ROCHELLE RD / VANDRE AVE, LOUISVILLE, KY, 40228
35073, ROCK BAY DR / REAMERS RD, LOUISVILLE, KY, 40245
35074, ROCK BLUFF DR / PEBBLE CREEK DR, LOUISVILLE, KY, 40241
35075, ROCK WATER DR / FALLING SPRINGS DR, LOUISVILLE, KY, 40241
35076, ROCKAWAY CIR / ROCKAWAY DR, LOUISVILLE, KY, 40216
35077, ROCKAWAY DR / TEANECK LN, LOUISVILLE, KY, 40216
35078, ROCKCREST CIR / ROCKCREST WAY, LOUISVILLE, KY, 40245
35079, ROCKCREST WAY / ROCKCREST VIEW LN, LOUISVILLE, KY, 40245
35080, ROCKFORD LN / GRASTON AVE, LOUISVILLE, KY, 40216
35081, ROCKFORD LN / ROCKFORD PLZ, LOUISVILLE, KY, 40216
35082, ROCKFORD LN / VAN HOOSE RD, LOUISVILLE, KY, NA
35083, ROCKWOOD DR / WOODMONT DR, LOUISVILLE, KY, 40220
35084, ROCKY MOUNTAIN DR / SANDSTONE BLVD, LOUISVILLE, KY, 40219
35085, RODMAN ST / HEYWOOD AVE, LOUISVILLE, KY, 40208
35086, RODMAN ST / TAYLOR BLVD, LOUISVILLE, KY, 40208
35087, ROGERS ST / BISHOP ST, LOUISVILLE, KY, 40204
35088, ROLLING HILLS, LOUISVILLE, KY, 40222
35089, ROOSEVELT AVE / SPRINGDALE DR, LOUISVILLE, KY, 40213
35090, ROSE ISLAND RD / U S HIGHWAY 42, LOUISVILLE, KY, 40059
35091, ROSEBOROUGH RD / SANDIDGE DR, LOUISVILLE, KY, 40228
35092, ROSELANE ST / S JACKSON ST, LOUISVILLE, KY, 40203
35093, ROTHBURY CT / ROTHBURY LN, LOUISVILLE, KY, 40243
35094, ROWAN ST / N 24TH ST, LOUISVILLE, KY, 40212
35095, ROWAN ST / N 26TH ST, LOUISVILLE, KY, 40212
35096, ROWAN ST/29TH STREET, LOUISVILLE, KY, NA
35097, ROY WILKINS AVE / MAGAZINE ST, LOUISVILLE, KY, 40203
35098, ROY WILKINS AVE / W CHESTNUT ST, LOUISVILLE, KY, 40203
35099, ROY WILKINS AVE / W JEFFERSON ST, LOUISVILLE, KY, 40203
35100, ROY WILKINS AVE / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
35101, RUBEL AVE / HEPBURN AVE, LOUISVILLE, KY, 40204
35102, RUBEL AVE / MORTON AVE, LOUISVILLE, KY, 40204
35103, RUBEL AVE / PAYNE ST, LOUISVILLE, KY, 40204
35104, RUFER AVE / REUTLINGER AVE, LOUISVILLE, KY, 40204
35105, RUSSELL LEE DR / STRATTON AVE, LOUISVILLE, KY, 40211
35106, RUTH AVE / STRAND AVE, LOUISVILLE, KY, 40205
35107, RUTHERFORD AVE / SEWANEE DR, LOUISVILLE, KY, 40205
35108, RUTLEDGE RD / WOOD RD, LOUISVILLE, KY, 40258
35109, RUTLEDGE RD/ DALE RD RD, LOUISVILLE, KY, 40258
35110, S 10TH ST / ST LOUIS AVE, LOUISVILLE, KY, 40210
35111, S 10TH ST / W MAIN ST, LOUISVILLE, KY, 40202
35112, S 11TH ST / DUMESNIL ST, LOUISVILLE, KY, 40210
35113, S 11TH ST / ST LOUIS AVE, LOUISVILLE, KY, 40210
35114, S 11TH ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40210
35115, S 11TH ST / W MAIN ST, LOUISVILLE, KY, 40203
35116, S 11TH ST / WILSON AVE, LOUISVILLE, KY, 40210
35117, S 11TH ST, LOUISVILLE, KY, NA
35118, S 12TH ST / DUMESNIL ST, LOUISVILLE, KY, 40210
35119, S 12TH ST / QUALITY CHOICE PL, LOUISVILLE, KY, 40210
35120, S 12TH ST / S 11TH ST, LOUISVILLE, KY, 40210
35121, S 12TH ST / W ST CATHERINE ST, LOUISVILLE, KY, 40210
35122, S 13TH ST / DUMESNIL ST, LOUISVILLE, KY, 40210
35123, S 13TH ST / W LIBERTY ST, LOUISVILLE, KY, 40203
35124, S 13TH ST / WILSON AVE, LOUISVILLE, KY, 40210
35125, S 13TH ST, LOUISVILLE, KY, 40210
35126, S 15TH ST / ESQUIRE ALY, LOUISVILLE, KY, 40203
35127, S 15TH ST / W MAIN ST, LOUISVILLE, KY, 40203
35128, S 15TH ST, LOUISVILLE, KY, 40210
35129, S 15TH ST/ANDERSON, LOUISVILLE, KY, NA
35130, S 16TH ST @ W CHESTNUT ST, LOUISVILLE, KY, NA
35131, S 16TH ST / STONE ALY, LOUISVILLE, KY, 40203
35132, S 16TH ST / W BRECKINRIDGE ST, LOUISVILLE, KY, 40210
35133, S 17TH ST / MAGAZINE ST, LOUISVILLE, KY, 40211
35134, S 17TH ST / STONE ALY, LOUISVILLE, KY, 40203
35135, S 18TH ST/MAGAZINE ST, LOUISVILLE, KY, NA
35136, S 18TH ST/W MADISON, LOUISVILLE, KY, NA
35137, S 19TH ST / EDDY ST, LOUISVILLE, KY, 40203
35138, S 19TH ST / MAGAZINE, LOUISVILLE, KY, NA
35139, S 1ST ST / E BRANDEIS AVE, LOUISVILLE, KY, 40208
35140, S 1ST ST / E TENNY AVE, LOUISVILLE, KY, 40214
35141, S 1ST ST / MOHAWK AVE, LOUISVILLE, KY, 40214
35142, S 1ST ST / OTTAWA AVE, LOUISVILLE, KY, 40214
35143, S 1ST ST / W ASHLAND AVE, LOUISVILLE, KY, 40214
35144, S 1ST ST / W BRANDEIS AVE, LOUISVILLE, KY, 40208
35145, S 1ST ST / W CHESTNUT ST, LOUISVILLE, KY, 40202
35146, S 1ST ST / W EVELYN AVE, LOUISVILLE, KY, 40214
35147, S 1ST ST / W JACOB ST, LOUISVILLE, KY, 40202
35148, S 1ST ST / W TENNY AVE, LOUISVILLE, KY, 40214
35149, S 20TH ST / STONE ALY, LOUISVILLE, KY, 40203
35150, S 20TH ST / VORSTER AVE, LOUISVILLE, KY, 40210
35151, S 20TH ST / W MAIN ST, LOUISVILLE, KY, 40203
35152, S 22ND ST / MARY F HACKLEY ALY, LOUISVILLE, KY, 40211
35153, S 22ND ST / OREGON AVE, LOUISVILLE, KY, 40210
35154, S 22ND ST / RATCLIFFE AVE, LOUISVILLE, KY, 40210
35155, S 22ND ST / W MAIN ST, LOUISVILLE, KY, 40212
35156, S 22ND ST / WINGFIELD LN, LOUISVILLE, KY, 40210
35157, S 22ND ST, LOUISVILLE, KY, 40212
35158, S 23RD ST / HARDESTY AVE, LOUISVILLE, KY, 40216
35159, S 23RD ST / PIRTLE ST, LOUISVILLE, KY, 40212
35160, S 23RD ST / VORSTER AVE, LOUISVILLE, KY, 40210
35161, S 23RD ST / W MADISON ST, LOUISVILLE, KY, 40211
35162, S 23RD ST / WINGFIELD LN, LOUISVILLE, KY, 40210
35163, S 23RD ST, LOUISVILLE, KY, 40210
35164, S 23RD ST/ MAGAZINE ST., LOUISVILLE, KY, NA
35165, S 24TH ST / BURWELL AVE, LOUISVILLE, KY, 40210
35166, S 24TH ST / STONE ALY, LOUISVILLE, KY, 40211
35167, S 24TH ST / W MAIN ST, LOUISVILLE, KY, 40212
35168, S 25TH ST // DUMESNIL, LOUISVILLE, KY, NA
35169, S 26TH ST / EDDY ST, LOUISVILLE, KY, 40212
35170, S 26TH ST, LOUISVILLE, KY, NA
35171, S 27TH ST, LOUISVILLE, KY, NA
35172, S 28TH ST / W GAULBERT AVE, LOUISVILLE, KY, 40211
35173, S 28TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, NA
35174, S 2ND ST / CAMBRIDGE DR, LOUISVILLE, KY, 40214
35175, S 2ND ST / IOWA AVE, LOUISVILLE, KY, 40208
35176, S 2ND ST / M ST, LOUISVILLE, KY, 40208
35177, S 2ND ST / N ARBOR PARK, LOUISVILLE, KY, 40214
35178, S 2ND ST / SENECA TRL, LOUISVILLE, KY, 40214
35179, S 2ND ST / W SOUTHERN HEIGHTS AVE, LOUISVILLE, KY, 40214
35180, S 2ND ST, LOUISVILLE, KY, 40214
35181, S 2ND ST/FLORENCE, LOUISVILLE, KY, NA
35182, S 30TH ST / EDDY ST, LOUISVILLE, KY, 40212
35183, S 30TH ST / PENWAY AVE, LOUISVILLE, KY, 40210
35184, S 30TH ST / W MAIN ST, LOUISVILLE, KY, 40212
35185, S 30TH ST, LOUISVILLE, KY, 40211
35186, S 31ST ST / MAGAZINE ST, LOUISVILLE, KY, 40211
35187, S 32ND ST, LOUISVILLE, KY, NA
35188, S 34TH ST / CHAUNCEY AVE, LOUISVILLE, KY, 40211
35189, S 34TH ST / I264, LOUISVILLE, KY, 40211
35190, S 34TH ST / KIRBY AVE, LOUISVILLE, KY, 40211
35191, S 34TH ST / STRATTON AVE, LOUISVILLE, KY, 40211
35192, S 34TH ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40211
35193, S 34TH ST / W MAIN ST, LOUISVILLE, KY, 40212
35194, S 34TH ST, LOUISVILLE, KY, 40212
35195, S 34TH ST//DUMESNIL, LOUISVILLE, KY, NA
35196, S 34TH ST/GRAND, LOUISVILLE, KY, NA
35197, S 35TH ST / CHAUNCEY AVE, LOUISVILLE, KY, 40211
35198, S 35TH ST / DR WILLIAM G WEATHERS DR, LOUISVILLE, KY, 40211
35199, S 35TH ST / SHERRILL AVE, LOUISVILLE, KY, 40211
35200, S 35TH ST / STRATTON AVE, LOUISVILLE, KY, 40211
35201, S 36TH ST / W BROADWAY, LOUISVILLE, KY, NA
35202, S 38TH ST/MARKET ST, LOUISVILLE, KY, NA
35203, S 39TH ST/RIVERPARK DR, LOUISVILLE, KY, NA
35204, S 3RD ST / LIBRARY PL, LOUISVILLE, KY, 40203
35205, S 3RD ST / UNITY PL, LOUISVILLE, KY, 40208
35206, S 3RD ST / W BURNETT AVE, LOUISVILLE, KY, NA
35207, S 3RD ST / W MAGNOLIA AVE, LOUISVILLE, KY, 40203
35208, S 3RD ST / W WELLINGTON AVE, LOUISVILLE, KY, NA
35209, S 3RD ST, LOUISVILLE, KY, NA
35210, S 3RD ST/W KENWOOD WAY, LOUISVILLE, KY, NA
35211, S 3RD ST/W KINGSTON AVE, LOUISVILLE, KY, NA
35212, S 3TH ST / W BROADWAY, LOUISVILLE, KY, 40202
35213, S 40TH ST / W MAIN ST, LOUISVILLE, KY, 40212
35214, S 40TH ST/ BROADWAY, LOUISVILLE, KY, NA
35215, S 41ST ST / BELLS LN, LOUISVILLE, KY, 40211
35216, S 41ST ST / W MARKET ST, LOUISVILLE, KY, NA
