3001, 1000 W INDIAN TRL, LOUISVILLE, KY, 40213
3002, 10000 BROWNSBORO RD, LOUISVILLE, KY, 40241
3003, 10200 CHAMPION FARMS DR, LOUISVILLE, KY, 40241
3004, 1300 S 32ND ST, LOUISVILLE, KY, 40211
3005, 1400 PHYLLIS AVE, LOUISVILLE, KY, 40215
3006, 14000 DARWIN BLVD, LOUISVILLE, KY, 40272
3007, 1500 CENTRAL AVE, LOUISVILLE, KY, 40208
3008, 1500 MOORE CT, LOUISVILLE, KY, 40210
3009, 1600 HASKIN AVE, LOUISVILLE, KY, 40215
3010, 1600 PLYMOUTH CT, LOUISVILLE, KY, 40203
3011, 1800 EASTERN PKY, LOUISVILLE, KY, 40204
3012, 1900 ROANOKE AVE, LOUISVILLE, KY, 40205
3013, 1900 SAFE HARBOR CIR, LOUISVILLE, KY, 40216
3014, 2200 UPPER HUNTERS TRCE, LOUISVILLE, KY, 40216
3015, 3000 CLEVELAND BLVD, LOUISVILLE, KY, 40206
3016, 3100 PARK CHURCH LN, LOUISVILLE, KY, 40220
3017, 3200 GRAND AVE, LOUISVILLE, KY, 40211
3018, 3300 FERN VALLEY RD, LOUISVILLE, KY, 40213
3019, 3300 GREENWOOD AVE, LOUISVILLE, KY, 40211
3020, 3400 VETTER AVE, LOUISVILLE, KY, 40215
3021, 3500 HENRY AVE, LOUISVILLE, KY, 40215
3022, 3500 OUTER LOOP, LOUISVILLE, KY, 40219
3023, 3500 SHADYSIDE DR, LOUISVILLE, KY, 40211
3024, 3800 WEWOKA AVE, LOUISVILLE, KY, 40212
3025, 4000 RIVER PARK DR, LOUISVILLE, KY, 40211
3026, 4000 VERMONT AVE, LOUISVILLE, KY, 40211
3027, 4300 CAVELLE AVE, LOUISVILLE, KY, 40213
3028, 4500 JANICE WAY, LOUISVILLE, KY, 40216
3029, 4500 PICADILLY AVE, LOUISVILLE, KY, 40215
3030, 4800 S 5TH ST, LOUISVILLE, KY, 40214
3031, 500 BELGRAVIA CT, LOUISVILLE, KY, 40208
3032, 500 WILD OAK CT, LOUISVILLE, KY, 40222
3033, 5000 INVICTA DR, LOUISVILLE, KY, 40216
3034, 5300 HASBROOK DR, LOUISVILLE, KY, 40229
3035, 600 COMPTON ST, LOUISVILLE, KY, 40208
3036, 6100 BLEVINS GAP RD, LOUISVILLE, KY, 40272
3037, 700 GADDIE CT, LOUISVILLE, KY, 40203
3038, 800 GLEAM DR, LOUISVILLE, KY, 40214
3039, 800 HUMLER ST, LOUISVILLE, KY, 40211
3040, 8300 BLUE LICK RD, LOUISVILLE, KY, 40219
3041, 8400 SHEPHERDSVILLE RD, LOUISVILLE, KY, 40219
3042, 9000 NAPA VALLEY CT, LOUISVILLE, KY, 40219
3043, 9100 COX CT, LOUISVILLE, KY, 40241
3044, 9500 BLAIRWOOD RD, LOUISVILLE, KY, 40222
3045, CANE RUN RD, LOUISVILLE, KY, 40216
3046, CRUMS LN / MANSLICK RD, LOUISVILLE, KY, 40215
3047, DIXIE HWY / GRAND AVE, LOUISVILLE, KY, 40210
3048, E OAK ST / S SHELBY ST, LOUISVILLE, KY, 40203
3049, E ORMSBY AVE / S SHELBY ST, LOUISVILLE, KY, 40217
3050, GOOSE CREEK RD / WESTPORT RD, LOUISVILLE, KY, 40241
3051, I 264 RAMP / TAYLOR BLVD, LOUISVILLE, KY, 40215
3052, PRESTON HWY / ST RITA DR, LOUISVILLE, KY, 40219
3053, S 28TH ST / MAGAZINE ST, LOUISVILLE, KY, 40211
3054, S 2ND ST / W KENTUCKY ST, LOUISVILLE, KY, 40203
3055, S 31ST ST / W BROADWAY, LOUISVILLE, KY, 40211
3056, S 3RD ST / W LIBERTY ST, LOUISVILLE, KY, 40202
3057, S 4TH ST / HEYWOOD AVE, LOUISVILLE, KY, 40208
3058, S 4TH ST / W CARDINAL BLVD, LOUISVILLE, KY, 40208
3059, S 7TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202
3060, S BROOK ST / E ORMSBY AVE, LOUISVILLE, KY, 40203
3061, S CLAY ST / LAMPTON ST, LOUISVILLE, KY, 40203
3062, TAYLOR BLVD / W WOODLAWN AVE, LOUISVILLE, KY, 40215
3063, 100 CRESCENT AVE, LOUISVILLE, KY, 40206
3064, 100 E BURNETT AVE, LOUISVILLE, KY, 40208
3065, 100 E TENNY AVE, LOUISVILLE, KY, 40214
3066, 1000 NAVAHO PL, LOUISVILLE, KY, 40215
3067, 1000 SARAH DR, LOUISVILLE, KY, 40219
3068, 1100 S 26TH ST, LOUISVILLE, KY, 40210
3069, 1200 SPRINGDALE DR, LOUISVILLE, KY, 40213
3070, 12700 DIXIE HWY, LOUISVILLE, KY, 40272
3071, 13000 BESSELS BLVD, LOUISVILLE, KY, 40272
3072, 1500 E BRECKINRIDGE ST, LOUISVILLE, KY, 40204
3073, 1700 BELMAR DR, LOUISVILLE, KY, 40213
3074, 1900 BAIRD ST, LOUISVILLE, KY, 40203
3075, 1900 PEONY DR, LOUISVILLE, KY, 40211
3076, 200 BONNIE LN, LOUISVILLE, KY, 40218
3077, 2000 PAYNE ST, LOUISVILLE, KY, 40206
3078, 2300 ALLSTON AVE, LOUISVILLE, KY, 40210
3079, 2300 BRADLEY AVE, LOUISVILLE, KY, 40217
3080, 2300 GLENMARY AVE, LOUISVILLE, KY, 40204
3081, 2400 GRINSTEAD DR, LOUISVILLE, KY, 40204
3082, 2400 SHERRY RD, LOUISVILLE, KY, 40217
3083, 2700 CLEVELAND BLVD, LOUISVILLE, KY, 40206
3084, 2800 FINN AVE, LOUISVILLE, KY, 40208
3085, 2900 ROWAN ST, LOUISVILLE, KY, 40212
3086, 300 ALGER AVE, LOUISVILLE, KY, 40214
3087, 300 E KENTUCKY ST, LOUISVILLE, KY, 40203
3088, 300 N 33RD ST, LOUISVILLE, KY, 40212
3089, 300 W SOUTHSIDE CT, LOUISVILLE, KY, 40214
3090, 3200 S CRUMS LN, LOUISVILLE, KY, 40216
3091, 3300 DEARCY AVE, LOUISVILLE, KY, 40215
3092, 3300 FARNSLEY RD, LOUISVILLE, KY, 40216
3093, 3300 HALE AVE, LOUISVILLE, KY, 40211
3094, 400 DOWNES TER, LOUISVILLE, KY, 40214
3095, 400 HUNTINGTON PARK DR, LOUISVILLE, KY, 40213
3096, 400 N ENGLISH STATION RD, LOUISVILLE, KY, 40223
3097, 4100 KURTZ AVE, LOUISVILLE, KY, 40229
3098, 4100 LAKE DREAMLAND RD, LOUISVILLE, KY, 40216
3099, 4300 S 1ST ST, LOUISVILLE, KY, 40214
3100, 4700 CREEK TREE CT, LOUISVILLE, KY, 40219
3101, 500 CANDLELIGHT LN, LOUISVILLE, KY, 40214
3102, 500 FERGUSSON FIFE AVE, LOUISVILLE, KY, 40118
3103, 500 S 19TH ST, LOUISVILLE, KY, 40203
3104, 5000 RED OAK LN, LOUISVILLE, KY, 40218
3105, 5400 HEAFER FARM LN, LOUISVILLE, KY, 40219
3106, 5700 BARDSTOWN RD, LOUISVILLE, KY, 40291
3107, 600 CURRY CT, LOUISVILLE, KY, 40211
3108, 600 MERWIN AVE, LOUISVILLE, KY, 40217
3109, 600 RAWLINGS ST, LOUISVILLE, KY, 40217
