4001, 6100 JEFFREY DR, LOUISVILLE, KY, 40258
4002, 6500 COTTAGEMEADOW DR, LOUISVILLE, KY, 40218
4003, 6700 REBECCA LN, LOUISVILLE, KY, 40258
4004, 7000 OSPREY RIDGE DR, LOUISVILLE, KY, 40228
4005, 7200 MEADOW RIDGE DR, LOUISVILLE, KY, 40218
4006, 7500 GERALD AVE, LOUISVILLE, KY, 40258
4007, 7900 WOODBURY DR, LOUISVILLE, KY, 40219
4008, 800 N 34TH ST, LOUISVILLE, KY, 40212
4009, 8100 BARDSTOWN RD, LOUISVILLE, KY, 40291
4010, 8700 BLUE LICK RD, LOUISVILLE, KY, 40219
4011, 8900 MAPLECREEK DR, LOUISVILLE, KY, 40219
4012, 900 S 42ND ST, LOUISVILLE, KY, 40211
4013, 9300 LA GRANGE RD, LOUISVILLE, KY, 40242
4014, 9900 EAST AVE, LOUISVILLE, KY, 40272
4015, BARDSTOWN RD / DOUGLASS BLVD, LOUISVILLE, KY, 40205
4016, BARDSTOWN RD / PATTERSON AVE, LOUISVILLE, KY, 40204
4017, BAXTER AVE / E LIBERTY ST, LOUISVILLE, KY, 40204
4018, DIXIE HWY / MILLERS LN, LOUISVILLE, KY, 40216
4019, DIXIE HWY, LOUISVILLE, KY, 40216
4020, DR W J HODGE ST / W MADISON ST, LOUISVILLE, KY, 40203
4021, MARKWELL LN / PRESTON HWY, LOUISVILLE, KY, 40219
4022, S 11TH ST / FISK CT, LOUISVILLE, KY, 40203
4023, S 3RD ST / W ST CATHERINE ST, LOUISVILLE, KY, 40203
4024, S 43RD ST / W MARKET ST, LOUISVILLE, KY, 40212
4025, S FLOYD ST / E KENTUCKY ST, LOUISVILLE, KY, 40203
4026, S JACKSON ST / E JEFFERSON ST, LOUISVILLE, KY, 40202
4027, W ASHLAND AVE, LOUISVILLE, KY, 40215
4028, 100 N 19TH ST, LOUISVILLE, KY, 40203
4029, 100 OXMOOR CT, LOUISVILLE, KY, 40222
4030, 1000 LOGAN ST, LOUISVILLE, KY, 40204
4031, 1000 MEADOW HILL RD, LOUISVILLE, KY, 40219
4032, 10000 ASHBY FARM DR, LOUISVILLE, KY, 40272
4033, 10500 SHADOW RIDGE LN, LOUISVILLE, KY, 40241
4034, 10700 SPARROW CIR, LOUISVILLE, KY, 40118
4035, 10800 GRAFTON HALL RD, LOUISVILLE, KY, 40272
4036, 1100 LYDIA ST, LOUISVILLE, KY, 40217
4037, 1100 ST MICHAEL ST, LOUISVILLE, KY, 40204
4038, 11700 TAZWELL DR, LOUISVILLE, KY, 40245
4039, 11800 MAHOGANY DR, LOUISVILLE, KY, 40272
4040, 12000 STANDIFORD PLAZA DR, LOUISVILLE, KY, 40229
4041, 1300 BECKLEY CREEK PKY, LOUISVILLE, KY, 40245
4042, 1300 TENNESSEE AVE, LOUISVILLE, KY, 40208
4043, 1500 SQUIRES DR, LOUISVILLE, KY, 40215
4044, 15000 DIXIE HWY, LOUISVILLE, KY, 40272
4045, 1700 CLOVERBROOK DR, LOUISVILLE, KY, 40215
4046, 1800 TYLER PKY, LOUISVILLE, KY, 40204
4047, 1900 BARDSTOWN RD, LOUISVILLE, KY, 40205
4048, 200 EILER AVE, LOUISVILLE, KY, 40214
4049, 200 W CHESTNUT ST, LOUISVILLE, KY, 40202
4050, 2000 MARILEE DR, LOUISVILLE, KY, 40272
4051, 2100 REYNOLDS LN, LOUISVILLE, KY, 40218
4052, 2200 BRIARGATE ST, LOUISVILLE, KY, 40216
4053, 2200 LEXINGTON RD, LOUISVILLE, KY, 40206
4054, 2400 PADDOCK LN, LOUISVILLE, KY, 40216
4055, 300 FLIRTATION WALK, LOUISVILLE, KY, 40219
4056, 300 MARKWELL CT, LOUISVILLE, KY, 40219
4057, 3100 DOREEN WAY, LOUISVILLE, KY, 40220
4058, 3300 BELMONT RD, LOUISVILLE, KY, 40218
4059, 3300 KIRBY AVE, LOUISVILLE, KY, 40211
4060, 3300 TERRIER LN, LOUISVILLE, KY, 40218
4061, 3600 NORTHWESTERN PKY, LOUISVILLE, KY, 40212
4062, 3800 OAKLAWN DR, LOUISVILLE, KY, 40219
4063, 3800 PRODUCE RD, LOUISVILLE, KY, 40218
4064, 400 S 17TH ST, LOUISVILLE, KY, 40203
4065, 4200 SHADY VILLA DR, LOUISVILLE, KY, 40219
4066, 4300 NAOMI DR, LOUISVILLE, KY, 40219
4067, 4400 KILN CT, LOUISVILLE, KY, 40218
4068, 4400 OLD MANSLICK RD, LOUISVILLE, KY, 40216
4069, 4900 DETERMINE LN, LOUISVILLE, KY, 40216
4070, 500 BERMUDA LN, LOUISVILLE, KY, 40213
4071, 500 RAWLINGS ST, LOUISVILLE, KY, 40217
4072, 5000 HAMES TRCE, LOUISVILLE, KY, 40291
4073, 5300 SENNRIDGE DR, LOUISVILLE, KY, 40272
4074, 5400 SUNSET DR, LOUISVILLE, KY, 40219
4075, 5600 MARY ELLEN DR, LOUISVILLE, KY, 40214
4076, 5600 SHOREWOOD DR, LOUISVILLE, KY, 40214
4077, 600 E BRANDEIS AVE, LOUISVILLE, KY, 40217
4078, 6000 HALMA DR, LOUISVILLE, KY, 40272
4079, 6200 VALLEY FOREST DR, LOUISVILLE, KY, 40219
4080, 6300 HACKBERRY WAY, LOUISVILLE, KY, 40229
4081, 6300 KRAUSE AVE, LOUISVILLE, KY, 40216
4082, 6700 TRIANGLE DR, LOUISVILLE, KY, 40214
4083, 6800 HOLLY LAKE DR, LOUISVILLE, KY, 40291
4084, 800 CAMDEN AVE, LOUISVILLE, KY, 40215
4085, 800 E BURNETT AVE, LOUISVILLE, KY, 40217
4086, 800 S FLOYD ST, LOUISVILLE, KY, 40203
4087, 8000 SUMMERFIELD CIR, LOUISVILLE, KY, 40220
4088, 8300 WESTPORT RD, LOUISVILLE, KY, 40242
4089, 900 BRIXTON RD, LOUISVILLE, KY, 40222
4090, 900 S 40TH ST, LOUISVILLE, KY, 40211
4091, 900 W FLORENCE AVE, LOUISVILLE, KY, 40215
4092, 9400 DIXIE HWY, LOUISVILLE, KY, 40272
4093, 9400 JANNA DR, LOUISVILLE, KY, 40272
4094, 9600 EL PRADO ST, LOUISVILLE, KY, 40272
4095, 9600 TIVERTON WAY, LOUISVILLE, KY, 40242
4096, 9800 SATURN DR, LOUISVILLE, KY, 40229
4097, ALANADALE DR / DIXIE HWY, LOUISVILLE, KY, 40272
4098, BARDSTOWN RD / BRECKENRIDGE LN, LOUISVILLE, KY, 40218
4099, BAXTER AVE / MORTON AVE, LOUISVILLE, KY, 40204
4100, CANE RUN RD / TERRY RD, LOUISVILLE, KY, 40216
4101, DIXIE HWY / MOORMAN RD, LOUISVILLE, KY, 40272
4102, DIXIE HWY / STEPHAN DR, LOUISVILLE, KY, 40258
4103, DR W J HODGE ST / GREENWOOD AVE, LOUISVILLE, KY, 40210
4104, E KENTUCKY ST / S PRESTON ST, LOUISVILLE, KY, 40203
4105, I264E / POPLAR LEVEL RD, LOUISVILLE, KY, 40213
4106, N 19TH ST / W MAIN ST, LOUISVILLE, KY, 40203
4107, N 25TH ST / ST XAVIER ST, LOUISVILLE, KY, 40212
4108, NATIONAL TPKE / YORKTOWN RD, LOUISVILLE, KY, 40214
4109, S 16TH ST / GARLAND AVE, LOUISVILLE, KY, 40210
4110, S 16TH ST / W MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40203
4111, S 1ST ST / E BRECKINRIDGE ST, LOUISVILLE, KY, 40203
