5001, CANE RUN RD / KRAMERS LN, LOUISVILLE, KY, 40216
5002, CECIL AVE / W MARKET ST, LOUISVILLE, KY, 40212
5003, CENTRAL AVE / S FLOYD ST, LOUISVILLE, KY, 40209
5004, COMMUNITY / LARGE, LOUISVILLE, KY, 40118
5005, DIXIE HWY / GALLAGHER ST, LOUISVILLE, KY, 40210
5006, E COLLEGE ST / S FLOYD ST, LOUISVILLE, KY, 40203
5007, E KENWOOD DR / SOUTHSIDE DR, LOUISVILLE, KY, 40214
5008, FACTORY LN / LA GRANGE RD, LOUISVILLE, KY, 40245
5009, GOLDSMITH LN / KEMMONS DR, LOUISVILLE, KY, 40218
5010, GOOSE CREEK RD, LOUISVILLE, KY, 40241
5011, GREENWOOD AVE / LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211
5012, N 7TH ST / W MAIN ST, LOUISVILLE, KY, 40202
5013, N BROOK ST / E WITHERSPOON ST, LOUISVILLE, KY, 40202
5014, NEW LA GRANGE RD / SHELBYVILLE RD, LOUISVILLE, KY, 40222
5015, PARK BOUNDARY RD / VALLETTA LN, LOUISVILLE, KY, 40205
5016, POPLAR LEVEL RD / I264, LOUISVILLE, KY, 40213
5017, S 18TH ST / W MADISON ST, LOUISVILLE, KY, 40203
5018, S 1ST ST / CALDWELL ST, LOUISVILLE, KY, 40203
5019, S 28TH ST / GRAND AVE, LOUISVILLE, KY, 40211
5020, S 2ND ST / W JACOB ST, LOUISVILLE, KY, 40202
5021, S 2ND ST / W WOODLAWN AVE, LOUISVILLE, KY, 40214
5022, S 2ND ST, LOUISVILLE, KY, 40202
5023, S 41ST ST / HERMAN ST, LOUISVILLE, KY, 40212
5024, S 45TH ST / W BROADWAY, LOUISVILLE, KY, 40211
5025, S 7TH ST / W SHIPP AVE, LOUISVILLE, KY, 40208
5026, S 8TH ST / W JEFFERSON ST, LOUISVILLE, KY, 40202
5027, S CLAY ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
5028, S FLOYD ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
5029, S HANCOCK ST / E MUHAMMAD ALI BLVD, LOUISVILLE, KY, 40202
5030, S JACKSON ST / E MARKET ST, LOUISVILLE, KY, 40202
5031, 100 FONTAINE LANDING CT, LOUISVILLE, KY, 40212
5032, 100 N 25TH ST, LOUISVILLE, KY, 40212
5033, 100 PARADISE LN, LOUISVILLE, KY, 40258
5034, 100 SOUTHWESTERN PKY, LOUISVILLE, KY, 40212
5035, 1000 EIGELBACH AVE, LOUISVILLE, KY, 40217
5036, 1000 GARVIN PL, LOUISVILLE, KY, 40203
5037, 10100 PARK LAKE DR, LOUISVILLE, KY, 40229
5038, 10300 LOWER RIVER RD, LOUISVILLE, KY, 40272
5039, 10400 GOING CT, LOUISVILLE, KY, 40241
5040, 10600 MEETING ST, LOUISVILLE, KY, 40059
5041, 10800 EMMA JEAN WAY, LOUISVILLE, KY, 40272
5042, 1100 BAXTER AVE, LOUISVILLE, KY, 40204
5043, 11000 INDIAN LEGENDS DR, LOUISVILLE, KY, 40241
5044, 11000 SYMINGTON CIR, LOUISVILLE, KY, 40241
5045, 1200 ROADWAY AVE, LOUISVILLE, KY, 40208
5046, 1200 TEXAS AVE, LOUISVILLE, KY, 40204
5047, 1300 GILMORE LN, LOUISVILLE, KY, 40213
5048, 1300 LYDIA ST, LOUISVILLE, KY, 40217
5049, 1400 S 10TH ST, LOUISVILLE, KY, 40210
5050, 1500 GARDINER LN, LOUISVILLE, KY, 40218
5051, 1500 MOONSTONE WAY, LOUISVILLE, KY, 40222
5052, 1500 PHYLLIS AVE, LOUISVILLE, KY, 40215
5053, 1500 S 28TH ST, LOUISVILLE, KY, 40211
5054, 1600 ANDERSON ST, LOUISVILLE, KY, 40210
5055, 1600 OLIVE ST, LOUISVILLE, KY, 40210
5056, 1600 ROSEWOOD AVE, LOUISVILLE, KY, 40204
5057, 1600 S 38TH ST, LOUISVILLE, KY, 40211
5058, 1800 RICHMOND DR, LOUISVILLE, KY, 40205
5059, 1900 NOCTURNE DR, LOUISVILLE, KY, 40272
5060, 1900 S 35TH ST, LOUISVILLE, KY, 40211
5061, 2000 S 41ST ST, LOUISVILLE, KY, 40211
5062, 2000 TREVILIAN WAY, LOUISVILLE, KY, 40205
5063, 2000 W MAIN ST, LOUISVILLE, KY, 40203
5064, 2100 ALTA AVE, LOUISVILLE, KY, 40205
5065, 2200 GRANGER RD, LOUISVILLE, KY, 40118
5066, 2300 HELEN ST, LOUISVILLE, KY, 40216
5067, 2400 ADRIENNE WAY, LOUISVILLE, KY, 40216
5068, 2400 MERCER AVE, LOUISVILLE, KY, 40216
5069, 2400 S 4TH ST, LOUISVILLE, KY, 40208
5070, 2500 GREENWOOD AVE, LOUISVILLE, KY, 40210
5071, 300 BOXLEY AVE, LOUISVILLE, KY, 40209
5072, 3000 BOAIRES LN, LOUISVILLE, KY, 40220
5073, 3100 BRIDWELL DR, LOUISVILLE, KY, 40216
5074, 3100 RADIANCE RD, LOUISVILLE, KY, 40220
5075, 3200 ALLISON WAY, LOUISVILLE, KY, 40220
5076, 3200 LENCOTT DR, LOUISVILLE, KY, 40216
5077, 3400 FOUNTAIN DR, LOUISVILLE, KY, 40218
5078, 3400 PFLANZ AVE, LOUISVILLE, KY, 40212
5079, 3500 CHAUNCEY AVE, LOUISVILLE, KY, 40211
5080, 3500 LISBON LN, LOUISVILLE, KY, 40218
5081, 3700 CHARTER OAKS DR, LOUISVILLE, KY, 40241
5082, 3800 CLIFF AVE, LOUISVILLE, KY, 40215
5083, 3900 SERENE WAY, LOUISVILLE, KY, 40219
5084, 3900 TULANE AVE, LOUISVILLE, KY, 40214
