6001, 2000 CEDAR ST, LOUISVILLE, KY, 40203
6002, 2000 KENILWORTH PL, LOUISVILLE, KY, 40205
6003, 2000 S 16TH ST, LOUISVILLE, KY, 40210
6004, 2100 WROCKLAGE AVE, LOUISVILLE, KY, 40205
6005, 2300 VILLAGE DR, LOUISVILLE, KY, 40205
6006, 2400 HOWARD ST, LOUISVILLE, KY, 40211
6007, 2800 GIRARD DR, LOUISVILLE, KY, 40213
6008, 2900 SPRINGFIELD DR, LOUISVILLE, KY, 40214
6009, 300 E ESPLANADE AVE, LOUISVILLE, KY, 40214
6010, 300 LENNOX AVE, LOUISVILLE, KY, 40209
6011, 300 SOUTHWESTERN PKY, LOUISVILLE, KY, 40212
6012, 3000 LEDGEBROOK CT, LOUISVILLE, KY, 40241
6013, 3200 GREENDALE DR, LOUISVILLE, KY, 40216
6014, 3400 E INDIAN TRL, LOUISVILLE, KY, 40213
6015, 3400 INDIAN LAKE DR, LOUISVILLE, KY, 40241
6016, 3500 CHAMBERLAIN LN, LOUISVILLE, KY, 40241
6017, 3500 PENWAY AVE, LOUISVILLE, KY, 40211
6018, 3500 PINELAND DR, LOUISVILLE, KY, 40219
6019, 3600 HERMAN ST, LOUISVILLE, KY, 40212
6020, 3600 RAINTREE PL, LOUISVILLE, KY, 40220
6021, 3600 SUSAN LN, LOUISVILLE, KY, 40229
6022, 3600 VANGUARD DR, LOUISVILLE, KY, 40229
6023, 3700 DOWNING WAY, LOUISVILLE, KY, 40218
6024, 3800 7TH STREET RD, LOUISVILLE, KY, 40216
6025, 3900 WOODRUFF AVE, LOUISVILLE, KY, 40215
6026, 400 RIVER RD, LOUISVILLE, KY, 40202
6027, 400 W KINGSTON AVE, LOUISVILLE, KY, 40214
6028, 4000 LAMBERT AVE, LOUISVILLE, KY, 40218
6029, 4000 W MAIN ST, LOUISVILLE, KY, 40212
6030, 4100 GARLAND AVE, LOUISVILLE, KY, 40211
6031, 4100 MAE AVE, LOUISVILLE, KY, 40216
6032, 4100 MELDA LN, LOUISVILLE, KY, 40219
6033, 4100 NORBROOK DR, LOUISVILLE, KY, 40218
6034, 4200 LA SALLE AVE, LOUISVILLE, KY, 40215
6035, 4200 LEES LN, LOUISVILLE, KY, 40216
6036, 4300 LAHNNA DR, LOUISVILLE, KY, 40216
6037, 4300 RIVER PARK DR, LOUISVILLE, KY, 40211
6038, 4400 CLARENE DR, LOUISVILLE, KY, 40216
6039, 4400 W BROADWAY, LOUISVILLE, KY, 40211
6040, 4500 CASPIAN DR, LOUISVILLE, KY, 40219
6041, 4500 MERIDALE AVE, LOUISVILLE, KY, 40214
6042, 4600 N RUTLAND AVE, LOUISVILLE, KY, 40215
6043, 4700 BRAVES LN, LOUISVILLE, KY, 40272
6044, 4800 ANDALUSIA LN, LOUISVILLE, KY, 40272
6045, 4800 WEST SIDE DR, LOUISVILLE, KY, 40219
6046, 500 COURT PL, LOUISVILLE, KY, 40202
6047, 500 GHEENS AVE, LOUISVILLE, KY, 40214
6048, 500 W KINGSTON AVE, LOUISVILLE, KY, 40214
6049, 5000 ROY WILLIAM PL, LOUISVILLE, KY, 40228
6050, 5100 ACAPOLCA WAY, LOUISVILLE, KY, 40219
6051, 5100 CYNTHIA DR, LOUISVILLE, KY, 40291
6052, 5400 ANGUS CT, LOUISVILLE, KY, 40272
6053, 5400 FRUITWOOD DR, LOUISVILLE, KY, 40272
6054, 5500 BARKSDALE DR, LOUISVILLE, KY, 40258
6055, 5500 BIG BEN DR, LOUISVILLE, KY, 40291
6056, 5500 MORNING GLORY LN, LOUISVILLE, KY, 40258
6057, 5600 ARCHTREE PL, LOUISVILLE, KY, 40229
6058, 5600 JEANINE DR, LOUISVILLE, KY, 40219
6059, 5800 BARDSTOWN RD, LOUISVILLE, KY, 40291
6060, 600 REVOLUTIONARY RD, LOUISVILLE, KY, 40214
6061, 600 S BARBEE WAY, LOUISVILLE, KY, 40217
6062, 6000 GLORIA LN, LOUISVILLE, KY, 40213
6063, 6000 JO DANIELLE PL, LOUISVILLE, KY, 40291
6064, 6100 COOPER CHAPEL RD, LOUISVILLE, KY, 40229
6065, 6200 CASPER DR, LOUISVILLE, KY, 40258
6066, 6200 JEANINE DR, LOUISVILLE, KY, 40219
6067, 6200 STRAWBERRY LN, LOUISVILLE, KY, 40214
6068, 6300 COTTAGE FIELD CIR, LOUISVILLE, KY, 40218
6069, 6300 VALLEY FOREST DR, LOUISVILLE, KY, 40219
6070, 6400 CALM RIVER WAY, LOUISVILLE, KY, 40299
6071, 6400 GREEN MANOR DR, LOUISVILLE, KY, 40228
6072, 6400 LADD AVE, LOUISVILLE, KY, 40216
6073, 6400 S 3RD ST, LOUISVILLE, KY, 40214
6074, 6500 BRIDLEVIEW CIR, LOUISVILLE, KY, 40228
6075, 6500 UPPER HUNTERS TRCE, LOUISVILLE, KY, 40216
6076, 6600 BLUFFVIEW CIR, LOUISVILLE, KY, 40299
6077, 6800 YVONNE CT, LOUISVILLE, KY, 40228
6078, 700 E MADISON ST, LOUISVILLE, KY, 40202
6079, 700 S 13TH ST, LOUISVILLE, KY, 40210
6080, 700 S 8TH ST, LOUISVILLE, KY, 40203
6081, 700 W WOODLAWN AVE, LOUISVILLE, KY, 40215
6082, 7000 BILLIE LN, LOUISVILLE, KY, 40219
6083, 7200 LAZY ACRES ST, LOUISVILLE, KY, 40258
6084, 7200 SOUTHSIDE DR, LOUISVILLE, KY, 40214
6085, 7200 STRIVE LN, LOUISVILLE, KY, 40258
6086, 7300 CRANFILL WAY, LOUISVILLE, KY, 40214
6087, 7300 JAN PLACE ST, LOUISVILLE, KY, 40258
6088, 7600 KENHURST DR, LOUISVILLE, KY, 40258
6089, 7800 MACKIE LN, LOUISVILLE, KY, 40214
6090, 7800 RAINTREE DR, LOUISVILLE, KY, 40220
6091, 7800 SUNDANCE DR, LOUISVILLE, KY, 40222
6092, 800 CECIL AVE, LOUISVILLE, KY, 40211
6093, 800 DIXIE HWY, LOUISVILLE, KY, 40210
6094, 8200 CRIS DR, LOUISVILLE, KY, 40291
6095, 8300 DAMASCUS CIR, LOUISVILLE, KY, 40228
6096, 8800 GENTLEWIND WAY, LOUISVILLE, KY, 40291
