address_string,n,coords
"7100 RAGGARD RD, LOUISVILLE, KY, 40216",2874,
"4500 S HURSTBOURNE PKY, LOUISVILLE, KY, 40299",939,
"8200 MINOR LN, LOUISVILLE, KY, 40219",850,
"S 26TH ST / W BROADWAY, LOUISVILLE, KY, 40211",815,
"4100 TOWNE CENTER DR, LOUISVILLE, KY, 40241",793,
"7800 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214",614,
"5000 MUD LN, LOUISVILLE, KY, 40229",599,
"100 W BROADWAY, LOUISVILLE, KY, 40202",574,
"S 28TH ST / W BROADWAY, LOUISVILLE, KY, 40211",566,
"1100 E MARKET ST, LOUISVILLE, KY, 40206",565,
"3700 FALCON CREST DR, LOUISVILLE, KY, 40219",557,
"7TH STREET RD / BERRY BLVD, LOUISVILLE, KY, 40216",551,
"7300 JEFFERSON BLVD, LOUISVILLE, KY, 40219",545,
"5300 HAMES TRCE, LOUISVILLE, KY, 40291",524,
"METRO / LARGE, LOUISVILLE, KY, 40056",477,
"200 W BROADWAY, LOUISVILLE, KY, 40202",461,
"DIXIE HWY / W HILL ST, LOUISVILLE, KY, 40210",415,
"S 1ST ST / E BROADWAY, LOUISVILLE, KY, 40202",415,
"S 4TH ST / WINKLER AVE, LOUISVILLE, KY, 40208",409,
"7300 ST ANDREWS CHURCH RD, LOUISVILLE, KY, 40214",400,
"4600 SOUTHERN PKY, LOUISVILLE, KY, 40214",386,
"900 GRADE LN, LOUISVILLE, KY, 40213",375,
"8000 GLIMMER WAY, LOUISVILLE, KY, 40214",371,
"4200 TOWNE CENTER DR, LOUISVILLE, KY, 40241",353,
"N 22ND ST / PORTLAND AVE, LOUISVILLE, KY, 40203",338,
"5400 VALLEY STATION RD, LOUISVILLE, KY, 40272",333,
"S 2ND ST / W BROADWAY, LOUISVILLE, KY, 40202",323,
"W ASHLAND AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",319,
"S 18TH ST / W BROADWAY, LOUISVILLE, KY, 40203",314,
"N 22ND ST / LYTLE ST, LOUISVILLE, KY, 40203",297,
"1500 BELLAMY PL, LOUISVILLE, KY, 40208",296,
"900 W BROADWAY, LOUISVILLE, KY, 40203",295,
"6800 BROOKLAWN DR, LOUISVILLE, KY, 40214",294,
"S 26TH ST / W CHESTNUT ST, LOUISVILLE, KY, 40211",287,
"S 4TH ST / W OAK ST, LOUISVILLE, KY, 40203",287,
"DIXIE HWY / WILSON AVE, LOUISVILLE, KY, 40210",284,
"200 E BROADWAY, LOUISVILLE, KY, 40202",283,
"LONGFIELD AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",283,
"S 7TH ST / ALGONQUIN PKY, LOUISVILLE, KY, 40208",282,
"300 W BROADWAY, LOUISVILLE, KY, 40202",280,
"S 26TH ST / W MARKET ST, LOUISVILLE, KY, 40212",275,
"CENTRAL AVE / TAYLOR BLVD, LOUISVILLE, KY, 40208",272,
"S 22ND ST / W BROADWAY, LOUISVILLE, KY, 40211",267,
"100 WHISP BROOK CIR, LOUISVILLE, KY, 40229",266,
"W BROADWAY / LOUIS COLEMAN JR DR, LOUISVILLE, KY, 40211",264,
"1200 W BROADWAY, LOUISVILLE, KY, 40203",259,
"2900 BRECKENRIDGE LN, LOUISVILLE, KY, 40220",259,
"DIXIE HWY / VALLEY STATION RD, LOUISVILLE, KY, 40272",259,
"E ORMSBY AVE / S PRESTON ST, LOUISVILLE, KY, 40203",259,
"S 28TH ST / W MARKET ST, LOUISVILLE, KY, 40212",256,
"CHEROKEE PARK, LOUISVILLE, KY, 40205",254,
"SEELBACH AVE / TAYLOR BLVD, LOUISVILLE, KY, 40215",252,
"E BROADWAY / S HANCOCK ST, LOUISVILLE, KY, 40202",250,
"FERN VALLEY RD / PRESTON HWY, LOUISVILLE, KY, 40219",247,
"100 E BROADWAY, LOUISVILLE, KY, 40202",244,
"IROQUOIS PARK, LOUISVILLE, KY, 40214",243,
