BLOCK_ADDRESS,geocode_city,geocode_state,ZIP_CODE,.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country
".2 I265S",Louisville,Kentucky,40272,2,38.084554,-85.851022,0.33,place,,,Louisville,KY,"Jefferson County",40272,US
"1 ADVENTURE RD",Louisville,Kentucky,40216,49,38.203035,-85.833299,1,range_interpolation,1,"Adventure Rd",Louisville,KY,"Jefferson County",40216,US
"1 ANGORA CT",Louisville,Kentucky,40206,2,38.252288,-85.711084,1,range_interpolation,1,"Angora Ct",Louisville,KY,"Jefferson County",40206,US
"1 ARENA PLZ",Louisville,Kentucky,40202,93,38.25247,-85.753812,0.33,place,,,Louisville,KY,"Jefferson County",40202,US
"1 AUDUBON PLAZA DR",Louisville,Kentucky,40217,112,38.214155,-85.723064,1,range_interpolation,1,"Audubon Plaza Dr",Louisville,KY,"Jefferson County",40217,US
"1 BAYSIDE VILLAGE PLACE",Louisville,Kentucky,94107,1,37.784461,-122.389504,0.6,rooftop,1,"Bayside Village Pl","San Francisco",CA,"San Francisco County",94107,US
"1 BELLEVOIR CIR",Louisville,Kentucky,40223,1,38.266015,-85.574886,1,range_interpolation,1,"Bellevoir Cir",Louisville,KY,"Jefferson County",40223,US
"1 BRECKINRIDGE SQ",Louisville,Kentucky,40220,24,38.217997,-85.628585,0.8,street_center,,"Breckenridge Ln",Louisville,KY,"Jefferson County",40220,US
"1 BROWNSBORO HILL RD",Louisville,Kentucky,40207,6,38.266378,-85.658709,1,range_interpolation,1,"Brownsboro Hill Rd",Louisville,KY,"Jefferson County",40207,US
"1 CALUMET DR",Louisville,Kentucky,40214,47,38.12696,-85.76028,1,range_interpolation,1,"Calumet Dr",Louisville,KY,"Jefferson County",40214,US
"1 CANTERBURY CT",Louisville,Kentucky,40214,3,38.130675,-85.758986,1,range_interpolation,1,"Canterbury Ct",Louisville,KY,"Jefferson County",40214,US
"1 CANTERBURY DR",Louisville,Kentucky,40220,5,38.224557,-85.622974,1,range_interpolation,1,"Canterbury Dr",Louisville,KY,"Jefferson County",40220,US
"1 CARDWELL WAY",Louisville,Kentucky,40220,4,38.218894,-85.601502,1,range_interpolation,1,"Cardwell Way",Louisville,KY,"Jefferson County",40220,US
"1 CARIBOU WAY",Louisville,Kentucky,40222,1,38.264377,-85.602284,0.8,street_center,,"Caribou Way",Louisville,KY,"Jefferson County",40222,US
"1 CHAMBERRY CIR",Louisville,Kentucky,40207,1,38.240033,-85.66348,1,range_interpolation,1,"Chamberry Cir",Louisville,KY,"Jefferson County",40207,US
"1 CHARTER OAKS DR",Louisville,Kentucky,40241,21,38.303736,-85.547863,1,range_interpolation,1,"Charteroaks Dr",Louisville,KY,"Jefferson County",40241,US
"1 CILLIA RD",Louisville,Kentucky,40216,5,38.199396,-85.829782,1,range_interpolation,1,"Cillia Rd",Louisville,KY,"Jefferson County",40216,US
"1 CLAREMORE CT",Louisville,Kentucky,40214,5,38.130675,-85.758986,1,range_interpolation,1,"Claremore Ct",Louisville,KY,"Jefferson County",40214,US
"1 COLLEGE CT",Louisville,Kentucky,40203,172,38.240659,-85.764369,1,range_interpolation,1,"College Ct",Louisville,KY,"Jefferson County",40203,US
"1 COLONIAL OAKS CT",Louisville,Kentucky,40214,110,38.174059,-85.763273,1,range_interpolation,1,"Colonial Oaks Ct",Louisville,KY,"Jefferson County",40214,US
"1 COLONIAL OAKS CT",Louisville,Kentucky,40215,1,38.174059,-85.763273,1,range_interpolation,1,"Colonial Oaks Ct",Louisville,KY,"Jefferson County",40214,US
"1 DAVY CROCKETT TRL",Louisville,Kentucky,40216,24,38.203377,-85.832973,1,range_interpolation,1,"Davy Crockett Trl",Louisville,KY,"Jefferson County",40216,US
"1 DAYTONA CT",Louisville,Kentucky,40214,2,38.127962,-85.76182,1,range_interpolation,1,"Daytona Ct",Louisville,KY,"Jefferson County",40214,US
"1 DAYTONA DR",Louisville,Kentucky,40214,19,38.128497,-85.761755,1,range_interpolation,1,"Daytona Dr",Louisville,KY,"Jefferson County",40214,US
"1 DENHAM RD",Louisville,Kentucky,40205,6,38.225506,-85.675168,0.8,street_center,,"Denham Rd",Louisville,KY,"Jefferson County",40205,US
"1 DUPONT WAY",Louisville,Kentucky,40205,1,38.232252,-85.634152,1,range_interpolation,1,"Dupont Way",Louisville,KY,"Jefferson County",40207,US
"1 DUPONT WAY",Louisville,Kentucky,40207,1,38.232252,-85.634152,1,range_interpolation,1,"Dupont Way",Louisville,KY,"Jefferson County",40207,US
"1 E WILSHIRE BLVD",Louisville,Kentucky,40214,12,38.128359,-85.760528,1,range_interpolation,1,"E Wilshire Blvd",Louisville,KY,"Jefferson County",40214,US
"1 EAST MILL PL",Louisville,Kentucky,40222,3,38.310522,-85.642964,1,range_interpolation,1,"E Mill Pl",Louisville,KY,"Jefferson County",40222,US
"1 EASTOVER CT",Louisville,Kentucky,40206,27,38.254575,-85.67822,1,range_interpolation,1,"Eastover Ct",Louisville,KY,"Jefferson County",40206,US
"1 EDMONIA AVE",Louisville,Kentucky,40220,1,38.224017,-85.624049,1,range_interpolation,1,"Edmonia Ave",Louisville,KY,"Jefferson County",40220,US
"1 EUTROPIA CT",Louisville,Kentucky,40208,9,38.222126,-85.761941,1,range_interpolation,1,"Eutropia Ct",Louisville,KY,"Jefferson County",40208,US
