BLOCK_ADDRESS,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
7100 RAGGARD RD,163,332,279,311,366,405,449,217,210,2732
METRO / LARGE,52,93,171,223,88,59,65,54,5,810
7800 ST ANDREWS CHURCH RD,70,95,91,44,37,55,106,60,48,606
7300 ST ANDREWS CHURCH RD,67,39,53,36,45,32,41,36,33,382
I 65 RAMP / I 65 RAMP,102,56,53,60,37,18,16,15,,357
I 264 RAMP / I 264 RAMP,63,51,59,48,32,31,38,18,,340
2400 ST XAVIER ST,27,31,13,26,38,24,19,28,38,244
S 3RD ST,132,35,57,1,,,,,,225
2500 ST XAVIER ST,24,21,34,15,23,16,20,28,18,199
500 DR W J HODGE ST,28,23,19,25,16,11,19,27,10,178
S 1ST ST,47,52,79,,,,,,,178
1 ARENA PLZ,,7,24,28,19,15,30,30,20,173
600 LOUIS COLEMAN JR DR,1,,23,18,29,19,30,36,14,170
I 64 RAMP / I 64 RAMP,40,20,37,13,9,21,18,12,,170
S 4TH ST,75,42,53,,,,,,,170
2500 ST CECILIA ST,15,13,18,14,21,18,27,20,20,166
WF - GREAT LAWN,,8,4,61,20,23,18,23,4,161
1400 ST JAMES CT,33,18,19,16,13,14,12,24,10,159
7600 ST ANDREWS CHURCH RD,23,28,14,11,21,35,11,7,7,157
2200 ST XAVIER ST,15,17,18,4,3,16,26,21,30,150
NATIONAL TPKE,90,33,25,,,,,,2,150
7000 RAGGARD RD,22,10,11,7,6,24,11,34,23,148
CANE RUN RD,82,33,24,2,,,,,4,145
I 265 RAMP / I 265 RAMP,37,23,23,18,15,6,12,8,,142
3100 ST ANTHONY GARDENS DR,12,12,15,21,8,18,18,17,19,140
I264W / POPLAR LEVEL RD,52,23,27,12,4,3,7,4,1,133
600 DR W J HODGE ST,15,12,23,16,4,10,20,22,10,132
1700 ST LOUIS AVE,22,14,13,19,11,21,14,11,6,131
2400 MCKENDREE CT,11,22,19,22,13,6,11,13,11,128
500 LOUIS COLEMAN JR DR,,,23,14,21,26,21,7,14,126
CAL,,6,20,55,16,16,8,4,,125
I65N / FERN VALLEY RD,45,20,20,11,2,6,2,5,10,121
1300 ST ANTHONY PL,2,16,22,12,16,5,15,20,9,117
I264E / POPLAR LEVEL RD,47,20,8,17,7,,7,6,5,117
400 LOUIS COLEMAN JR DR,,,16,13,20,23,15,15,14,116
4600 TIPSY CIR,17,13,7,15,8,18,13,12,11,114
S 5TH ST,87,13,14,,,,,,,114
S BROOK ST,82,28,3,,,,,,,113
2000 ST LOUIS AVE,11,12,27,12,12,13,6,7,12,112
400 DR W J HODGE ST,28,12,11,8,5,15,10,5,13,107
WF - BIG FOUR BRIDGE,,1,,,7,25,22,28,22,105
BRIDGE - I65S / KENNEDY,42,19,22,9,2,6,1,1,1,103
S 7TH ST,80,10,13,,,,,,,103
BAXTER AVE,65,24,6,1,,,,,2,98
LOUIS COLEMAN JR DR / VERMONT AVE,,,7,32,16,11,9,13,10,98
I264W / BARDSTOWN RD,23,17,5,9,7,5,9,8,11,94
LOUIS COLEMAN JR DR / RIVER PARK DR,,,8,17,6,9,12,23,16,91
WF - ORANGE LOT,,9,17,16,17,11,10,9,1,90
2600 ST XAVIER ST,23,9,8,13,9,8,4,8,7,89
PENDING LOCATION,1,,3,5,11,18,18,33,,89
EVERGREEN RD,37,22,27,,,,,,,86
I65S / FERN VALLEY RD,20,19,11,12,7,3,5,6,3,86
I264E / BARDSTOWN RD,23,20,9,11,1,6,6,6,3,85
2100 ST LOUIS AVE,7,8,12,7,12,14,7,9,8,84
I65S / I265,34,11,7,8,6,4,4,7,3,84
BLUE LICK RD,19,13,51,,,,,,,83
2900 ST XAVIER ST,13,10,4,6,16,4,12,15,2,82
S 9TH ST,33,24,25,,,,,,,82
I 264 RAMP / POPLAR LEVEL RD,22,16,20,17,,1,4,1,,81
DR W J HODGE ST / W MARKET ST,10,11,12,9,6,6,13,3,9,79
I264W / TAYLOR BLVD,16,11,13,8,3,4,9,10,4,78
1600 CAYUGA ST,48,24,4,,,,,,,76
600 PEARSON CT,17,22,27,9,,,,,,75
S 34TH ST / W BROADWAY,39,28,8,,,,,,,75
CENTRAL AVE,66,7,,,,,,,,73
I 264 RAMP / I 64 RAMP,14,12,11,9,5,9,11,2,,73
I 264 RAMP / TAYLOR BLVD,21,26,4,11,2,1,5,1,2,73
I264E / BRECKENRIDGE LN,25,7,13,6,4,3,5,6,4,73
1500 ONEIDA CT,52,19,,,,,,,,71
I264E / NEWBURG RD,26,5,5,7,6,1,8,9,4,71
I264W / NEWBURG RD,26,9,12,4,3,8,2,3,4,71
I 264 RAMP / I 65 RAMP,15,16,19,9,,4,3,4,,70
I65N / EASTERN PKY,37,8,8,10,1,,3,2,1,70
W ASHLAND AVE,29,13,28,,,,,,,70
I65S / OUTER LOOP,23,11,9,6,3,3,3,10,,68
S FLOYD ST,48,15,5,,,,,,,68
7200 NIGHT ACRES LN,12,5,7,5,6,13,7,10,2,67
I71N / I264,39,8,8,7,,,5,,,67
700 GADDIE CT,36,22,8,,,,,,,66
1000 AMPHITHEATER RD,7,3,2,4,1,18,13,7,10,65
DR W J HODGE ST / W MUHAMMAD ALI BLVD,,2,8,14,3,9,11,12,6,65
I71N / ZORN AVE,26,10,16,3,1,4,5,,,65
7700 ST ANDREWS CHURCH RD,9,4,4,13,7,3,6,11,7,64
2100 ST JOHNS PL,11,8,5,6,2,7,7,6,11,63
ALGONQUIN PKY,32,20,11,,,,,,,63
I265N / BARDSTOWN RD,19,8,7,12,,5,8,2,1,62
7200 JAN PLACE ST,6,11,11,6,7,3,7,7,3,61
7300 HOME PARK DR,13,11,4,5,8,3,2,8,7,61
DR W J HODGE ST / W OAK ST,2,8,6,6,4,2,11,4,18,61
I264E / TAYLOR BLVD,15,8,6,3,5,4,5,9,6,61
I265S / NEW CUT RD,10,8,3,13,6,11,6,3,1,61
S 2ND ST,36,13,10,2,,,,,,61
1000 DR W J HODGE ST,4,4,7,9,1,14,6,8,7,60
GOOSE CREEK RD,27,10,23,,,,,,,60
I 64 RAMP / I 65 RAMP,11,16,16,10,1,2,2,2,,60
BLANTON LN,31,12,16,,,,,,,59
