1, 5300 ELVIS PRESLEY, MEMPHIS, TN, 
2, 4000 AUSTIN PEAY, MEMPHIS, TN, 
3, 7600 WINCHESTER, MEMPHIS, TN, 
4, 1400 CLEMENTINE, MEMPHIS, TN, 
5, 4600 POPLAR, MEMPHIS, TN, 
6, 7600 WINCHESTER RD, MEMPHIS, TN, 
7, 3300 AUSTIN PEAY, MEMPHIS, TN, 
8, 3200 MADEWELL, MEMPHIS, TN, 
9, 2700 N GERMANTOWN PKWY, MEMPHIS, TN, 
10, 2300 LAMAR, MEMPHIS, TN, 
11, 1400 POPLAR, MEMPHIS, TN, 
12, 2800 N GERMANTOWN PKWY, MEMPHIS, TN, 
13, 3500 POPLAR, MEMPHIS, TN, 
14, 4000 AUSTIN PEAY HWY, MEMPHIS, TN, 
15, 1700 POPLAR, MEMPHIS, TN, 
16, 5300 ELVIS PRESLEY BLVD, MEMPHIS, TN, 
17, 2900 KIMBALL, MEMPHIS, TN, 
18, 1700 POPLAR AVE, MEMPHIS, TN, 
19, 4500 POPLAR, MEMPHIS, TN, 
20, 2600 GOODWILL LN, MEMPHIS, TN, 
21, 3400 AUSTIN PEAY, MEMPHIS, TN, 
22, 1200 E SHELBY DR, MEMPHIS, TN, 
23, 1700 MADISON, MEMPHIS, TN, 
24, 4300 SUMMER AVE, MEMPHIS, TN, 
25, 4600 POPLAR AVE, MEMPHIS, TN, 
26, 4500 POPLAR AVE, MEMPHIS, TN, 
27, 300 POPLAR, MEMPHIS, TN, 
28, 3000 LAMAR, MEMPHIS, TN, 
29, 600 N GERMANTOWN PKWY, MEMPHIS, TN, 
30, 4300 SUMMER, MEMPHIS, TN, 
31, 4300 EASTWIND, MEMPHIS, TN, 
32, 200 BEALE, MEMPHIS, TN, 
33, 3500 POPLAR AVE, MEMPHIS, TN, 
34, 6100 MACON CV, MEMPHIS, TN, 
35, 3000 GETWELL, MEMPHIS, TN, 
36, 200 BEALE ST, MEMPHIS, TN, 
37, 4300 GRACELAND, MEMPHIS, TN, 
38, 2700 N GERMANTOWN, MEMPHIS, TN, 
39, 2500 KETCHUM, MEMPHIS, TN, 
40, 4300 AMERICAN WAY, MEMPHIS, TN, 
41, 3200 THOMAS, MEMPHIS, TN, 
42, 3000 LAMAR AVE, MEMPHIS, TN, 
43, 1800 GOWAN, MEMPHIS, TN, 
44, 4100 ELVIS PRESLEY, MEMPHIS, TN, 
45, 2200 COVINGTON PIKE, MEMPHIS, TN, 
46, 700 COLONIAL, MEMPHIS, TN, 
47, 1400 POPLAR AVE, MEMPHIS, TN, 
48, 600 S HIGHLAND, MEMPHIS, TN, 
49, 3400 COVINGTON PIKE, MEMPHIS, TN, 
50, 5200 SUMMER AVE, MEMPHIS, TN, 
51, 3300 THOMAS, MEMPHIS, TN, 
52, 1300 E SHELBY DR, MEMPHIS, TN, 
53, 1600 SYCAMORE VIEW, MEMPHIS, TN, 
