9001, 3200 ALTA RD, MEMPHIS, TN, 
9002, 3200 ARBOR PL S, MEMPHIS, TN, 
9003, 3200 CHRISTINE RD, MEMPHIS, TN, 
9004, 3200 DANUBE LN, MEMPHIS, TN, 
9005, 3200 HIGHLAND PARK PL, MEMPHIS, TN, 
9006, 3200 N THOMAS, MEMPHIS, TN, 
9007, 3200 PARHAM, MEMPHIS, TN, 
9008, 3200 PECAN LAKE CIR, MEMPHIS, TN, 
9009, 3200 RALEIGH-MILLINGTON, MEMPHIS, TN, 
9010, 3200 RIDGECREST ST, MEMPHIS, TN, 
9011, 3300 CREIGHTON, MEMPHIS, TN, 
9012, 3300 CRUMP, MEMPHIS, TN, 
9013, 3300 LOST OAK PL, MEMPHIS, TN, 
9014, 3300 SPRING GROVE CIR, MEMPHIS, TN, 
9015, 3400 BOXDALE, MEMPHIS, TN, 
9016, 3400 OLD GETWELL, MEMPHIS, TN, 
9017, 3400 WINCHESTER PLACE, MEMPHIS, TN, 
9018, 3500 FELTON, MEMPHIS, TN, 
9019, 3500 KIRBY AVE, MEMPHIS, TN, 
9020, 3500 MAYFLOWER AVE, MEMPHIS, TN, 
9021, 3500 MENDENHALL, MEMPHIS, TN, 
9022, 3500 NEELY, MEMPHIS, TN, 
9023, 3500 POWERS, MEMPHIS, TN, 
9024, 3600 EMILY ELIZABETH, MEMPHIS, TN, 
9025, 3600 HILLRIDGE, MEMPHIS, TN, 
9026, 3600 KNIGHT RD, MEMPHIS, TN, 
9027, 3600 MARION AVE, MEMPHIS, TN, 
9028, 3600 NEWBERRY LN, MEMPHIS, TN, 
9029, 3600 RIDGEMONT RD, MEMPHIS, TN, 
9030, 3600 STRAUSS CT, MEMPHIS, TN, 
9031, 3600 TOWNES, MEMPHIS, TN, 
9032, 3700 CENTRAL AVENUE, MEMPHIS, TN, 
9033, 3700 HICKORY HILL ROAD, MEMPHIS, TN, 
9034, 3700 KIMBALL, MEMPHIS, TN, 
9035, 3700 MARION AVE, MEMPHIS, TN, 
9036, 3700 OLD GETWELL RD, MEMPHIS, TN, 
9037, 3700 ROYAL WOOD DR, MEMPHIS, TN, 
9038, 3700 VERNON, MEMPHIS, TN, 
9039, 3700 W CHANTREY LN, MEMPHIS, TN, 
9040, 3800 BARRON AVE, MEMPHIS, TN, 
9041, 3800 ROBINPARK CIRCLE, MEMPHIS, TN, 
9042, 3800 S THIRD, MEMPHIS, TN, 
9043, 3800 WILSHIRE, MEMPHIS, TN, 
9044, 3900 CEDAR PATH, MEMPHIS, TN, 
9045, 3900 EAGLEWOOD DR, MEMPHIS, TN, 
9046, 3900 GUERNSEY, MEMPHIS, TN, 
9047, 3900 HAWKINS MILL, MEMPHIS, TN, 
9048, 3900 LADUE, MEMPHIS, TN, 
9049, 3900 SOUTHERN, MEMPHIS, TN, 
9050, 400 ADAMS, MEMPHIS, TN, 
9051, 400 JONES, MEMPHIS, TN, 
9052, 400 PICKETT, MEMPHIS, TN, 
9053, 400 SOUTH PAULINE, MEMPHIS, TN, 
9054, 400 SOUTH PKWY, MEMPHIS, TN, 
9055, 4000 ARGONNE, MEMPHIS, TN, 
9056, 4000 ELLISTON RD, MEMPHIS, TN, 
9057, 4000 HICKORY HILL, MEMPHIS, TN, 
9058, 4100 ANN ARBOR CT, MEMPHIS, TN, 
9059, 4100 BIRCH GLEN DR, MEMPHIS, TN, 
9060, 4100 ELLISTON RD, MEMPHIS, TN, 
9061, 4100 HERMITAGE, MEMPHIS, TN, 
9062, 4100 VISCOUNT, MEMPHIS, TN, 
9063, 4100 WOODBURN, MEMPHIS, TN, 
9064, 4200 2ND NORTHSIDE, MEMPHIS, TN, 
9065, 4200 DUNN, MEMPHIS, TN, 
9066, 4200 LAMAR AVE, MEMPHIS, TN, 
9067, 4200 SENATOR, MEMPHIS, TN, 
9068, 4200 WAGON WHEEL DR, MEMPHIS, TN, 
9069, 4300 BOW, MEMPHIS, TN, 
9070, 4300 COVENTRY, MEMPHIS, TN, 
9071, 4300 GREEN HALL WAY, MEMPHIS, TN, 
9072, 4300 ROSEWIND CIRCLE, MEMPHIS, TN, 
9073, 4300 STORMY, MEMPHIS, TN, 
9074, 4300 SUNNYSLOPE DR, MEMPHIS, TN, 
9075, 4400 KERWIN DR, MEMPHIS, TN, 
9076, 4400 SUNNYSLOPE DR, MEMPHIS, TN, 
9077, 4500 MILLBRANCH RD, MEMPHIS, TN, 
9078, 4500 TCHULAHOMA RD, MEMPHIS, TN, 
9079, 4600 ANGEL, MEMPHIS, TN, 
9080, 4600 APPLEGATE, MEMPHIS, TN, 
9081, 4600 BEACON HILL, MEMPHIS, TN, 
9082, 4600 DUNN, MEMPHIS, TN, 
9083, 4600 HELENE, MEMPHIS, TN, 
9084, 4600 SUNNYBROOK, MEMPHIS, TN, 
9085, 4600 WATER TREE DR, MEMPHIS, TN, 
9086, 4700 BOEINGSHIRE, MEMPHIS, TN, 
9087, 4700 HUCKLEBERRY CV, MEMPHIS, TN, 
9088, 4700 SCOTTSDALE, MEMPHIS, TN, 
9089, 4800 CHUCK AVE, MEMPHIS, TN, 
9090, 4800 ELEVENTH RD, MEMPHIS, TN, 
9091, 4800 MANSON, MEMPHIS, TN, 
9092, 4800 TUGGLE, MEMPHIS, TN, 
9093, 4900 AUBURN, MEMPHIS, TN, 
9094, 4900 BONDALE, MEMPHIS, TN, 
9095, 4900 BRADY DR, MEMPHIS, TN, 
9096, 4900 FERNBROOK DR, MEMPHIS, TN, 
9097, 4900 HICKORY HILL, MEMPHIS, TN, 
9098, 500 CYNTHIA PLACE, MEMPHIS, TN, 
9099, 500 E TRIGG, MEMPHIS, TN, 
9100, 500 MONTGOMERY, MEMPHIS, TN, 
9101, 500 N FRONT, MEMPHIS, TN, 
9102, 500 NORTH HIGHLAND, MEMPHIS, TN, 
9103, 500 TENNESSEE, MEMPHIS, TN, 
9104, 5000 BRADY, MEMPHIS, TN, 
9105, 5000 CLINCHSTONE, MEMPHIS, TN, 
9106, 5000 FAIRLY RD, MEMPHIS, TN, 
9107, 5000 LEONARD RD, MEMPHIS, TN, 
9108, 5000 QUINCE, MEMPHIS, TN, 
9109, 5200 BRUTON, MEMPHIS, TN, 
9110, 5300 BRUTON, MEMPHIS, TN, 
9111, 5300 EVERETT LN, MEMPHIS, TN, 
9112, 5300 LOCH LOMOND, MEMPHIS, TN, 
9113, 5300 PARK AVE, MEMPHIS, TN, 
9114, 5300 SCOTTSDALE AVE, MEMPHIS, TN, 
9115, 5400 ALBEMARLE, MEMPHIS, TN, 
9116, 5400 FONTANA, MEMPHIS, TN, 
9117, 5800 BEACON PARK, MEMPHIS, TN, 
9118, 5900 FOX LAIR, MEMPHIS, TN, 
9119, 600 CHARTER, MEMPHIS, TN, 
9120, 600 EAST ST, MEMPHIS, TN, 
9121, 600 ELLSWORTH, MEMPHIS, TN, 
9122, 600 ERIN, MEMPHIS, TN, 
9123, 600 JACKLYN AVE, MEMPHIS, TN, 
9124, 600 JEFFERSON AVE, MEMPHIS, TN, 
9125, 600 PERKINS, MEMPHIS, TN, 
9126, 600 S REESE, MEMPHIS, TN, 
9127, 600 UPTOWN VILLAGE CIRCLE, MEMPHIS, TN, 
9128, 600 WHITESBORO, MEMPHIS, TN, 
9129, 6000 MASTERS DR, MEMPHIS, TN, 
9130, 6300 ARBOR CREEK TRL, MEMPHIS, TN, 
9131, 6400 SHELBY VIEW DR, MEMPHIS, TN, 
9132, 6400 VILLAGE GROVE DR, MEMPHIS, TN, 
9133, 6400 WHEEL CV, MEMPHIS, TN, 
9134, 6500 FREELARK LN, MEMPHIS, TN, 
9135, 6500 SHELBY VIEW DR, MEMPHIS, TN, 
9136, 6600 E RAINES, MEMPHIS, TN, 
9137, 6600 RED BIRCH DR, MEMPHIS, TN, 
9138, 6600 STOCKPORT DR, MEMPHIS, TN, 
9139, 700 DUNLAP, MEMPHIS, TN, 
9140, 700 HEWLETT, MEMPHIS, TN, 
9141, 700 HOBBS, MEMPHIS, TN, 
9142, 700 LANDIS, MEMPHIS, TN, 
9143, 700 N MANASSAS ST, MEMPHIS, TN, 
9144, 700 N THIRD, MEMPHIS, TN, 
9145, 700 QUEENS FAIRWAY, MEMPHIS, TN, 
9146, 700 WARING RD, MEMPHIS, TN, 
9147, 7000 EAST SHELBY DR, MEMPHIS, TN, 
9148, 7000 RED OAKS CIR, MEMPHIS, TN, 
9149, 7600 MACON RD, MEMPHIS, TN, 
9150, 800 DICKINSON, MEMPHIS, TN, 
9151, 800 DOTBERRY CV, MEMPHIS, TN, 
9152, 800 E BROOKHAVEN CIR, MEMPHIS, TN, 
9153, 800 MCCONNELL ST, MEMPHIS, TN, 
9154, 800 NOVARESE, MEMPHIS, TN, 
9155, 800 PARKDALE, MEMPHIS, TN, 
9156, 8300 COUNTRY SQUIRE, MEMPHIS, TN, 
9157, 8400 VARDON LN, MEMPHIS, TN, 
9158, 900 CROSSFIELD CV, MEMPHIS, TN, 
9159, 900 FLOYD AVE, MEMPHIS, TN, 
9160, 900 JACKSON AVE, MEMPHIS, TN, 
9161, 900 N SECOND, MEMPHIS, TN, 
9162, 9000 HIGHWAY 64, MEMPHIS, TN, 
9163, CHELSEA AND AYERS, MEMPHIS, TN, 
9164, COVINGTON PIKE AND COVINGTON WAY, MEMPHIS, TN, 
9165, COVINGTON PIKE AND I-240, MEMPHIS, TN, 
9166, EXCHANGE AND LAUDERDALE, MEMPHIS, TN, 
9167, FOURTH AND PONTOTOC, MEMPHIS, TN, 
9168, FRAYSER AND ARDMORE, MEMPHIS, TN, 
9169, GRACELAND AND RAINES, MEMPHIS, TN, 
9170, I40 AND COVINGTON PIKE, MEMPHIS, TN, 
9171, KERR AND ELVIS PRESLEY, MEMPHIS, TN, 
9172, MACON AND BERCLAIR, MEMPHIS, TN, 
9173, MADISON AND COOPER, MEMPHIS, TN, 
9174, MCLEMORE AND COLLEGE, MEMPHIS, TN, 
9175, MILLBRANCH AND COMMONWEALTH, MEMPHIS, TN, 
9176, OVERTON CROSSING AND FRAYSER, MEMPHIS, TN, 
9177, PENDLETON AND PARK, MEMPHIS, TN, 
9178, PERKINS AND WINCHESTER, MEMPHIS, TN, 
9179, PERSON AND CASTALIA, MEMPHIS, TN, 
9180, RALEIGH MILLINGTON AND YALE, MEMPHIS, TN, 
9181, SECOND AND JEFFERSON, MEMPHIS, TN, 
9182, SECOND AND LINDEN, MEMPHIS, TN, 
9183, SHELBY AND TULANE, MEMPHIS, TN, 
9184, SHELBY DR AND RIVERDALE, MEMPHIS, TN, 
9185, SOUTHERN AND GREER, MEMPHIS, TN, 
9186, ST PAUL AND ORLEANS, MEMPHIS, TN, 
9187, THIRD AND CRUMP, MEMPHIS, TN, 
9188, THOMAS AND FRAYSER, MEMPHIS, TN, 
9189, THOMAS AND LIFE, MEMPHIS, TN, 
9190, 100 E FRANK, MEMPHIS, TN, 
9191, 100 N AUBURNDALE, MEMPHIS, TN, 
9192, 100 N WATKINS, MEMPHIS, TN, 
9193, 100 S MCLEAN BLVD, MEMPHIS, TN, 
9194, 100 S PKWY W, MEMPHIS, TN, 
9195, 100 W PEEBLES, MEMPHIS, TN, 
9196, 1000 ALMA, MEMPHIS, TN, 
9197, 1000 BIRCH ST, MEMPHIS, TN, 
9198, 1000 BOSTON ST, MEMPHIS, TN, 
9199, 1000 COOPER ST, MEMPHIS, TN, 
9200, 1000 FORD PLACE, MEMPHIS, TN, 
9201, 1000 GAITHER CV, MEMPHIS, TN, 
9202, 1000 N DUNLAP, MEMPHIS, TN, 
9203, 1000 N SEVENTH, MEMPHIS, TN, 
9204, 1000 W MITCHELL RD, MEMPHIS, TN, 
9205, 1000 WRENS ROOST, MEMPHIS, TN, 
9206, 1100 CINDY LN, MEMPHIS, TN, 
9207, 1100 PARKLAND RD, MEMPHIS, TN, 
9208, 1100 S WHITE STATION, MEMPHIS, TN, 
9209, 1100 SPEED, MEMPHIS, TN, 
9210, 1100 STONEWALL ST, MEMPHIS, TN, 
9211, 1100 TATUM, MEMPHIS, TN, 
9212, 1100 WALK PL, MEMPHIS, TN, 
9213, 1200 N BELVEDERE, MEMPHIS, TN, 
9214, 1200 NORRIS, MEMPHIS, TN, 
9215, 1200 RAYMOND, MEMPHIS, TN, 
9216, 1200 WALKER, MEMPHIS, TN, 
9217, 1200 WELLS STATION, MEMPHIS, TN, 
9218, 1300 AGNES, MEMPHIS, TN, 
9219, 1300 CENTRAL AVE, MEMPHIS, TN, 
9220, 1300 FLORIDA, MEMPHIS, TN, 
9221, 1300 MARCIA, MEMPHIS, TN, 
9222, 1300 SAXON, MEMPHIS, TN, 
9223, 1300 WEDGEWOOD, MEMPHIS, TN, 
9224, 1400 BONNIE DR, MEMPHIS, TN, 
9225, 1400 FAIRFAX, MEMPHIS, TN, 
9226, 1400 FLORIDA ST, MEMPHIS, TN, 
9227, 1400 HARBERT AVE, MEMPHIS, TN, 
9228, 1400 HEATHCLIFF, MEMPHIS, TN, 
9229, 1400 MARIA ST, MEMPHIS, TN, 
9230, 1400 MARY JANE AVE, MEMPHIS, TN, 
9231, 1400 OAKRIDGE, MEMPHIS, TN, 
9232, 1400 QUINN AVE, MEMPHIS, TN, 
9233, 1500 ALCY, MEMPHIS, TN, 
9234, 1500 BONNIE DR, MEMPHIS, TN, 
9235, 1500 BOXWOOD ST, MEMPHIS, TN, 
9236, 1500 CHELSEA, MEMPHIS, TN, 
9237, 1500 E SHELBY, MEMPHIS, TN, 
9238, 1500 HARLEM, MEMPHIS, TN, 
9239, 1500 KNEY, MEMPHIS, TN, 
9240, 1500 LATHAM ST, MEMPHIS, TN, 
9241, 1500 MARCIA, MEMPHIS, TN, 
9242, 1500 MERTON, MEMPHIS, TN, 
9243, 1500 S PERKINS, MEMPHIS, TN, 
9244, 1500 STARR, MEMPHIS, TN, 
9245, 1600 BEAVER TRAIL, MEMPHIS, TN, 
9246, 1600 BONNIE LN, MEMPHIS, TN, 
9247, 1600 CENTURY ARBOR, MEMPHIS, TN, 
