102001, 2940N GERMANTOWN, MEMPHIS, TN, 
102002, 2941VOLLINTINE, MEMPHIS, TN, 
102003, 2947LAMAR, MEMPHIS, TN, 
102004, 294W BURDOCK, MEMPHIS, TN, 
102005, 2956WALNUT GROVE, MEMPHIS, TN, 
102006, 2959 AND MORE, MEMPHIS, TN, 
102007, 29600 FRAYSER BLVD, MEMPHIS, TN, 
102008, 2961CLEARBROOK RD, MEMPHIS, TN, 
102009, 29700 SHANNON, MEMPHIS, TN, 
102010, 2973GETWELL RD, MEMPHIS, TN, 
102011, 2974GRENADIER CV, MEMPHIS, TN, 
102012, 2980BARRON, MEMPHIS, TN, 
102013, 2981PARK, MEMPHIS, TN, 
102014, 2985LAMAR AVE, MEMPHIS, TN, 
102015, 2987CAPRI, MEMPHIS, TN, 
102016, 2987LAMAR, MEMPHIS, TN, 
102017, 2991LAMAR, MEMPHIS, TN, 
102018, 2991THIRD, MEMPHIS, TN, 
102019, 29EASTMALLORY, MEMPHIS, TN, 
102020, 29N AVALON, MEMPHIS, TN, 
102021, 2E BYFEILD, MEMPHIS, TN, 
102022, 2ND ADAMS, MEMPHIS, TN, 
102023, 2ND AND ADAMS, MEMPHIS, TN, 
102024, 2ND AND BEALE ALLEY, MEMPHIS, TN, 
102025, 2ND AND BICKFORD, MEMPHIS, TN, 
102026, 2ND AND BUTLER, MEMPHIS, TN, 
102027, 2ND AND COURT, MEMPHIS, TN, 
102028, 2ND AND EXCHANGE AVE, MEMPHIS, TN, 
102029, 2ND AND EXCHANGE RD, MEMPHIS, TN, 
102030, 2ND AND FLOYD, MEMPHIS, TN, 
102031, 2ND AND G E PATTERSON, MEMPHIS, TN, 
102032, 2ND AND GAYOSO AVE, MEMPHIS, TN, 
102033, 2ND AND GE PATTERSON, MEMPHIS, TN, 
102034, 2ND AND GEORGE W LEE AVE, MEMPHIS, TN, 
102035, 2ND AND JACKSON, MEMPHIS, TN, 
102036, 2ND AND LAUDERDALE, MEMPHIS, TN, 
102037, 2ND AND LOONEY, MEMPHIS, TN, 
102038, 2ND AND LTGEORGE W LEE, MEMPHIS, TN, 
102039, 2ND AND MARTIN LURTHER KING, MEMPHIS, TN, 
102040, 2ND AND MARTIN LUTHER KING AVE, MEMPHIS, TN, 
102041, 2ND AND MARTIN LUTHER KING, MEMPHIS, TN, 
102042, 2ND AND MUD ISLAND, MEMPHIS, TN, 
102043, 2ND AND MUD LSLAND DR, MEMPHIS, TN, 
102044, 2ND AND PEABODY PL, MEMPHIS, TN, 
102045, 2ND AND PONOTOC, MEMPHIS, TN, 
102046, 2ND AND POPLAR, MEMPHIS, TN, 
102047, 2ND AND S CT, MEMPHIS, TN, 
102048, 2ND AND ST PAUL, MEMPHIS, TN, 
102049, 2ND AND TALBOT, MEMPHIS, TN, 
102050, 2ND AND UNION AVE, MEMPHIS, TN, 
102051, 2ND AND WEBSTER, MEMPHIS, TN, 
102052, 2ND AUCTION, MEMPHIS, TN, 
102053, 2ND AVE AND BEALE ST, MEMPHIS, TN, 
102054, 2ND AVE AND PEABODY PL, MEMPHIS, TN, 
