104001, 3000 LAMAR STE 115, MEMPHIS, TN, 
104002, 3000 LAMAR STE 118, MEMPHIS, TN, 
104003, 3000 LAMAR SUITE 10, MEMPHIS, TN, 
104004, 3000 LAMAR SUITE 106, MEMPHIS, TN, 
104005, 3000 LAMAR SUITE 115, MEMPHIS, TN, 
104006, 3000 LAMAR SUITE 116, MEMPHIS, TN, 
104007, 3000 LAMAR UNIT 106, MEMPHIS, TN, 
104008, 3000 LAMRAR, MEMPHIS, TN, 
104009, 3000 LARADO ST, MEMPHIS, TN, 
104010, 3000 LARKS, MEMPHIS, TN, 
104011, 3000 LATREC, MEMPHIS, TN, 
104012, 3000 LAURA SPRINGS, MEMPHIS, TN, 
104013, 3000 LAURANCE KIRK, MEMPHIS, TN, 
104014, 3000 LE CONTE CIRCLE, MEMPHIS, TN, 
104015, 3000 LEAFY HOLLOW DR, MEMPHIS, TN, 
104016, 3000 LECONTE CIR, MEMPHIS, TN, 
104017, 3000 LECTREC, MEMPHIS, TN, 
104018, 3000 LECTRIC, MEMPHIS, TN, 
104019, 3000 LETRC CV, MEMPHIS, TN, 
104020, 3000 LETRIC, MEMPHIS, TN, 
104021, 3000 LEUNETT, MEMPHIS, TN, 
104022, 3000 LEYLAND CV, MEMPHIS, TN, 
104023, 3000 LINK RUN, MEMPHIS, TN, 
104024, 3000 LOGANCREST LN, MEMPHIS, TN, 
104025, 3000 LOLA AVE, MEMPHIS, TN, 
104026, 3000 LONETTE ST, MEMPHIS, TN, 
104027, 3000 LORADO, MEMPHIS, TN, 
104028, 3000 LOTUS DR, MEMPHIS, TN, 
104029, 3000 LOUNETE, MEMPHIS, TN, 
104030, 3000 LOUNETT, MEMPHIS, TN, 
104031, 3000 LOUNETTE RD, MEMPHIS, TN, 
104032, 3000 LUNNETT, MEMPHIS, TN, 
104033, 3000 LUTUS, MEMPHIS, TN, 
104034, 3000 LYNCHBURG DR, MEMPHIS, TN, 
104035, 3000 MACINESS, MEMPHIS, TN, 
104036, 3000 MACON RD, MEMPHIS, TN, 
104037, 3000 MADISON, MEMPHIS, TN, 
