108001, 3300 WOODLAKE CIR S, MEMPHIS, TN, 
108002, 3300 WOODLAKE CIRCLE N, MEMPHIS, TN, 
108003, 3300 WOODLAKE CIRCLE, MEMPHIS, TN, 
108004, 3300 WOODLAKE S, MEMPHIS, TN, 
108005, 3300 WRITE PL, MEMPHIS, TN, 
108006, 3300 WYNDANCE ST, MEMPHIS, TN, 
108007, 3300 YALE ST, MEMPHIS, TN, 
108008, 33000 SPOTTSWOOD, MEMPHIS, TN, 
108009, 3300BLK OF AMERICAN WAY, MEMPHIS, TN, 
108010, 3300TUTWILER AND HOLMES RD, MEMPHIS, TN, 
108011, 3301HICKORY HILL, MEMPHIS, TN, 
108012, 3306OVERTON CROSSING, MEMPHIS, TN, 
108013, 3307SUMMER, MEMPHIS, TN, 
108014, 3309ELVIS PRESLEY, MEMPHIS, TN, 
108015, 33100 SEMINARY CV, MEMPHIS, TN, 
108016, 3311ELVIS PRESLEY, MEMPHIS, TN, 
108017, 3311SCHEIBLER, MEMPHIS, TN, 
108018, 3312TRADEWIND TERR CV, MEMPHIS, TN, 
108019, 3316EWINCHESTER, MEMPHIS, TN, 
108020, 331N HOLMES ST, MEMPHIS, TN, 
108021, 3321RIDGECREST ST, MEMPHIS, TN, 
108022, 3325CICALLA, MEMPHIS, TN, 
108023, 3327KNIGHT RD, MEMPHIS, TN, 
108024, 33300 MORNINGSIDE, MEMPHIS, TN, 
108025, 3338SHARPE, MEMPHIS, TN, 
108026, 333N DUNLAP, MEMPHIS, TN, 
108027, 33400 WINBROOK, MEMPHIS, TN, 
108028, 3344-3346 FAIRBANK, MEMPHIS, TN, 
108029, 3344AUSTIN PEAY, MEMPHIS, TN, 
108030, 3346E SHELBY DR, MEMPHIS, TN, 
108031, 3349W WINCHESTER PLACE, MEMPHIS, TN, 
108032, 335-B CUMBERLAND, MEMPHIS, TN, 
108033, 33500 AARON, MEMPHIS, TN, 
108034, 33500 OUTLET, MEMPHIS, TN, 
108035, 3350HARMONY WOODS, MEMPHIS, TN, 
