10001, 2600 DWIGHT CV, MEMPHIS, TN, 
10002, 2600 FRISCO, MEMPHIS, TN, 
10003, 2600 MOUNT MORIAH, MEMPHIS, TN, 
10004, 2600 SUNNY HILL, MEMPHIS, TN, 
10005, 2700 DERBYSHIRE, MEMPHIS, TN, 
10006, 2700 LAKESIDE DR, MEMPHIS, TN, 
10007, 2700 MARGOT, MEMPHIS, TN, 
10008, 2700 N GERMANTOWN PKY, MEMPHIS, TN, 
10009, 2700 PRINCE RUPERT LN, MEMPHIS, TN, 
10010, 2800 BURNS AVE, MEMPHIS, TN, 
10011, 2800 CLARKE RD, MEMPHIS, TN, 
10012, 2800 MAHUE, MEMPHIS, TN, 
10013, 2800 SOUTH MENDENHALL RD, MEMPHIS, TN, 
10014, 2800 SOUTH PERKINS RD, MEMPHIS, TN, 
10015, 2800 WOODLAND HILLS CV, MEMPHIS, TN, 
10016, 2900 BREWER AVE, MEMPHIS, TN, 
10017, 2900 FARRISVIEW BLVD, MEMPHIS, TN, 
10018, 2900 FARRISVIEW, MEMPHIS, TN, 
10019, 2900 TOEHILL CV, MEMPHIS, TN, 
10020, 300 ANGELUS, MEMPHIS, TN, 
10021, 300 BOND AVE, MEMPHIS, TN, 
10022, 300 E BODLEY, MEMPHIS, TN, 
10023, 300 E JOHNSON CIR, MEMPHIS, TN, 
10024, 3000 BIRCHFIELD, MEMPHIS, TN, 
10025, 3000 CHERRY RD, MEMPHIS, TN, 
10026, 3000 EDEN, MEMPHIS, TN, 
10027, 3000 ELGIN, MEMPHIS, TN, 
10028, 3000 EMERALD ST, MEMPHIS, TN, 
10029, 3000 S GOODLETT, MEMPHIS, TN, 
10030, 3100 AUSTIN PEAY HWY, MEMPHIS, TN, 
10031, 3100 CARNES AVE, MEMPHIS, TN, 
10032, 3100 CARRIER, MEMPHIS, TN, 
10033, 3100 EAGLE DR, MEMPHIS, TN, 
10034, 3100 FAIRBORN, MEMPHIS, TN, 
10035, 3100 HARRIS, MEMPHIS, TN, 
10036, 3100 MCCOOL, MEMPHIS, TN, 
10037, 3100 OVERBROOK, MEMPHIS, TN, 
10038, 3200 ARBOR PLACE SOUTH, MEMPHIS, TN, 
10039, 3200 BROOKSVALLEY, MEMPHIS, TN, 
10040, 3200 CARRIER, MEMPHIS, TN, 
10041, 3200 HICKORY HILL RD, MEMPHIS, TN, 
10042, 3200 N WATKINS ST, MEMPHIS, TN, 
10043, 3200 S GOODLETT, MEMPHIS, TN, 
10044, 3200 WHISPERING LN EAST, MEMPHIS, TN, 
10045, 3300 AMSELLE CIR, MEMPHIS, TN, 
10046, 3300 BARRON, MEMPHIS, TN, 
10047, 3300 FORESTBROOK, MEMPHIS, TN, 
10048, 3300 PRINCETON AVE, MEMPHIS, TN, 
10049, 3300 STANDARD DR, MEMPHIS, TN, 
10050, 3300 WATERWAY CIR, MEMPHIS, TN, 
10051, 3300 WATERWAY CIRCLE, MEMPHIS, TN, 
10052, 3400 BARBWOOD DR, MEMPHIS, TN, 
10053, 3400 CAZASSA, MEMPHIS, TN, 
10054, 3400 CHARLOTTE RD, MEMPHIS, TN, 
10055, 3400 DOUGLASS AVE, MEMPHIS, TN, 
10056, 3400 EMERALD, MEMPHIS, TN, 
10057, 3400 JENKINS, MEMPHIS, TN, 
10058, 3400 JUSTINE, MEMPHIS, TN, 
10059, 3400 KNIGHT TRAIL CIR, MEMPHIS, TN, 
10060, 3400 PRIME MINISTER, MEMPHIS, TN, 
10061, 3400 WALLOON DR, MEMPHIS, TN, 
