112001, 3600 TULSA, MEMPHIS, TN, 
112002, 3600 TWINKLE TOWN RD, MEMPHIS, TN, 
112003, 3600 TWINKLE TOWN, MEMPHIS, TN, 
112004, 3600 TYLA #3, MEMPHIS, TN, 
112005, 3600 TYLA DR #2, MEMPHIS, TN, 
112006, 3600 TYLAR, MEMPHIS, TN, 
112007, 3600 TYLER, MEMPHIS, TN, 
112008, 3600 UNIVERSITY AVE, MEMPHIS, TN, 
112009, 3600 UNIVERSITY ST, MEMPHIS, TN, 
112010, 3600 VAN NUYS, MEMPHIS, TN, 
112011, 3600 VANDERWOOD RD, MEMPHIS, TN, 
112012, 3600 VANDUYS, MEMPHIS, TN, 
112013, 3600 VANSUYS, MEMPHIS, TN, 
112014, 3600 VANUYS ST, MEMPHIS, TN, 
112015, 3600 VANUYSVANUYS, MEMPHIS, TN, 
112016, 3600 VANYUS RD, MEMPHIS, TN, 
112017, 3600 VENADALE, MEMPHIS, TN, 
112018, 3600 VENEBLE, MEMPHIS, TN, 
112019, 3600 VENERABLE, MEMPHIS, TN, 
112020, 3600 VENNBLE, MEMPHIS, TN, 
112021, 3600 VERNABLE AVE, MEMPHIS, TN, 
112022, 3600 VERNON RD, MEMPHIS, TN, 
112023, 3600 VERRNON, MEMPHIS, TN, 
112024, 3600 VERRON, MEMPHIS, TN, 
112025, 3600 VILLAGE GROVE WEST, MEMPHIS, TN, 
112026, 3600 VIVIA ST, MEMPHIS, TN, 
112027, 3600 VOLITARE, MEMPHIS, TN, 
112028, 3600 VOLTAIRE ST, MEMPHIS, TN, 
112029, 3600 VOLTIRE ST, MEMPHIS, TN, 
112030, 3600 W CHANTREY DR, MEMPHIS, TN, 
112031, 3600 W CHATTERY, MEMPHIS, TN, 
112032, 3600 W DEERWOOD AVE, MEMPHIS, TN, 
112033, 3600 W EDGEWARE ST, MEMPHIS, TN, 
112034, 3600 W HILLVIEW DR, MEMPHIS, TN, 
112035, 3600 W HOLMES, MEMPHIS, TN, 
112036, 3600 W HORN LAKE DR, MEMPHIS, TN, 
112037, 3600 W METROPOLITAN CIT, MEMPHIS, TN, 
112038, 3600 W METROPOLITAN ST, MEMPHIS, TN, 
112039, 3600 W METROPOLITIAN, MEMPHIS, TN, 
112040, 3600 W NEWBERRY RD, MEMPHIS, TN, 
112041, 3600 W NEWBERRY, MEMPHIS, TN, 
112042, 3600 W RAINES, MEMPHIS, TN, 
