117001, 4000 BALD EAGLE E, MEMPHIS, TN, 
117002, 4000 BALD EAGLE RD, MEMPHIS, TN, 
117003, 4000 BALDEAGLE DR 207, MEMPHIS, TN, 
117004, 4000 BALFOUR AVE, MEMPHIS, TN, 
117005, 4000 BANDY, MEMPHIS, TN, 
117006, 4000 BANTECH SUITE 8, MEMPHIS, TN, 
117007, 4000 BARABOURVILLE, MEMPHIS, TN, 
117008, 4000 BARBARAVILLE, MEMPHIS, TN, 
117009, 4000 BARBERA VILLE, MEMPHIS, TN, 
117010, 4000 BARBERRY ST, MEMPHIS, TN, 
117011, 4000 BARBORSVILLE, MEMPHIS, TN, 
117012, 4000 BARBOURNVILLE, MEMPHIS, TN, 
117013, 4000 BARBOURSVILLE DR, MEMPHIS, TN, 
117014, 4000 BARBOURVILLE #1, MEMPHIS, TN, 
117015, 4000 BARBOURVILLE 2, MEMPHIS, TN, 
117016, 4000 BARBOURVILLE APT 1, MEMPHIS, TN, 
117017, 4000 BARBOURVILLE DR #6, MEMPHIS, TN, 
117018, 4000 BARBOURVILLE DR APT 1, MEMPHIS, TN, 
117019, 4000 BARBOURVILLE ST, MEMPHIS, TN, 
117020, 4000 BARBOUVILLE DR, MEMPHIS, TN, 
117021, 4000 BARBOUVILLE, MEMPHIS, TN, 
117022, 4000 BARONNE WAY, MEMPHIS, TN, 
117023, 4000 BARR, MEMPHIS, TN, 
117024, 4000 BARTON 1, MEMPHIS, TN, 
117025, 4000 BARTON APT 1, MEMPHIS, TN, 
117026, 4000 BARTON AVE, MEMPHIS, TN, 
117027, 4000 BARVOURVILLE, MEMPHIS, TN, 
117028, 4000 BARWOOD, MEMPHIS, TN, 
117029, 4000 BASSWOOD ST, MEMPHIS, TN, 
117030, 4000 BATTLE FOREST CV, MEMPHIS, TN, 
117031, 4000 BATTLEFIELD RD, MEMPHIS, TN, 
117032, 4000 BAY WIND ST, MEMPHIS, TN, 
117033, 4000 BAY WIND, MEMPHIS, TN, 
117034, 4000 BAYLISS RD, MEMPHIS, TN, 
117035, 4000 BAYLISS ST, MEMPHIS, TN, 
117036, 4000 BAYONE DR, MEMPHIS, TN, 
117037, 4000 BAYWIND RD, MEMPHIS, TN, 
117038, 4000 BAYWIND ST, MEMPHIS, TN, 
117039, 4000 BEAVER CREEK CV, MEMPHIS, TN, 
117040, 4000 BEAVERCREEK DR, MEMPHIS, TN, 
117041, 4000 BEAVERCREEK RD, MEMPHIS, TN, 
117042, 4000 BEECH DALE CV, MEMPHIS, TN, 
117043, 4000 BEECH DALE, MEMPHIS, TN, 
117044, 4000 BEECHDALE, MEMPHIS, TN, 
117045, 4000 BEECHMONT, MEMPHIS, TN, 
117046, 4000 BEEN VENUE ST, MEMPHIS, TN, 
117047, 4000 BEEVER CREEK, MEMPHIS, TN, 
117048, 4000 BEN VENEUE CV, MEMPHIS, TN, 
117049, 4000 BENBOW, MEMPHIS, TN, 
117050, 4000 BERKSHIRE ROAD, MEMPHIS, TN, 
117051, 4000 BERKSHIRE ST, MEMPHIS, TN, 
117052, 4000 BERTHA CV, MEMPHIS, TN, 
117053, 4000 BERTRAM CIVE, MEMPHIS, TN, 
