11001, 500 EAST SHELBY DR, MEMPHIS, TN, 
11002, 500 ELLSWORTH, MEMPHIS, TN, 
11003, 500 N CLEVELAND ST, MEMPHIS, TN, 
11004, 500 N MANASSAS, MEMPHIS, TN, 
11005, 500 NORTH MAIN ST, MEMPHIS, TN, 
11006, 500 S PERKINS, MEMPHIS, TN, 
11007, 500 SOUTH MAIN, MEMPHIS, TN, 
11008, 500 TRIGG, MEMPHIS, TN, 
11009, 500 WINCHESTER, MEMPHIS, TN, 
11010, 5000 BRYNDALE, MEMPHIS, TN, 
11011, 5000 COPPER VALLEY CV, MEMPHIS, TN, 
11012, 5000 EAST SHELBY DR, MEMPHIS, TN, 
11013, 5000 GILL RD, MEMPHIS, TN, 
11014, 5000 HORN LAKE, MEMPHIS, TN, 
11015, 5000 NEWTON, MEMPHIS, TN, 
11016, 5000 SHELBY, MEMPHIS, TN, 
11017, 5000 STACEY, MEMPHIS, TN, 
11018, 5000 WATER FOWL LN, MEMPHIS, TN, 
11019, 5100 BLEDSOE CV, MEMPHIS, TN, 
11020, 5100 SHUBERT CV, MEMPHIS, TN, 
11021, 5100 STACEY RD, MEMPHIS, TN, 
11022, 5200 CANA, MEMPHIS, TN, 
11023, 5200 E RAINES, MEMPHIS, TN, 
11024, 5200 SOUTHINGTON, MEMPHIS, TN, 
11025, 5200 TRADEPORT, MEMPHIS, TN, 
11026, 5300 ELVIS PRESELY, MEMPHIS, TN, 
11027, 5300 ELVIS PRESLEY BOULEVARD, MEMPHIS, TN, 
11028, 5300 SHELBORN CIRCLE, MEMPHIS, TN, 
11029, 5300 SUNRAY, MEMPHIS, TN, 
11030, 5300 TULANE RD, MEMPHIS, TN, 
11031, 5400 FOXLAKE LN, MEMPHIS, TN, 
11032, 5400 MEADOWLAKE S, MEMPHIS, TN, 
11033, 5500 MEADOWLAKE N, MEMPHIS, TN, 
11034, 5500 MEADOWLAKE SOUTH, MEMPHIS, TN, 
11035, 5500 MILLBRANCH RD, MEMPHIS, TN, 
11036, 5500 OAK BARK DR, MEMPHIS, TN, 
11037, 5700 CREPE MYRTLE, MEMPHIS, TN, 
11038, 5700 SHAGBARK CT, MEMPHIS, TN, 
11039, 5900 DUTTON, MEMPHIS, TN, 
11040, 5900 ESSEX CT, MEMPHIS, TN, 
11041, 600 ADRIAN, MEMPHIS, TN, 
11042, 600 ALABAMA AVE, MEMPHIS, TN, 
11043, 600 E SHELBY, MEMPHIS, TN, 
11044, 600 JOSEPHINE ST, MEMPHIS, TN, 
11045, 600 MOLINE, MEMPHIS, TN, 
11046, 600 N HOLLYWOOD, MEMPHIS, TN, 
11047, 600 NORTH MENDENHALL, MEMPHIS, TN, 
11048, 600 SCOTT, MEMPHIS, TN, 
11049, 600 WICKS, MEMPHIS, TN, 
11050, 6000 EAST POINT CV, MEMPHIS, TN, 
11051, 6000 N LITTLE BROOK CIR, MEMPHIS, TN, 
11052, 6100 FOX RIDGE DR, MEMPHIS, TN, 
11053, 6100 S LITTLEBROOK CIR, MEMPHIS, TN, 
11054, 6200 BLUE WILLOW CV, MEMPHIS, TN, 
11055, 6200 VALLEYDALE DR, MEMPHIS, TN, 
11056, 6300 ASHTON RD, MEMPHIS, TN, 
11057, 6300 LAKE VIEW TRAILS, MEMPHIS, TN, 
11058, 6300 RIDGELINE DR, MEMPHIS, TN, 
11059, 6300 SCARLETCREST, MEMPHIS, TN, 
11060, 6500 CHALGROVE CV, MEMPHIS, TN, 
11061, 6500 KINDNESS CV, MEMPHIS, TN, 
11062, 6600 CENTURY ARBOR PLACE WEST, MEMPHIS, TN, 
11063, 6700 CENTURY ARBOR PLACE EAST, MEMPHIS, TN, 
11064, 6700 KNIGHT ARNOLD, MEMPHIS, TN, 
11065, 6900 APPLING FARMS, MEMPHIS, TN, 
11066, 700 BETHEL AVE, MEMPHIS, TN, 
11067, 700 E TRIGG AVE, MEMPHIS, TN, 
11068, 700 HAWTHORNE, MEMPHIS, TN, 
11069, 700 LUCY AVE, MEMPHIS, TN, 
11070, 700 MELTON, MEMPHIS, TN, 
11071, 700 MOCCASIN, MEMPHIS, TN, 
11072, 700 PENDLETON ST, MEMPHIS, TN, 
11073, 700 PROVINE, MEMPHIS, TN, 
11074, 700 TULANE, MEMPHIS, TN, 
11075, 7000 BIRCH LAKE DR, MEMPHIS, TN, 
