120001, 4200 TROOSTY DR, MEMPHIS, TN, 
120002, 4200 TROOTS RD, MEMPHIS, TN, 
120003, 4200 TROOTS, MEMPHIS, TN, 
120004, 4200 TROST, MEMPHIS, TN, 
120005, 4200 TROUST AVE, MEMPHIS, TN, 
120006, 4200 TRUMAM, MEMPHIS, TN, 
120007, 4200 TRUMAN AVE., MEMPHIS, TN, 
120008, 4200 TRUSE DR, MEMPHIS, TN, 
120009, 4200 TRUST, MEMPHIS, TN, 
120010, 4200 TUCKHOE, MEMPHIS, TN, 
120011, 4200 TULIP POPLAR, MEMPHIS, TN, 
120012, 4200 TUNBRIBGE PL, MEMPHIS, TN, 
120013, 4200 TUNBRIDGE RD, MEMPHIS, TN, 
120014, 4200 TURNBRIDGE PL, MEMPHIS, TN, 
120015, 4200 TUTWILER AVENUE, MEMPHIS, TN, 
120016, 4200 TYROL CT, MEMPHIS, TN, 
120017, 4200 UNIVERSITY AVE, MEMPHIS, TN, 
120018, 4200 UNVERSITY, MEMPHIS, TN, 
120019, 4200 VANCE AVE, MEMPHIS, TN, 
120020, 4200 VANCOUVER LN, MEMPHIS, TN, 
120021, 4200 VANDERGREEN, MEMPHIS, TN, 
120022, 4200 VICOSCIA, MEMPHIS, TN, 
120023, 4200 W CRESTWOOD DR, MEMPHIS, TN, 
120024, 4200 W MANNER CR, MEMPHIS, TN, 
120025, 4200 W MANNOR CIRC, MEMPHIS, TN, 
120026, 4200 W MANOR CL, MEMPHIS, TN, 
120027, 4200 W MINOR, MEMPHIS, TN, 
120028, 4200 W RAINES RD, MEMPHIS, TN, 
120029, 4200 W. MANOR CIRCLE, MEMPHIS, TN, 
120030, 4200 WAGON WHEEL AVE, MEMPHIS, TN, 
120031, 4200 WAGONWHEEL DR, MEMPHIS, TN, 
120032, 4200 WALDEN POINTE, MEMPHIS, TN, 
120033, 4200 WALLACE, MEMPHIS, TN, 
120034, 4200 WALNUT GRV, MEMPHIS, TN, 
120035, 4200 WARBONNET DR, MEMPHIS, TN, 
120036, 4200 WARDEN CV, MEMPHIS, TN, 
120037, 4200 WATKINS, MEMPHIS, TN, 
120038, 4200 WATTAKER, MEMPHIS, TN, 
120039, 4200 WATTATER, MEMPHIS, TN, 
120040, 4200 WATTEKER ST, MEMPHIS, TN, 
120041, 4200 WATTERKER, MEMPHIS, TN, 
120042, 4200 WAYMOUTH CV, MEMPHIS, TN, 
120043, 4200 WEALS, MEMPHIS, TN, 
120044, 4200 WEB AWAY DR, MEMPHIS, TN, 
120045, 4200 WEB WAY, MEMPHIS, TN, 
120046, 4200 WEBBSWAY, MEMPHIS, TN, 
120047, 4200 WEINER, MEMPHIS, TN, 
120048, 4200 WELLWOOD DR, MEMPHIS, TN, 
120049, 4200 WELLWOOD RD, MEMPHIS, TN, 
120050, 4200 WESGATE TRL, MEMPHIS, TN, 
120051, 4200 WEST MANNER CL, MEMPHIS, TN, 
120052, 4200 WEST MANOR CIRCLE 4, MEMPHIS, TN, 
120053, 4200 WESTGATE TRAIL, MEMPHIS, TN, 
120054, 4200 WESTMANOR CIRCLE, MEMPHIS, TN, 
120055, 4200 WESTMANOR CR, MEMPHIS, TN, 
120056, 4200 WESTMOUNT, MEMPHIS, TN, 
120057, 4200 WESTOVER DR, MEMPHIS, TN, 
120058, 4200 WESTOVER RD, MEMPHIS, TN, 
120059, 4200 WEYMONTH CV, MEMPHIS, TN, 
120060, 4200 WEYMOUTH AVE, MEMPHIS, TN, 
