122001, 4500 BURNETT PLACE, MEMPHIS, TN, 
122002, 4500 BURNETTE, MEMPHIS, TN, 
122003, 4500 BURNHAM, MEMPHIS, TN, 
122004, 4500 CALYPSCO CT, MEMPHIS, TN, 
122005, 4500 CALYPSO CV, MEMPHIS, TN, 
122006, 4500 CALYPSOL CT, MEMPHIS, TN, 
122007, 4500 CAMELOT LN, MEMPHIS, TN, 
122008, 4500 CASTLE HEIGHS, MEMPHIS, TN, 
122009, 4500 CASTLE HEIGHTS CV, MEMPHIS, TN, 
122010, 4500 CASTLE HEIGHTS DRIVE, MEMPHIS, TN, 
122011, 4500 CASTLE HIEGHT, MEMPHIS, TN, 
122012, 4500 CASTLE HIEGHTS, MEMPHIS, TN, 
122013, 4500 CASTLEHEIGHT DR, MEMPHIS, TN, 
122014, 4500 CEADER GLENN, MEMPHIS, TN, 
122015, 4500 CEDAR CREEK, MEMPHIS, TN, 
122016, 4500 CEDAR GLEN 4, MEMPHIS, TN, 
122017, 4500 CEDAR GLEN APT 2, MEMPHIS, TN, 
122018, 4500 CEDAR GLEN DR #7, MEMPHIS, TN, 
122019, 4500 CEDAR GLEN DR APT 4, MEMPHIS, TN, 
122020, 4500 CEDAR GLEN LN, MEMPHIS, TN, 
122021, 4500 CEDAR GLENN #3, MEMPHIS, TN, 
122022, 4500 CEDAR GLENN #8, MEMPHIS, TN, 
122023, 4500 CEDAR GLENN 5, MEMPHIS, TN, 
122024, 4500 CEDAR GLENN DE, MEMPHIS, TN, 
122025, 4500 CEDAR GLENN LN, MEMPHIS, TN, 
122026, 4500 CEDAR GLENN ST, MEMPHIS, TN, 
122027, 4500 CEDAR GREEN, MEMPHIS, TN, 
122028, 4500 CEDAR HILL DR, MEMPHIS, TN, 
122029, 4500 CEDAR MILL DR, MEMPHIS, TN, 
122030, 4500 CEDAR PARK DRIVE, MEMPHIS, TN, 
122031, 4500 CEDAR POINT DR, MEMPHIS, TN, 
122032, 4500 CEDAR RIDGE LN, MEMPHIS, TN, 
122033, 4500 CEDAR RIDGE, MEMPHIS, TN, 
122034, 4500 CEDAR WOODS, MEMPHIS, TN, 
122035, 4500 CEDAR, MEMPHIS, TN, 
122036, 4500 CEDARCREEK CV, MEMPHIS, TN, 
122037, 4500 CEDARGLEN DR, MEMPHIS, TN, 
122038, 4500 CEDARGLENN #2, MEMPHIS, TN, 
122039, 4500 CEDARWOOD DR, MEMPHIS, TN, 
122040, 4500 CEDARWOOD, MEMPHIS, TN, 
122041, 4500 CHANCELLOR ST, MEMPHIS, TN, 
122042, 4500 CHARING CROSS AVE, MEMPHIS, TN, 
122043, 4500 CHARLESWOOD ROAD, MEMPHIS, TN, 
122044, 4500 CHARRING CROSS, MEMPHIS, TN, 
122045, 4500 CHERRY RD, MEMPHIS, TN, 
122046, 4500 CHERRYDALE AVE, MEMPHIS, TN, 
122047, 4500 CHRISTINE, MEMPHIS, TN, 
122048, 4500 CHUCK ST, MEMPHIS, TN, 
122049, 4500 CIMMARON DRIVE, MEMPHIS, TN, 
122050, 4500 CIMMARON RD, MEMPHIS, TN, 
122051, 4500 CIMMAROON, MEMPHIS, TN, 
122052, 4500 CIMMARRON, MEMPHIS, TN, 
122053, 4500 CIMMERON, MEMPHIS, TN, 
122054, 4500 CLAPYPSO CT, MEMPHIS, TN, 
122055, 4500 CLARKE, MEMPHIS, TN, 
122056, 4500 CLEO AVE, MEMPHIS, TN, 
122057, 4500 CLINCHSTONE DR, MEMPHIS, TN, 
122058, 4500 CLOE, MEMPHIS, TN, 
122059, 4500 CLOUD BURST, MEMPHIS, TN, 
122060, 4500 CLOUDBURST RD, MEMPHIS, TN, 
