125001, 4900 HILLVIEW RD, MEMPHIS, TN, 
125002, 4900 HODEGE, MEMPHIS, TN, 
125003, 4900 HOLMES, MEMPHIS, TN, 
125004, 4900 HOLT AVE, MEMPHIS, TN, 
125005, 4900 HOLT ST, MEMPHIS, TN, 
125006, 4900 HORN LK, MEMPHIS, TN, 
125007, 4900 HUDGINS, MEMPHIS, TN, 
125008, 4900 HWY 61 SOUTH, MEMPHIS, TN, 
125009, 4900 HWY 61, MEMPHIS, TN, 
125010, 4900 HYACINTH CV, MEMPHIS, TN, 
125011, 4900 JAMES KENT CT S, MEMPHIS, TN, 
125012, 4900 JARDIN PL, MEMPHIS, TN, 
125013, 4900 JEFF, MEMPHIS, TN, 
125014, 4900 JONQUIL LN, MEMPHIS, TN, 
125015, 4900 KANARD, MEMPHIS, TN, 
125016, 4900 KATHERINE, MEMPHIS, TN, 
125017, 4900 KERSTON, MEMPHIS, TN, 
125018, 4900 KERWIN, MEMPHIS, TN, 
125019, 4900 KICKER CIR, MEMPHIS, TN, 
125020, 4900 KICKER CV APT 6, MEMPHIS, TN, 
125021, 4900 KIMBALL AVE, MEMPHIS, TN, 
125022, 4900 KINARD CV, MEMPHIS, TN, 
125023, 4900 KINARD ST, MEMPHIS, TN, 
125024, 4900 KNIGHT ARNOLD ROAD, MEMPHIS, TN, 
125025, 4900 KNIGHT ARNOLD ST, MEMPHIS, TN, 
125026, 4900 LADYSLIPPER LN, MEMPHIS, TN, 
125027, 4900 LAKE, MEMPHIS, TN, 
125028, 4900 LAKERIDGE, MEMPHIS, TN, 
125029, 4900 LANSFORD, MEMPHIS, TN, 
125030, 4900 LEAFY HOLLOW, MEMPHIS, TN, 
125031, 4900 LECLAIRE, MEMPHIS, TN, 
125032, 4900 LEONARD AVE, MEMPHIS, TN, 
125033, 4900 LEONARD DR, MEMPHIS, TN, 
125034, 4900 LEONARD ROAD, MEMPHIS, TN, 
125035, 4900 LEVEN ST, MEMPHIS, TN, 
125036, 4900 LEVIN, MEMPHIS, TN, 
125037, 4900 LITCHERMAN, MEMPHIS, TN, 
125038, 4900 LOCHNIVAR, MEMPHIS, TN, 
125039, 4900 LOENARD, MEMPHIS, TN, 
125040, 4900 LORECE, MEMPHIS, TN, 
125041, 4900 LYNBAR DR, MEMPHIS, TN, 
125042, 4900 LYNNGATE DR, MEMPHIS, TN, 
125043, 4900 LYNNGATE RD, MEMPHIS, TN, 
125044, 4900 MACON 101, MEMPHIS, TN, 
125045, 4900 MALARD NEST, MEMPHIS, TN, 
125046, 4900 MALLARDNEST, MEMPHIS, TN, 
125047, 4900 MALLARDS NEST DR, MEMPHIS, TN, 
125048, 4900 MALONE, MEMPHIS, TN, 
125049, 4900 MANSON AVE, MEMPHIS, TN, 
125050, 4900 MANSON ROAD, MEMPHIS, TN, 
125051, 4900 MANSON ST, MEMPHIS, TN, 
125052, 4900 MARCEL RD, MEMPHIS, TN, 
125053, 4900 MARINNE LN, MEMPHIS, TN, 
125054, 4900 MARION DR, MEMPHIS, TN, 
125055, 4900 MARKINGBIRD LN, MEMPHIS, TN, 
125056, 4900 MARLIN ST, MEMPHIS, TN, 
125057, 4900 MASON RD, MEMPHIS, TN, 
125058, 4900 MASON, MEMPHIS, TN, 
125059, 4900 MCCORCKLE, MEMPHIS, TN, 
125060, 4900 MCCOREY, MEMPHIS, TN, 
125061, 4900 MCCRORY RD, MEMPHIS, TN, 
125062, 4900 MCGHEE, MEMPHIS, TN, 
125063, 4900 MCKESSON, MEMPHIS, TN, 
125064, 4900 MENDENHALL PLACE, MEMPHIS, TN, 
125065, 4900 MICKEY, MEMPHIS, TN, 
125066, 4900 MIGALDI, MEMPHIS, TN, 
125067, 4900 MILL BRANCH AVE, MEMPHIS, TN, 
125068, 4900 MILL BRANCH, MEMPHIS, TN, 
125069, 4900 MILLBARANCH, MEMPHIS, TN, 
125070, 4900 MINK CIRCLE, MEMPHIS, TN, 
125071, 4900 MISTIC LAKE, MEMPHIS, TN, 
125072, 4900 MISTTICK LAKE, MEMPHIS, TN, 
125073, 4900 MOCKINBIRD LN, MEMPHIS, TN, 
125074, 4900 MONTEE DR, MEMPHIS, TN, 
125075, 4900 MT TERRACE, MEMPHIS, TN, 
125076, 4900 MYSTIC LAKE DR, MEMPHIS, TN, 
125077, 4900 N MENDENHALL RD, MEMPHIS, TN, 
125078, 4900 N MILNOR, MEMPHIS, TN, 
125079, 4900 N PEG LN, MEMPHIS, TN, 
125080, 4900 N WINCHESTER SP, MEMPHIS, TN, 
125081, 4900 NAVAHO, MEMPHIS, TN, 
125082, 4900 NEW COVINGTON PIKE, MEMPHIS, TN, 
125083, 4900 NEW GATE RD, MEMPHIS, TN, 
125084, 4900 NEW HORN LAKE, MEMPHIS, TN, 
125085, 4900 NEW WILLOW, MEMPHIS, TN, 
125086, 4900 NEWBERRY, MEMPHIS, TN, 
125087, 4900 NEWGATE RD, MEMPHIS, TN, 
125088, 4900 NORMANDY RD, MEMPHIS, TN, 
125089, 4900 NORTH WINCHEST SQUARE, MEMPHIS, TN, 
125090, 4900 NORTH WINCHESTER SQ, MEMPHIS, TN, 
125091, 4900 NORTHDALE, MEMPHIS, TN, 
125092, 4900 OLD DUTCH WAY, MEMPHIS, TN, 
125093, 4900 OLD GETWELL RD, MEMPHIS, TN, 
125094, 4900 OLD RALEIGH LAGRANGE, MEMPHIS, TN, 
125095, 4900 ORDIE, MEMPHIS, TN, 
125096, 4900 ORTI, MEMPHIS, TN, 
125097, 4900 ORTIE RD, MEMPHIS, TN, 
125098, 4900 OUTLAND CENTER CV, MEMPHIS, TN, 
125099, 4900 OUTLAND CENTER DRIVC, MEMPHIS, TN, 
125100, 4900 OUTLAND CENTRE DR, MEMPHIS, TN, 
125101, 4900 OUTLAND SUITE 101, MEMPHIS, TN, 
125102, 4900 OWENS, MEMPHIS, TN, 
125103, 4900 PARK SIDE AVE, MEMPHIS, TN, 
125104, 4900 PARKSIDE DR, MEMPHIS, TN, 
125105, 4900 PATTE ANN DR, MEMPHIS, TN, 
125106, 4900 PEABLEWOOD CV, MEMPHIS, TN, 
125107, 4900 PEBBLE BEACH CV, MEMPHIS, TN, 
125108, 4900 PEBBLE BROOK, MEMPHIS, TN, 
125109, 4900 PEBBLEROCK, MEMPHIS, TN, 
125110, 4900 PEBBLEWOOD, MEMPHIS, TN, 
125111, 4900 PEDDLE CV, MEMPHIS, TN, 
125112, 4900 PEEBLE ROCK CV, MEMPHIS, TN, 
125113, 4900 PEEBLEWOOD, MEMPHIS, TN, 
125114, 4900 PELICAN BAY DR, MEMPHIS, TN, 
125115, 4900 PELIGAN BAY, MEMPHIS, TN, 
125116, 4900 PERCY RD, MEMPHIS, TN, 
125117, 4900 PHILSDALE, MEMPHIS, TN, 
125118, 4900 PINE FOREST, MEMPHIS, TN, 
125119, 4900 PINEY WOODS RD, MEMPHIS, TN, 
125120, 4900 PLEASANT HILL RD, MEMPHIS, TN, 
125121, 4900 PLEASANT HILL, MEMPHIS, TN, 
125122, 4900 PLESANT HILL, MEMPHIS, TN, 
125123, 4900 POLAR, MEMPHIS, TN, 
125124, 4900 POPLAR RD, MEMPHIS, TN, 
125125, 4900 POWELL, MEMPHIS, TN, 
125126, 4900 PRISCILLA AVE, MEMPHIS, TN, 
125127, 4900 QUINCE ROAD, MEMPHIS, TN, 
125128, 4900 QUINTELL DR, MEMPHIS, TN, 
125129, 4900 RAINES, MEMPHIS, TN, 
125130, 4900 RAINFORD CV, MEMPHIS, TN, 
125131, 4900 RAL-MILLINGTON, MEMPHIS, TN, 
125132, 4900 RALEIGH LAGANGE, MEMPHIS, TN, 
125133, 4900 RALEIGH LAGRANGE DR, MEMPHIS, TN, 
125134, 4900 RALEIGH LAGRANGE ROAD, MEMPHIS, TN, 
125135, 4900 RALEIGH LAGRANGE ST, MEMPHIS, TN, 
125136, 4900 RALEIGH MILL, MEMPHIS, TN, 
125137, 4900 RALEIGH OAKS, MEMPHIS, TN, 
125138, 4900 RALEIGH-MILLINGTON, MEMPHIS, TN, 
125139, 4900 RALIEGH LAGRANGE, MEMPHIS, TN, 
125140, 4900 RANGELINE, MEMPHIS, TN, 
125141, 4900 RELIEGH MILLINGTON, MEMPHIS, TN, 
125142, 4900 RICARD, MEMPHIS, TN, 
125143, 4900 RICHARD DR, MEMPHIS, TN, 
125144, 4900 RIDGE WALK, MEMPHIS, TN, 
125145, 4900 RIDGEWAY, MEMPHIS, TN, 
125146, 4900 RIGHT PL, MEMPHIS, TN, 
125147, 4900 ROANE RD, MEMPHIS, TN, 
125148, 4900 ROANNE, MEMPHIS, TN, 
125149, 4900 ROCKY KNOB ST, MEMPHIS, TN, 
125150, 4900 ROCKY KNON, MEMPHIS, TN, 
125151, 4900 ROCKYKNOB, MEMPHIS, TN, 
125152, 4900 ROLLING FLDS, MEMPHIS, TN, 
125153, 4900 ROLLING MDW, MEMPHIS, TN, 
125154, 4900 ROLLING MDWS, MEMPHIS, TN, 
125155, 4900 ROLLING MEDOWS, MEMPHIS, TN, 
125156, 4900 ROLLINGFIELDS, MEMPHIS, TN, 
125157, 4900 ROLLINGMEADOWS, MEMPHIS, TN, 
125158, 4900 ROLLNG MEADOWS, MEMPHIS, TN, 
125159, 4900 ROSS RIDGE DR, MEMPHIS, TN, 
125160, 4900 ROSWELL RD, MEMPHIS, TN, 
125161, 4900 ROYAL HILLS CV, MEMPHIS, TN, 
125162, 4900 ROYAL RIDGE, MEMPHIS, TN, 
125163, 4900 S 3RD RD, MEMPHIS, TN, 
125164, 4900 S PERKINS, MEMPHIS, TN, 
125165, 4900 S PLAZA, MEMPHIS, TN, 
125166, 4900 S WINCHESTER, MEMPHIS, TN, 
125167, 4900 S3RD ST, MEMPHIS, TN, 
125168, 4900 SAGE WOOD, MEMPHIS, TN, 
125169, 4900 SAGE, MEMPHIS, TN, 
125170, 4900 SAGWOOD, MEMPHIS, TN, 
125171, 4900 SCHULMAN CV, MEMPHIS, TN, 
125172, 4900 SCOTTDALE, MEMPHIS, TN, 
125173, 4900 SCOTTSDALE DR, MEMPHIS, TN, 
125174, 4900 SHADY GRV, MEMPHIS, TN, 
125175, 4900 SHADYGROVE RD, MEMPHIS, TN, 
125176, 4900 SHANDY, MEMPHIS, TN, 
125177, 4900 SHANE, MEMPHIS, TN, 
125178, 4900 SHANNON DR, MEMPHIS, TN, 
125179, 4900 SHANYELAND, MEMPHIS, TN, 
125180, 4900 SHAYNE RD, MEMPHIS, TN, 
125181, 4900 SHEBY DR, MEMPHIS, TN, 
125182, 4900 SHELTER CV, MEMPHIS, TN, 
125183, 4900 SITATION DR, MEMPHIS, TN, 
125184, 4900 SMENDENHALL, MEMPHIS, TN, 
125185, 4900 SONORA DR, MEMPHIS, TN, 
125186, 4900 SOTHWORTH DR, MEMPHIS, TN, 
125187, 4900 SOUTH MILNOR, MEMPHIS, TN, 
125188, 4900 SOUTH RIDGE, MEMPHIS, TN, 
125189, 4900 SOUTH THIRD ST, MEMPHIS, TN, 
125190, 4900 SOUTH WINCHESTER SQ, MEMPHIS, TN, 
125191, 4900 SOUTH WORTH, MEMPHIS, TN, 
125192, 4900 SOUTHAVEN RD, MEMPHIS, TN, 
125193, 4900 SOUTHERN AVE, MEMPHIS, TN, 
125194, 4900 SOUTHHAVEN RD, MEMPHIS, TN, 
125195, 4900 SOUTHRIDGE BLVD, MEMPHIS, TN, 
