126001, 500 PLUM ST, MEMPHIS, TN, 
126002, 500 PONTOTAC, MEMPHIS, TN, 
126003, 500 PONTOTOC ST, MEMPHIS, TN, 
126004, 500 POPLAR, MEMPHIS, TN, 
126005, 500 POWELL RD, MEMPHIS, TN, 
126006, 500 PRINCETON FOREST CV, MEMPHIS, TN, 
126007, 500 PRINCETON FORREST CV, MEMPHIS, TN, 
126008, 500 PRINCETON WOOD, MEMPHIS, TN, 
126009, 500 PRINCETONWOOD CV, MEMPHIS, TN, 
126010, 500 PROVINE, MEMPHIS, TN, 
126011, 500 RACQUET CLUB PLACE E, MEMPHIS, TN, 
126012, 500 RAINER, MEMPHIS, TN, 
126013, 500 RAINES RD, MEMPHIS, TN, 
126014, 500 RATCLIFF LN, MEMPHIS, TN, 
126015, 500 REESE RD, MEMPHIS, TN, 
126016, 500 REGIS PLACE WEST, MEMPHIS, TN, 
126017, 500 RICHMOND ST, MEMPHIS, TN, 
126018, 500 RIDGEWAY LAKE, MEMPHIS, TN, 
126019, 500 RIVER OAKS PLACE, MEMPHIS, TN, 
126020, 500 RIVER RIDGE CV, MEMPHIS, TN, 
126021, 500 RIVER ROCK PL, MEMPHIS, TN, 
126022, 500 RIVER VIEW RD, MEMPHIS, TN, 
126023, 500 RIVERSIDE, MEMPHIS, TN, 
126024, 500 ROBESON, MEMPHIS, TN, 
126025, 500 ROCKY POINT, MEMPHIS, TN, 
126026, 500 ROCKYPOINT RD, MEMPHIS, TN, 
126027, 500 ROSEWOOD DR, MEMPHIS, TN, 
126028, 500 S BEALE ST, MEMPHIS, TN, 
126029, 500 S BUNTYN AVE, MEMPHIS, TN, 
126030, 500 S BURTLERS WOOD CV, MEMPHIS, TN, 
126031, 500 S BUTLER WOODS CV 103, MEMPHIS, TN, 
126032, 500 S BUTLERWOOD, MEMPHIS, TN, 
126033, 500 S BUTLERWOODS, MEMPHIS, TN, 
126034, 500 S BUTTERWOOD CV, MEMPHIS, TN, 
126035, 500 S BUTTLERWOODS CV, MEMPHIS, TN, 
126036, 500 S CLEAVELAND AVE, MEMPHIS, TN, 
126037, 500 S CLEVELAND ST, MEMPHIS, TN, 
126038, 500 S DANNY THOMAS BLVD, MEMPHIS, TN, 
126039, 500 S FOREST HILL IRENE, MEMPHIS, TN, 
126040, 500 S FORREST HILL IRENE RD, MEMPHIS, TN, 
126041, 500 S FRONT 102, MEMPHIS, TN, 
126042, 500 S FRONT STREET #101 AVE, MEMPHIS, TN, 
126043, 500 S GERMANTOWN 111, MEMPHIS, TN, 
126044, 500 S GERMANTOWN AND PKWY, MEMPHIS, TN, 
126045, 500 S GERMANTOWN PKWY 6, MEMPHIS, TN, 
126046, 500 S GERMANTOWN PRKY, MEMPHIS, TN, 
126047, 500 S GERMANTOWN PWY RD, MEMPHIS, TN, 
126048, 500 S GOODLET, MEMPHIS, TN, 
126049, 500 S GROVE PARK DR, MEMPHIS, TN, 
126050, 500 S GROVE PK, MEMPHIS, TN, 
126051, 500 S HIGHLAND 9, MEMPHIS, TN, 
126052, 500 S HIGHLAND APT 9 ST, MEMPHIS, TN, 
126053, 500 S HIGHLAND RD, MEMPHIS, TN, 
126054, 500 S HOLMES RD, MEMPHIS, TN, 
126055, 500 S LAUDERDALE BLVD, MEMPHIS, TN, 
126056, 500 S LAUDERDALE H, MEMPHIS, TN, 
126057, 500 S LAURADALE, MEMPHIS, TN, 
126058, 500 S LAURDERDALE ST, MEMPHIS, TN, 
126059, 500 S LAURDERDALE, MEMPHIS, TN, 
126060, 500 S MAIM, MEMPHIS, TN, 
126061, 500 S MAIN 201, MEMPHIS, TN, 
126062, 500 S MAIN STATION, MEMPHIS, TN, 
126063, 500 S MAIN STREET SUITE 200, MEMPHIS, TN, 
126064, 500 S MAIN STREET SUITE 300, MEMPHIS, TN, 
126065, 500 S MAIN SUITE #101, MEMPHIS, TN, 
126066, 500 S MAINE 205, MEMPHIS, TN, 
126067, 500 S MCLEAN, MEMPHIS, TN, 
126068, 500 S MENDENHALL RD, MEMPHIS, TN, 
126069, 500 S OAK GRV, MEMPHIS, TN, 
126070, 500 S PARK GROVE, MEMPHIS, TN, 
126071, 500 S PARK LOOP, MEMPHIS, TN, 
126072, 500 S PARKWAT, MEMPHIS, TN, 
126073, 500 S PARKWAY E E, MEMPHIS, TN, 
126074, 500 S PERKINS 4, MEMPHIS, TN, 
126075, 500 S PKWY EAST RD, MEMPHIS, TN, 
126076, 500 S SAGA RD, MEMPHIS, TN, 
126077, 500 S SANGA RD, MEMPHIS, TN, 
126078, 500 S THIRD ST, MEMPHIS, TN, 
