127001, 5100 DEBBIE CREST, MEMPHIS, TN, 
127002, 5100 DEMEEN DR, MEMPHIS, TN, 
127003, 5100 DEPANNE ST, MEMPHIS, TN, 
127004, 5100 DIANE DR, MEMPHIS, TN, 
127005, 5100 DOTHAN ST, MEMPHIS, TN, 
127006, 5100 DRUID HILL APARTMENT, MEMPHIS, TN, 
127007, 5100 DUKE, MEMPHIS, TN, 
127008, 5100 E CRUMPLER, MEMPHIS, TN, 
127009, 5100 E HOLMES ST, MEMPHIS, TN, 
127010, 5100 E HOMLES, MEMPHIS, TN, 
127011, 5100 EAST FIELD CV, MEMPHIS, TN, 
127012, 5100 EAST POINTE CV, MEMPHIS, TN, 
127013, 5100 EAST SHEBY DR, MEMPHIS, TN, 
127014, 5100 EASTFIELD, MEMPHIS, TN, 
127015, 5100 EASTPOINTE, MEMPHIS, TN, 
127016, 5100 EASTSHORE DR AND EASTSHORE CV, MEMPHIS, TN, 
127017, 5100 EASTSHORE, MEMPHIS, TN, 
127018, 5100 EDENSHIRE RD, MEMPHIS, TN, 
127019, 5100 EIGHT, MEMPHIS, TN, 
127020, 5100 EIGHTH ST, MEMPHIS, TN, 
127021, 5100 ELDER CV, MEMPHIS, TN, 
127022, 5100 ELTON COVE, MEMPHIS, TN, 
127023, 5100 ELVIS PRESLEY BL, MEMPHIS, TN, 
127024, 5100 ENGLISH TOWN RD, MEMPHIS, TN, 
127025, 5100 ENGLISHTOWN DR, MEMPHIS, TN, 
127026, 5100 ENGLISHTOWN RD, MEMPHIS, TN, 
127027, 5100 ENGLISHTOWN, MEMPHIS, TN, 
127028, 5100 ENGLISHTOWNE, MEMPHIS, TN, 
127029, 5100 ESHELBY DR, MEMPHIS, TN, 
127030, 5100 FAIRBROOK AVE., MEMPHIS, TN, 
127031, 5100 FERNLEAF ST, MEMPHIS, TN, 
127032, 5100 FLANDER RD, MEMPHIS, TN, 
127033, 5100 FRANKIE DR, MEMPHIS, TN, 
127034, 5100 FRANKIE ST, MEMPHIS, TN, 
127035, 5100 FRANKY LN, MEMPHIS, TN, 
127036, 5100 GALVASTON, MEMPHIS, TN, 
127037, 5100 GETWELL RD, MEMPHIS, TN, 
127038, 5100 GINGER CL, MEMPHIS, TN, 
127039, 5100 GINGER CR ST, MEMPHIS, TN, 
127040, 5100 GINGER CR, MEMPHIS, TN, 
127041, 5100 GINGER ST, MEMPHIS, TN, 
127042, 5100 GIVEN AVE, MEMPHIS, TN, 
127043, 5100 GIVEN, MEMPHIS, TN, 
