12001, 5700 HINTON PL, MEMPHIS, TN, 
12002, 5800 KNIGHT ARNOLD RD, MEMPHIS, TN, 
12003, 5800 SILVER CREEK, MEMPHIS, TN, 
12004, 5900 ARDWICK DR, MEMPHIS, TN, 
12005, 5900 MT MORIAH RD, MEMPHIS, TN, 
12006, 5900 SUNNY MORNING, MEMPHIS, TN, 
12007, 600 DAVANT, MEMPHIS, TN, 
12008, 600 E RAINES RD, MEMPHIS, TN, 
12009, 600 MARIANNA ST, MEMPHIS, TN, 
12010, 600 N FIFTH ST, MEMPHIS, TN, 
12011, 600 PERKINS EXT, MEMPHIS, TN, 
12012, 600 S COX, MEMPHIS, TN, 
12013, 600 SOUTH PKWY EAST, MEMPHIS, TN, 
12014, 600 WESTERN, MEMPHIS, TN, 
12015, 600 WHITEVILLE, MEMPHIS, TN, 
12016, 6000 EAST POINTE, MEMPHIS, TN, 
12017, 6100 E GLENHOME DR, MEMPHIS, TN, 
12018, 6100 E POINT DR, MEMPHIS, TN, 
12019, 6200 RAINTREE, MEMPHIS, TN, 
12020, 6400 HEATHCLIFF CV, MEMPHIS, TN, 
12021, 6400 HOLMES RD, MEMPHIS, TN, 
12022, 6400 MACON, MEMPHIS, TN, 
12023, 6500 BRIARWAY CV, MEMPHIS, TN, 
12024, 6500 GREEN GROVE, MEMPHIS, TN, 
12025, 6500 SUMMER AVE, MEMPHIS, TN, 
12026, 6600 COUNT BASIE CT, MEMPHIS, TN, 
12027, 6600 OAK PARK, MEMPHIS, TN, 
12028, 6700 BENT BIRCH CV, MEMPHIS, TN, 
12029, 6700 CHESAPEAKE DR, MEMPHIS, TN, 
12030, 6700 HAMPSTEAD CV, MEMPHIS, TN, 
12031, 6700 QUAIL HOLLOW, MEMPHIS, TN, 
12032, 6700 RAINES RD, MEMPHIS, TN, 
12033, 6700 ROCKY PARK DR, MEMPHIS, TN, 
12034, 6700 STOCKPORT DR, MEMPHIS, TN, 
12035, 6700 VALLEY PARK DR, MEMPHIS, TN, 
12036, 6800 STARKENBURG LN, MEMPHIS, TN, 
12037, 700 LIPFORD ST, MEMPHIS, TN, 
12038, 700 N BINGHAM, MEMPHIS, TN, 
12039, 700 PONTOTOC, MEMPHIS, TN, 
12040, 700 S THIRD, MEMPHIS, TN, 
12041, 700 W CADRACA, MEMPHIS, TN, 
12042, 7000 ROCKINGHAM, MEMPHIS, TN, 
12043, 7100 ROSE TRAIL, MEMPHIS, TN, 
12044, 7200 SNYDER RD, MEMPHIS, TN, 
12045, 7200 TULIP TRAIL DR, MEMPHIS, TN, 
12046, 7500 GERMANSHIRE, MEMPHIS, TN, 
12047, 800 BULLINGTON AVE, MEMPHIS, TN, 
12048, 800 CROSSOVER LN, MEMPHIS, TN, 
12049, 800 DAGAN CV, MEMPHIS, TN, 
12050, 800 FLYNN, MEMPHIS, TN, 
12051, 800 LESTER, MEMPHIS, TN, 
12052, 800 MOSBY, MEMPHIS, TN, 
12053, 8100 SAG HARBOR CIR, MEMPHIS, TN, 
12054, 8100 SALISBURY PL, MEMPHIS, TN, 
12055, 8300 TOURNAMENT DR, MEMPHIS, TN, 
12056, 8500 STAGE RD, MEMPHIS, TN, 
12057, 8700 WALNUT GROVE, MEMPHIS, TN, 
12058, 900 ALSTON, MEMPHIS, TN, 
12059, 900 AVALON, MEMPHIS, TN, 
12060, 900 AVON, MEMPHIS, TN, 
12061, 900 BOWEN CIRCLE, MEMPHIS, TN, 
12062, 900 CHATWOOD, MEMPHIS, TN, 
12063, 900 EDITH, MEMPHIS, TN, 
12064, 900 GRIFFITH, MEMPHIS, TN, 
12065, 900 HALE RD, MEMPHIS, TN, 
12066, 900 NEPTUNE ST, MEMPHIS, TN, 
12067, 900 ORPHANAGE, MEMPHIS, TN, 
12068, 900 PAR AVE, MEMPHIS, TN, 
12069, 900 RANDLE ST, MEMPHIS, TN, 
12070, 900 SHOTWELL, MEMPHIS, TN, 
12071, 9000 HEATH CV, MEMPHIS, TN, 
12072, 9000 WALNUT HILL RD, MEMPHIS, TN, 
12073, BARRON AND GETWELL, MEMPHIS, TN, 
12074, BARRON AND PENDLETON, MEMPHIS, TN, 
12075, BELLEVUE AND JACKSON, MEMPHIS, TN, 
12076, CAMELOT AND ASHWOOD, MEMPHIS, TN, 
12077, CHELSEA AND POPE, MEMPHIS, TN, 
12078, CHELSEA AND SEVENTH, MEMPHIS, TN, 
12079, CLAYBROOK AND BEAUREGARD, MEMPHIS, TN, 
12080, CLAYBROOK AND POPLAR, MEMPHIS, TN, 
12081, CLEMENTINE AND ELVIS PRESLEY, MEMPHIS, TN, 
12082, DANNY THOMAS AND POPLAR, MEMPHIS, TN, 
12083, ELLISTON AND GETWELL, MEMPHIS, TN, 
12084, ELVIS PRESLEY AND PERSON, MEMPHIS, TN, 
12085, ELVIS PRESLEY, MEMPHIS, TN, 
12086, FARRINGTON AND HOLLOWELL, MEMPHIS, TN, 
12087, FAY AND KANSAS, MEMPHIS, TN, 
12088, FLORIDA AND S PKWY, MEMPHIS, TN, 
12089, GETWELL AND DUNN, MEMPHIS, TN, 
12090, GETWELL AND WINCHESTER, MEMPHIS, TN, 
12091, GREENBELT PARK, MEMPHIS, TN, 
12092, HOLLYWOOD AND HUBBARD, MEMPHIS, TN, 
12093, JACKSON AND AYERS, MEMPHIS, TN, 
12094, KANSAS AND JOUBERT, MEMPHIS, TN, 
12095, KIRBY PKWY AND KNIGHT ARNOLD, MEMPHIS, TN, 
12096, KNIGHT ARNOLD AND ASHWOOD, MEMPHIS, TN, 
12097, KNIGHT ARNOLD AND CASTLEMAN, MEMPHIS, TN, 
12098, LAMAR AND DUNN, MEMPHIS, TN, 
12099, LAMAR AND S PKWY, MEMPHIS, TN, 
12100, MIMOSA AND RED OAK, MEMPHIS, TN, 
12101, NATIONAL AND LAMPHIER, MEMPHIS, TN, 
12102, NETHERWOOD AND WILLETT, MEMPHIS, TN, 
12103, NEW ALLEN AND FRAYSER, MEMPHIS, TN, 
12104, PEARCE AND CHELSEA, MEMPHIS, TN, 
12105, POPLAR AND AVALON, MEMPHIS, TN, 
12106, POPLAR AND HIGH, MEMPHIS, TN, 
12107, POPLAR AND LAUDERDALE, MEMPHIS, TN, 
12108, POPLAR AND RIDGEWAY, MEMPHIS, TN, 
12109, PRESCOTT AND CHEROKEE, MEMPHIS, TN, 
12110, SHARPE AND PRESCOTT, MEMPHIS, TN, 
12111, SOUTH PKWY AND BELLEVUE, MEMPHIS, TN, 
12112, SOUTH PKWY AND COLLEGE, MEMPHIS, TN, 
12113, SPOTTSWOOD AND JOSEPHINE, MEMPHIS, TN, 
12114, SUMMER AND SEVIER, MEMPHIS, TN, 
12115, TCHULAHOMA AND DEMOCRAT, MEMPHIS, TN, 
12116, THIRD AND HOLMES, MEMPHIS, TN, 
12117, THIRD AND MCLEMORE, MEMPHIS, TN, 
12118, TILLMAN AND YALE, MEMPHIS, TN, 
12119, TOM LEE PARK, MEMPHIS, TN, 
12120, UNION AND COOPER, MEMPHIS, TN, 
12121, VOLLINTINE AND WATKINS, MEMPHIS, TN, 
12122, WALNUT GROVE AND HUMPHREYS, MEMPHIS, TN, 
12123, WELLS STATION AND MACON, MEMPHIS, TN, 
12124, WINCHESTER AND BOXDALE, MEMPHIS, TN, 
12125, WOODCLIFF AND SHADY VISTA, MEMPHIS, TN, 
12126, 100 EAST GAGE, MEMPHIS, TN, 
12127, 100 S FLICKER, MEMPHIS, TN, 
12128, 100 S REESE, MEMPHIS, TN, 
12129, 100 SAWYER CIRCLE, MEMPHIS, TN, 
12130, 100 SULLIVAN DR, MEMPHIS, TN, 
12131, 100 VANCE AVE, MEMPHIS, TN, 
12132, 100 W FRANK, MEMPHIS, TN, 
12133, 100 WEST MALLORY, MEMPHIS, TN, 
12134, 1000 ANNIE, MEMPHIS, TN, 
12135, 1000 CULLENWOOD, MEMPHIS, TN, 
12136, 1000 DOVECREST RD, MEMPHIS, TN, 
12137, 1000 FORD, MEMPHIS, TN, 
12138, 1000 HAWTHORNE, MEMPHIS, TN, 
12139, 1000 LEACREST AVE, MEMPHIS, TN, 
