130001, 5700 SHELBY OAKS 123, MEMPHIS, TN, 
130002, 5700 SHELBYOAKS, MEMPHIS, TN, 
130003, 5700 SOUTH REX RD, MEMPHIS, TN, 
130004, 5700 SUMMER #3, MEMPHIS, TN, 
130005, 5700 SUMMER AVE #3, MEMPHIS, TN, 
130006, 5700 SWEET GUM ST, MEMPHIS, TN, 
130007, 5700 SYCAMORE GROVE, MEMPHIS, TN, 
130008, 5700 SYCAMORE VIEW, MEMPHIS, TN, 
130009, 5700 SYCAMORE WOOD DR, MEMPHIS, TN, 
130010, 5700 SYCOMORE RIDGE, MEMPHIS, TN, 
130011, 5700 TANGLE OAKS DR, MEMPHIS, TN, 
130012, 5700 THIRD CV, MEMPHIS, TN, 
130013, 5700 TULIP GROVE DR, MEMPHIS, TN, 
130014, 5700 TULIP TREE RD, MEMPHIS, TN, 
130015, 5700 UNIVERSAL AVE, MEMPHIS, TN, 
130016, 5700 W CRESTWOOD DR, MEMPHIS, TN, 
130017, 5700 WAGON GAP RD, MEMPHIS, TN, 
130018, 5700 WAGON RD GAP, MEMPHIS, TN, 
130019, 5700 WALNUTGROVE PL, MEMPHIS, TN, 
130020, 5700 WATER STONE OAK, MEMPHIS, TN, 
130021, 5700 WATERSTON OAK WAY, MEMPHIS, TN, 
130022, 5700 WATERSTONE OAK SQ, MEMPHIS, TN, 
130023, 5700 WATERSTONE OAKWAY LANDIND, MEMPHIS, TN, 
130024, 5700 WATERSTONE QAK WAY, MEMPHIS, TN, 
130025, 5700 WATERSTONE WAY DR, MEMPHIS, TN, 
130026, 5700 WATERSTONE WAY, MEMPHIS, TN, 
130027, 5700 WATERSTONEBOAK WAY, MEMPHIS, TN, 
130028, 5700 WATERSTONES OAK WAY, MEMPHIS, TN, 
130029, 5700 WATERSTONES OAKWAY DR, MEMPHIS, TN, 
130030, 5700 WATETSTONE OAK WAY, MEMPHIS, TN, 
130031, 5700 WINCHSTER, MEMPHIS, TN, 
130032, 5700 WINTER TREE DR., MEMPHIS, TN, 
130033, 5700 WOODALE AVE, MEMPHIS, TN, 
130034, 5700 WOODALE RD, MEMPHIS, TN, 
130035, 5700 WOODDALL, MEMPHIS, TN, 
130036, 5700 WYTHE CV, MEMPHIS, TN, 
130037, 5707MT MORIAH, MEMPHIS, TN, 
130038, 570W LEVI, MEMPHIS, TN, 
130039, 5719TANGLE OAKS DR, MEMPHIS, TN, 
130040, 5721BARFIELD CR, MEMPHIS, TN, 
130041, 5733TANGLE OAKS, MEMPHIS, TN, 
130042, 5743TANGLE OAKS, MEMPHIS, TN, 
130043, 5747, 5745, 5743, 5739 NANJACK, MEMPHIS, TN, 
130044, 5747TANGLE OAKS DR, MEMPHIS, TN, 
130045, 574N 6 ST, MEMPHIS, TN, 
130046, 5751WATERSTONE OAK WAY, MEMPHIS, TN, 
130047, 5761WATERSTON OAK WAY, MEMPHIS, TN, 
130048, 576WESTERN DR, MEMPHIS, TN, 
130049, 577N GERMANTOWN PKWY, MEMPHIS, TN, 
130050, 577NGERMANTOWN PKY, MEMPHIS, TN, 
130051, 577NORTH GERMANTOWN RD, MEMPHIS, TN, 
130052, 57900 KNIGHT ARNOLD RD, MEMPHIS, TN, 
130053, 5800 ADVANTAGE CV, MEMPHIS, TN, 
130054, 5800 ALFORD ST, MEMPHIS, TN, 
130055, 5800 APPLE BLOSSOM DR, MEMPHIS, TN, 
130056, 5800 ARQUITH, MEMPHIS, TN, 
130057, 5800 ASHBRIAR DR, MEMPHIS, TN, 
130058, 5800 ASHBRIAR RD, MEMPHIS, TN, 
130059, 5800 ASHLEY SQ, MEMPHIS, TN, 
130060, 5800 ASHRIDGE AVE, MEMPHIS, TN, 
130061, 5800 ASQUITH #4, MEMPHIS, TN, 
130062, 5800 BAIRD DR, MEMPHIS, TN, 
130063, 5800 BALLEMOORE DR, MEMPHIS, TN, 
130064, 5800 BALLENMOORR DR, MEMPHIS, TN, 
130065, 5800 BALLENMOR, MEMPHIS, TN, 
130066, 5800 BALLONMOOR, MEMPHIS, TN, 
130067, 5800 BARFIELD CR RD, MEMPHIS, TN, 
130068, 5800 BARFIELD CV, MEMPHIS, TN, 
130069, 5800 BARFIELD, MEMPHIS, TN, 
130070, 5800 BEACON PARK 8, MEMPHIS, TN, 
130071, 5800 BEACON PARK DR #5, MEMPHIS, TN, 
130072, 5800 BEACON PKWY, MEMPHIS, TN, 
130073, 5800 BEACON PLACE, MEMPHIS, TN, 
130074, 5800 BENA DINE PL, MEMPHIS, TN, 
130075, 5800 BENADINE 2, MEMPHIS, TN, 
130076, 5800 BENADINE ST, MEMPHIS, TN, 
130077, 5800 BENEDINE PLACE, MEMPHIS, TN, 
130078, 5800 BENEDINE, MEMPHIS, TN, 
130079, 5800 BENIDINE, MEMPHIS, TN, 
130080, 5800 BENIVINE, MEMPHIS, TN, 
130081, 5800 BLEDSOE CV, MEMPHIS, TN, 
130082, 5800 BLOCK CHALLENGE DR, MEMPHIS, TN, 
130083, 5800 BLOCK MYERS RD, MEMPHIS, TN, 
130084, 5800 BLOCK SUNNY MORNING DR AND SUNNY MORNING CV, MEMPHIS, TN, 
130085, 5800 BURNETT PLACE, MEMPHIS, TN, 
130086, 5800 BUXBRIAR DR, MEMPHIS, TN, 
130087, 5800 BUXBRIAR RD, MEMPHIS, TN, 
130088, 5800 CAMBRIDGE STATION CT, MEMPHIS, TN, 
130089, 5800 CEDAR TREE, MEMPHIS, TN, 
130090, 5800 CHALENGE DR, MEMPHIS, TN, 
130091, 5800 CHALENGE, MEMPHIS, TN, 
130092, 5800 CHALLANGE, MEMPHIS, TN, 
130093, 5800 CHALLENGE DRIVE, MEMPHIS, TN, 
130094, 5800 CHALLENGE RD, MEMPHIS, TN, 
130095, 5800 CHAPMAN AVE, MEMPHIS, TN, 
130096, 5800 CLEARBROOK VILLAGE, MEMPHIS, TN, 
130097, 5800 CORTEZ CV, MEMPHIS, TN, 
130098, 5800 DEAR RIDGE LN, MEMPHIS, TN, 
130099, 5800 DEARFIELD DR, MEMPHIS, TN, 
130100, 5800 DEARFIELD, MEMPHIS, TN, 
130101, 5800 DEEARFIELD #6, MEMPHIS, TN, 
130102, 5800 DEER RIDGE #7, MEMPHIS, TN, 
130103, 5800 DEER RIDGE 1, MEMPHIS, TN, 
130104, 5800 DEER RIDGE LN #3, MEMPHIS, TN, 
130105, 5800 DEERCREST LN, MEMPHIS, TN, 
130106, 5800 DEERFIELD #1, MEMPHIS, TN, 
130107, 5800 DEERFIELD APT #5, MEMPHIS, TN, 
130108, 5800 DEERFIELD AVE, MEMPHIS, TN, 
130109, 5800 DEERFIELD CV, MEMPHIS, TN, 
130110, 5800 DEERFIELD DR #3, MEMPHIS, TN, 
130111, 5800 DEERFIELD DR 3, MEMPHIS, TN, 
130112, 5800 DEERFIELD DR APT 7, MEMPHIS, TN, 
130113, 5800 DEERFIELD TRACE, MEMPHIS, TN, 
130114, 5800 DEERIDGE LN, MEMPHIS, TN, 
130115, 5800 DISTRABUTION DR, MEMPHIS, TN, 
130116, 5800 DUNWOODY AVE, MEMPHIS, TN, 
130117, 5800 DUNWOODY ST, MEMPHIS, TN, 
130118, 5800 E BURNETT PL, MEMPHIS, TN, 
130119, 5800 E RAINES RD, MEMPHIS, TN, 
130120, 5800 E RAINES, MEMPHIS, TN, 
130121, 5800 E SHEBLY DR, MEMPHIS, TN, 
130122, 5800 E SHELBY DR P, MEMPHIS, TN, 
130123, 5800 E SHELBY DR SUITE 1047, MEMPHIS, TN, 
130124, 5800 E SHELBYDR, MEMPHIS, TN, 
130125, 5800 E> HOLMES, MEMPHIS, TN, 
130126, 5800 EAST BURNETT PL, MEMPHIS, TN, 
130127, 5800 EAST BURNETT PLACE, MEMPHIS, TN, 
130128, 5800 EAST BURNETTE PLACE, MEMPHIS, TN, 
130129, 5800 EAST SHEBY DR SUITE 104, MEMPHIS, TN, 
130130, 5800 EAST SHELBY DRIVE, MEMPHIS, TN, 
130131, 5800 EASTER PLACE, MEMPHIS, TN, 
130132, 5800 EASTOVER, MEMPHIS, TN, 
130133, 5800 FAIRLEY, MEMPHIS, TN, 
130134, 5800 FALLING BARK, MEMPHIS, TN, 
130135, 5800 FALLING MIST, MEMPHIS, TN, 
130136, 5800 FANNIN, MEMPHIS, TN, 
130137, 5800 FAULKNER, MEMPHIS, TN, 
130138, 5800 FINWAY, MEMPHIS, TN, 
130139, 5800 FLOWERING PEACH RD AND MENDENHALL RD, MEMPHIS, TN, 
130140, 5800 FONTANA, MEMPHIS, TN, 
130141, 5800 FOREST HILL, MEMPHIS, TN, 
130142, 5800 FOREST HILLS #5, MEMPHIS, TN, 
130143, 5800 FOREST HILLS, MEMPHIS, TN, 
130144, 5800 FORESTHILL, MEMPHIS, TN, 
130145, 5800 FORREST GATE, MEMPHIS, TN, 
130146, 5800 FORREST HILL CT, MEMPHIS, TN, 
130147, 5800 FORREST HILL DR, MEMPHIS, TN, 
130148, 5800 FORREST HILLS DR, MEMPHIS, TN, 
130149, 5800 FORRESTGATE, MEMPHIS, TN, 
130150, 5800 FOX BURROW CIRCLE, MEMPHIS, TN, 
130151, 5800 FOX DEN, MEMPHIS, TN, 
130152, 5800 FOX MEADOWS, MEMPHIS, TN, 
130153, 5800 FOXBURROW CIR N, MEMPHIS, TN, 
130154, 5800 FOXBURROW CIRCLE N, MEMPHIS, TN, 
130155, 5800 FOXBURROW CIRCLE SOUTH, MEMPHIS, TN, 
130156, 5800 FOXBURROW, MEMPHIS, TN, 
130157, 5800 FOXDALE AVE, MEMPHIS, TN, 
130158, 5800 FOXDALE DR, MEMPHIS, TN, 
130159, 5800 FOXGATE RD, MEMPHIS, TN, 
130160, 5800 FRENCH CV, MEMPHIS, TN, 
130161, 5800 FRENCH MARKET CIR SOUTH, MEMPHIS, TN, 
130162, 5800 FRENCH MARKET CIRCLE S, MEMPHIS, TN, 
130163, 5800 FRENCH MARKET CIT SOUTH, MEMPHIS, TN, 
130164, 5800 FRENCH MARKET CR N, MEMPHIS, TN, 
130165, 5800 FRENCH MARKET CR S, MEMPHIS, TN, 
130166, 5800 FRENCH MARKET PL S, MEMPHIS, TN, 
130167, 5800 FRENCH MARKET PL, MEMPHIS, TN, 
130168, 5800 FRENCHMARKET CIRCLE NORTH, MEMPHIS, TN, 
130169, 5800 GEMANTOWN PKWY, MEMPHIS, TN, 
130170, 5800 GLADEVIEW DR, MEMPHIS, TN, 
130171, 5800 GLEN WILD, MEMPHIS, TN, 
130172, 5800 GRASS VALLEY DR, MEMPHIS, TN, 
130173, 5800 GRASS VALLEY, MEMPHIS, TN, 
130174, 5800 GRASSY VLY, MEMPHIS, TN, 
130175, 5800 GREEN ML, MEMPHIS, TN, 
130176, 5800 HEATH ROW CV, MEMPHIS, TN, 
130177, 5800 HEATHROW CV, MEMPHIS, TN, 
130178, 5800 HICKORY BRANCH CV, MEMPHIS, TN, 
130179, 5800 HICKORY COMMONS DR, MEMPHIS, TN, 
