131001, 600 CHARACTER, MEMPHIS, TN, 
131002, 600 CHARTER DR, MEMPHIS, TN, 
131003, 600 CHELSEA AVE, MEMPHIS, TN, 
131004, 600 CITY CT, MEMPHIS, TN, 
131005, 600 CLACK PL, MEMPHIS, TN, 
131006, 600 CLAYBROOK 7, MEMPHIS, TN, 
131007, 600 CLAYCREEK RD, MEMPHIS, TN, 
131008, 600 CLEABORN ST, MEMPHIS, TN, 
131009, 600 CLOWER AVE, MEMPHIS, TN, 
131010, 600 CLOWER DR, MEMPHIS, TN, 
131011, 600 CLOWER ST, MEMPHIS, TN, 
131012, 600 CLUB WALK AVE, MEMPHIS, TN, 
131013, 600 CLUB WALK ST, MEMPHIS, TN, 
131014, 600 CLUBWALK LN, MEMPHIS, TN, 
131015, 600 COLONIAL AVE, MEMPHIS, TN, 
131016, 600 COLONIAL SUITE 100, MEMPHIS, TN, 
131017, 600 COMPESS DR, MEMPHIS, TN, 
131018, 600 COMPRESS DR (FEDEX) DR, MEMPHIS, TN, 
131019, 600 COMPRESS LOT NO 1, MEMPHIS, TN, 
131020, 600 COMPRESSOR ST, MEMPHIS, TN, 
131021, 600 COOPER ST, MEMPHIS, TN, 
131022, 600 COUNTRY CLUB LANE, MEMPHIS, TN, 
131023, 600 COUNTY RD, MEMPHIS, TN, 
131024, 600 COX ST, MEMPHIS, TN, 
131025, 600 CROCKETT, MEMPHIS, TN, 
131026, 600 CT, MEMPHIS, TN, 
131027, 600 CUMBERLAND ST, MEMPHIS, TN, 
131028, 600 DANNY THOMAS APT 10, MEMPHIS, TN, 
131029, 600 DANNY THOMAS BLVD AND MISSISSIPPI ST, MEMPHIS, TN, 
131030, 600 DAVANT ST, MEMPHIS, TN, 
131031, 600 DEARSKIN, MEMPHIS, TN, 
131032, 600 DEER SKIN DR, MEMPHIS, TN, 
131033, 600 DEER SKIN RD, MEMPHIS, TN, 
131034, 600 DEERLAND, MEMPHIS, TN, 
131035, 600 DEERSKIN AVE, MEMPHIS, TN, 
131036, 600 DELTA AVE, MEMPHIS, TN, 
131037, 600 DERSKIN, MEMPHIS, TN, 
131038, 600 DEXTER LK, MEMPHIS, TN, 
131039, 600 DICKENSON ST, MEMPHIS, TN, 
131040, 600 DIRECTORS ROW, MEMPHIS, TN, 
131041, 600 DORIAN, MEMPHIS, TN, 
131042, 600 DOVECREST, MEMPHIS, TN, 
131043, 600 DR MARTIN LUTHER KING BLVD, MEMPHIS, TN, 
131044, 600 DR MARTIN LUTHER KING JR AVE, MEMPHIS, TN, 
131045, 600 DR MARTIN LUTHER KING JR, MEMPHIS, TN, 
131046, 600 DR MARTIN LUTHER KING ST, MEMPHIS, TN, 
131047, 600 DREGGER, MEMPHIS, TN, 
131048, 600 DREGOR, MEMPHIS, TN, 
131049, 600 DUNLAP ST AND JACKSON AVE, MEMPHIS, TN, 
131050, 600 DYSON, MEMPHIS, TN, 
131051, 600 E ASHLEY GLEN CIR, MEMPHIS, TN, 
131052, 600 E ASHLEY GLEN CIRCLE, MEMPHIS, TN, 
131053, 600 E ASHLEY GLEN, MEMPHIS, TN, 
131054, 600 E AVANT, MEMPHIS, TN, 
131055, 600 E BIRTHSTONE AVE, MEMPHIS, TN, 
131056, 600 E BODLEY ST, MEMPHIS, TN, 
