134001, 6400 MESSCK, MEMPHIS, TN, 
134002, 6400 MIAMI CV, MEMPHIS, TN, 
134003, 6400 MIDSUMEMR WAY, MEMPHIS, TN, 
134004, 6400 MIDSUMMER WAG, MEMPHIS, TN, 
134005, 6400 MIDSUMMER WY RD, MEMPHIS, TN, 
134006, 6400 MIDSUMMERWAY ST, MEMPHIS, TN, 
134007, 6400 MOSS ROSE DR, MEMPHIS, TN, 
134008, 6400 MOUNT MORIAH ROAD EXT, MEMPHIS, TN, 
134009, 6400 MT MORIAH EXT, MEMPHIS, TN, 
134010, 6400 MT MORIAH RD EXT, MEMPHIS, TN, 
134011, 6400 MULLENS STATION, MEMPHIS, TN, 
134012, 6400 MULLIN STATION CV, MEMPHIS, TN, 
134013, 6400 MULLINS STATION, MEMPHIS, TN, 
134014, 6400 N AMANDA OAKS DR, MEMPHIS, TN, 
134015, 6400 N FAWN HOLW, MEMPHIS, TN, 
134016, 6400 N HUMPHREYS BLVD, MEMPHIS, TN, 
134017, 6400 N MASSEY HILL DR, MEMPHIS, TN, 
134018, 6400 N MASSEY HILL, MEMPHIS, TN, 
134019, 6400 N QUAIL HALLOW, MEMPHIS, TN, 
134020, 6400 N QUIAL HOLLOW, MEMPHIS, TN, 
134021, 6400 NORTH COUNTRY OAK, MEMPHIS, TN, 
134022, 6400 NORTH FAWN HOLLOW CIRCLE, MEMPHIS, TN, 
134023, 6400 NORTH FAWN HOLLOW, MEMPHIS, TN, 
134024, 6400 OAKPARK DR, MEMPHIS, TN, 
134025, 6400 OLD ALLEN, MEMPHIS, TN, 
134026, 6400 OLD ORCHIRD CV, MEMPHIS, TN, 
134027, 6400 OLD REMUS, MEMPHIS, TN, 
134028, 6400 OREGAN#5, MEMPHIS, TN, 
134029, 6400 OREGON #2, MEMPHIS, TN, 
134030, 6400 OREGON DRIVE, MEMPHIS, TN, 
134031, 6400 ORGAN DR, MEMPHIS, TN, 
134032, 6400 ORGEON DR, MEMPHIS, TN, 
134033, 6400 ORGERON DR, MEMPHIS, TN, 
134034, 6400 ORGON DR, MEMPHIS, TN, 
134035, 6400 OUINCE, MEMPHIS, TN, 
134036, 6400 PAINTED SEA, MEMPHIS, TN, 
134037, 6400 PAWN HOLLOW CIRCLE, MEMPHIS, TN, 
134038, 6400 PILL IM TRAIL, MEMPHIS, TN, 
134039, 6400 PINE CIR, MEMPHIS, TN, 
