137001, 700 SEMMES RD, MEMPHIS, TN, 
137002, 700 SEMPLE ST, MEMPHIS, TN, 
137003, 700 SEVEN OAKS, MEMPHIS, TN, 
137004, 700 SEVIER RD, MEMPHIS, TN, 
137005, 700 SGERMANTOWN, MEMPHIS, TN, 
137006, 700 SGOODLETT, MEMPHIS, TN, 
137007, 700 SGRAHAM, MEMPHIS, TN, 
137008, 700 SHADY GROVE RD, MEMPHIS, TN, 
137009, 700 SHADY GROVE, MEMPHIS, TN, 
137010, 700 SHAWNE ST, MEMPHIS, TN, 
137011, 700 SHAWNEE #2, MEMPHIS, TN, 
137012, 700 SHAWNEE 2, MEMPHIS, TN, 
137013, 700 SHAWNEE 4, MEMPHIS, TN, 
137014, 700 SHAWNEE, APT 2, MEMPHIS, TN, 
137015, 700 SHEBLY DR, MEMPHIS, TN, 
137016, 700 SHEL-LANE RD, MEMPHIS, TN, 
137017, 700 SHELBY DR., MEMPHIS, TN, 
137018, 700 SHELL LANE AVE, MEMPHIS, TN, 
137019, 700 SHELL LN AVE, MEMPHIS, TN, 
137020, 700 SHELLANE AVE, MEMPHIS, TN, 
137021, 700 SHELLANE, MEMPHIS, TN, 
137022, 700 SHELLEY RENEE LN, MEMPHIS, TN, 
137023, 700 SHELLY RENEE, MEMPHIS, TN, 
137024, 700 SHIGHLAND ST, MEMPHIS, TN, 
137025, 700 SHOFNER ST, MEMPHIS, TN, 
137026, 700 SHOTWELL AVE, MEMPHIS, TN, 
137027, 700 SIMMS, MEMPHIS, TN, 
137028, 700 SIMPSON, MEMPHIS, TN, 
137029, 700 SINCLAIR, MEMPHIS, TN, 
137030, 700 SMAIN ST, MEMPHIS, TN, 
137031, 700 SMAIN, MEMPHIS, TN, 
137032, 700 SO AVANT, MEMPHIS, TN, 
137033, 700 SO DANNY THOMAS ST, MEMPHIS, TN, 
137034, 700 SO DANNY THOMAS, MEMPHIS, TN, 
137035, 700 SO HIGHLAND, MEMPHIS, TN, 
137036, 700 SO PERKINS EXTENDED, MEMPHIS, TN, 
137037, 700 SO PKWY E, MEMPHIS, TN, 
137038, 700 SO SHADY GROVE, MEMPHIS, TN, 
137039, 700 SO TULANE CV, MEMPHIS, TN, 
137040, 700 SOAPSTONE, MEMPHIS, TN, 
137041, 700 SOMERVILLE ST 201, MEMPHIS, TN, 
