138001, 7400 PALGRAVE RD, MEMPHIS, TN, 
138002, 7400 PALGRAVES, MEMPHIS, TN, 
138003, 7400 PALGROVE LN, MEMPHIS, TN, 
138004, 7400 PALGROVE, MEMPHIS, TN, 
138005, 7400 POLO GROUNDS BLVD, MEMPHIS, TN, 
138006, 7400 RALIEGH LAGRANGE, MEMPHIS, TN, 
138007, 7400 REESE, MEMPHIS, TN, 
138008, 7400 STAGE ROAD, MEMPHIS, TN, 
138009, 7400 TOPEZ CV, MEMPHIS, TN, 
138010, 7400 TWILER CV, MEMPHIS, TN, 
138011, 7400 U S HWY 64, MEMPHIS, TN, 
138012, 7400 UNBRIDLE WAY, MEMPHIS, TN, 
138013, 7400 UNBRIDLED WAY, MEMPHIS, TN, 
138014, 7400 US 64, MEMPHIS, TN, 
138015, 7400 VONDALE CV, MEMPHIS, TN, 
138016, 7400 VONDEL COVE, MEMPHIS, TN, 
138017, 7400 WINTER HARBOR LN, MEMPHIS, TN, 
138018, 7400 WOODSHIRE DRIVE, MEMPHIS, TN, 
138019, 741ADAMS, MEMPHIS, TN, 
138020, 747 AND 749 ORANGE, MEMPHIS, TN, 
138021, 74700 FORREST OAK WAY, MEMPHIS, TN, 
138022, 74STONEWALL, MEMPHIS, TN, 
138023, 7500 BAKERS GLENN LN, MEMPHIS, TN, 
138024, 7500 BLOCK RALEIGH LAGRANGE RD, MEMPHIS, TN, 
138025, 7500 BULLINGTON, MEMPHIS, TN, 
138026, 7500 BURNSTOWN LN, MEMPHIS, TN, 
138027, 7500 BURNSTOWN, MEMPHIS, TN, 
138028, 7500 CHUCK AVE, MEMPHIS, TN, 
138029, 7500 CONCORD VIEW DR, MEMPHIS, TN, 
138030, 7500 COTTON GROVE CT, MEMPHIS, TN, 
138031, 7500 COUNTRY SIDE RD, MEMPHIS, TN, 
138032, 7500 COUNTRYSIDE DR, MEMPHIS, TN, 
138033, 7500 COUNTRYSIDE, MEMPHIS, TN, 
138034, 7500 CRESTRIDGE RD, MEMPHIS, TN, 
138035, 7500 CROSS BROOK LN, MEMPHIS, TN, 
138036, 7500 CRYSTAL LAKE DR, MEMPHIS, TN, 
138037, 7500 CRYSTAL LAKE, MEMPHIS, TN, 
138038, 7500 DAL WHINNIE TRAIL, MEMPHIS, TN, 
138039, 7500 DALL WHINNIE TRAIL, MEMPHIS, TN, 
138040, 7500 DONCASTER RD, MEMPHIS, TN, 
138041, 7500 EGGLESTONE RD, MEMPHIS, TN, 
138042, 7500 GERMANS HIRE LN, MEMPHIS, TN, 
138043, 7500 GILDER, MEMPHIS, TN, 
138044, 7500 GILL AVE, MEMPHIS, TN, 
138045, 7500 GLENNMERE WAY, MEMPHIS, TN, 
138046, 7500 GUILDER CVR, MEMPHIS, TN, 
138047, 7500 GUILDER, MEMPHIS, TN, 
138048, 7500 GWENDOWLYN, MEMPHIS, TN, 
138049, 7500 GWYNN, MEMPHIS, TN, 
138050, 7500 HOLLORN LN, MEMPHIS, TN, 
138051, 7500 HOLLORN, MEMPHIS, TN, 
138052, 7500 HWY 64 RD, MEMPHIS, TN, 
138053, 7500 HWY 64 SUITE 1010, MEMPHIS, TN, 
138054, 7500 HWY64, MEMPHIS, TN, 
138055, 7500 HYW 64, MEMPHIS, TN, 
138056, 7500 ISHERWOOD DR, MEMPHIS, TN, 
138057, 7500 ISHERWOOD RD, MEMPHIS, TN, 
138058, 7500 KENON, MEMPHIS, TN, 
138059, 7500 KRISTY WOOD, MEMPHIS, TN, 
138060, 7500 KYLAN DR., MEMPHIS, TN, 
138061, 7500 KYLAN, MEMPHIS, TN, 
138062, 7500 LINDEN HILL LN, MEMPHIS, TN, 
138063, 7500 LINDEN HILLS LN, MEMPHIS, TN, 
138064, 7500 LOGANCREST AVE, MEMPHIS, TN, 
138065, 7500 MEADOW LAND, MEMPHIS, TN, 
138066, 7500 MEADOW LN DR, MEMPHIS, TN, 
138067, 7500 MEADOW LN, MEMPHIS, TN, 
138068, 7500 MEADOWLANE, MEMPHIS, TN, 
138069, 7500 MIDNIGHT CV, MEMPHIS, TN, 
138070, 7500 MULLIGAN LN, MEMPHIS, TN, 
138071, 7500 NONCANNANH VIEW CV, MEMPHIS, TN, 
138072, 7500 NONCOHANA VIEW CV, MEMPHIS, TN, 
138073, 7500 NONCONNAH BLVD, MEMPHIS, TN, 
138074, 7500 NONCONNAH CV, MEMPHIS, TN, 
138075, 7500 NONCONNAH, MEMPHIS, TN, 
138076, 7500 NORTH WATKINS, MEMPHIS, TN, 
138077, 7500 OAKFIEKD DR, MEMPHIS, TN, 
138078, 7500 ORIOLE, MEMPHIS, TN, 
138079, 7500 PALLGRAVE LN, MEMPHIS, TN, 
138080, 7500 RAL LAGRANGE RD, MEMPHIS, TN, 
138081, 7500 RALEIGH LAGRANGE RD, MEMPHIS, TN, 
138082, 7500 RALIEHG LAGRANGE, MEMPHIS, TN, 
138083, 7500 RED RIVER, MEMPHIS, TN, 
138084, 7500 RIDGEWAY, MEMPHIS, TN, 
138085, 7500 S MENDENHALL, MEMPHIS, TN, 
138086, 7500 SMYTHE FARM RD, MEMPHIS, TN, 
138087, 7500 SMYTHE, MEMPHIS, TN, 
138088, 7500 SONIC, MEMPHIS, TN, 
138089, 7500 SPINDLE, MEMPHIS, TN, 
138090, 7500 SPINOLA, MEMPHIS, TN, 
138091, 7500 TILLER CV, MEMPHIS, TN, 
138092, 7500 TIMBER GLEN DR S, MEMPHIS, TN, 
138093, 7500 TIMBER GLEN S, MEMPHIS, TN, 
138094, 7500 U S HWY 64, MEMPHIS, TN, 
138095, 7500 UNBRIDLE WAY, MEMPHIS, TN, 
138096, 7500 US-64 HWY, MEMPHIS, TN, 
138097, 7500 VAL MARIE LN, MEMPHIS, TN, 
138098, 7500 VALMIRE LN, MEMPHIS, TN, 
138099, 7500 WHEATFIELD, MEMPHIS, TN, 
138100, 7500 WINCHESTE RD, MEMPHIS, TN, 
138101, 7500 WINCHESTER DR, MEMPHIS, TN, 
138102, 7500 WINCHESTER HILLS, MEMPHIS, TN, 
138103, 7500 WINCHESTER RD STE 104, MEMPHIS, TN, 
138104, 7500 WINCHESTER RED SUITE 104, MEMPHIS, TN, 
138105, 7500 WINCHESTER RED, MEMPHIS, TN, 
138106, 7500 WINCHESTER STE 109, MEMPHIS, TN, 
138107, 7500 WINCHESTER SUITE 101, MEMPHIS, TN, 
138108, 7500 WINCHESTER SUITE 104, MEMPHIS, TN, 
138109, 7500 WINCHESTER SUITE 109, MEMPHIS, TN, 
138110, 7500 WINCHSETER, MEMPHIS, TN, 
138111, 7500 WINSHESTER, MEMPHIS, TN, 
138112, 7500 WOODSHIRE LN, MEMPHIS, TN, 
138113, 750EAST RAINES, MEMPHIS, TN, 
138114, 752-754 CASTLE, MEMPHIS, TN, 
138115, 7545WINCHESTER, MEMPHIS, TN, 
138116, 757ALICE, MEMPHIS, TN, 
138117, 7600 APPLING FARMS CENTER SUITE 105, MEMPHIS, TN, 
138118, 7600 APPLING GLEN CV, MEMPHIS, TN, 
138119, 7600 APPLING MILLWAY, MEMPHIS, TN, 
138120, 7600 ATWATER, MEMPHIS, TN, 
138121, 7600 AWATER, MEMPHIS, TN, 
138122, 7600 BAKER GLEN DR, MEMPHIS, TN, 
138123, 7600 BAKERS GLEN LN, MEMPHIS, TN, 
138124, 7600 BAKERS GLENN LN, MEMPHIS, TN, 
138125, 7600 BAKERS GLENN, MEMPHIS, TN, 
138126, 7600 BEVY RIDGE CV, MEMPHIS, TN, 
138127, 7600 BLACKBIRCH CV, MEMPHIS, TN, 
138128, 7600 BURNS TOWN LN, MEMPHIS, TN, 
138129, 7600 CALLIS CREEK CV, MEMPHIS, TN, 
138130, 7600 CAMRY LN BLDG 32, MEMPHIS, TN, 
138131, 7600 CHRISTYWOODS CV, MEMPHIS, TN, 
138132, 7600 CORDOVA RD, MEMPHIS, TN, 
138133, 7600 COSHECO, MEMPHIS, TN, 
138134, 7600 CRESTRIDGE RD, MEMPHIS, TN, 
138135, 7600 DAISY GROVE DR, MEMPHIS, TN, 
138136, 7600 DAISY GROVE, MEMPHIS, TN, 
138137, 7600 DESTER HILLS, MEMPHIS, TN, 
138138, 7600 DEXTER GROVE RD, MEMPHIS, TN, 
138139, 7600 DEXTER GRV, MEMPHIS, TN, 
138140, 7600 DEXTER MANOR, MEMPHIS, TN, 
138141, 7600 DEXTER PARK DR, MEMPHIS, TN, 
138142, 7600 DEXTER RD, MEMPHIS, TN, 
138143, 7600 DEXTER, MEMPHIS, TN, 
138144, 7600 EMERALD GREEN DR, MEMPHIS, TN, 
138145, 7600 EMERALD GREENS DR N, MEMPHIS, TN, 
138146, 7600 FAIRWAY FOREST DR, MEMPHIS, TN, 
138147, 7600 FAIRWAY FORREST DR NORTH, MEMPHIS, TN, 
138148, 7600 FAIRWAY FORREST DR W, MEMPHIS, TN, 
138149, 7600 FAIRWAY FORREST, MEMPHIS, TN, 
138150, 7600 HIGHWAY 64 #103, MEMPHIS, TN, 
138151, 7600 HIGHWAY 64 SUITE 103, MEMPHIS, TN, 
138152, 7600 HIGHWAY 64 SUITE 111, MEMPHIS, TN, 
138153, 7600 HILLSHIRE, MEMPHIS, TN, 
138154, 7600 HOLLYVIEW, MEMPHIS, TN, 
138155, 7600 HWY 64 SUITE 106, MEMPHIS, TN, 
138156, 7600 HWY64, MEMPHIS, TN, 
138157, 7600 JUNIPER RIDGE, MEMPHIS, TN, 
138158, 7600 KENTA LN, MEMPHIS, TN, 
138159, 7600 KENTAL RD, MEMPHIS, TN, 
138160, 7600 KENTRAL, MEMPHIS, TN, 
138161, 7600 KNIGHT ARNOLD, MEMPHIS, TN, 
138162, 7600 KRISTYWOOD, MEMPHIS, TN, 
138163, 7600 LAGUNA, MEMPHIS, TN, 
138164, 7600 LEGACY LN, MEMPHIS, TN, 
138165, 7600 LEXUS LN., MEMPHIS, TN, 
138166, 7600 MEADOW LAND, MEMPHIS, TN, 
138167, 7600 MEADOWLANDS DR, MEMPHIS, TN, 
138168, 7600 MEADOWLANDS, MEMPHIS, TN, 
138169, 7600 MOORE RD, MEMPHIS, TN, 
138170, 7600 MORIARTY, MEMPHIS, TN, 
138171, 7600 N FAIRWAY FOREST DR, MEMPHIS, TN, 
138172, 7600 NEWLINGS, MEMPHIS, TN, 
138173, 7600 NORTH EMERALD GREEN, MEMPHIS, TN, 
138174, 7600 OCTOBER ROSE, MEMPHIS, TN, 
138175, 7600 PARKWAY FOREST DR W, MEMPHIS, TN, 
138176, 7600 PLUM CREEK, MEMPHIS, TN, 
138177, 7600 POLO GROUND BLVD, MEMPHIS, TN, 
138178, 7600 POPLAR, MEMPHIS, TN, 
138179, 7600 PORT ALBERT LANE, MEMPHIS, TN, 
138180, 7600 PORT ALBERT LN LN, MEMPHIS, TN, 
138181, 7600 PORT OLIVER LANE, MEMPHIS, TN, 
138182, 7600 PROUD LAND DR, MEMPHIS, TN, 
138183, 7600 PROUD LAND, MEMPHIS, TN, 
138184, 7600 PROUDLAND, MEMPHIS, TN, 
138185, 7600 RED RIVER DR, MEMPHIS, TN, 
138186, 7600 RESSE, MEMPHIS, TN, 
138187, 7600 RIVERDALE BEND, MEMPHIS, TN, 
138188, 7600 ROCKY PARK, MEMPHIS, TN, 
138189, 7600 ROSELEIGH LN, MEMPHIS, TN, 
138190, 7600 ROSELEIGH, MEMPHIS, TN, 
138191, 7600 SEBRING CV, MEMPHIS, TN, 
138192, 7600 SEBRING RD, MEMPHIS, TN, 
138193, 7600 SHADES SPRING CV, MEMPHIS, TN, 
138194, 7600 SMYTHE FARM RD, MEMPHIS, TN, 
138195, 7600 SPINOLA CV, MEMPHIS, TN, 
138196, 7600 TOREY HILL, MEMPHIS, TN, 
138197, 7600 TORY HILL CV, MEMPHIS, TN, 
138198, 7600 TORY HILL D R, MEMPHIS, TN, 
138199, 7600 U S HWY 64, MEMPHIS, TN, 
138200, 7600 US 64 RD, MEMPHIS, TN, 
138201, 7600 US HIGHWAY 64, MEMPHIS, TN, 
138202, 7600 US HWY 64 SUITE 111, MEMPHIS, TN, 
138203, 7600 VALLEY MIST DRIVE, MEMPHIS, TN, 
138204, 7600 VALMARIE, MEMPHIS, TN, 
138205, 7600 WALMART, MEMPHIS, TN, 
138206, 7600 WEATFIRLD, MEMPHIS, TN, 
138207, 7600 WHICHESTER, MEMPHIS, TN, 
138208, 7600 WIINCHESTER RD, MEMPHIS, TN, 
138209, 7600 WINCCHESTER, MEMPHIS, TN, 
138210, 7600 WINCHEDTER RD, MEMPHIS, TN, 
138211, 7600 WINCHERSTER RD, MEMPHIS, TN, 
138212, 7600 WINCHERSTER, MEMPHIS, TN, 
138213, 7600 WINCHEST RD, MEMPHIS, TN, 
138214, 7600 WINCHESTER AND WALMART, MEMPHIS, TN, 
138215, 7600 WINCHESTER DR, MEMPHIS, TN, 
138216, 7600 WINCHESTER STE A, MEMPHIS, TN, 
138217, 7600 WINFHESTER, MEMPHIS, TN, 
138218, 7600 WNCHESTER, MEMPHIS, TN, 
138219, 761CHESTNUT, MEMPHIS, TN, 
138220, 761DEMPSTER, MEMPHIS, TN, 
138221, 766JACKSON AVE, MEMPHIS, TN, 
138222, 7676POLO CLUB GROUND, MEMPHIS, TN, 
138223, 7700 ANTIGUA DR, MEMPHIS, TN, 
138224, 7700 APPLING CENTER, MEMPHIS, TN, 
138225, 7700 AUTUMN GLADE LN, MEMPHIS, TN, 
138226, 7700 BAYSWEET DR, MEMPHIS, TN, 
138227, 7700 BROOKHAVEN, MEMPHIS, TN, 
138228, 7700 CALLIS, MEMPHIS, TN, 
138229, 7700 CAMRY LN, MEMPHIS, TN, 
138230, 7700 CANDY APPLE, MEMPHIS, TN, 
138231, 7700 CHAPEL CREEK PKWY SOUTH, MEMPHIS, TN, 
138232, 7700 CHAPEL RIDE DR, MEMPHIS, TN, 
138233, 7700 CHAPLE RIDGE, MEMPHIS, TN, 
138234, 7700 COTTON GROVE CT, MEMPHIS, TN, 
138235, 7700 CRYSTAL BROOK CV, MEMPHIS, TN, 
138236, 7700 CRYSTAL BROOK, MEMPHIS, TN, 
138237, 7700 CRYSTAL BROOKS CV, MEMPHIS, TN, 
138238, 7700 DEER FIELD TRACE, MEMPHIS, TN, 
138239, 7700 DEER TRAIL CV, MEMPHIS, TN, 
138240, 7700 DEERFIELD TRAIL, MEMPHIS, TN, 
138241, 7700 DEERTRAIL LN, MEMPHIS, TN, 
138242, 7700 DESERT ROSE, MEMPHIS, TN, 
138243, 7700 DEXRER PARK, MEMPHIS, TN, 
138244, 7700 DEXTER GROVE RD, MEMPHIS, TN, 
138245, 7700 DEXTER HILLS, MEMPHIS, TN, 
138246, 7700 DEXTER HOLL0W, MEMPHIS, TN, 
138247, 7700 DEXTER RUN CIRCLE EAST, MEMPHIS, TN, 
138248, 7700 DEXTER RUN CIRCLR, MEMPHIS, TN, 
138249, 7700 DEXTER RUN CR DR, MEMPHIS, TN, 
138250, 7700 DEXTER RUN CV, MEMPHIS, TN, 
138251, 7700 DEXTER RUN, MEMPHIS, TN, 
138252, 7700 E RICHWOOD PLACE, MEMPHIS, TN, 
138253, 7700 EMERALD GREEN DR (N), MEMPHIS, TN, 
138254, 7700 EMERALD GREEN DR, MEMPHIS, TN, 
138255, 7700 EMERALD GREEN N, MEMPHIS, TN, 
138256, 7700 EMERALD GREENS, MEMPHIS, TN, 
138257, 7700 ENGLESLIDE CV, MEMPHIS, TN, 
138258, 7700 FAIRWAY FOREST DR LN, MEMPHIS, TN, 
138259, 7700 FAIRWAY FOREST WEST, MEMPHIS, TN, 
138260, 7700 FAIRWAY FORREST RD, MEMPHIS, TN, 
138261, 7700 FAIRWAY FORREST, MEMPHIS, TN, 
138262, 7700 FAIRWAY VISTA CT, MEMPHIS, TN, 
138263, 7700 GERMANTOWN, MEMPHIS, TN, 
138264, 7700 GIACOSA, MEMPHIS, TN, 
138265, 7700 GREENFIELD CV, MEMPHIS, TN, 
138266, 7700 HW6 64, MEMPHIS, TN, 
138267, 7700 HWY 64 RD, MEMPHIS, TN, 
138268, 7700 HWY 64 SUITE 102, MEMPHIS, TN, 
138269, 7700 IRONWOOD CV, MEMPHIS, TN, 
138270, 7700 KENTAL, MEMPHIS, TN, 
138271, 7700 LAZER, MEMPHIS, TN, 
138272, 7700 LAZOR LN, MEMPHIS, TN, 
138273, 7700 LEXUS DR, MEMPHIS, TN, 
138274, 7700 LEXUS LN, MEMPHIS, TN, 
138275, 7700 MCVAY RD, MEMPHIS, TN, 
138276, 7700 MILLERS PONDS CIR, MEMPHIS, TN, 
138277, 7700 MINERAL CREST, MEMPHIS, TN, 
138278, 7700 N CHAPEL CREEK, MEMPHIS, TN, 
138279, 7700 POLLO GROUNDS RD, MEMPHIS, TN, 
138280, 7700 POLO DR, MEMPHIS, TN, 
138281, 7700 POLO GROUNDS BL, MEMPHIS, TN, 
138282, 7700 POLO GROUNDS BLVD, JC PENNY, MEMPHIS, TN, 
138283, 7700 POLO GROUNDS BVLD, MEMPHIS, TN, 
138284, 7700 POLO GROUNDS CLB, MEMPHIS, TN, 
138285, 7700 POLO GROUNDS N BLVD, MEMPHIS, TN, 
138286, 7700 POLO GROUPS BLVD, MEMPHIS, TN, 
138287, 7700 POLOGROUNDS BLVD, MEMPHIS, TN, 
138288, 7700 POPLAR AVENUE, MEMPHIS, TN, 
138289, 7700 PROUD LAND CV, MEMPHIS, TN, 
138290, 7700 PROUDLAND, MEMPHIS, TN, 
138291, 7700 RED HILL DR, MEMPHIS, TN, 
