13001, 4200 PECAN PARK DR, MEMPHIS, TN, 
13002, 4200 RHODES AVE, MEMPHIS, TN, 
13003, 4200 ROSEWIND CIRCLE, MEMPHIS, TN, 
13004, 4200 SUNNYSLOPE, MEMPHIS, TN, 
13005, 4200 TUNBRIDGE PL, MEMPHIS, TN, 
13006, 4300 BALBOA CIRCLE, MEMPHIS, TN, 
13007, 4300 MIKEWOOD CV, MEMPHIS, TN, 
13008, 4300 VANN, MEMPHIS, TN, 
13009, 4400 DAVEY CIRCLE, MEMPHIS, TN, 
13010, 4400 DON, MEMPHIS, TN, 
13011, 4400 FAIRHAVEN, MEMPHIS, TN, 
13012, 4400 FORTNER, MEMPHIS, TN, 
13013, 4400 KIMBALL AVE, MEMPHIS, TN, 
13014, 4400 NEELY, MEMPHIS, TN, 
13015, 4500 FORREST VALLEY DR, MEMPHIS, TN, 
13016, 4500 MALONE RD, MEMPHIS, TN, 
13017, 4500 MILL BRANCH, MEMPHIS, TN, 
13018, 4500 MISTY MORNING, MEMPHIS, TN, 
13019, 4500 RICHE, MEMPHIS, TN, 
13020, 4500 SPRING GLEN, MEMPHIS, TN, 
13021, 4500 STAGE, MEMPHIS, TN, 
13022, 4500 WESTMONT ST, MEMPHIS, TN, 
13023, 4600 GIVEN AVE, MEMPHIS, TN, 
13024, 4600 KASSEL, MEMPHIS, TN, 
13025, 4600 NEELY, MEMPHIS, TN, 
13026, 4600 RIDGEWOOD, MEMPHIS, TN, 
13027, 4600 SPRING GLEN DR, MEMPHIS, TN, 
13028, 4600 VALLEY STREAM DR, MEMPHIS, TN, 
13029, 4600 VILLAGREEN DR, MEMPHIS, TN, 
13030, 4700 BAY LN, MEMPHIS, TN, 
13031, 4700 CIMMARON DR, MEMPHIS, TN, 
13032, 4700 CIMMARON, MEMPHIS, TN, 
13033, 4700 GRECCO, MEMPHIS, TN, 
13034, 4700 KNIGHT CV, MEMPHIS, TN, 
13035, 4700 PEMBINE, MEMPHIS, TN, 
13036, 4700 WATERMILL CV, MEMPHIS, TN, 
13037, 4700 WICKLOW DR, MEMPHIS, TN, 
13038, 4700 WOODDALE AVE, MEMPHIS, TN, 
13039, 4800 DALTON, MEMPHIS, TN, 
13040, 4800 E SHELBY, MEMPHIS, TN, 
13041, 4800 HELENE, MEMPHIS, TN, 
13042, 4800 MALLARD NEST, MEMPHIS, TN, 
13043, 4800 MICKEY, MEMPHIS, TN, 
13044, 4800 VIOLET AVE, MEMPHIS, TN, 
13045, 4900 CHUMBLER DR, MEMPHIS, TN, 
13046, 4900 DAYS CREEK, MEMPHIS, TN, 
13047, 4900 FAIRFIELD, MEMPHIS, TN, 
13048, 4900 GIVEN AVE, MEMPHIS, TN, 
13049, 4900 HELENE, MEMPHIS, TN, 
13050, 4900 ORTIE DR, MEMPHIS, TN, 
13051, 4900 ORTIE, MEMPHIS, TN, 
13052, 500 AYERS, MEMPHIS, TN, 
13053, 500 BALTIMORE, MEMPHIS, TN, 
13054, 500 BOSTON ST, MEMPHIS, TN, 
13055, 500 BUNTYN ST, MEMPHIS, TN, 
13056, 500 BURLINGTON CIRCLE, MEMPHIS, TN, 
13057, 500 EH CRUMP BLVD, MEMPHIS, TN, 
13058, 500 LEATH, MEMPHIS, TN, 
13059, 500 MCLEMORE, MEMPHIS, TN, 
13060, 500 OLIVE, MEMPHIS, TN, 
13061, 500 W LEVI, MEMPHIS, TN, 
13062, 5000 APPLEVILLE ST, MEMPHIS, TN, 
13063, 5000 DARLINGTON DR, MEMPHIS, TN, 
13064, 5000 DARLINGTON, MEMPHIS, TN, 
13065, 5000 FERNBROOK DR, MEMPHIS, TN, 
13066, 5000 FORD RD, MEMPHIS, TN, 
13067, 5000 HONDURAS, MEMPHIS, TN, 
13068, 5000 NEWTON RD, MEMPHIS, TN, 
13069, 5000 TULANE, MEMPHIS, TN, 
13070, 5100 COLEWOOD, MEMPHIS, TN, 
13071, 5100 DIANNE DR, MEMPHIS, TN, 
13072, 5100 HELENE, MEMPHIS, TN, 
13073, 5100 RALEIGH-LAGRANGE, MEMPHIS, TN, 
13074, 5100 VILLAGEWOOD, MEMPHIS, TN, 
13075, 5200 WHITWORTH, MEMPHIS, TN, 
13076, 5200 WOODLARK, MEMPHIS, TN, 
13077, 5300 JOHNS RIVER RD, MEMPHIS, TN, 
