139001, 800 ESTERIDGE, MEMPHIS, TN, 
139002, 800 ESTRIDGE ST, MEMPHIS, TN, 
139003, 800 EVELYN AND ROLAND ST, MEMPHIS, TN, 
139004, 800 EVEN TIDE DR, MEMPHIS, TN, 
139005, 800 EYERS, MEMPHIS, TN, 
139006, 800 FAIRVIEW, MEMPHIS, TN, 
139007, 800 FALLS RD, MEMPHIS, TN, 
139008, 800 FARRIS CIR, MEMPHIS, TN, 
139009, 800 FIFTH ST, MEMPHIS, TN, 
139010, 800 FLORIDA/CRUMP, MEMPHIS, TN, 
139011, 800 FORBURY CV, MEMPHIS, TN, 
139012, 800 FRANK AVE, MEMPHIS, TN, 
139013, 800 FRANK CIR, MEMPHIS, TN, 
139014, 800 FRANK CR, MEMPHIS, TN, 
139015, 800 FRANK, MEMPHIS, TN, 
139016, 800 FRAYSER CIRCLE, MEMPHIS, TN, 
139017, 800 FRAYSER DRIVE, MEMPHIS, TN, 
139018, 800 FRAYSER ST, MEMPHIS, TN, 
139019, 800 FREEMAN AVE, MEMPHIS, TN, 
139020, 800 G BROOKHAVEN CIR, MEMPHIS, TN, 
139021, 800 GAGE AVE, MEMPHIS, TN, 
139022, 800 GALLOWAY ST, MEMPHIS, TN, 
139023, 800 GALLWAY, MEMPHIS, TN, 
139024, 800 GARLAND #3, MEMPHIS, TN, 
139025, 800 GARRET PL, MEMPHIS, TN, 
139026, 800 GATHER ST, MEMPHIS, TN, 
139027, 800 GEORGIA ST, MEMPHIS, TN, 
139028, 800 GERMANTOWN PKWY 5, MEMPHIS, TN, 
139029, 800 GERMANTOWN PKY, MEMPHIS, TN, 
139030, 800 GERNANTOWN PKWY, STE 21, MEMPHIS, TN, 
139031, 800 GETWELL, MEMPHIS, TN, 
139032, 800 GILEAS RD, MEMPHIS, TN, 
139033, 800 GILLEAS ST, MEMPHIS, TN, 
139034, 800 GILLIEAS, MEMPHIS, TN, 
139035, 800 GLANKER ST, MEMPHIS, TN, 
139036, 800 GLANKET, MEMPHIS, TN, 
139037, 800 GLANKLER AVE, MEMPHIS, TN, 
139038, 800 GLANKNER, MEMPHIS, TN, 
139039, 800 GOLDWYN, MEMPHIS, TN, 
139040, 800 GOODLETT RD AND PARK AVE, MEMPHIS, TN, 
139041, 800 GOODWYN RD, MEMPHIS, TN, 
139042, 800 GRACEWOOD AVE, MEMPHIS, TN, 
139043, 800 GRANADA RD, MEMPHIS, TN, 
139044, 800 GRANDA, MEMPHIS, TN, 
139045, 800 GRANKLER, MEMPHIS, TN, 
139046, 800 GRENADA RD, MEMPHIS, TN, 
139047, 800 GROOVEWOOD DR, MEMPHIS, TN, 
139048, 800 GROVEWOOD ST, MEMPHIS, TN, 
139049, 800 HAMILTON AVE, MEMPHIS, TN, 
139050, 800 HAMILTON ST., MEMPHIS, TN, 
139051, 800 HAMILTON STEET, MEMPHIS, TN, 
139052, 800 HANLEY STREET, MEMPHIS, TN, 
139053, 800 HAPPY RD, MEMPHIS, TN, 
139054, 800 HARAHAND, MEMPHIS, TN, 
139055, 800 HARBOR BEND #1, MEMPHIS, TN, 
139056, 800 HARBOR CIRCLE EAST, MEMPHIS, TN, 
139057, 800 HARBOR CREST DR, MEMPHIS, TN, 
139058, 800 HARBOR EDGE CIR, MEMPHIS, TN, 
139059, 800 HARBOR EDGE DR, MEMPHIS, TN, 
139060, 800 HARBOR ISLE CIR W, MEMPHIS, TN, 
139061, 800 HARBOR ISLE CIRCLE WEST ST, MEMPHIS, TN, 
139062, 800 HARBOR ISLE CIRCLE WEST, MEMPHIS, TN, 
139063, 800 HARBOR ISLE, MEMPHIS, TN, 
139064, 800 HARDWOOD DR, MEMPHIS, TN, 
139065, 800 HARRHAND, MEMPHIS, TN, 
139066, 800 HASTING CIR SOUTH, MEMPHIS, TN, 
139067, 800 HASTINGS 3, MEMPHIS, TN, 
139068, 800 HASTINGS 4, MEMPHIS, TN, 
139069, 800 HASTINGS CIR, MEMPHIS, TN, 
139070, 800 HASTNING, MEMPHIS, TN, 
