140001, 8100 CENTERVIEW, MEMPHIS, TN, 
140002, 8100 CHIMNEY ROCK ST, MEMPHIS, TN, 
140003, 8100 CHIMNEY ROCK, MEMPHIS, TN, 
140004, 8100 CHINGFORD CV, MEMPHIS, TN, 
140005, 8100 CLUB CENTER DRIVR, MEMPHIS, TN, 
140006, 8100 CLUB CENTER SUITE12, MEMPHIS, TN, 
140007, 8100 CLUB DR, MEMPHIS, TN, 
140008, 8100 CLUB PKY, MEMPHIS, TN, 
140009, 8100 CONTRY SQUIRE LN, MEMPHIS, TN, 
140010, 8100 CORDOVA CENTER, MEMPHIS, TN, 
140011, 8100 CORDOVA, MEMPHIS, TN, 
140012, 8100 COUNTRY LN, MEMPHIS, TN, 
140013, 8100 COUNTRY SQ LN, MEMPHIS, TN, 
140014, 8100 COUNTRY SQUARE LN, MEMPHIS, TN, 
140015, 8100 COUNTRYSQUIRE LN, MEMPHIS, TN, 
140016, 8100 DEXTER SUITE 101, MEMPHIS, TN, 
140017, 8100 E SHELBY, MEMPHIS, TN, 
140018, 8100 EAST TROPICANA, MEMPHIS, TN, 
140019, 8100 FLETCHERPARK CR N, MEMPHIS, TN, 
140020, 8100 GAICOSA PL, MEMPHIS, TN, 
140021, 8100 GAICOSA PLACE, MEMPHIS, TN, 
140022, 8100 GATESHEAD, MEMPHIS, TN, 
140023, 8100 GEOCOSA, MEMPHIS, TN, 
140024, 8100 GERMAN CREEK CREEK, MEMPHIS, TN, 
140025, 8100 GIACOMO PL UNIT 810, MEMPHIS, TN, 
140026, 8100 GIACOSA LN, MEMPHIS, TN, 
140027, 8100 GIACOSA PL # 103 RD, MEMPHIS, TN, 
140028, 8100 GIACOSA PL #810, MEMPHIS, TN, 
140029, 8100 GIACOSA PL RD, MEMPHIS, TN, 
140030, 8100 GIACOSA PL STE 103, MEMPHIS, TN, 
140031, 8100 GIACOSA PLACE #101, MEMPHIS, TN, 
140032, 8100 GIACOSA PLACE 103, MEMPHIS, TN, 
140033, 8100 GIACOSA PLACE DR, MEMPHIS, TN, 
140034, 8100 GIACOSA PLACE SUITE #102, MEMPHIS, TN, 
140035, 8100 GIACOSA PLC, MEMPHIS, TN, 
140036, 8100 GIACOSA ST, MEMPHIS, TN, 
140037, 8100 GIACOSO PL, MEMPHIS, TN, 
140038, 8100 GIACOSO SUITE 103, MEMPHIS, TN, 
140039, 8100 GIACOSSA ST, MEMPHIS, TN, 
140040, 8100 GIACOZA PL, MEMPHIS, TN, 
140041, 8100 GICASO, MEMPHIS, TN, 
140042, 8100 GICOSA PL, MEMPHIS, TN, 
140043, 8100 GICOSA, MEMPHIS, TN, 
140044, 8100 HABERSHAM WAY 205, MEMPHIS, TN, 
140045, 8100 HACKS CROSS, MEMPHIS, TN, 
140046, 8100 HAVENSHIRE, MEMPHIS, TN, 
140047, 8100 HAVERHAM WAY#101, MEMPHIS, TN, 
140048, 8100 HAVERSHAM DR, MEMPHIS, TN, 
140049, 8100 HAVERSHAM LN, MEMPHIS, TN, 
140050, 8100 HAVERSHAM WY, MEMPHIS, TN, 
140051, 8100 HAVERSHAME WAY, MEMPHIS, TN, 
140052, 8100 HAVISHIRE CT, MEMPHIS, TN, 
140053, 8100 HAVISHIRE ST, MEMPHIS, TN, 
140054, 8100 HAVSHIRE, MEMPHIS, TN, 
