142001, 900 NORTH THIRD ST, MEMPHIS, TN, 
142002, 900 NORTH THOMAS ST, MEMPHIS, TN, 
142003, 900 NORTH THRID, MEMPHIS, TN, 
142004, 900 NORTH TREZEVANT, MEMPHIS, TN, 
142005, 900 NORTH, MEMPHIS, TN, 
142006, 900 NORTHHAVEN, MEMPHIS, TN, 
142007, 900 NORTHPARKWAY, MEMPHIS, TN, 
142008, 900 NOVARECE, MEMPHIS, TN, 
142009, 900 NOVAREESE AVE, MEMPHIS, TN, 
142010, 900 NOVAREESE, MEMPHIS, TN, 
142011, 900 NOVARESE AVE, MEMPHIS, TN, 
142012, 900 NOVARESSE, MEMPHIS, TN, 
142013, 900 NSANGA RD, MEMPHIS, TN, 
142014, 900 NSECOND, MEMPHIS, TN, 
142015, 900 NSEVENTH ST, MEMPHIS, TN, 
142016, 900 NSEVENTH, MEMPHIS, TN, 
142017, 900 NTH AVALON, MEMPHIS, TN, 
142018, 900 NTH BELLEVUE, MEMPHIS, TN, 
142019, 900 NTH SEVENTH ST, MEMPHIS, TN, 
142020, 900 NTHIRD, MEMPHIS, TN, 
142021, 900 OAKMONT PL, MEMPHIS, TN, 
142022, 900 OAKMONT PLACE, MEMPHIS, TN, 
142023, 900 OBERLE ST, MEMPHIS, TN, 
142024, 900 OLD SUMMER, MEMPHIS, TN, 
142025, 900 OLIMPIC, MEMPHIS, TN, 
142026, 900 OLYMPIC STREET, MEMPHIS, TN, 
142027, 900 OPHANAGE, MEMPHIS, TN, 
142028, 900 ORPHAN, MEMPHIS, TN, 
142029, 900 ORPHANGE, MEMPHIS, TN, 
142030, 900 OVERLE, MEMPHIS, TN, 
142031, 900 PAE, MEMPHIS, TN, 
142032, 900 PAINTED OAK, MEMPHIS, TN, 
142033, 900 PALMER DR, MEMPHIS, TN, 
142034, 900 PAR AVE AND DAWN DR, MEMPHIS, TN, 
142035, 900 PAR AVEUNE, MEMPHIS, TN, 
142036, 900 PAR DR, MEMPHIS, TN, 
142037, 900 PARADISE RD, MEMPHIS, TN, 
142038, 900 PARK HAVEN, MEMPHIS, TN, 
142039, 900 PARK ROSE, MEMPHIS, TN, 
142040, 900 PARKAROSE, MEMPHIS, TN, 
142041, 900 PARKHAVEN CIR, MEMPHIS, TN, 
142042, 900 PARKROSE AVE, MEMPHIS, TN, 
142043, 900 PAWANEE, MEMPHIS, TN, 
142044, 900 PAWNEE ANE, MEMPHIS, TN, 
142045, 900 PAWNEE ST, MEMPHIS, TN, 
142046, 900 PEARCE RD, MEMPHIS, TN, 
142047, 900 PECAN GARDEN CIR W, MEMPHIS, TN, 
142048, 900 PECAN GARDEN CIRCLE E, MEMPHIS, TN, 
142049, 900 PECAN GARDEN CIRCLE, MEMPHIS, TN, 
142050, 900 PECAN GARDENS CIR E, MEMPHIS, TN, 
142051, 900 PECAN GARDENS CIRCLE WEST, MEMPHIS, TN, 
142052, 900 PENSYLVAINA, MEMPHIS, TN, 
142053, 900 PERSON AVE, MEMPHIS, TN, 
