144001, BARKSDALE AND EVELYN, MEMPHIS, TN, 
144002, BARKSDALE AND FERBER, MEMPHIS, TN, 
144003, BARKSDALE AND FOSTER, MEMPHIS, TN, 
144004, BARKSDALE AND JACKSON, MEMPHIS, TN, 
144005, BARKSDALE AND JEFFERSON, MEMPHIS, TN, 
144006, BARKSDALE AND LAMAR, MEMPHIS, TN, 
144007, BARKSDALE AND MADISON, MEMPHIS, TN, 
144008, BARKSDALE AND POPLAR, MEMPHIS, TN, 
144009, BARKSDALE AND SOUTHERN, MEMPHIS, TN, 
144010, BARKSDALE AND VINTON, MEMPHIS, TN, 
144011, BARKSDALE AND YOUNG, MEMPHIS, TN, 
144012, BARKSDALE ST AND LAMAR AVE, MEMPHIS, TN, 
144013, BARKSHIRE AND GOLDENEYE DR, MEMPHIS, TN, 
144014, BARKSHIRE AND GOLDENEYE, MEMPHIS, TN, 
144015, BARKSHIRE AND MALLARD RIDGE, MEMPHIS, TN, 
144016, BARKSHIRE AND ROSS, MEMPHIS, TN, 
144017, BARKSHIRE AND WADERS RIDGE, MEMPHIS, TN, 
144018, BARKSHIRE DR GOLDENEYE DR, MEMPHIS, TN, 
144019, BARKSIDE AND NEWGATE, MEMPHIS, TN, 
144020, BARKWOOD AND STACEY, MEMPHIS, TN, 
144021, BARNSTABLE AND AUSTER CV, MEMPHIS, TN, 
144022, BARNSTABLE AND BARNSTABLE CV, MEMPHIS, TN, 
144023, BARNSTABLE AND GERMANTOWN, MEMPHIS, TN, 
144024, BARNSTABLE AND GLENROY DR, MEMPHIS, TN, 
144025, BARNSTABLE RD AND S GERMANTOWN RD, MEMPHIS, TN, 
144026, BARON AND MOUNT VERNON, MEMPHIS, TN, 
144027, BARON RD AND WILDWOOD, MEMPHIS, TN, 
144028, BARONESS AND QUEENSLAND, MEMPHIS, TN, 
144029, BARR & WATSON, MEMPHIS, TN, 
144030, BARR AND GOODLETT, MEMPHIS, TN, 
144031, BARR AND TITUS, MEMPHIS, TN, 
144032, BARR AVE AND CHERRY RD, MEMPHIS, TN, 
144033, BARR AVE AND EZELL ST, MEMPHIS, TN, 
144034, BARR AVE AND GOODLETT, MEMPHIS, TN, 
144035, BARREN AND RUTLAND, MEMPHIS, TN, 
144036, BARREN BROOK AND VALLEY GLYNN, MEMPHIS, TN, 
144037, BARRET PLACE AND LOONEY, MEMPHIS, TN, 
144038, BARRET PLACE AND PALMETTO, MEMPHIS, TN, 
